Strain,Isoprenol,Target,CV[%]
IY1671,129.132,PP_4679,109.8077685830905
IY2046,129.05213,PP_0106,9.870245033025743
IY2237,128.65767,PP_1023,2.6099716043864154
IY2205,127.30898,PP_5203,3.353169672401206
IY1597,127.308,PP_1607,34.17268745971563
IY2239,126.64787,PP_2095,3.424059283264441
IY2200,124.49209,PP_0658,11.612209908804225
IY1679,124.24693,PP_3123,3.4486114888018404
NT,123.84653,Control,11.693237093836071
IY2198,123.51993,PP_4160,6.215364406569637
IY2203,123.32729,PP_4266,4.5079176648555705
IY2031,122.993,PP_4130,3.878702720962045
IY2034,121.7032,PP_1031,8.909517358553536
IY2200,118.57164,PP_0658,11.612209908804225
IY2225,118.42489,PP_4185,16.057277893344526
IY1597,118.32133,PP_1607,34.17268745971563
IY2198,117.2204,PP_4160,6.215364406569637
IY2226,117.15644,PP_4186,13.82154525239012
IY2197,116.76587,PP_4161,8.406660370150915
IY2217,116.22133,PP_0654,2.6436690101669478
IY2206,115.91716,PP_0277,7.4656955145728485
IY2197,115.36967,PP_4161,8.406660370150915
IY2196,114.99833,PP_5186,3.867405865226187
IY2223,114.84622,PP_4011,6.685454416173737
IY2238,114.4354,PP_5128,7.550238840110104
IY2044,114.00867,PP_0104,11.544900498354389
IY2242,112.46604,PP_0225,16.22106623769388
IY2208,112.39876,PP_4651,15.946050469183392
IY2217,111.65689,PP_0654,2.6436690101669478
IY1587,111.59833,PP_4550,8.41010854472527
IY2046,111.18153,PP_0106,9.870245033025743
IY2057,110.73887,PP_4187,23.598607540219746
IY2217,110.61244,PP_0654,2.6436690101669478
IY2194,110.54227,PP_4635,17.696817975623112
IY2226,109.90578,PP_4186,13.82154525239012
IY2196,109.78993,PP_5186,3.867405865226187
IY2209,108.94569,PP_4650,13.109859731797812
IY2238,108.6124,PP_5128,7.550238840110104
IY2034,108.4186,PP_1031,8.909517358553536
IY2223,107.80089,PP_4011,6.685454416173737
IY2196,106.53047,PP_5186,3.867405865226187
IY2222,106.07111,PP_2339,5.754300738608981
IY2242,104.96498,PP_0225,16.22106623769388
IY2216,103.99467,PP_1755,17.773225419335024
IY2222,103.71556,PP_2339,5.754300738608981
IY1587,103.02767,PP_4550,8.41010854472527
IY2216,102.0,PP_1755,17.773225419335024
IY2215,100.96711,PP_0944,3.588453530909788
IY2223,100.44711,PP_4011,6.685454416173737
IY2214,99.26756,PP_0897,4.476678806852651
IY2215,98.896,PP_0944,3.588453530909788
IY2238,98.4482,PP_5128,7.550238840110104
IY2019,97.516,PP_5420,6.917302663810694
IY2214,95.33156,PP_0897,4.476678806852651
IY2219,95.16089,PP_2925,2.01062296013678
IY2225,95.00089,PP_4185,16.057277893344526
IY2222,94.976,PP_2339,5.754300738608981
IY1587,94.27913,PP_4550,8.41010854472527
IY2215,94.11111,PP_0944,3.588453530909788
IY2202,92.4824,PP_1620,5.748412091024703
IY2019,92.38133,PP_5420,6.917302663810694
IY2219,92.30844,PP_2925,2.01062296013678
IY2219,91.63822,PP_2925,2.01062296013678
IY2214,90.75911,PP_0897,4.476678806852651
IY2226,89.096,PP_4186,13.82154525239012
IY2019,84.91467,PP_5420,6.917302663810694
IY2202,84.01458,PP_1620,5.748412091024703
IY2202,83.68907,PP_1620,5.748412091024703
IY2221,70.22222,PP_2112,1.84826445705143
IY2221,69.36711,PP_2112,1.84826445705143
IY2195,69.2938,PP_1610,62.46769858870036
IY2221,67.71022,PP_2112,1.84826445705143
IY2039,65.72793,PP_0001,19.537778627583283
IY2039,63.3426,PP_0001,19.537778627583283
IY2220,48.94489,PP_1251,11.273835249178896
IY1684,48.26607,PP_4894,6.82840528691517
IY2220,46.63111,PP_1251,11.273835249178896
IY2039,45.00793,PP_0001,19.537778627583283
IY2224,43.97244,PP_4012,23.84360978631674
IY1684,43.96493,PP_4894,6.82840528691517
IY1684,42.33787,PP_4894,6.82840528691517
IY2195,41.1616,PP_1610,62.46769858870036
IY2220,39.24444,PP_1251,11.273835249178896
IY2192,31.6996,PP_5064,173.04126556304206
IY2224,30.17422,PP_4012,23.84360978631674
IY2224,29.32178,PP_4012,23.84360978631674
IY2025,28.24533,PP_4119,86.63071971168684
IY2025,26.91733,PP_4119,86.63071971168684
IY2195,16.47207,PP_1610,62.46769858870036
IY1673,0.01,PP_1777,0.0
IY1673,0.01,PP_1777,0.0
IY2025,0.01,PP_4119,86.63071971168684
IY1673,0.01,PP_1777,0.0
IY1661,0.01,PP_3394,0.0
IY2192,0.01,PP_5064,173.04126556304206
IY2192,0.01,PP_5064,173.04126556304206
IY1661,0.01,PP_3394,0.0
IY1661,0.01,PP_3394,0.0
IY1671,0.01,PP_4679,109.8077685830905
IY1671,0.01,PP_4679,109.8077685830905
IY1671,0.01,PP_4679,109.8077685830905
