Nontarget_abundance,Measurement Type,target_abundance,log2_change,p_value,log10_p_value
,PP_0444,95117402.39999999,,,
,PP_0445,48929851.800000004,,,
,PP_0446,81358085.96666665,,,
,PP_0447,301005730.09999996,,,
,PP_0448,312047230.06666666,,,
,PP_0449,28795688.633333337,,,
,PP_0450,86172074.89999999,,,
,PP_0451,348242402.43333334,,,
,PP_0452,194317396.13333333,,,
,PP_0453,53618265.06666666,,,
,PP_0454,85090166.46666667,,,
,PP_0455,54283354.0,,,
,PP_0456,20748958.8,,,
,PP_0457,101797594.13333333,,,
,PP_0458,13104727.133333333,,,
,PP_0459,33439932.8,,,
,PP_0460,41436140.53333333,,,
,PP_0461,61103235.46666667,,,
,PP_0462,17925924.2,,,
,PP_0463,43792390.333333336,,,
,PP_0464,37539011.06666667,,,
,PP_0465,52532657.0,,,
,PP_0466,86515535.8,,,
,PP_0467,21018773.2,,,
,PP_0468,34998974.833333336,,,
,PP_0469,53482559.13333333,,,
,PP_0470,29504606.2,,,
,PP_0471,40161107.266666666,,,
,PP_0472,6452986.266666667,,,
,PP_0473,49427260.46666667,,,
,PP_0474,16700057.666666666,,,
,PP_0475,652954.6666666666,,,
,PP_0476,25466822.733333334,,,
,PP_0477,26744760.8,,,
,PP_0478,72300019.26666667,,,
,PP_0479,103882091.26666667,,,
,PP_0480,19945802.066666666,,,
,PP_0481,835968.4666666667,,,
,PP_0482,3376502.233333333,,,
,PP_0483,15193217.0,,,
,PP_0485,3581334.3333333335,,,
,PP_0490,1980529.0666666667,,,
,PP_0493,308766.13333333336,,,
,PP_0494,2372626.1666666665,,,
,PP_0500,1845124.4333333333,,,
,PP_0501,2652431.6,,,
,PP_0504,663906.7999999999,,,
,PP_0509,241712.53333333333,,,
,PP_0510,4910163.833333333,,,
,PP_0512,1955227.0,,,
,PP_0513,304334.3333333333,,,
,PP_0514,1316052.3333333333,,,
,PP_0515,1026234.4666666667,,,
,PP_0516,9096669.200000001,,,
,PP_0517,22903933.2,,,
,PP_0518,6858095.933333334,,,
,PP_0521,265830.7,,,
,PP_0522,1679789.8,,,
,PP_0527,10344174.933333334,,,
,PP_0528,2339300.1999999997,,,
,PP_0529,954563.5,,,
,PP_0536,247737.0,,,
,PP_0538,14239586.6,,,
,PP_0541,12274038.866666667,,,
,PP_0542,3137326.8000000003,,,
,PP_0543,4518473.666666667,,,
,PP_0544,5452446.0,,,
,PP_0545,17617925.133333337,,,
,PP_0547,7210184.266666667,,,
,PP_0548,165832.66666666666,,,
,PP_0550,26172246.400000002,,,
,PP_0551,320394.6666666667,,,
,PP_0558,29271981.03333333,,,
,PP_0559,8460877.533333333,,,
,PP_0560,2243487.933333333,,,
,PP_0561,398540.8,,,
,PP_0564,9877270.799999999,,,
,PP_0566,339765.60000000003,,,
,PP_0567,7896741.600000001,,,
,PP_0570,9854825.9,,,
,PP_0576,518583.60000000003,,,
,PP_0578,185515.80000000002,,,
,PP_0581,2999491.533333333,,,
,PP_0584,6979013.7,,,
,PP_0586,1458896.7333333334,,,
,PP_0591,2913099.533333333,,,
,PP_0592,3601164.1333333333,,,
,PP_0596,4176954.9,,,
,PP_0597,2720894.0,,,
,PP_0599,4762572.5,,,
,PP_0600,16745625.466666667,,,
,PP_0602,2478966.9333333336,,,
,PP_0603,57857213.13333333,,,
,PP_0605,2051430.5999999999,,,
,PP_0606,3642620.6,,,
,PP_0612,2503700.933333333,,,
,PP_0613,2831468.3666666667,,,
,PP_0614,2922966.3333333335,,,
,PP_0615,1339044.0,,,
,PP_0616,3577529.0,,,
,PP_0619,4247075.3,,,
,PP_0620,106231.0,,,
,PP_0622,9355330.6,,,
,PP_0624,3001733.6666666665,,,
,PP_0625,151389626.56666666,,,
,PP_0626,1286377.0999999999,,,
,PP_0631,953389.2666666666,,,
,PP_0640,1596364.7333333334,,,
,PP_0657,2625832.1333333333,,,
,PP_0658,3044511.4,,,
,PP_0671,43790593.86666667,,,
,PP_0674,39381809.46666667,,,
,PP_0675,1583454.2,,,
,PP_0679,1550000.0,,,
,PP_0680,39960133.166666664,,,
,PP_0684,7888686.866666667,,,
,PP_0686,4906104.333333333,,,
,PP_0687,8885792.533333333,,,
,PP_0688,49172986.26666667,,,
,PP_0689,9151083.4,,,
,PP_0690,8104615.666666667,,,
,PP_0691,20241248.599999998,,,
,PP_0692,730810.4666666667,,,
,PP_0693,1033645.8666666667,,,
,PP_0696,522067.3,,,
,PP_0707,9130831.933333334,,,
,PP_0712,6108195.333333333,,,
,PP_0719,9281724.799999999,,,
,PP_0720,1057876.5333333334,,,
,PP_0721,46177241.333333336,,,
,PP_0722,26794582.5,,,
,PP_0723,501480.0,,,
,PP_0724,651939.9333333333,,,
,PP_0725,6950867.100000001,,,
,PP_0732,793543.2666666666,,,
,PP_0733,1692298.5333333332,,,
,PP_0734,920140.9,,,
,PP_0735,1653369.1333333335,,,
,PP_0742,513204.10000000003,,,
,PP_0743,322186.6666666667,,,
,PP_0744,1423153.9333333333,,,
,PP_0746,5982548.133333333,,,
,PP_0747,658514.1333333333,,,
,PP_0749,3307008.1999999997,,,
,PP_0750,8800973.0,,,
,PP_0751,30871514.266666666,,,
,PP_0753,15195468.200000001,,,
,PP_0756,738987.0333333333,,,
,PP_0759,1894606.6333333335,,,
,PP_0761,1785986.4666666668,,,
,PP_0762,4606447.600000001,,,
,PP_0763,25005285.633333337,,,
,PP_0765,3265776.4,,,
,PP_0766,21534809.133333333,,,
,PP_0768,4632503.066666666,,,
,PP_0769,1683831.5,,,
,PP_0772,1117690.8,,,
,PP_0773,11894343.566666668,,,
,PP_0774,10612363.333333334,,,
,PP_0776,7785848.666666667,,,
,PP_0777,2600502.3333333335,,,
,PP_0786,8158329.899999999,,,
,PP_0787,4956865.600000001,,,
,PP_0789,489565.0,,,
,PP_0790,2675113.6666666665,,,
,PP_0792,7614141.533333334,,,
,PP_0793,6592310.766666667,,,
,PP_0794,1245366.5666666667,,,
,PP_0795,1657469.0666666667,,,
,PP_0797,1248725.3666666667,,,
,PP_0799,2146673.3333333335,,,
,PP_0812,5027393.466666667,,,
,PP_0813,32958555.133333337,,,
,PP_0817,19144486.46666667,,,
,PP_0823,676303.4,,,
,PP_0824,6775923.399999999,,,
,PP_0826,475471.3333333333,,,
,PP_0830,194562.0,,,
,PP_0832,2027224.5666666667,,,
,PP_0833,1158143.0,,,
,PP_0834,10106319.6,,,
,PP_0835,31413006.866666663,,,
,PP_0836,3801280.8000000003,,,
,PP_0837,6337335.833333333,,,
,PP_0838,15621631.0,,,
,PP_0839,2430997.9,,,
,PP_0840,6800857.533333334,,,
,PP_0842,7474336.466666666,,,
,PP_0843,1142862.8,,,
,PP_0844,654722.3333333334,,,
,PP_0845,941350.6666666666,,,
,PP_0846,12720455.833333334,,,
,PP_0847,317483.3333333333,,,
,PP_0848,906394.7999999999,,,
,PP_0849,48075288.166666664,,,
,PP_0852,2366250.8666666667,,,
,PP_0853,10864577.133333333,,,
,PP_0854,21110695.96666667,,,
,PP_0855,5781724.0,,,
,PP_0856,25584703.266666666,,,
,PP_0857,15593191.800000003,,,
,PP_0858,3344751.766666667,,,
,PP_0859,1109184.4666666666,,,
