Protein.Group,Control_log2_FC,Control_log10_pval,PP_0368_log2_FC,PP_0368_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_15_log2_FC,PP_0812_15_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_1317_PP_0812_log2_FC,PP_1317_PP_0812_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval
PP_4844,,,-3.6359495999723492,2.4132176276991864,,,,,,,,,,,2.157040111577158,1.3962326576869806,,,,,,,,
PP_5099,,,3.4971557020058293,2.141569957940466,,,,,,,,,,,,,,,,,,,,
PP_0165,,,,,1.9306775693981437,1.7588424384691983,,,,,,,,,,,,,,,,,,
PP_0215,,,,,1.5243607486663622,1.6191498570894383,,,,,,,,,1.8828034538465648,2.293261559806185,,,,,,,,
PP_0762,,,,,1.130685094959591,1.7899076770763573,,,,,,,,,1.5689046986608814,1.3724591928816146,,,,,,,,
PP_0765,,,,,1.267898240996963,1.678105029631925,,,,,,,,,,,,,,,,,,
PP_0794,,,,,1.0663616665129585,2.6473577504739345,,,,,,,,,,,,,,,,,,
PP_0888,,,,,1.1849571464859976,1.674671992359276,,,,,,,,,,,,,,,,,1.9334437483956128,1.587855269737045
PP_0891,,,,,3.335704550856231,1.5869070441932904,,,,,,,,,,,,,,,,,,
PP_1380,,,,,1.0465161981839997,1.394244898451241,,,,,,,,,,,,,,,,,,
PP_1384,,,,,1.1566970154932605,2.9804581617797257,,,,,,,,,,,,,,,,,,
PP_1487,,,,,1.5277879358779651,1.3902714466082557,,,,,,,,,,,2.8583733745640187,2.0218846955958805,,,,,,
PP_1498,,,,,2.390053933670983,1.9761439703828396,,,,,,,,,,,,,,,,,,
PP_1666,,,,,1.220293967082187,1.931655033034652,,,,,,,,,,,,,,,,,,
PP_1787,,,,,1.147104350622252,1.6444938794665045,,,,,,,,,,,,,,,,,,
PP_1843,,,,,-3.7524536673224502,3.858011482423978,,,,,,,,,,,,,,,,,,
PP_2154,,,,,1.8971648678176787,1.3922438217485715,,,,,,,,,,,,,,,,,,
PP_2161,,,,,1.0018606337936375,1.844480471720905,,,,,,,,,,,,,,,,,,
PP_2354,,,,,2.5776586260762118,2.5819876677822626,,,,,,,,,,,,,,,,,,
PP_2528,,,,,1.1091800153537847,1.4436324792736053,,,,,,,,,1.278702002091711,2.6351817869594747,,,,,,,,
PP_2867,,,,,1.2631807852975112,1.3107826192319703,,,,,1.1640027581249992,2.6092757761162826,,,1.4873079436230565,1.8870662024031117,,,,,,,,
PP_3067,,,,,1.7617832711416643,2.393472597725527,,,,,,,,,2.2924357791554155,1.3990664789733662,,,,,,,,
PP_3680,,,,,2.2083284965301755,1.7427632070921109,,,,,,,,,,,,,,,,,,
PP_4259,,,,,1.0966878218499407,1.4968936881991672,,,,,,,,,,,,,,,,,,
PP_4358,,,,,1.054435157144378,1.9365094195015349,,,,,,,-1.6488305648669568,1.5550700268151731,,,,,,,,,,
PP_4381,,,,,1.0520856361658235,1.3856549234520372,,,,,,,,,,,,,,,,,,
PP_4386,,,,,1.7982632453574379,1.3406264473848375,,,,,,,,,,,,,,,,,,
PP_4482,,,,,1.0176186315103988,1.5826842132148116,,,,,,,,,,,,,,,,,,
PP_4762,,,,,1.5183030382740828,1.5279065074026799,,,,,,,,,,,,,,,,,,
