Protein.Group,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0812_PP_0814_PP_0815_log2_FC,PP_0812_PP_0814_PP_0815_log10_pval,PP_0813_PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log10_pval
PP_1011,0.7362932548398374,1.5177940008940767,0.30249223373086837,2.1332074169819295,0.40208253422547713,1.403026554088814
PP_1023,0.45095902043335434,4.456436063716008,0.253690567827644,1.761661639897098,0.3909116575329806,1.5073950410990256
PP_1024,-0.19693700946870668,1.4155291640473047,-0.4689857407126633,3.972436051212351,-0.44720661901906206,3.4157896328180497
PP_2052,-0.6952937258790091,2.7039948790441146,-1.0084827982717897,3.763773614958814,-0.7248893035068733,1.4070975461918602
PP_2149,0.6342135248620001,8.106206495340825,0.4868015629104517,2.8633002807119468,0.33790598127358984,6.602825978566249
PP_3376,-0.6500044574045589,6.4964630503603455,-1.0222898826899862,10.251245634655987,-0.7757386793033298,7.942818735165679
PP_3378,-1.1780259730623786,10.460632197466376,-0.8843622388541863,9.312155727581356,-0.9432236394567272,2.3566579214928156
PP_3383,0.5131341444506629,2.0985522520598394,1.2312737485567473,2.5481627866169205,1.2070502527791076,5.507231982438146
PP_3416,-1.7342213485985374,4.245986336644633,-1.291433836888059,8.883783718349546,-1.0719937829707848,8.26768025038559
PP_4715,-0.6221493447432392,4.5321376089465595,-0.643285997389827,1.3970899807862993,-0.5850638309656985,2.1680942880316123
PP_4963,0.5425000269531418,6.534248013523431,-0.17775514646342166,1.5922159669519416,-0.28688844568694966,2.217019413537481
PP_4965,0.521512335798734,7.096329093831123,0.6782291455265436,4.8716644094196075,0.6346285705231994,4.1482529040819
PP_5056,0.3049035965516344,3.4461011370779397,0.3090838019400505,3.5744511337614453,0.49334372934754295,1.7152602783583655
