original,extracted,locus,primary_name,organism,is_putida
sp|P59308,P59308,PP_3633,argC2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59319,P59319,PP_4481,argD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59351,P59351,PP_0396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59374,P59374,PP_0477,rpsK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59392,P59392,PP_0823,selD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59400,P59400,PP_0966,hisD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59560,P59560,PP_1352,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59604,P59604,PP_1088,argG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59612,P59612,PP_1346,argJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59618,P59618,PP_0184,argH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P61113,P61113,PP_0475,rpmJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P65117,P65117,PP_4007,infA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P78386,P78386,,KRT85,Homo sapiens (Human),FALSE
sp|Q30CS2,Q30CS2,,lipPks1,Kitasatospora aureofaciens (Streptomyces aureofaciens),FALSE
sp|Q3L885,Q3L885,MSMEG_0408,pks,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),FALSE
