Protein.Group,PP_0368_PP_0751_PP_0812_PP_0815_log2_change,PP_0368_PP_0751_PP_0812_PP_0815_log10_p_value,PP_0368_PP_0751_PP_0813_log2_change,PP_0368_PP_0751_PP_0813_log10_p_value,PP_0368_PP_0751_PP_0812_log2_change,PP_0368_PP_0751_PP_0812_log10_p_value
A0A140FVX4,3.09790443193763,2.275664110217366,5.114686922004851,1.8022650296673968,5.387052455919602,1.7308839791245048
A0A140FVZ0,,,-0.3747873454488211,1.8778769137558116,,
A0A140FVZ6,,,-0.6073729714254054,3.650751859144231,,
A0A140FW16,,,2.362582012012331,2.464225249695233,,
A0A140FW18,,,,,-0.4703272885018621,1.8638647644881692
A0A140FW35,,,0.9278405918176662,1.3823008408584625,0.7420958845543048,2.717915773464272
A0A140FW42,-2.9941253142588478,2.3694619215672748,-2.761888928403557,2.2864804087416233,-2.1571555207329283,2.0568875936880295
A0A140FW43,0.4914007697589103,1.3205452967123397,,,,
A0A140FW57,,,0.5198995707798566,2.392247947877418,0.34374360513438235,1.5568684272763689
A0A140FW85,,,2.0748759187581003,2.1270982942078827,,
A0A140FW92,-1.3766672352493763,1.469564496935225,-2.066906974718848,1.977236376940058,-1.7301974710209929,1.7579187401731844
A0A140FWA4,,,0.9950471437976489,4.124773221381436,0.767427636196476,1.3938133873322018
A0A140FWC7,,,,,0.7038634791399061,1.9977650415520882
A0A140FWJ4,0.3321496526873882,1.7121332706393493,,,,
A0A140FWK7,-0.6731572024040605,2.401289133182253,,,,
A0A140FWL3,-0.7572905392597267,2.1950627980050634,,,,
A0A140FWP7,-0.903209132288816,3.3482848863970087,-0.8208066436225399,2.6981364879658085,-1.1761825413481302,1.8438787081808166
A0A140FWQ2,-2.2627979130320166,3.414075304975573,,,-5.262626353211975,6.9660002612671645
A0A140FWQ5,0.6085608058450765,1.6001260205800023,0.856453734514909,3.6475945954492213,0.8079406255658181,4.400996285914562
A0A140FWQ8,0.6695242884249064,2.437484794979838,0.4763568787005739,1.4411622151722305,0.554885440985559,1.8528206424109264
A0A140FWR3,-1.5134434093469906,1.4932603203995056,,,,
A0A140FWS3,-0.10549687574282834,2.4538344362962863,,,,
EF_1364,0.5277845927904774,1.732478241419695,,,0.4484571129135546,2.6498300505187844
MM_1762,0.4820077143992789,1.7873842720017221,,,,
PP_0005,,,0.4393716017215961,2.276376635019754,,
PP_0006,,,,,0.3157601780787009,2.446409930075549
PP_0013,,,-0.2749963854495339,2.185783644990655,,
PP_0017,-0.5412668593845388,4.3957185411426805,-0.5795464310338183,5.253540384400193,-0.6412623865172381,3.9033075922123097
PP_0018,,,0.28379124710365766,6.004602695525935,0.3321491557015356,2.32921846235002
PP_0020,1.3340342159323375,3.1548355657155245,1.4792788831825425,4.145123636397091,,
PP_0030,,,1.1432562761635703,5.831089575846919,,
PP_0060,,,-0.08982890997811464,1.3762552645099209,,
PP_0067,,,,,-0.4543379065543689,2.0199307116357965
PP_0072,0.33265756847281347,1.4665843581850284,,,,
PP_0074,,,,,0.5930937013578171,3.328617350763834
PP_0082,,,-0.12082048101988477,3.9938828749360162,-0.14199587845493278,4.55849703076457
PP_0083,,,-0.3837663817763466,3.1930138622785753,-0.3891275382362089,2.0185507129198657
PP_0089,,,-4.299878829950094,3.8213227583702802,-3.9631676420180977,3.7752015042243943
PP_0091,1.0275278658169078,3.4680250305882714,0.4974482455682094,1.5832583976784491,0.58517486608498,2.2792847171207753
PP_0096,0.27918847664219143,1.5932410137556725,0.39723525245174224,2.495707176935613,0.3550919415152641,3.1377231038001883
PP_0100,-0.38840781062446716,4.3054493965658205,-0.19066240762354278,1.9322786489231312,-0.20834770660518945,2.5081312857286497
PP_0111,,,-0.5832970261246438,2.2146752982989257,-0.43116513550037483,1.629872989215323
PP_0112,0.3766974559774636,2.0767645767183005,,,0.3883639862224922,1.8688900234651733
PP_0116,0.30915624208229203,2.701663660461825,0.1554410235985133,1.3360851832678255,0.22332521441620012,1.3741468202219735
PP_0120,1.2878897754750798,1.640932125321895,,,,
PP_0123,0.5207019398600925,3.0724353896766896,0.5445124490050438,2.4754567969342935,0.4327682592866461,2.192405216504323
PP_0126,1.1747832780745084,1.3069282050819846,,,,
PP_0127,,,0.24585334371521692,2.2550917609078187,,
PP_0139,0.4882213735156166,2.6400162709261403,,,,
PP_0140,0.5468430281385323,1.3419760784752321,,,,
PP_0154,0.565712032336714,1.6868477013272252,,,,
PP_0155,,,,,3.647937815537617,1.4153331554657251
PP_0165,,,,,1.2266293549433207,1.5540622391432093
PP_0166,0.3517460734837037,2.63795668694336,,,0.6949832990642048,5.645865913163423
PP_0167,,,0.2664442269640903,1.3532097620355392,0.3919323776853496,1.359576983804388
PP_0168,-1.9468053769381375,2.499060607705667,-2.499063189801318,2.755064244703575,,
PP_0182,-0.5293036283183236,1.658600415000016,,,,
PP_0183,,,0.4246875337853539,3.458965695567805,,
PP_0184,-0.22869143839274536,3.748146130958319,,,-0.12831326036770296,1.4841192384863742
PP_0185,0.329851596606123,3.2109529696557506,,,,
PP_0186,0.33734667955915315,2.819803660979164,,,,
PP_0188,0.23098990873673866,1.7238737929619024,,,,
PP_0189,0.22777745383124318,1.7535631398055422,0.3932882417529331,6.299896769171627,0.39232285408042483,4.127983680702231
PP_0191,,,0.5024526015450327,1.9539618658583948,0.7545109412556404,1.4894507550212892
PP_0202,0.7963484336046204,4.740988686494053,,,,
PP_0203,0.4743960462471388,1.379015647344911,0.6544311908810795,2.3664970398303544,0.4439988535939987,1.3194765877987786
PP_0213,-0.41524784337244436,2.105678038341385,,,,
PP_0228,0.3302099794741562,1.3096619889604737,,,,
PP_0234,,,0.5175904973312687,2.3988959517359256,0.40030141255726626,7.2496673758526144
PP_0258,0.6332580331656129,1.5320402680570446,,,,
PP_0268,,,0.24195607550690668,1.4576935840319174,0.16060931486334473,1.8740745349351304
PP_0282,0.6336273350875395,3.068229706041965,0.7350860580223111,1.6531771240446063,0.7239180113265057,3.734959878747274
PP_0287,,,,,0.9606019584217679,1.366815017172664
PP_0292,,,0.09101556932629043,1.5685013733373812,0.12990938590669,1.777530248502485
PP_0296,0.8091228156151729,6.385909024191393,,,,
PP_0299,,,2.445084325230617,1.6225711076541245,,
PP_0318,,,-2.899304408742281,2.9188446052637014,,
PP_0333,-0.7431716283624723,2.081463727359971,,,,
PP_0335,1.3932208354594044,4.344379912274153,,,,
PP_0336,0.29762771041141606,4.045706056126788,,,,
PP_0338,-0.20716051032023683,1.7234832692794233,,,-0.39556650589456305,2.9141685401962554
PP_0339,-0.1475712222591376,2.671887837862415,-0.1929777274273097,3.9972186134825884,-0.24261823568181778,3.606246972985746
PP_0340,,,,,-0.27314876751132405,1.3173455999342536
PP_0341,0.6555879189477063,1.496784969340301,,,,
PP_0343,,,,,0.7239293940006061,1.8994469322965768
PP_0346,-0.49528641705522936,2.212861068699244,,,,
PP_0353,,,1.3956235568835889,1.8894898635589965,1.4700766323858225,2.608999596650994
PP_0354,0.6748809657956336,2.18738086471601,1.349392247428143,2.8377668053041063,1.2363044357654813,5.762832237818896
PP_0356,-0.22959108778759182,1.460915954650931,,,,
PP_0357,,,-1.0226896798791811,1.6267613884508236,,
PP_0359,0.7969272518670961,1.8902069382535298,-0.7143544457776919,1.5402630508676163,,
PP_0363,2.114183648650985,2.2541991845415787,2.9754498349581397,3.0663727582309295,2.1675232252372765,1.8591373557497382
PP_0364,,,,,2.733086839895918,4.501795979911087
PP_0368,-5.727617989975775,10.672770275288846,-6.450537255338268,10.54187198570456,-6.100864410846384,10.607265392839574
PP_0372,,,,,1.7869301108133235,2.92951730308954
PP_0375,-2.4247098246237995,3.8668495638402596,-1.8084051963114618,3.45639859320159,-1.4659532110773754,2.6736515613896046
PP_0376,-1.367680316286257,2.7601288217411537,-3.2194084382272785,2.3052780504269004,-2.935032008288039,2.0104246790126994
PP_0378,-1.6396660661017355,3.1983239204007843,-1.5388720857347868,8.584698971384803,-1.6505047124662993,8.927387629930113
PP_0379,-1.1686586811278652,2.21055534092049,-0.7377813765932044,1.9663521899199126,-1.2862171373112876,7.936407749236102
PP_0389,-0.45833987347777344,1.3459281917738848,-0.2589950026786428,3.580601281978067,-0.30372110547484726,1.3421989030136692
PP_0399,,,0.4166214380921513,2.014299102735489,0.546787523974482,3.154938008690194
PP_0401,,,1.1836892339194491,2.6367674445520595,,
PP_0405,0.33810575640175,2.081331693108363,,,,
PP_0406,0.8059070933003758,1.4149948664548728,,,,
PP_0412,0.8293111063784908,1.4061875220756335,,,,
PP_0417,-0.2630429920418627,1.9535643466770132,-0.24711418126880566,4.6711402354821,,
PP_0420,-0.510900293620433,1.4166250789018564,-0.808979814865774,6.4943789663363996,-0.626998244851604,6.7368101605843576
PP_0421,-0.2825219773956528,2.595650828874027,,,,
PP_0422,-0.13676953878373496,2.6591643644825855,-0.12497881528627781,2.236453331929172,0.1968218321696493,2.1764124668084066
PP_0427,1.6592724044016312,2.5965935031360425,,,1.8588039197901514,1.9999201397411364
PP_0428,0.4272389446236254,1.8713040966046028,-0.48973468337696563,1.6163350344264975,-0.3304279353665748,1.480158998374116
PP_0430,1.1000242645392762,1.8521479612170608,,,,
PP_0432,0.246597454148064,1.7058906050848346,-0.31731113151546325,1.3062974645513492,-0.2425664324118282,1.4552823975239
PP_0436,-0.07261717360121808,1.4225007671680021,,,0.06658570551462238,2.08796663088509
