Line Name,Measurement Type,Time,Value,Units
PP_0897-R1,Total Biomass Input,0.010555556,3.58,n/a
PP_0897-R1,Total Biomass Input,0.177222222,3.56,n/a
PP_0897-R1,Total Biomass Input,0.343888889,3.55,n/a
PP_0897-R1,Total Biomass Input,0.510555556,3.49,n/a
PP_0897-R1,Total Biomass Input,0.677222222,3.53,n/a
PP_0897-R1,Total Biomass Input,0.843888889,3.52,n/a
PP_0897-R1,Total Biomass Input,1.010555556,3.51,n/a
PP_0897-R1,Total Biomass Input,1.177222222,3.49,n/a
PP_0897-R1,Total Biomass Input,1.343888889,3.53,n/a
PP_0897-R1,Total Biomass Input,1.510555556,3.52,n/a
PP_0897-R1,Total Biomass Input,1.677222222,3.51,n/a
PP_0897-R1,Total Biomass Input,1.843888889,3.53,n/a
PP_0897-R1,Total Biomass Input,2.010555556,3.53,n/a
PP_0897-R1,Total Biomass Input,2.177222222,3.54,n/a
PP_0897-R1,Total Biomass Input,2.343888889,3.55,n/a
PP_0897-R1,Total Biomass Input,2.510555556,3.55,n/a
PP_0897-R1,Total Biomass Input,2.677222222,3.58,n/a
PP_0897-R1,Total Biomass Input,2.843888889,3.6,n/a
PP_0897-R1,Total Biomass Input,3.010555556,3.58,n/a
PP_0897-R1,Total Biomass Input,3.177222222,3.58,n/a
PP_0897-R1,Total Biomass Input,3.343888889,3.62,n/a
PP_0897-R1,Total Biomass Input,3.510555556,3.64,n/a
PP_0897-R1,Total Biomass Input,3.677222222,3.65,n/a
PP_0897-R1,Total Biomass Input,3.843888889,3.66,n/a
PP_0897-R1,Total Biomass Input,4.010555556,3.69,n/a
PP_0897-R1,Total Biomass Input,4.177222222,3.72,n/a
PP_0897-R1,Total Biomass Input,4.343888889,3.73,n/a
PP_0897-R1,Total Biomass Input,4.510555556,3.8,n/a
PP_0897-R1,Total Biomass Input,4.677222222,3.8,n/a
PP_0897-R1,Total Biomass Input,4.843888889,3.8,n/a
PP_0897-R1,Total Biomass Input,5.010555556,3.86,n/a
PP_0897-R1,Total Biomass Input,5.177222222,3.86,n/a
PP_0897-R1,Total Biomass Input,5.343888889,3.89,n/a
PP_0897-R1,Total Biomass Input,5.510555556,3.89,n/a
PP_0897-R1,Total Biomass Input,5.677222222,3.97,n/a
PP_0897-R1,Total Biomass Input,5.843888889,3.97,n/a
PP_0897-R1,Total Biomass Input,6.010555556,4.05,n/a
PP_0897-R1,Total Biomass Input,6.177222222,4.05,n/a
PP_0897-R1,Total Biomass Input,6.343888889,4.12,n/a
PP_0897-R1,Total Biomass Input,6.510555556,4.23,n/a
PP_0897-R1,Total Biomass Input,6.677222222,4.22,n/a
PP_0897-R1,Total Biomass Input,6.843888889,4.26,n/a
PP_0897-R1,Total Biomass Input,7.010555556,4.31,n/a
PP_0897-R1,Total Biomass Input,7.177222222,4.39,n/a
PP_0897-R1,Total Biomass Input,7.343888889,4.43,n/a
PP_0897-R1,Total Biomass Input,7.510555556,4.6,n/a
PP_0897-R1,Total Biomass Input,7.693611111,4.56,n/a
PP_0897-R1,Total Biomass Input,7.860277778,4.76,n/a
PP_0897-R1,Total Biomass Input,8.026944444,4.77,n/a
PP_0897-R1,Total Biomass Input,8.193611111,4.9,n/a
PP_0897-R1,Total Biomass Input,8.360277778,4.95,n/a
PP_0897-R1,Total Biomass Input,8.526944444,5.03,n/a
PP_0897-R1,Total Biomass Input,8.693611111,5.06,n/a
PP_0897-R1,Total Biomass Input,8.860277778,5.17,n/a
PP_0897-R1,Total Biomass Input,9.026944444,5.27,n/a
PP_0897-R1,Total Biomass Input,9.193611111,5.4,n/a
PP_0897-R1,Total Biomass Input,9.360277778,5.51,n/a
PP_0897-R1,Total Biomass Input,9.526944444,5.71,n/a
PP_0897-R1,Total Biomass Input,9.693611111,5.73,n/a
PP_0897-R1,Total Biomass Input,9.860277778,5.79,n/a
PP_0897-R1,Total Biomass Input,10.02694444,5.86,n/a
PP_0897-R1,Total Biomass Input,10.19361111,6.09,n/a
PP_0897-R1,Total Biomass Input,10.36027778,6.14,n/a
PP_0897-R1,Total Biomass Input,10.52694444,6.43,n/a
PP_0897-R1,Total Biomass Input,10.69361111,6.41,n/a
PP_0897-R1,Total Biomass Input,10.86027778,6.7,n/a
PP_0897-R1,Total Biomass Input,11.02694444,6.88,n/a
PP_0897-R1,Total Biomass Input,11.19361111,6.8,n/a
PP_0897-R1,Total Biomass Input,11.36027778,6.81,n/a
PP_0897-R1,Total Biomass Input,11.52694444,6.98,n/a
PP_0897-R1,Total Biomass Input,11.69361111,7.31,n/a
PP_0897-R1,Total Biomass Input,11.86027778,7.39,n/a
PP_0897-R1,Total Biomass Input,12.02694444,7.5,n/a
PP_0897-R1,Total Biomass Input,12.19361111,7.61,n/a
