Line Name,Measurement Type,Time,Value,Units
Control-R13,Total Biomass Input,0.010277778,3.51,n/a
Control-R13,Total Biomass Input,0.176666667,3.5,n/a
Control-R13,Total Biomass Input,0.343333333,3.47,n/a
Control-R13,Total Biomass Input,0.51,3.48,n/a
Control-R13,Total Biomass Input,0.676666667,3.52,n/a
Control-R13,Total Biomass Input,0.843333333,3.51,n/a
Control-R13,Total Biomass Input,1.01,3.52,n/a
Control-R13,Total Biomass Input,1.176666667,3.47,n/a
Control-R13,Total Biomass Input,1.343333333,3.49,n/a
Control-R13,Total Biomass Input,1.51,3.51,n/a
Control-R13,Total Biomass Input,1.676666667,3.49,n/a
Control-R13,Total Biomass Input,1.843333333,3.52,n/a
Control-R13,Total Biomass Input,2.01,3.46,n/a
Control-R13,Total Biomass Input,2.176666667,3.5,n/a
Control-R13,Total Biomass Input,2.343333333,3.46,n/a
Control-R13,Total Biomass Input,2.51,3.47,n/a
Control-R13,Total Biomass Input,2.676666667,3.51,n/a
Control-R13,Total Biomass Input,2.843333333,3.5,n/a
Control-R13,Total Biomass Input,3.01,3.52,n/a
Control-R13,Total Biomass Input,3.176666667,3.52,n/a
Control-R13,Total Biomass Input,3.343333333,3.53,n/a
Control-R13,Total Biomass Input,3.51,3.54,n/a
Control-R13,Total Biomass Input,3.676666667,3.57,n/a
Control-R13,Total Biomass Input,3.843333333,3.6,n/a
Control-R13,Total Biomass Input,4.01,3.59,n/a
Control-R13,Total Biomass Input,4.176666667,3.69,n/a
Control-R13,Total Biomass Input,4.343333333,3.72,n/a
Control-R13,Total Biomass Input,4.51,3.74,n/a
Control-R13,Total Biomass Input,4.676666667,3.74,n/a
Control-R13,Total Biomass Input,4.843333333,3.79,n/a
Control-R13,Total Biomass Input,5.01,3.85,n/a
Control-R13,Total Biomass Input,5.176666667,3.87,n/a
Control-R13,Total Biomass Input,5.343333333,3.94,n/a
Control-R13,Total Biomass Input,5.51,3.97,n/a
Control-R13,Total Biomass Input,5.676666667,4.04,n/a
Control-R13,Total Biomass Input,5.843333333,4.05,n/a
Control-R13,Total Biomass Input,6.01,4.14,n/a
Control-R13,Total Biomass Input,6.176666667,4.14,n/a
Control-R13,Total Biomass Input,6.343333333,4.2,n/a
Control-R13,Total Biomass Input,6.51,4.34,n/a
Control-R13,Total Biomass Input,6.676666667,4.37,n/a
Control-R13,Total Biomass Input,6.843333333,4.34,n/a
Control-R13,Total Biomass Input,7.01,4.42,n/a
Control-R13,Total Biomass Input,7.176666667,4.44,n/a
Control-R13,Total Biomass Input,7.343333333,4.64,n/a
Control-R13,Total Biomass Input,7.51,4.69,n/a
Control-R13,Total Biomass Input,7.676666667,4.72,n/a
Control-R13,Total Biomass Input,7.843333333,4.86,n/a
Control-R13,Total Biomass Input,8.01,4.69,n/a
Control-R13,Total Biomass Input,8.176666667,4.82,n/a
Control-R13,Total Biomass Input,8.343333333,4.97,n/a
Control-R13,Total Biomass Input,8.51,5.09,n/a
Control-R13,Total Biomass Input,8.676666667,5.1,n/a
Control-R13,Total Biomass Input,8.843333333,5.17,n/a
Control-R13,Total Biomass Input,9.01,5.32,n/a
Control-R13,Total Biomass Input,9.176666667,5.54,n/a
Control-R13,Total Biomass Input,9.343333333,5.45,n/a
Control-R13,Total Biomass Input,9.51,5.53,n/a
Control-R13,Total Biomass Input,9.676666667,5.72,n/a
Control-R13,Total Biomass Input,9.843333333,5.96,n/a
Control-R13,Total Biomass Input,10.01,5.81,n/a
Control-R13,Total Biomass Input,10.17666667,5.98,n/a
Control-R13,Total Biomass Input,10.34333333,6.03,n/a
Control-R13,Total Biomass Input,10.51,6.24,n/a
Control-R13,Total Biomass Input,10.67666667,6.2,n/a
Control-R13,Total Biomass Input,10.84333333,6.39,n/a
Control-R13,Total Biomass Input,11.01,6.56,n/a
Control-R13,Total Biomass Input,11.17666667,6.75,n/a
Control-R13,Total Biomass Input,11.34333333,6.58,n/a
Control-R13,Total Biomass Input,11.51,7,n/a
Control-R13,Total Biomass Input,11.67666667,7.11,n/a
Control-R13,Total Biomass Input,11.84333333,7.41,n/a
Control-R13,Total Biomass Input,12.01,7.11,n/a
Control-R13,Total Biomass Input,12.17666667,7.66,n/a
Control-R13,Total Biomass Input,12.34333333,7.46,n/a
Control-R13,Total Biomass Input,12.51,7.74,n/a
Control-R13,Total Biomass Input,12.67666667,7.92,n/a
Control-R13,Total Biomass Input,12.84333333,8.21,n/a
Control-R13,Total Biomass Input,13.01,8.48,n/a
Control-R13,Total Biomass Input,13.17666667,8.61,n/a
Control-R13,Total Biomass Input,13.34333333,8.13,n/a
Control-R13,Total Biomass Input,13.51,8.03,n/a
