Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval
PP_0061,0.17609747030307324,4.6069426461728495
PP_0067,0.527253290428769,6.229112305578347
PP_0154,2.4549872665790677,5.559882396009903
PP_0194,-0.30935475047825817,4.732338846001065
PP_0227,0.5824519717213965,7.11839779653066
PP_0268,0.33012931347686175,5.968863333335621
PP_0288,-1.0555331594359074,5.191350991520555
PP_0347,0.5854700014974897,5.236519828061189
PP_0368,-5.953263582241602,14.422672785141955
PP_0375,-3.514011333820903,5.324694659433624
PP_0376,-3.8237288443790742,5.562935865319381
PP_0378,-2.1598544256578682,7.25875526347752
PP_0379,-3.0963074116198808,6.67587243668998
PP_0483,-0.16789050836782876,4.468408518887076
PP_0786,0.3093934728182928,6.041656441914557
PP_0868,0.7349969767125815,6.438331336594361
PP_1186,-0.7052804573507159,6.32009717949015
PP_1187,-1.0279924200012693,6.565935008501364
PP_1246,1.486676246453761,5.73497729107817
PP_1251,0.5229136418263234,5.212140124320316
PP_1298,0.4194570532176946,5.087988945458042
PP_1325,0.35694651686590745,5.55788086987238
PP_1338,0.42265477448527566,4.698200486529262
PP_1766,-2.844831626302871,5.741951342600495
PP_1785,0.4570551999450698,10.50954219498031
PP_2032,1.155220534631367,5.326948243072665
PP_2233,-0.9765348869475402,4.387136293715039
PP_2258,1.5431112374489626,7.108529428877656
PP_2277,-2.165715504489679,5.26010520224504
PP_2324,-0.3162868768198538,5.916203113743353
PP_2341,-3.8336440623695083,4.435675775998944
PP_2528,1.0257223890509737,5.893287223739148
PP_2536,1.1346073255165037,4.577754187223448
PP_2663,-5.4365131049859,5.784603781077585
PP_2664,-3.7576630983899055,4.336990224865017
PP_2665,-4.152444078588425,5.788129708196082
PP_2666,-3.49479563460239,6.104022138965882
PP_2668,-5.363619856281596,5.563852088227823
PP_2669,-3.145313571209205,4.483631494372207
PP_2674,-4.562503146538625,5.995299353849889
PP_2680,-5.376297790025749,5.82599712237068
PP_2905,0.32601940414896596,6.726289827122832
PP_3019,-0.4881082614325063,4.35731156220201
PP_3415,-1.1611724145081739,4.657602801776653
PP_3441,0.7655283788956389,6.528099136319164
PP_3508,0.2914988360092623,7.712400843804843
PP_3755,-1.844389325014076,4.885812167943989
PP_3834,-1.5699265597929468,9.05517541692192
PP_4012,0.6325530345613293,5.897982626179726
PP_4116,-3.3689248841834445,5.104846734551382
PP_4121,0.20202178542786023,5.003694148024919
PP_4185,-1.2198911065534812,8.738603336187518
PP_4186,-1.1997811039515838,13.407152670139684
PP_4255,-2.1154147198599875,5.201577866047959
PP_4258,-2.4804981072027052,4.715645859883028
PP_4487,-1.346086177214297,5.383297078254001
PP_4639,0.2336295233489955,4.381996864456812
PP_4684,0.18120884963032502,6.343775186003555
PP_4713,0.32506352759817775,7.974291834206426
PP_4723,0.17998499557362485,7.236503780524802
PP_4726,0.4259300793348122,8.635976556258177
PP_4834,2.0409523844661637,5.005473006736843
PP_4863,-1.8662824628837773,4.596662048737332
PP_4891,0.2067085584028471,8.273623623619606
PP_4980,-0.38773354818337213,5.814596083270547
PP_5000,0.30040018785725625,5.11618339045969
PP_5311,0.2627004946374132,4.620009210619496
