strain,value
PP_0815_PP_1506_PP_2136,264.9655
PP_0751_PP_0815_PP_4120,264.2251
PP_0106,129.05213
PP_0813_PP_4549_PP_5288,263.1303
PP_0813_PP_4120,263.0201
PP_0106,111.18153
PP_0814_PP_1769,261.7689
PP_0813_PP_4549_PP_5288,260.9043
PP_0751_PP_0815_PP_1506,260.1399
PP_0368_PP_4189_PP_4192,259.6985
PP_0368_PP_1769,257.751
PP_0168,211.9504
PP_4120_PP_4189_PP_4192,256.7013
PP_0368_PP_4191_PP_4192,256.3658
PP_0812_PP_1769,255.6562
PP_0168,201.45567
PP_0168,175.45973
PP_0437_PP_4189,255.5091
PP_0751_PP_0815_PP_4120,255.2075
PP_0368_PP_4189_PP_4192,255.0387
PP_0368_PP_0814_PP_0815_PP_1769,255.0127
PP_0225,141.71733
PP_0751_PP_0813_PP_0814,254.7543
PP_0368_PP_0528_PP_0751_PP_0815,254.7201
PP_0225,112.46604
PP_0225,104.96498
PP_0751_PP_0814_PP_4120_PP_4192,253.5106
PP_1769_PP_4192,253.1558
PP_0226,142.40009
PP_0813_PP_1769_PP_4191,252.3807
PP_0815_PP_1317_PP_4192,252.1737
PP_0368_PP_0815_PP_1769,251.953
PP_0226,139.02969
PP_0812_PP_4191,251.2206
PP_0812_PP_4191,250.4297
PP_0812_PP_4121,250.2044
PP_0813_PP_1769_PP_4191,249.9867
PP_0226,137.47671
PP_0277,133.71956
PP_0277,130.34658
PP_0368_PP_0815_PP_1769,248.2446
PP_0437_PP_1769,248.0365
PP_0437_PP_0751_PP_4191,247.9821
PP_0813_PP_1769,247.6574
PP_0812_PP_1769,247.36
PP_0437_PP_3365,247.0341
PP_2339_PP_4186,246.8041
PP_0277,115.91716
PP_0812_PP_4191,246.2904
PP_0338,218.29627
PP_2339_PP_4186,245.7369
PP_1769_PP_4192,245.7129
PP_0814_PP_0815_PP_1769,245.7095
PP_0751_PP_0814_PP_4120_PP_4192,245.6833
PP_0368_PP_0815_PP_1769,245.5413
PP_0751_PP_0815_PP_1506,245.3584
PP_0751_PP_0813_PP_0814,245.253
PP_0813_PP_1769_PP_4191,244.7739
PP_0338,212.999
PP_0437_PP_3365,244.0988
PP_0368_PP_0812_PP_0815_PP_1769,243.8465
PP_0815_PP_1317_PP_4191,243.7979
PP_0813_PP_1769,243.7555
PP_1317_PP_4189,243.5516
PP_0815_PP_1317_PP_2136,243.3616
PP_0814_PP_4189,242.9581
PP_4120_PP_4189_PP_4192,242.8116
PP_0338,203.161
PP_0813_PP_4549_PP_5288,242.4518
PP_0362,225.55467
PP_2136_PP_4189,242.3637
PP_0362,218.51027
PP_0751_PP_0814_PP_4120_PP_4192,242.2584
PP_0362,203.3036
PP_0751_PP_0814_PP_1769,241.3749
PP_0528_PP_0814_PP_4191,241.0897
PP_0368,246.3242
PP_0813_PP_1769_PP_4189,240.796
PP_2136_PP_4189,240.306
PP_0368_PP_1769,240.2485
PP_0815_PP_1317_PP_1769,239.9988
PP_0437_PP_3365,239.6084
PP_0368,236.6698
PP_0751_PP_1769_PP_4189,238.6056
PP_0813_PP_1769_PP_4189,238.3752
PP_0658_PP_2136,237.9586
PP_0368_PP_4189_PP_4192,237.7362
PP_0751_PP_0814_PP_1769,237.3193
PP_0368,227.0476
PP_0368_PP_0528_PP_0751_PP_0815,236.3725
PP_1317_PP_4189,236.1831
PP_0437,242.27493
PP_0437,234.11313
PP_0437_PP_0751_PP_4191,235.628
PP_0815_PP_1317_PP_4191,234.6123
PP_0437,200.386
PP_0528,402.64727
PP_0528,393.75147
PP_1769_PP_4192,233.7951
PP_0813_PP_1769,233.6436
PP_4122_PP_4188,233.6288
PP_0813_PP_4120,233.308
PP_0368_PP_0812_PP_0815_PP_1769,232.7861
PP_0751_PP_0815_PP_1506,232.7355
PP_0528,384.7004
PP_0814_PP_4191,232.309
PP_0814_PP_4191,231.5655
PP_0528_PP_0814_PP_4191,231.5226
PP_0528_PP_0815_PP_1317_PP_4191,231.2863
PP_0368_PP_0812_PP_0815,231.2582
PP_0548,314.68627
PP_0437_PP_1769,230.0272
PP_1769_PP_2136,229.7548
PP_0751_PP_2136,229.7295
PP_2339_PP_4186,229.6977
PP_2137_PP_4116_PP_4187,229.4077
PP_0814_PP_0815_PP_1769,229.261
PP_0528_PP_0814_PP_4191,229.2196
PP_2112_PP_2136_PP_4678,228.8024
PP_0812_PP_1769,228.6812
PP_0548,314.28353
PP_4122_PP_4188,228.5821
PP_0813_PP_4189_PP_4191,227.559
PP_4120_PP_4189_PP_4192,227.394
PP_0368_PP_0812_PP_0815,227.1785
PP_0528_PP_0815_PP_1317_PP_4191,227.172
PP_0548,285.7046
PP_0368_PP_0812_PP_0815_PP_1769,226.6956
PP_1769_PP_2136,226.6409
PP_0368_PP_0597,226.0975
PP_0658_PP_2136,226.0873
PP_2137_PP_4116_PP_4187,226.0662
PP_0582,168.45647
PP_0582,164.4934
PP_0368_PP_1769,225.5437
PP_1444_PP_4189_PP_4191,224.9948
PP_0528_PP_0815_PP_1317_PP_4191,224.891
PP_0813_PP_4189_PP_4191,224.7879
PP_0582,163.4768
PP_0751_PP_0813_PP_0814,224.0777
PP_0368_PP_0751_PP_0815_PP_4120,223.6769
PP_0368_PP_0812_PP_0815,223.5996
PP_0368_PP_0814_PP_0815_PP_1769,223.4386
PP_1769_PP_2136,223.4237
PP_0437_PP_1769,223.1004
PP_0597,179.24307
PP_0751_PP_1769_PP_4189,222.7789
PP_2137_PP_4116_PP_4187,222.7008
PP_1769_PP_4192,222.4412
PP_0597,158.95087
PP_0368_PP_0814_PP_0815_PP_1769,222.281
PP_1444_PP_4189_PP_4191,221.8841
PP_0597,153.19473
PP_0368_PP_0815_PP_1317,221.4962
PP_0654,116.22133
PP_0815_PP_1769_PP_4189,221.2313
PP_0751_PP_0812_PP_0815_PP_1506,221.2184
PP_0751_PP_1769_PP_4189,221.116
PP_0815_PP_4120,220.4355
PP_0654,111.65689
PP_4122_PP_4188,219.8197
PP_0751_PP_0812_PP_0815_PP_1506,219.5499
PP_0437_PP_0751_PP_4191,219.1014
PP_0658_PP_2136,218.8897
PP_0368_PP_0814_PP_0815_PP_1506,218.8145
PP_2112_PP_2136_PP_4678,218.7952
PP_0654,110.61244
PP_0658,147.18827
PP_0658,124.49209
PP_0658,118.57164
PP_0368_PP_0751_PP_0815_PP_4120,217.9585
PP_0368_PP_1506,217.7908
PP_0814_PP_0815_PP_1769,216.942
PP_2112_PP_4188_PP_4862,216.697
PP_0751_PP_2136,216.5884
PP_0812_PP_2095,216.4155
PP_0691,175.90227
PP_0368_PP_1769,216.0037
PP_0751_PP_0812_PP_0815_PP_1506,215.5602
PP_0751_PP_0814_PP_0815_PP_1769,214.8926
PP_0691,158.04253
PP_0691,131.16233
PP_0751,214.10044
PP_0814_PP_4862,213.8641
PP_0751_PP_0814_PP_0815_PP_1769,213.8424
PP_0751_PP_2136,213.8293
PP_0815_PP_1317_PP_1769,213.7936
PP_0226_PP_0897_PP_5288,213.605
PP_0751_PP_4120,213.0452
PP_0751,212.71467
PP_0751_PP_0812_PP_0815_PP_1769,212.9101
PP_0368_PP_0751_PP_0815_PP_4120,212.8255
PP_0368_PP_0814_PP_0815_PP_1506,212.8029
PP_0751,206.26133
PP_0774,148.55953
PP_0814_PP_4191,212.3347
PP_0774,143.4392
PP_0368_PP_0813_PP_0815_PP_1506,211.8573
PP_0774,134.98473
PP_0806,220.38507
PP_0751_PP_1620_PP_4678,211.3543
PP_1444_PP_4189_PP_4191,210.4115
PP_0751_PP_0815_PP_1317,210.1534
PP_2112_PP_4188_PP_4862,209.9265
PP_0751_PP_0815_PP_1317,209.5857
PP_0368_PP_1506,209.275
PP_0368_PP_0815_PP_1317,209.2618
PP_0812_PP_2095,208.9439
PP_0815_PP_4120,208.9126
PP_0806,211.7644
PP_0751_PP_0815_PP_4191,208.7299
PP_0806,204.0776
PP_1319_PP_4121_PP_4667,208.5925
PP_0751_PP_0812_PP_0815_PP_1769,208.5632
PP_0751_PP_1317,208.302
PP_0813_PP_1769_PP_4189,208.1807
PP_0368_PP_0813_PP_0815_PP_1506,208.0971
PP_0368_PP_0813_PP_0815_PP_1506,208.0951
PP_0751_PP_4120,208.0717
PP_0813_PP_0814_PP_4191,208.0058
PP_0812,255.52187
PP_0812_PP_2095,207.7021
PP_1769_PP_2136,207.2529
PP_2112_PP_2136_PP_4678,207.1785
PP_0815_PP_4120,206.8806
PP_2471_PP_3754_PP_4667,206.781
PP_0751_PP_0815_PP_4191,206.4391
PP_0815_PP_1506_PP_1769,206.4389
PP_0751_PP_0815_PP_1317,206.3506
PP_0812,252.7312
PP_2112_PP_4188_PP_4862,206.0343
PP_0751_PP_1620_PP_4678,205.7129
PP_0815_PP_1769_PP_4189,205.6292
PP_0751_PP_0815_PP_1317,205.4936
PP_0368_PP_0814_PP_0815_PP_1506,205.4691
PP_0751_PP_0815_PP_4191,205.3029
PP_0528_PP_0815_PP_1317_PP_4191,205.0037
PP_0999_PP_3578_PP_5186,204.606
PP_0815_PP_1506_PP_4191,204.5764
PP_0815_PP_1506_PP_4191,204.491
PP_0813_PP_0814_PP_4191,204.4867
PP_0812,251.68627
PP_0751_PP_0814_PP_0815_PP_1769,204.2853
PP_0812,249.00007
PP_0815_PP_4191,203.6021
PP_0815_PP_1769_PP_4189,203.4286
PP_0812,231.1432
PP_0751_PP_0812_PP_0815_PP_1769,203.2051
PP_0812,224.54833
PP_0813,359.93587
PP_0813,354.33373
PP_1506_PP_1769,202.637
PP_0999_PP_4679,202.5037
PP_0774_PP_1769,202.4628
PP_0528_PP_0815_PP_1317_PP_4191,202.3802
PP_0813,256.74173
PP_0368_PP_0815_PP_1317,202.1898
PP_2471_PP_3754_PP_4667,201.9986
PP_0751_PP_0814_PP_1769_PP_4192,201.9422
PP_0528_PP_0815_PP_1317_PP_4191,201.9179
PP_0751_PP_1769_PP_4189,201.8366
PP_1319_PP_4678,201.7636
PP_0815_PP_1506_PP_1769,201.6886
PP_0813,222.43527
PP_0813,216.197
PP_0815_PP_1317_PP_4191,201.2524
PP_0999_PP_3578_PP_5186,200.9228
PP_0813,197.1834
PP_2136_PP_4189,199.9175
PP_1506_PP_1769,199.7352
PP_0814,345.55767
PP_0814,306.44507
PP_0368_PP_0751_PP_0815_PP_1769,199.2013
PP_0815_PP_1506_PP_4191,198.8819
PP_0814,285.185
PP_0815,272.805
PP_0751_PP_0815_PP_1317,198.4153
PP_0815,255.54267
PP_1769_PP_2136,198.1442
PP_1319_PP_4121_PP_4667,197.9233
PP_0815,248.58573
PP_1319_PP_4678,197.7402
PP_1506_PP_4189_PP_4192,197.7283
PP_2471_PP_3754_PP_4667,197.6125
PP_2137_PP_4011_PP_4120,197.2195
PP_0897,99.26756
PP_0368_PP_0751_PP_0815_PP_1769,197.0523
PP_0751_PP_1769_PP_4189,197.0295
PP_0813_PP_4189_PP_4191,196.9982
PP_1319_PP_4678,196.9403
PP_0751_PP_1769_PP_4189,196.703
PP_0897,95.33156
PP_0999_PP_4679,196.4409
PP_0813_PP_1506,196.1274
PP_0999_PP_4679,196.0914
PP_0751_PP_0814_PP_1506_PP_4120,196.0708
PP_0897,90.75911
PP_0944,100.96711
PP_0944,98.896
PP_0368_PP_0751_PP_0815_PP_1769,195.5156
PP_0774_PP_1769,195.3561
PP_2213_PP_2471_PP_4266,194.9071
PP_0437_PP_1769,194.8278
PP_0751_PP_0814_PP_1769,194.8207
PP_0944,94.11111
PP_0999,150.51333
PP_0999,149.47167
PP_0999,144.91473
PP_0815_PP_1317_PP_1769,193.4205
PP_0813_PP_1506,193.3266
PP_0999_PP_3578_PP_5186,193.3139
PP_1023,134.90653
PP_1023,134.36453
PP_2137_PP_4011_PP_4120,192.8657
PP_1023,128.65767
PP_1031,129.55
PP_0815_PP_1769,192.3566
PP_0815_PP_4191,192.2982
PP_0815_PP_1317_PP_4191,192.2836
PP_0368_PP_1769,192.2709
PP_1031,121.7032
PP_1031,108.4186
PP_0815_PP_1506,191.6908
PP_1607_PP_4550,191.6517
PP_0815_PP_1506_PP_1769,191.5032
PP_0815_PP_4191,191.3776
PP_1157,173.33027
PP_1157,166.232
PP_0658_PP_0815_PP_4187,191.1365
PP_0815_PP_1769,190.8338
PP_0658_PP_1506_PP_3071,190.786
PP_1157,163.9212
PP_1769_PP_2136,190.4598
PP_0368_PP_1506,189.9883
PP_0528_PP_0751_PP_0815_PP_1769,189.3506
PP_0815_PP_1769_PP_2136,189.3494
PP_0751_PP_0815_PP_1769,189.032
PP_1240,289.0662
PP_1506_PP_4189_PP_4192,188.6142
PP_0751_PP_0814_PP_1506_PP_4120,188.4992
PP_0751_PP_0814_PP_1769,188.1421
PP_1240,286.40273
PP_0751_PP_0814_PP_1769_PP_4120,188.0255
PP_0815_PP_1769_PP_2136,187.9375
PP_1240,269.87087
PP_1506_PP_4651_PP_4862,187.6008
Control,187.5493
PP_0813_PP_1506,187.4147
PP_0815_PP_1506,187.1415
PP_1251,48.94489
PP_0774_PP_1769,186.9907
PP_3123_PP_4862_PP_5186,186.7095
PP_1506_PP_1769,186.4416
Control,186.3067
PP_3123_PP_4862_PP_5186,186.1462
PP_1251,46.63111
PP_1251,39.24444
PP_1319_PP_4121_PP_4667,185.8614
PP_1317,153.2682
PP_1317,152.23527
PP_0658_PP_0815_PP_4187,185.4592
PP_1317,150.87167
Control,185.2032
PP_2213_PP_2471_PP_4266,184.9482
PP_0751_PP_0815_PP_1317,184.8648
PP_0815_PP_1317_PP_4191,184.6468
PP_1607_PP_4550,184.5444
PP_1318,160.88093
PP_0437_PP_1769,184.137
PP_1318,155.35073
PP_0597_PP_1769_PP_4862,183.788
PP_0751_PP_0815_PP_1769,183.507
PP_2137_PP_4011_PP_4120,182.994
PP_2213_PP_2471_PP_4266,182.8489
PP_0751_PP_1317,182.8457
PP_0658_PP_1506_PP_3071,182.4886
PP_0751_PP_0814_PP_1769_PP_4192,182.4068
PP_0658_PP_0815_PP_4187,182.1123
Control,182.1113
Control,182.0178
PP_1318,152.84567
PP_1319,172.53407
PP_0751_PP_1769,181.6632
PP_1319,151.525
PP_0815_PP_1769,181.1929
PP_1319,134.14367
PP_1394,178.7444
PP_0815_PP_1506,180.8688
PP_1394,172.95373
PP_0751_PP_4189,180.3416
PP_1506_PP_4189_PP_4192,180.1041
PP_0751_PP_4120,180.0887
PP_0528_PP_0751_PP_0815_PP_1769,180.0579
PP_1394,160.30567
PP_0751_PP_0814_PP_1506_PP_4120,179.5357
PP_0751_PP_1620_PP_4678,179.5294
Control,179.5075
PP_0751_PP_4189,179.3426
PP_1444,179.62787
Control,179.2152
PP_0597_PP_1769_PP_4862,178.7523
PP_1444,168.20087
PP_1444,138.77727
PP_0751_PP_0814_PP_1769_PP_4192,178.5435
PP_1457,183.94267
PP_0368_PP_4191_PP_4192,177.6974
PP_1457,174.93476
PP_1457,173.79804
PP_1506,253.56809
PP_0751_PP_1506,176.9713
Control,176.9144
PP_0751_PP_4189,176.8561
PP_0751_PP_1506,176.8382
PP_1506,225.75831
PP_1506,221.39902
PP_0815_PP_1317_PP_4191,176.1348
PP_1607_NT1,254.9968
PP_0528_PP_0751_PP_0815_PP_1769,175.8958
PP_1607_PP_4550,175.6127
PP_1607_NT1,241.8028
PP_1607_NT1,221.75333
PP_0658_PP_1506_PP_3071,175.3849
PP_1610,69.2938
PP_0751_PP_1506,175.3198
PP_1610,41.1616
PP_1610,16.47207
PP_0751_PP_0814_PP_1769,174.2929
Control,174.2098
PP_1620,92.4824
PP_0226_PP_0897_PP_5288,173.9811
PP_1620,84.01458
PP_1620,83.68907
PP_1664,168.59487
Control,173.3588
PP_1664,167.94333
Control,173.2518
PP_1664,161.54427
PP_1755,138.28267
PP_0437_PP_4116,172.8632
PP_0751_PP_0815_PP_1769,172.774
PP_1506_PP_4651_PP_4862,172.7373
PP_1755,103.99467
Control,172.4157
PP_1755,102
PP_1769,320.31707
PP_1769,263.93507
PP_1769,242.39267
PP_0813_PP_0814_PP_4191,171.4237
PP_0751_PP_1769,171.4175
PP_1770,262.76233
PP_1770,254.02973
PP_1770,240.8716
PP_0437_PP_1769,170.8997
PP_0815_PP_1769_PP_2136,170.6819
PP_1777,0.01
Control,169.8316
PP_1777,0.01
Control,169.6163
PP_1777,0.01
Control,169.5059
PP_2095,134.66727
PP_2095,134.25167
PP_2095,126.64787
PP_2112,70.22222
PP_2112,69.36711
Control,168.4865
PP_2112,67.71022
PP_2136,235.8306
PP_2136,234.2294
PP_2136,232.3398
PP_2137,208.8582
PP_2137,195.53167
Control,167.7428
PP_0751_PP_0814_PP_1769_PP_4120,167.5809
PP_2137,160.70413
PP_0751_PP_0814_PP_1769_PP_4120,167.0503
PP_0774_PP_2213_PP_5288,166.9627
PP_1506_PP_4651_PP_4862,166.7114
PP_2213,202.8664
PP_0597_PP_1769_PP_4862,166.5983
Control,166.3666
PP_2213,181.2728
PP_2213,180.99287
PP_3123_PP_4862_PP_5186,165.8082
Control,165.8016
PP_2339,106.07111
PP_2339,103.71556
PP_1317,164.9031
Control,164.7045
PP_2339,94.976
Control,164.5141
PP_2471,218.53133
Control,164.3461
Control,164.3307
PP_2471,191.32327
PP_2471,153.13493
Control,163.3377
PP_2589,194.47933
Control,163.1382
PP_0368_PP_1769,163.044
PP_2589,193.51007
PP_2589,187.13393
PP_2925,95.16089
PP_2925,92.30844
Control,162.2923
PP_2925,91.63822
PP_3071,191.22647
PP_3071,174.11813
PP_3071,171.73467
PP_3122,185.972
PP_3122,173.96973
PP_3122,168.07833
Control,160.7165
PP_3123,133.1092
PP_3123,129.27353
Control,160.2911
Control,160.1393
PP_1769_PP_4189,160.0672
PP_3123,124.24693
PP_0774_PP_2213_PP_5288,159.2958
PP_3280,198.61673
Control,158.9721
PP_3280,198.21647
Control,158.8876
PP_1317,158.8497
Control,158.8005
PP_3280,189.00993
PP_0751_PP_1769,158.4824
PP_3282,171.10053
Control,158.0239
PP_3282,160.8774
Control,157.9641
Control,157.7208
Control,157.6793
PP_3282,141.29493
Control,156.8139
Control,156.6703
PP_0226_PP_0597_PP_4678,155.9575
PP_3355,249.52007
Control,155.3979
PP_3355,239.5362
Control,155.0741
Control,154.8259
Control,154.8127
PP_3355,236.10693
Control,153.8518
Control,153.6597
Control,153.6483
PP_3365,175.40987
PP_3365,174.49433
PP_3365,169.0734
PP_3394,0.01
PP_3394,0.01
Control,153.005
PP_3394,0.01
Control,152.7466
Control,152.6962
Control,152.3844
Control,152.3662
PP_3578,172.9668
Control,152.178
PP_1317,152.071
Control,151.6721
PP_3578,169.71133
Control,151.4252
PP_0751_PP_0813_PP_0815_PP_1769,151.4079
PP_3578,160.78233
PP_3744,244.15787
PP_0815_PP_1317_PP_1769,150.5523
PP_3744,242.62673
Control,150.5033
Control,150.2075
PP_1769_PP_4189,149.9129
Control,149.907
PP_3744,190.6176
PP_3754,180.5176
PP_3754,175.34867
Control,147.9302
PP_0751_PP_0813_PP_0815_PP_1769,147.9104
Control,147.8823
Control,147.4231
Control,147.3451
PP_3754,173.8582
PP_0226_PP_0597_PP_4678,147.1825
PP_0368_PP_0751_PP_0815_PP_1506,147.1425
PP_3755,198.61733
PP_1769_PP_4189,146.6603
Control,146.4459
PP_0751_PP_0814_PP_1769,145.8668
PP_3755,192.25033
PP_3755,185.65533
Control,145.4981
Control,145.0277
PP_4011,114.84622
Control,144.896
PP_4011,107.80089
Control,144.5349
PP_4011,100.44711
PP_4012,43.97244
PP_4012,30.17422
PP_4012,29.32178
PP_4043,143.599
PP_4043,140.8598
Control,143.265
PP_4043,136.4742
PP_4116,155.92247
PP_4116,143.5226
Control,141.962
PP_4116,129.77113
Control,141.6745
PP_4119,28.24533
PP_4119,26.91733
Control,141.173
PP_0368_PP_0751_PP_0815_PP_1506,141.1573
PP_4119,0.01
PP_4120,164.54044
PP_1620_PP_4116,140.6236
PP_0751_PP_0813_PP_0815_PP_1769,139.9348
PP_0751_PP_1317,139.9296
PP_3365_PP_3754,139.309
PP_0815_PP_1317_PP_1769,139.2457
PP_4120,162.44
PP_0226_PP_0597_PP_4678,138.9945
PP_4120,159.00889
PP_0815_PP_1317_PP_1769,138.7561
PP_4121,178.33273
PP_4121,168.40453
PP_0368_PP_0751_PP_0815_PP_1506,138.5521
PP_3365_PP_3754,138.5162
Control,138.3098
PP_4121,138.7522
PP_4122,176.76113
PP_0774_PP_2213_PP_5288,137.2423
PP_4122,171.1812
PP_4122,169.5748
PP_4123,145.578
PP_4123,143.37133
PP_4123,135.75733
PP_4128,171.66333
PP_4128,167.376
PP_4128,159.946
PP_0226_PP_2339_PP_3365,134.79
PP_4130,132.34227
PP_4130,130.69647
PP_4130,122.993
PP_4159,144.5416
PP_4159,140.93209
PP_4159,132.03947
PP_0226_PP_2339_PP_3365,133.7301
PP_4160,132.6064
PP_4160,123.51993
PP_4160,117.2204
PP_0751_PP_0814_PP_4120,133.3352
PP_4161,133.78693
PP_4161,116.76587
PP_4161,115.36967
Control,132.5339
PP_4174,337.42287
PP_4174,311.1356
PP_4174,310.41013
PP_4175,172.1088
PP_0751_PP_0814_PP_4120,131.5045
PP_4175,171.48087
PP_4175,166.34213
PP_4185,131.42222
PP_4185,118.42489
PP_4185,95.00089
PP_0815_PP_1317_PP_4120,130.9319
PP_4186,117.15644
PP_4186,109.90578
PP_0751_PP_0814_PP_4120,130.117
PP_0437_PP_0751,129.9221
PP_4186,89.096
PP_4187,178.54807
PP_4187,142.12527
PP_4187,110.73887
PP_4188,223.0204
PP_4188,213.87373
PP_0226_PP_2339_PP_3365,128.9995
PP_3123_PP_4667,128.7247
PP_4188,193.01813
PP_1620_PP_4116,127.9067
PP_1620_PP_4116,127.7148
Control,127.4238
PP_4189,321.20247
PP_4189,283.2782
PP_3123_PP_4667,126.5804
PP_0774_PP_1607_PP_3578,125.327
PP_3365_PP_3754,125.1503
PP_4189,269.70547
PP_4191,367.47564
PP_4191,358.72587
PP_3123_PP_5288,123.6475
PP_4191,349.11636
PP_4192,287.07493
PP_4192,208.62142
PP_3123_PP_5288,122.4174
PP_3123_PP_3755,121.9753
PP_3123_PP_3755,121.8955
PP_4192,202.37458
PP_0774_PP_1607_PP_3578,121.1226
PP_0437_PP_0751,120.9927
PP_0815_PP_1317_PP_4120,120.0704
PP_3123_PP_5288,119.8909
PP_0815_PP_1317_PP_4120,119.619
PP_3123_PP_3755,119.3516
PP_4193,234.39298
PP_4193,228.63502
PP_4193,199.59262
PP_4194_NT2,301.2338
PP_4194_NT2,265.8196
PP_4194_NT2,246.04247
PP_3123_PP_4667,116.0096
PP_4266,134.80587
PP_0774_PP_1607_PP_3578,115.4761
PP_4266,131.00453
PP_4266,123.32729
PP_4487,195.86847
PP_4487,192.4936
PP_4487,185.82607
PP_4549,204.38327
PP_4549,201.67347
PP_4549,199.30693
PP_4550,111.59833
PP_4550,103.02767
PP_4550,94.27913
PP_4635,157.98067
PP_4635,133.61887
PP_4635,110.54227
PP_4636,181.74553
PP_0437_PP_0751,109.5002
PP_4636,177.31487
PP_4636,168.68527
PP_4650,141.396
PP_4650,132.11529
PP_4650,108.94569
PP_4651,153.17084
PP_4651,146.71004
PP_4651,112.39876
PP_4667,194.6426
PP_4667,171.29567
PP_4667,169.20853
PP_4678,196.59707
PP_4678,194.69893
PP_4678,193.13493
PP_4678,143.018
PP_4678,134.43533
PP_4678,131.36
PP_4679,143.70333
PP_4679,129.51733
PP_4679,129.132
PP_4679,0.01
PP_4679,0.01
PP_4679,0.01
PP_4702,195.93807
PP_4702,162.54093
PP_4702,161.00607
PP_4737,187.72247
PP_4737,185.8906
PP_4737,180.94
PP_4862,154.7748
PP_4862,145.72707
PP_4862,131.3304
PP_0815_PP_1506_PP_4120,77.8528
PP_0815_PP_1506_PP_4120,77.3095
PP_0815_PP_1506_PP_4120,74.0918
PP_4894,48.26607
PP_4894,43.96493
PP_4894,42.33787
PP_5064,31.6996
PP_5064,0.01
PP_5064,0.01
PP_5128,114.4354
PP_5128,108.6124
PP_5128,98.4482
PP_5186,114.99833
PP_5186,109.78993
PP_5186,106.53047
PP_5203,136.0056
PP_5203,133.13493
PP_5203,127.30898
PP_5288,166.6754
PP_5288,163.19733
PP_5288,158.69373
PP_5335,218.77213
PP_5335,212.70933
PP_4120_PP_4189,25.9034
PP_4120_PP_4189,21.8372
PP_4120_PP_4189,16.9408
PP_2136_PP_4189,16.7317
PP_5335,211.43587
PP_0226_PP_0897_PP_5288,10.0912
PP_0751_PP_0812_PP_0815,9.1857
PP_0751_PP_0812_PP_0815,7.0835
PP_0751_PP_0812_PP_0815,5.5614
PP_5416,162.29267
PP_5416,157.31
PP_5416,138.56933
PP_5417,214.31567
PP_5417,207.83293
PP_5417,185.4316
PP_5419,412.20373
PP_5419,391.908
PP_5419,370.2514
PP_5420,97.516
PP_5420,92.38133
PP_5420,84.91467
PP_0368_PP_0815_PP_4120,0
PP_0368_PP_0815_PP_4120,0
PP_0368_PP_0815_PP_4120,0
PP_0751_PP_0814_PP_0815_PP_1506,0
PP_0751_PP_0814_PP_0815_PP_1506,0
PP_0751_PP_0814_PP_0815_PP_1506,0
PP_0813_PP_0815_PP_1506,0
PP_0813_PP_0815_PP_1506,0
PP_0813_PP_0815_PP_1506,0
PP_1506_PP_4120,0
PP_1506_PP_4120,0
PP_1506_PP_4120,0
