strain,value
PP_0751_PP_0814_PP_4189,494.0295
PP_0812_PP_0815_PP_4189,491.8601
PP_0751_PP_0814_PP_0815,491.2489
PP_0751_PP_0814,490.228
PP_0815_PP_1317_PP_2136,488.1259
PP_0814_PP_0815_PP_4189,486.2498
PP_0751_PP_0814,485.7762
PP_0814_PP_0815_PP_4189,483.9948
PP_0751_PP_0812,483.746
PP_0528_PP_1769_PP_4191,482.7067
PP_0368_PP_0751_PP_0813,481.9028
PP_0815_PP_1317_PP_2136,481.8411
PP_0528_PP_0751_PP_0813,481.3839
PP_0814_PP_0815_PP_2136,478.4361
PP_0751_PP_0815_PP_4189,475.2997
PP_0528_PP_0751_PP_0813,474.5426
PP_0528_PP_0751_PP_0813,473.966
PP_0528_PP_0813_PP_0815_PP_1317,473.4303
PP_0528_PP_4189,473.0231
PP_0528_PP_1769_PP_4191,470.9864
PP_0815_PP_1317,468.3266
PP_0528_PP_0751,468.2586
PP_0751_PP_0812_PP_4189,466.4189
PP_0751_PP_0814,465.9361
PP_0751_PP_0812_PP_4189,461.7845
PP_0813_PP_0815_PP_2136,461.7207
PP_0528_PP_0814_PP_0815_PP_1317,461.4772
PP_0815_PP_1317,460.8757
PP_0368_PP_0812_PP_0813,458.8593
PP_0368_PP_0815_PP_4189,457.0638
PP_0528_PP_0814_PP_0815_PP_1317,457.0174
PP_0815_PP_1317,455.1851
PP_0815_PP_1317,453.2418
PP_0751_PP_0814,451.0228
PP_0812_PP_0815_PP_1317,446.7982
PP_0368_PP_0815_PP_4189,446.4153
PP_0528_PP_1769_PP_4191,446.1691
PP_0528_PP_0812,444.1071
PP_0751_PP_0813,443.538
PP_0751_PP_0815_PP_2136,443.289
PP_0814_PP_4189,439.0957
PP_0751_PP_0812_PP_0813_PP_0815,438.4417
PP_0751_PP_0813_PP_4189,436.0771
PP_0528_PP_2136,435.4961
PP_0368_PP_0815_PP_4189,434.507
PP_0528_PP_0814_PP_0815_PP_1317,434.0074
PP_0812_PP_0813_PP_0814,433.8627
PP_0437_PP_0751_PP_0814,433.8552
PP_0528_PP_0813_PP_0815_PP_1317,433.4135
PP_0528_PP_0814_PP_0815_PP_1317,432.9349
PP_0751_PP_0812_PP_0813_PP_0815,432.6595
PP_0751_PP_0813_PP_4189,432.415
PP_0368_PP_0812_PP_1506,430.8919
PP_0528_PP_0812,428.0768
PP_0751_PP_0815_PP_2136,427.3335
PP_0812_PP_0814,426.7457
PP_0751_PP_0814,426.1167
PP_0528_PP_0815_PP_1317,425.6413
PP_0814_PP_0815_PP_1506,425.2092
PP_0815_PP_1317,425.182
PP_0528_PP_0813_PP_0815_PP_1317,423.837
PP_0812_PP_0815_PP_1769,423.7996
PP_0368_PP_0751_PP_0814,423.5738
PP_0368_PP_0815_PP_2136,423.5372
PP_0528_PP_0751_PP_0814,423.2471
PP_0751_PP_0813,422.9072
PP_0368_PP_0812_PP_0813,422.4387
PP_0751_PP_0813,422.1336
PP_0814_PP_4189,421.9632
PP_0368_PP_0812_PP_0813,419.347
PP_0528_PP_0815_PP_1769,418.4216
PP_0812_PP_0815_PP_1769,418.2505
PP_0528_PP_0815_PP_1769,418.0413
PP_0815_PP_1317_PP_4189,417.6655
PP_0812_PP_0815_PP_1317,416.587
PP_0812_PP_2136,416.4477
PP_0814_PP_4192,416.4118
PP_0751_PP_0812_PP_4189,415.7027
PP_0368_PP_0815_PP_2136,415.5475
PP_0812_PP_2136,415.5184
PP_0751_PP_0814_PP_4191,415.1324
PP_0751_PP_0815_PP_2136,413.9613
PP_0814_PP_4192,413.8531
PP_0528_PP_0815_PP_1317,413.6321
PP_0368_PP_0812_PP_0814,412.4297
PP_0528_PP_0812,412.2365
Control,202.7048
PP_0528_PP_0751_PP_0814,411.9265
PP_0368_PP_0751_PP_4189,411.4711
PP_0368_PP_0813,411.3133
PP_0751_PP_0812_PP_0814,410.4078
PP_0815_PP_1317_PP_4189,409.5176
PP_0751_PP_0812_PP_0813_PP_0815,409.2125
PP_0528_PP_0815_PP_1317,408.9383
PP_0528_PP_0815_PP_1769,407.4656
PP_0528_PP_0815_PP_2136,407.3949
PP_0528_PP_0813,406.1983
PP_0814_PP_0815_PP_4120,406.1429
PP_0812_PP_1506,406.0365
PP_0812_PP_0813_PP_0814,405.1691
PP_0812_PP_4189,404.938
PP_0368_PP_0437_PP_0812,404.5795
PP_0815_PP_1506_PP_4189,404.306
PP_0812_PP_0813_PP_0814,404.1313
PP_0751_PP_0814,403.6194
PP_0751_PP_0813_PP_4189,403.2312
Control,197.79113
PP_0815_PP_1317,402.1249
PP_0368_PP_0812_PP_0814,402.0284
PP_0528_PP_0815_PP_2136,401.7451
PP_0814_PP_4192,401.326
PP_0812_PP_0815_PP_1317,401.1233
PP_0812_PP_1506,400.8658
PP_0528_PP_0751_PP_4191,400.7445
PP_0812_PP_0815_PP_1317,400.1769
