Protein,PP_0226_PP_0437_PP_0751-R1,PP_0226_PP_0597_PP_4678-R1,PP_0226_PP_0897_PP_5288-R1,PP_0226_PP_2339_PP_3365-R1,PP_0368_PP_0597-R1,PP_0368_PP_0812_PP_0944-R1,PP_0368_PP_4191_PP_4192-R1,PP_0437_PP_0528_PP_3578-R1,PP_0437_PP_3365-R1,PP_0437_PP_4116-R1,PP_0528_PP_5288-R1,PP_0597_PP_1769_PP_4862-R1,PP_0658_PP_0815_PP_4187-R1,PP_0658_PP_1506_PP_3071-R1,PP_0658_PP_2136-R1,PP_0751_PP_1620_PP_4678-R1,PP_0774_PP_1607_PP_3578-R1,PP_0774_PP_1769-R1,PP_0774_PP_2213_PP_5288-R1,PP_0812_PP_2095-R1,PP_0812_PP_4121-R1,PP_0813_PP_1769_PP_4191-R1,PP_0813_PP_4120-R1,PP_0813_PP_4189-R1,PP_0813_PP_4549_PP_5288-R1,PP_0814_PP_1769-R1,PP_0814_PP_3123-R1,PP_0814_PP_4192-R1,PP_0814_PP_4192-R4,PP_0814_PP_4862-R1,PP_0814_PP_4862-R4,PP_0814_PP_5288-R1,PP_0815_PP_1317-R1,PP_0999_PP_3578_PP_5186-R1,PP_0999_PP_4120_PP_4191-R1,PP_0999_PP_4679-R1,PP_1319_PP_1457_PP_4192-R1,PP_1319_PP_4121_PP_4667-R1,PP_1319_PP_4678-R1,PP_1444_PP_4189_PP_4191-R1,PP_1506_PP_4651_PP_4862-R1,PP_1607_PP_4550-R1,PP_1620_PP_4116-R1,PP_2112_PP_2136_PP_4678-R1,PP_2112_PP_4188_PP_4862-R1,PP_2112_PP_4189_PP_5186-R1,PP_2137_PP_4011_PP_4120-R1,PP_2137_PP_4116_PP_4187-R1,PP_2137_PP_4189-R1,PP_2137_PP_4189-R4,PP_2213_PP_2471_PP_4266-R1,PP_2339_PP_4186-R1,PP_2471_PP_3754_PP_4667-R1,PP_3123_PP_3755-R1,PP_3123_PP_4667-R1,PP_3123_PP_4862_PP_5186-R1,PP_3123_PP_5288-R1,PP_3365_PP_3754-R1,PP_4122_PP_4188-R1,PP_4189_PP_4550_PP_4862-R1
sp|A9GAJ9,1.773665933,0.637098442,0.067432509,0.712043747,1.604392055,0.065950562,0.339140307,1.367959802,0.172343643,1.39316906,1.135801078,0.610653777,0.057217571,0.326353213,0.328840069,0.361037443,1.219192509,0.293972855,2.126605204,1.106432288,0.034144851,0.148157534,1.478437613,0.094094092,0.413557401,0.995374759,0.238467076,0.206329003,1.068274593,1.67554514,0.513193244,1.371955354,0.484753772,0.005651254,0.083058357,1.242744695,0.167023116,1.061067874,1.102155085,1.115805636,0.471130645,1.231392548,3.822482353,0.515018923,0.275385431,3.134186767,0.349022908,1.718681347,3.362741752,0.774256079,1.615781955,0.385015647,0.758611348,1.215493423,1.361548802,1.992765317,0.938257794,0.263324397,0.489151192,0.944703472
sp|O77727,1.773665933,0.637098442,0.067432509,2.728047675,1.604392055,0.065950562,0.339140307,0.011718022,1.395832629,1.39316906,0.592992789,0.610653777,0.057217571,0.326353213,0.328840069,0.361037443,1.219192509,0.93429748,2.126605204,1.108627204,0.034144851,0.148157534,1.478437613,0.094094092,0.413557401,0.995374759,0.238467076,0.206329003,1.068274593,1.67554514,0.513193244,0.236668967,0.484753772,0.005651254,0.083058357,0.906404361,0.167023116,1.39315981,0.04872335,1.115805636,0.471130645,1.231392548,3.822482353,0.515018923,0.275385431,0.770548686,0.349022908,1.718681347,3.362741752,0.774256079,1.615781955,0.385015647,0.758611348,1.215493423,0.061778298,1.992765317,1.21418948,0.263324397,0.489151192,0.944703472
sp|O82803,1.773665933,0.637098442,0.067432509,2.728047675,1.604392055,0.065950562,0.339140307,0.011718022,0.172343643,1.39316906,0.536400726,1.391563579,0.057217571,0.326353213,0.328840069,0.361037443,1.219192509,0.293972855,2.126605204,0.91436357,0.034144851,0.148157534,1.478437613,0.094094092,0.413557401,0.995374759,0.238467076,0.206329003,1.068274593,1.67554514,0.513193244,1.371955354,0.484753772,0.005651254,0.083058357,0.790102946,0.167023116,1.061067874,0.04872335,1.115805636,0.471130645,1.231392548,3.822482353,0.515018923,0.275385431,0.770548686,0.349022908,1.718681347,3.362741752,0.774256079,1.615781955,0.385015647,0.758611348,1.215493423,0.061778298,1.992765317,1.21418948,0.263324397,0.489151192,0.944703472
sp|O85207,1.773665933,0.637098442,0.067432509,2.728047675,1.604392055,0.065950562,0.339140307,0.011718022,0.172343643,1.39316906,0.536400726,0.610653777,0.057217571,0.326353213,0.328840069,0.361037443,1.219192509,0.293972855,2.126605204,0.91436357,0.034144851,0.148157534,1.478437613,0.094094092,0.413557401,0.995374759,0.238467076,0.206329003,1.068274593,1.67554514,0.513193244,1.371955354,12.56054102,0.005651254,0.083058357,0.790102946,0.167023116,1.061067874,0.04872335,1.115805636,0.471130645,1.231392548,3.822482353,0.515018923,0.275385431,0.770548686,0.349022908,1.718681347,3.362741752,0.774256079,1.615781955,0.385015647,0.758611348,1.215493423,0.061778298,1.992765317,1.21418948,0.263324397,0.489151192,0.944703472
sp|P00552,0.257014221,0.938250968,2.113957352,3.790241017,0.072417896,3.851244412,0.292048715,0.995721735,0.834836464,1.349051761,1.638419244,0.605828622,0.495033299,0.007301431,1.570606063,0.168917778,4.317516947,0.386676048,0.60284738,0.099046892,3.261037885,0.153072315,0.340198596,0.115563737,3.928127225,0.664014985,1.514102163,0.587651297,2.498975784,0.242847557,0.511506098,0.022934756,1.629586178,1.350880123,2.265282899,0.442387671,2.097578468,0.190517546,2.647987652,3.035877617,0.273517107,2.407277649,0.704871213,0.976344038,0.650382397,0.340626775,2.639203803,0.394309815,0.933328441,0.072380755,0.387860525,1.777774892,0.09555913,2.016959325,0.496945977,0.400940211,0.808208191,0.267044193,2.702122808,0.271440499
sp|P00761,0.092997613,0.475330686,0.450735555,0.831164774,0.626924752,0.204602087,0.742132549,0.048661139,0.119339839,0.752936193,0.877199102,0.743250258,0.231079257,0.152600969,0.758140327,0.279811025,0.267002999,0.733649042,0.579185656,0.899350342,0.12269435,0.194017236,1.339217492,0.578221355,0.096162089,0.55323294,0.547201826,0.406761466,0.033522295,0.922902694,0.226546996,0.746335139,1.253468095,0.08901329,0.313765711,0.193039523,0.699309833,1.397935468,1.000133258,0.948592032,0.376789062,0.457884705,0.349809735,0.27047414,0.15995252,0.13969742,1.542644157,0.358743796,0.888879632,0.863044466,1.143773501,1.060172359,0.366538187,1.251964862,0.110551901,0.485572209,0.711914719,0.921496168,0.811082549,0.25765668
sp|P04264,0.286169244,0.192681381,0.30636689,0.612122413,0.571074886,0.146646031,0.043988785,0.489103912,0.090416292,0.532244754,0.592539951,0.058751566,0.177541816,0.415649337,0.538007804,0.214999472,0.374803602,0.514940241,0.103369428,0.109743686,0.291883279,0.509830643,0.61396679,0.529775174,0.229443699,0.430620886,0.24035142,0.014576224,0.248100523,0.477589474,0.277989981,0.516685021,0.419420181,0.484851026,0.418665915,0.336742718,0.450788286,0.03716813,0.556589417,0.34911733,0.384578893,0.301179407,0.20267481,0.133681517,0.297058295,0.476094439,0.082427996,0.524407978,0.418577935,0.518588128,0.464227727,0.429550171,0.460085859,0.087479019,0.019439665,0.334671968,0.377922565,0.462349549,0.444643487,0.482460733
sp|P0A0Z9,0.10675376,0.038763526,0.306252291,1.812562299,0.140775828,1.135786072,1.74853245,0.934480563,1.385949643,2.162937705,0.990021092,2.348800645,0.646402355,0.280953337,2.076691969,0.046491805,1.514894699,4.319810283,0.443339565,1.651390408,0.235469299,0.542075039,0.368203348,0.029894141,1.04663008,0.396568628,0.056214731,0.621559821,0.548599459,0.290652731,0.019706987,0.162762348,0.497019813,5.296177909,0.148524008,0.000286476,2.671117353,0.636070131,0.246297424,1.198297733,1.818842256,0.796983417,0.352959577,0.164542558,0.498177647,5.297802227,1.586464083,0.564698636,1.750711983,0.002751828,0.393343281,3.644550286,0.471152951,2.041615894,0.489489458,4.723515685,0.868684431,0.759643549,0.002123612,0.787949944
sp|P0A101,1.773665933,0.754052975,0.067432509,2.728047675,1.604392055,0.065950562,0.339140307,0.011718022,0.172343643,1.39316906,0.536400726,0.610653777,0.057217571,0.326353213,0.328840069,0.361037443,1.219192509,0.293972855,2.126605204,0.91436357,0.034144851,0.148157534,1.478437613,0.094094092,0.413557401,0.995374759,0.238467076,0.206329003,1.068274593,1.67554514,0.513193244,1.371955354,0.484753772,0.005651254,0.083058357,0.790102946,0.167023116,1.061067874,0.04872335,1.115805636,0.471130645,1.231392548,3.822482353,0.515018923,0.275385431,0.770548686,0.349022908,1.718681347,3.362741752,0.774256079,13.93603979,0.385015647,18.82126716,1.215493423,0.061778298,1.992765317,1.21418948,0.263324397,0.489151192,0.944703472
sp|P0A116,0.343643093,0.691327229,0.269252069,0.757848506,0.117109743,0.142776777,0.250767943,0.198065397,0.001099736,0.635811154,0.428990875,0.856610036,0.158025085,0.868850408,0.354955506,0.203502174,0.871335043,0.052469729,0.057509751,0.085441824,0.158654771,0.508344064,0.194346663,0.485029349,0.037179949,0.190623082,0.56349154,0.142568029,0.286651996,0.437812826,0.235698143,0.335548628,0.405060838,0.90331121,0.437978534,0.366869939,0.496968142,1.454234402,0.34803583,0.443817756,0.317693929,0.221179947,1.303709497,1.30491095,0.144290484,0.023029575,0.308145324,0.326997167,0.930409878,0.563961959,0.178017452,0.057989748,1.30083537,1.324384161,0.019320357,0.575304888,0.616869434,0.683494601,0.293829142,1.007862217
sp|P0A118,0.354566101,0.260205076,0.340821554,0.148673471,0.063400834,0.201080097,0.21918066,1.196286892,0.60006334,1.248517428,0.091979677,0.033217794,0.474228585,0.626570378,0.608913611,0.368911632,0.223632002,0.074420346,0.856188615,0.109253245,0.073093581,0.265995948,0.133226022,0.101267343,0.03805694,0.035513232,0.611899329,0.077757936,0.901521468,0.628450325,0.127919949,0.403442289,0.418750849,0.026217392,0.538169345,0.150591012,0.00740155,0.93936984,0.068894432,0.038469899,0.340464345,0.594774878,0.158208169,0.067380531,0.39307294,0.576954748,0.348470862,1.048443018,0.399324666,0.246691834,0.00287498,0.66585751,0.566286765,0.524390122,0.478191271,0.054384485,0.72601689,0.670974917,0.073273428,0.619585186
sp|P0A120,0.184668999,1.146210423,0.455205022,1.173858219,1.019846647,0.07029289,0.297637862,1.134573511,1.18489421,1.352850433,1.009535854,1.125536242,0.28643489,0.378783376,0.610116186,0.110469365,1.417884114,0.356863888,0.119064444,0.938840012,0.609492503,0.132723591,0.480828717,0.715586605,0.06738959,0.14834821,0.166246266,0.057844708,0.33787568,1.191694677,0.784925181,0.762055545,3.317478839,0.339753013,0.477285646,0.01850054,0.692821802,1.211632057,0.089660547,1.163786588,0.977234689,0.20800124,0.224911103,0.258195039,0.194770497,1.043391389,1.819908579,0.0829759,1.171349739,0.933110702,1.452235184,1.643196576,1.116852491,1.608620223,0.587575212,0.470487696,0.589238379,0.540533988,0.014057475,0.220326186
