Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,81.62317146559296,25.13522213579545,58.87161360615056,10128.209008693479,0.4134412032966728
Random Forest Regressor,74.74521353673364,23.950111444464437,69.44420685596796,10409.344812506379,0.39715967922334705
Support Vector Regressor,97.96510878956929,29.649863796993703,85.18523259203232,16853.686391910793,0.02394608942517573
Kernel Ridge Regressor,92.09336257455526,26.901748067498954,65.21113184314378,12733.679146552373,0.2625496263557554
K-NN Regressor,93.25175404597701,28.58815359633634,61.87405668301329,12524.288523064131,0.27467614468182877
Gaussian Process Regressor,93.69728964272882,30.24932671711135,79.15158442142996,15044.155402816168,0.12874214158500785
Gradient Boosting Regressor,70.77498064979784,22.83312481021695,59.54830578089693,8555.098607354463,0.5045453405927032
TPOT Regressor,73.84603600078923,24.296302258902347,72.0798989370465,10648.748863804693,0.38329498190767075
Ensemble Model,68.99846079762905,22.607181109656555,61.08854125862079,8492.597465548168,0.508164992843068
