Strain,Titer
Control,166.3513
Strain_1,489.5332
Strain_2,507.6771
Strain_3,462.4296
Strain_5,748.8463
Control,180.79497
Strain_1,572.01021
Strain_2,543.3759
Strain_3,513.68148
Strain_5,750.17196
Control,156.6833
Strain_1,469.5959
Strain_2,486.7463
Strain_3,433.6836
Strain_5,696.3461
