Protein.Group,0812_0815-Control_log2_change,0812_0815-Control_log10_p_value
A0A140FVX0,0.44460316221932067,1.3350738878505015
A0A140FVX4,2.763851677581371,1.1641607138973864
A0A140FVZ0,0.19950085910482213,0.42721441991704007
A0A140FVZ1,0.5272531199918475,0.9366754995128155
A0A140FVZ6,0.3895794271613166,0.48277188733493703
A0A140FW16,,
A0A140FW18,0.31123755882205584,0.28735583522575553
A0A140FW22,-0.13711203733399244,0.11545199114468312
A0A140FW35,-0.0642883751407364,0.41817333564483306
A0A140FW57,-0.9575217154589611,0.8935171477050765
A0A140FW92,,
A0A140FWA3,0.445212726828345,0.34365640761200344
A0A140FWA4,0.13068415130731215,0.42501698940967336
A0A140FWC7,0.027833078726613995,0.02376088038379298
A0A140FWJ5,0.5728669849017268,0.5047777205475064
A0A140FWK0,-0.23874642481733213,0.2886993539355566
A0A140FWK7,-0.584413918507271,1.9424606535194326
A0A140FWL0,0.7751499480125418,0.2898018852915615
A0A140FWL3,0.9985107919335772,0.6026223348468833
A0A140FWM3,-0.3175270816182134,0.5822564274238528
A0A140FWP7,-0.5970331024927101,0.5806144577285296
A0A140FWQ2,-0.9269261841076327,0.4748580873500426
A0A140FWQ5,-0.013590290192041787,0.07916454149997167
A0A140FWQ8,-0.3972963288448079,0.33518150877819985
A0A140FWQ9,0.4077019460580066,2.4632225763136897
A0A140FWS3,0.00046106148446315966,0.0022094758336661355
A0A140FWS4,0.147571924639596,0.1464680496508787
A0A140FWS5,0.06129487981013373,0.12358115705954587
A0A140FWU0,-0.014430828339924052,0.021536200175731303
MM_1762,0.14919325321956625,1.6674516682603495
PP_0001,-0.6980107766859374,0.456402688995456
PP_0002,-0.7545359177602239,0.39166934441435264
PP_0003,0.12692739745537046,0.30876996573150095
PP_0004,0.13004645186529923,0.2725692395182903
PP_0005,0.07989140113726573,0.05728624424871268
PP_0006,0.33300378489721744,0.7307346339857713
PP_0010,0.35507385633955363,0.6516562951565411
PP_0011,0.44934788509093965,0.5909909617566305
PP_0013,0.38877726591198525,0.6790946753039631
PP_0017,0.009043105627618876,0.026626795331234084
PP_0018,0.06969650464812173,0.15981714602220679
PP_0019,-0.07867444541309214,
PP_0020,-1.1618504004382515,1.6115108179062354
PP_0030,0.8180376299226386,0.8632078712850624
PP_0052,-0.6609240982470405,0.5017094616183474
PP_0058,-0.7281555007519254,0.4357918221707154
PP_0060,0.4107724229538125,0.9788322752426883
PP_0061,0.1560309443663625,0.8422043867401453
PP_0063,-0.23959416506570552,0.3664446041777902
PP_0065,0.03442302402201745,0.0278554236240191
PP_0066,-1.646934957073222,3.3866049733984833
PP_0067,0.18434265304263095,0.34272677032322196
PP_0068,-0.14659368752688878,0.26208330885072545
PP_0070,-0.2799185800738782,0.5285575662413478
PP_0072,-0.0573798506964216,0.20658207032131426
PP_0073,0.18720987068870826,0.300604329658965
PP_0074,-0.5320908337036335,0.6723314661516852
PP_0082,-0.04544509030426027,0.29261358076644256
PP_0083,0.06494387152477599,0.2451849465513406
PP_0088,0.329246130000626,0.925901031875885
PP_0096,-0.24127159553661903,0.3811128295975563
PP_0100,-0.20531338088973036,0.9854836660132971
PP_0111,0.14314988890763194,0.16561851861580226
PP_0112,0.8568254739442123,1.3774841069497021
PP_0114,0.25165564091188247,0.7856214218187907
PP_0116,-0.3234413158554324,0.5135366319407522
PP_0121,0.17194121237499657,0.5953095952104271
PP_0123,0.5468531056753676,0.6982155834015494
PP_0124,0.21036989284232885,0.2580848194235445
PP_0126,0.6595287817211316,0.6851045561449975
PP_0127,0.17329406013918844,0.5078960809494756
PP_0129,-0.4045724913291706,0.4103206347812327
PP_0133,-0.7343500313997963,0.4662827803948782
PP_0139,-1.369658857278477,4.0456429154709355
PP_0140,0.5813904211109243,2.674818842205063
PP_0145,,
PP_0154,,
PP_0155,2.5131618417588872,1.435691806259038
PP_0165,0.6045768256913022,1.5729657484103134
PP_0166,0.27990624410475207,0.6259945470669881
PP_0167,0.7639506801000631,1.0030458750545967
PP_0168,-0.3235156366426059,0.7451615479537644
PP_0173,-1.289038503133944,
PP_0180,0.7212210429802329,0.6189829583027674
PP_0181,-0.5589570256264594,1.92298291190616
PP_0183,0.41830705052637485,1.1362142179448569
PP_0184,0.40998589058013596,1.5124427082020457
PP_0185,0.6855679784355786,0.8390951422830005
PP_0186,0.4278829333727554,0.8282768116131891
PP_0188,0.2753060704758416,0.6391075095179003
PP_0189,0.3411792994957864,1.0315104397877248
PP_0191,-0.300485027870439,0.3412603262736258
PP_0194,1.4322035854783794,0.9026396089933092
PP_0196,-2.614908483903529,
PP_0213,0.20098396335744906,0.7947700249458854
PP_0214,0.39432687968738545,1.4660857716977713
PP_0215,0.5399568665750629,0.27785851557581986
PP_0227,0.07714752940858531,0.6436884505740765
PP_0228,0.2907045004790292,0.4340533661058301
PP_0234,0.01557385514346701,0.03796553659222458
PP_0235,-0.17842149137193863,0.5793375207637078
PP_0243,0.10870269721935702,0.3402628315262993
PP_0245,-0.09602167208715198,0.12847709424035603
PP_0246,-0.07032717711646884,0.11842419497717642
PP_0252,-0.18616830405245438,0.4446561679208367
PP_0258,0.6075497228349479,0.7675593749800844
PP_0260,-0.17233771407761458,0.186891721708054
PP_0261,0.41043192040728216,0.5082540846302687
PP_0263,-1.66495854810717,3.0321536581812745
PP_0268,-0.37285186767177053,1.1833712224114203
PP_0282,-0.17634605903776926,0.26876027809202213
PP_0283,-0.4583689955273467,0.24525033944050018
PP_0285,-0.021006167383450743,0.04238648483195757
PP_0287,0.6420703264723525,1.249611779866601
PP_0289,0.21444145708395942,1.5866384023939109
