Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
ubiD,-0.8150104045639038,,,
ubiG,-0.5652838106089806,,-0.4547232583663016,
ubiE,,,,-0.25854356081983276
ubiH,,,,-4.2183057836752385
