Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
atpD,-0.23701219757373176,,-0.4698356324435614,
atpG,-0.14585330971036753,0.2025389210388325,,
ccoN-I,1.3961754550950853,,2.304082895369478,
ccoO-I,0.8647428931377528,,2.091076109862239,
ccoO-II,-0.7345361218552182,,-0.8670481610820933,
cioA,-1.4884307518866013,,1.7710596299353534,1.2136242460216002
cyoB,0.14302012351224036,,-0.4744515102020726,
etfB,-0.5632940970813599,,,
nuoF,0.29218041215615387,-1.5277308425467435,,
nuoG,0.2106250387286559,-0.879224825200362,0.27239941863036093,0.14131502343476776
petA,0.7950715177842864,,1.2870899529823594,
petC,0.4543875966596426,,1.391383824419249,
sdhC,0.3828198087867286,,,-0.5448352903318064
sdhD,0.5444691616082499,0.5511573415207612,,
PP_4203,,0.38953524452098054,,0.08980992090305365
atpA,,0.20650569758267504,,
atpC,,0.414751434425795,,
atpF,,0.1740671070383066,,
ccoN-II,,-0.6411849500184749,,0.36768119749683625
ccoP-II,,-1.169765151187845,,0.8184084273230487
nuoB,,-0.39535791103755613,0.53366312413399,
nuoC,,0.14001614977545251,0.40316219128136677,0.21477174187110284
nuoE,,-0.48725798420199556,0.6809337851499894,
nuoI,,-0.7406652827017197,,
sdhA,,,,-0.46701827326926065
sdhB,,,,-0.7266822062068208
