Locus,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value
EF_1364,,,,,,,-1.0232572773206476,3.9516136601990097,-0.9957942720933487,3.8784648967936564,-0.17534784433385275,0.5523424299582498,-1.4697023896032042,5.120874664948612
MM_1762,,,,,,,0.23467140691591323,0.7391544560132094,0.13838914599641,0.5000373551854127,0.40873060865003724,1.0923243890167214,0.4485992074246536,3.9604638538780095
PP_0001,,,,,,,-0.05955808245622008,0.3500479137533395,-0.05114184110075102,0.1626010955211884,-0.0393058542032434,0.1445078976419013,-0.4200638815146392,1.1807964399502424
PP_0002,,,,,,,-0.6366336874914039,1.0300739015972862,-0.2821749619941688,0.44451446275054357,-0.17524660291897656,0.5472820181078843,-0.44567896335873,2.1472175584540034
PP_0003,,,,,,,-0.004925508663195742,0.019592661952520837,-0.024437001689335356,0.10866087233946865,-0.5478080134210815,1.9089488125377085,-0.03291186709070848,0.07303622648347734
PP_0004,,,,,,,-0.29039745450037885,3.040054683063323,-0.2094479814665917,1.2070979557679222,-0.2558391842009566,1.1755644132466352,-0.6473347916755677,0.9185668350179113
PP_0005,,,,,,,0.34993130657397,0.7856157612440919,0.4134080612594087,1.2297766790251046,0.7061138995487731,0.8026952046417534,1.0443651508503844,1.3784040542915938
PP_0006,,,,,,,-0.15474034035543463,1.5215448679668626,-0.04997717721222049,0.22655100118103472,-0.5058110345573785,2.116523345021442,-0.5268934070482385,1.2356604227180097
PP_0010,,,,,,,-1.068268081422653,3.1301056558840683,-0.5287077414588146,1.8556148355052078,-0.4391274809870932,3.813199604452981,-0.8279278880289809,0.9075771212197123
PP_0011,,,,,,,-0.8274896044015305,6.632742834703786,-0.9254824603876308,5.562224278120426,-0.990788619033261,2.9400250297482504,-0.8300354365882221,3.0487156516460807
PP_0013,,,,,,,-0.07609388254139066,0.58416832939555,-0.03906201346086234,0.11316241767542128,-0.12897356314637468,0.927886267727535,-0.04329083032459482,0.17997434791561884
PP_0017,,,,,,,-0.4808619263592797,2.3507756474889607,-0.6400580910925422,3.934749026677194,-0.24849748154060697,3.73976484573979,-0.5508709648230258,0.9147149893522093
PP_0018,,,,,,,0.2618874415452219,1.7902529203536732,0.32980473150619327,2.2658431083125254,0.1735017381567131,0.8529977290886994,0.19622814043928535,0.9511000835275423
PP_0019,,,,,,,0.6394300385014822,0.9684689870924159,0.20620660855351458,0.4732833357997844,0.755008056104859,3.3257208680211336,-0.1522527277058211,0.21613786006924227
PP_0020,,,,,,,0.3017715414374087,0.2752699113401712,0.6663735158007127,1.3127872439646253,-0.07007291079239637,0.04177733102830824,-0.1797534608986531,0.08203288220904316
PP_0029,,,,,,,-0.7721023009528497,0.9984331026654919,-0.07306927496846377,0.09889008445905079,0.6018340780385901,4.050283778000208,-0.6110296711685043,1.7623068735306477
PP_0030,,,,,,,0.6645539525487552,0.6702681391683339,1.223527214018775,1.4085933359394838,-1.0549276952845186,0.9692542311094343,0.03850416006476062,0.010196942410775385
