Locus,PP_0751_log2_change,PP_0751_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value
EF_1364,,,,
MM_1762,-1.2055781877380616,2.5878573467632497,-0.4025310263176315,1.1009509290602553
PP_0001,0.546992411005714,1.2861797037881828,-0.32519861862574034,0.3851089235476594
PP_0002,0.5263678643638401,0.11292907809598897,-0.40282250783976853,0.2144974380065375
PP_0003,-0.6587484061190828,1.4908681070612355,-0.8730673342268415,1.0918139577540118
PP_0004,-0.04819091688419795,0.25553192509403405,-0.028060573459977214,0.02771044772396123
PP_0005,1.0051607184489304,1.3154321990028235,-1.4593791181962188,0.8340524822152781
PP_0006,-0.7075714376377817,2.604632068538307,0.11297532335299874,0.32689698350284857
PP_0010,1.0469622582014528,1.2380273080818414,1.300517362262425,3.796450037334601
PP_0011,0.5651219583750862,1.02354278739502,0.6197119913165572,1.9586702971958005
PP_0013,0.5185059413491364,2.0267628371783277,0.09376941990722076,0.3332421762519579
PP_0017,-0.5466955910453196,1.9455545836253838,-0.2313280069343335,0.4524051867117337
PP_0018,0.2121186150042408,0.2505943822380731,-0.5119943792511121,0.840392808444845
PP_0019,-0.011245271500858432,0.0049078865938546,-1.9643621480511881,1.665972422470727
PP_0020,-1.090354395123865,1.0737029015049975,-0.6159409403958197,0.3904613224752066
PP_0029,,,,
PP_0030,0.0323843364643664,0.007938411408178369,3.513047022683993,7.864645826583136
PP_0046,,,,
PP_0052,-0.8195621503628733,1.2269222015086303,-2.0914072624065345,1.323015132955358
PP_0059,,,,
PP_0060,0.6778775148564804,3.043447017011006,0.6167228359600845,2.5120518932370253
PP_0061,-0.08291682402834434,0.7115771925657758,-0.5665433617545788,0.7838494353535251
PP_0063,-0.9839258248168241,0.639226011637792,-1.4580725783830097,0.9626855919632066
PP_0064,,,,
PP_0065,2.423353920264928,2.4617728705005004,1.237047051858556,0.21202209793634091
PP_0066,0.24913742673973988,0.6664200362416879,-2.250418449299831,2.4919699805833724
PP_0067,1.1229457609089473,1.1021314039178627,0.20059748461338126,0.17272786159708978
PP_0068,0.5741883878297344,2.3198050394884806,0.06109812498598615,0.06506306948604351
PP_0070,-0.11451998712960505,0.1237981611023318,0.014176093684445475,0.012201997851780132
PP_0072,1.477782787215573,2.1229259145735977,0.35216044789131445,0.2968576824773438
PP_0073,0.41884638403242913,0.5118413249806433,-1.2976644884162176,0.8277692570525399
PP_0074,0.7753655064032243,1.1034065429299558,1.0324436289257062,1.1997766444383418
PP_0076,,,,
PP_0082,-0.3501553751398294,1.1036227923716215,-0.19114587450306533,1.456935017027133
PP_0083,-0.4942481174339458,1.7316315523330894,-0.16443652690717162,0.7989921601976616
PP_0085,,,,
PP_0088,-0.08071401830632,0.11991168161325637,0.07136522334902903,0.06292958490052375
PP_0089,,,,
PP_0091,,,,
PP_0096,0.7222988577540227,0.6563976855603544,-0.47278380785068325,0.5445264299424168
PP_0100,-0.2134690439510869,0.37145437656576236,-0.014395448790024678,0.027652780844590105
PP_0111,0.7864204965235432,1.4882416404183902,0.564613928309495,0.6383295322617936
PP_0112,0.7554886355601507,1.6686675858588313,0.5915848392126762,0.7842778843737259
PP_0114,0.3254474343893798,0.17505432810452015,-0.22797165584996923,0.18417197500156596
PP_0116,-0.696811097848359,0.8562100167508014,-0.7474483959060092,1.115815721321383
PP_0120,,,,
PP_0121,0.4801917141484456,1.2374306817457852,0.3817029363312309,1.5300758671641508
PP_0123,0.5712271748682252,2.030412042479277,0.454819719564023,0.7493871613183262
PP_0124,1.3180066479051307,1.263717279338256,0.20612107237800348,0.35942165039568763
PP_0126,-0.47491449540113445,1.2502880303918746,-0.2762854470014114,0.23991056239819578
PP_0127,-0.059948887779347156,0.041088881166466466,-1.1982829438360545,3.4997454425860433
PP_0130,,,,
PP_0133,3.6608189017082227,1.1821947110084094,0.44502267601223855,0.35870388843107365
PP_0134,,,,
PP_0139,1.1016988319128842,2.498777239344749,0.36757787315752666,0.2835495285575209
PP_0140,0.3818354490674061,0.18643912425216858,0.7845623917400174,1.2418196589834856
PP_0154,6.077340595935903,1.987077213685743,-1.1778403626260134,0.31039978084281783
PP_0165,0.522915077920902,0.19453289094557763,1.321187460967602,0.6737249614137288
PP_0166,1.7670523621234808,1.803619035722091,1.7881546673859336,6.09949543554851
PP_0167,0.39729866070595043,0.20479582492256354,0.20373124880487473,0.10120793215551473
PP_0168,-2.3572072087363027,1.3760811607413197,-2.4861173360489843,1.905449853389216
PP_0169,,,,
PP_0173,-0.7877128295393766,0.8086231756288307,0.2677679144831542,0.12052838497423146
PP_0178,,,,
PP_0182,,,,
PP_0183,0.6136576495673692,0.7999272804596275,0.30130258038949653,0.19383242748825658
PP_0184,0.05738131106685588,0.5139165002762879,0.1375847481599611,1.0321767172687846
PP_0185,-2.3937417475101515,1.8059956070476382,-0.206473179592008,0.39362916721609514
PP_0186,0.25132374068789015,0.36899143812580987,-0.18099838323963321,0.43445759652263816
PP_0188,-0.3125162670084156,0.5349367747149606,-0.26532217483193554,0.3582707224259091
PP_0189,0.09412285429425717,0.26094582954293,0.3339117607119576,1.107206617621091
PP_0191,-0.7043287111847302,0.5623258139549604,-0.9347549511137184,2.329748472941105
PP_0194,-0.27584720749154135,0.3228017749610682,1.5609159464150602,0.9398729067128343
PP_0196,-0.6210703576729685,0.5687785747030106,-2.3329242298740565,2.998515030704612
PP_0201,,,,
PP_0202,,,,
PP_0203,,,,
PP_0213,0.26890202115865797,1.1444021504799222,0.13624778381297312,0.31306697629033314
PP_0214,0.482040511559197,1.504415607983288,0.040948132504172154,0.10162530891197646
PP_0215,0.8876097537607119,0.9381877121854585,0.9925244502418579,0.5052590887202218
PP_0226,,,,
PP_0227,1.5293735740073504,4.435631991041074,0.7536989858043355,0.6302004565071525
PP_0228,0.5109848688657243,0.7840333882266801,-0.5141381295302525,0.4379963757436429
PP_0234,-0.21566219676576873,0.5820713102554249,-1.2852152743489111,4.240726400646368
PP_0235,-0.48631884190414254,0.21270858798876116,-0.3597427615609438,0.3134588178281967
PP_0242,,,,
PP_0243,-0.03853661372602028,0.08571749294740588,0.4894254788262621,1.7669505198734554
PP_0245,1.2599108490478748,1.3329798533011388,0.5832815936810202,0.503011006431135
PP_0246,-0.6855852998879661,0.8518324917361159,-0.8269056018185268,2.0853478682963353
PP_0247,,,,
PP_0252,-0.28134359714797424,0.5513151552694134,-0.37226668734680696,1.0497260393440784
PP_0258,-1.0238560593674129,1.8767256986353866,1.2533041245078302,0.7286889424046621
PP_0260,1.1457093246788352,0.9145015922313275,-0.6223273425740228,1.032079399151393
PP_0261,1.9883572437750063,1.4587806304335376,0.0015300455346906033,0.00037495831283905186
PP_0262,,,,
PP_0263,3.4947372354874773,0.460354418980359,-2.805411188036705,1.163278809377125
PP_0266,,,,
PP_0268,0.38978893644550305,0.9717901453395192,-0.542691342411632,2.580179113636405
PP_0280,,,,
PP_0282,0.07139061046181676,0.0778869097984783,-0.32148510044234807,0.40670033003272243
