Well,gRNA_Target
A1,PP_0814_1
A2,PP_0226_1
A3,PP_3123_1
A4,PP_0813_1
A5,PP_0437_1
A6,PP_0658_1
A7,PP_0774_1
A8,PP_0368_1
A9,PP_2137_1
A10,PP_2112_1
A11,PP_0999_1
A12,PP_1319_1
A13,PP_1506_1
A14,PP_0812_1
A15,PP_4122_1
A16,PP_2213_1
A17,PP_3755_1
A18,PP_1607_1
A19,PP_0528_1
A20,PP_1620_1
A21,PP_2339_1
A22,PP_3365_1
A23,PP_2471_1
A24,PP_1444_1
B1,PP_0597_1
B2,PP_0751_1
B3,PP_4189_1
B4,PP_0815_1
B5,PP_1769_2
B6,PP_4189_2
B7,PP_5288_2
B8,PP_4116_2
B9,PP_2136_2
B10,PP_4862_2
B11,PP_3754_2
B12,PP_4188_2
B13,PP_4550_2
B14,PP_4121_2
B15,PP_4120_2
B16,PP_0597_2
B17,PP_5417_2
B18,PP_3365_2
B19,PP_4186_2
B20,PP_3755_2
B21,PP_4122_2
B22,PP_0437_2
B23,PP_5203_2
B24,PP_2095_2
C1,PP_2213_2
C2,PP_3123_2
C3,PP_4192_2
C4,PP_4679_2
C5,PP_4678_2
C6,PP_4667_2
C7,PP_0812_2
C8,PP_0897_2
C9,PP_0528_2
C10,PP_2339_2
C11,PP_1506_2
C12,PP_0815_2
C13,PP_4191_2
C14,PP_1620_2
C15,PP_1607_2
C16,PP_4549_2
C17,PP_2471_2
C18,PP_4011_2
C19,PP_4651_2
C20,PP_1457_2
C21,PP_3578_2
C22,PP_1317_2
C23,PP_4862_3
C24,PP_4191_3
D1,PP_4678_3
D2,PP_5186_3
D3,PP_5288_3
D4,PP_4192_3
D5,PP_4667_3
D6,PP_4187_3
D7,PP_3578_3
D8,PP_0751_3
D9,PP_4120_3
D10,PP_4266_3
D11,PP_0944_3
D12,PP_3071_3
D13,PP_3365_3
D14,Vector_2
D15,Vector_3
