Line Name,Measurement Type,Time,Value,Units
Control-R1,Total Biomass Input,0.010277778,3.15,n/a
Control-R1,Total Biomass Input,0.093611111,3.12,n/a
Control-R1,Total Biomass Input,0.176944444,3.14,n/a
Control-R1,Total Biomass Input,0.260277778,3.13,n/a
Control-R1,Total Biomass Input,0.343611111,3.16,n/a
Control-R1,Total Biomass Input,0.426944444,3.16,n/a
Control-R1,Total Biomass Input,0.510277778,3.14,n/a
Control-R1,Total Biomass Input,0.593611111,3.18,n/a
Control-R1,Total Biomass Input,0.676944444,3.17,n/a
Control-R1,Total Biomass Input,0.760277778,3.14,n/a
Control-R1,Total Biomass Input,0.843611111,3.17,n/a
Control-R1,Total Biomass Input,0.926944444,3.16,n/a
Control-R1,Total Biomass Input,1.010277778,3.15,n/a
Control-R1,Total Biomass Input,1.093611111,3.17,n/a
Control-R1,Total Biomass Input,1.176944444,3.15,n/a
Control-R1,Total Biomass Input,1.260277778,3.15,n/a
Control-R1,Total Biomass Input,1.343611111,3.16,n/a
Control-R1,Total Biomass Input,1.426944444,3.14,n/a
Control-R1,Total Biomass Input,1.510277778,3.16,n/a
Control-R1,Total Biomass Input,1.593611111,3.14,n/a
Control-R1,Total Biomass Input,1.676944444,3.16,n/a
Control-R1,Total Biomass Input,1.760277778,3.17,n/a
Control-R1,Total Biomass Input,1.843611111,3.15,n/a
Control-R1,Total Biomass Input,1.926944444,3.16,n/a
Control-R1,Total Biomass Input,2.010277778,3.14,n/a
Control-R1,Total Biomass Input,2.093611111,3.17,n/a
Control-R1,Total Biomass Input,2.176944444,3.17,n/a
Control-R1,Total Biomass Input,2.260277778,3.16,n/a
Control-R1,Total Biomass Input,2.343611111,3.2,n/a
Control-R1,Total Biomass Input,2.426944444,3.17,n/a
Control-R1,Total Biomass Input,2.510277778,3.19,n/a
Control-R1,Total Biomass Input,2.593611111,3.21,n/a
Control-R1,Total Biomass Input,2.676944444,3.23,n/a
Control-R1,Total Biomass Input,2.760277778,3.24,n/a
Control-R1,Total Biomass Input,2.843611111,3.21,n/a
Control-R1,Total Biomass Input,2.926944444,3.23,n/a
Control-R1,Total Biomass Input,3.010277778,3.27,n/a
Control-R1,Total Biomass Input,3.093611111,3.27,n/a
Control-R1,Total Biomass Input,3.176944444,3.28,n/a
Control-R1,Total Biomass Input,3.260277778,3.25,n/a
Control-R1,Total Biomass Input,3.343611111,3.28,n/a
Control-R1,Total Biomass Input,3.426944444,3.31,n/a
Control-R1,Total Biomass Input,3.510277778,3.28,n/a
Control-R1,Total Biomass Input,3.593611111,3.31,n/a
Control-R1,Total Biomass Input,3.676944444,3.32,n/a
Control-R1,Total Biomass Input,3.760277778,3.34,n/a
Control-R1,Total Biomass Input,3.843611111,3.32,n/a
Control-R1,Total Biomass Input,3.926944444,3.37,n/a
Control-R1,Total Biomass Input,4.010277778,3.39,n/a
Control-R1,Total Biomass Input,4.093611111,3.38,n/a
Control-R1,Total Biomass Input,4.176944444,3.41,n/a
Control-R1,Total Biomass Input,4.260277778,3.4,n/a
Control-R1,Total Biomass Input,4.343611111,3.4,n/a
Control-R1,Total Biomass Input,4.426944444,3.52,n/a
Control-R1,Total Biomass Input,4.510277778,3.52,n/a
Control-R1,Total Biomass Input,4.593611111,3.52,n/a
Control-R1,Total Biomass Input,4.676944444,3.53,n/a
Control-R1,Total Biomass Input,4.760277778,3.49,n/a
Control-R1,Total Biomass Input,4.843611111,3.57,n/a
Control-R1,Total Biomass Input,4.926944444,3.56,n/a
Control-R1,Total Biomass Input,5.010277778,3.59,n/a
Control-R1,Total Biomass Input,5.093611111,3.62,n/a
Control-R1,Total Biomass Input,5.176944444,3.61,n/a
Control-R1,Total Biomass Input,5.260277778,3.68,n/a
Control-R1,Total Biomass Input,5.343611111,3.65,n/a
Control-R1,Total Biomass Input,5.426944444,3.64,n/a
Control-R1,Total Biomass Input,5.510277778,3.73,n/a
Control-R1,Total Biomass Input,5.593611111,3.75,n/a
Control-R1,Total Biomass Input,5.676944444,3.76,n/a
Control-R1,Total Biomass Input,5.760277778,3.77,n/a
Control-R1,Total Biomass Input,5.843611111,3.8,n/a
Control-R1,Total Biomass Input,5.926944444,3.77,n/a
Control-R1,Total Biomass Input,6.010277778,3.81,n/a
Control-R1,Total Biomass Input,6.093611111,3.8,n/a
Control-R1,Total Biomass Input,6.176944444,3.87,n/a
Control-R1,Total Biomass Input,6.260277778,3.86,n/a
Control-R1,Total Biomass Input,6.343611111,3.94,n/a
Control-R1,Total Biomass Input,6.426944444,3.93,n/a
Control-R1,Total Biomass Input,6.510277778,3.96,n/a
Control-R1,Total Biomass Input,6.593611111,4.01,n/a
Control-R1,Total Biomass Input,6.676944444,4.04,n/a
Control-R1,Total Biomass Input,6.760277778,4.2,n/a
Control-R1,Total Biomass Input,6.843611111,4.15,n/a
