Line Name,Measurement Type,Time,Value,Units
Control-R16,Total Biomass Input,18.36583333,8.98,n/a
Control-R16,Total Biomass Input,18.5325,8.99,n/a
Control-R16,Total Biomass Input,18.69916667,9.02,n/a
Control-R16,Total Biomass Input,18.86583333,8.99,n/a
Control-R16,Total Biomass Input,19.0325,9.06,n/a
Control-R16,Total Biomass Input,19.19916667,9.4,n/a
Control-R16,Total Biomass Input,19.36583333,9.16,n/a
Control-R16,Total Biomass Input,19.5325,9.31,n/a
Control-R16,Total Biomass Input,19.69916667,9.22,n/a
Control-R16,Total Biomass Input,19.86583333,9.21,n/a
Control-R16,Total Biomass Input,20.0325,9.24,n/a
Control-R16,Total Biomass Input,20.19916667,9.3,n/a
Control-R16,Total Biomass Input,20.36583333,9.49,n/a
Control-R16,Total Biomass Input,20.5325,9.32,n/a
Control-R16,Total Biomass Input,20.69916667,9.38,n/a
Control-R16,Total Biomass Input,20.86583333,9.08,n/a
Control-R16,Total Biomass Input,21.0325,9.36,n/a
Control-R16,Total Biomass Input,21.19916667,9.33,n/a
Control-R16,Total Biomass Input,21.36583333,9.29,n/a
Control-R16,Total Biomass Input,21.5325,9.51,n/a
Control-R16,Total Biomass Input,21.69916667,9.29,n/a
Control-R16,Total Biomass Input,21.86583333,9.23,n/a
Control-R16,Total Biomass Input,22.0325,9.3,n/a
Control-R16,Total Biomass Input,22.19916667,8.92,n/a
Control-R16,Total Biomass Input,22.36583333,9.36,n/a
Control-R16,Total Biomass Input,22.5325,9.33,n/a
Control-R16,Total Biomass Input,22.69916667,9.46,n/a
Control-R16,Total Biomass Input,22.86583333,9.18,n/a
Control-R16,Total Biomass Input,23.0325,9.39,n/a
Control-R16,Total Biomass Input,23.19916667,9.45,n/a
Control-R16,Total Biomass Input,23.36583333,9.25,n/a
Control-R16,Total Biomass Input,23.5325,9.47,n/a
Control-R16,Total Biomass Input,23.69916667,9.39,n/a
Control-R16,Total Biomass Input,23.86583333,9.34,n/a
Control-R16,Total Biomass Input,24.0325,9.42,n/a
Control-R16,Total Biomass Input,24.19916667,9.45,n/a
Control-R16,Total Biomass Input,24.36583333,9.42,n/a
Control-R16,Total Biomass Input,24.5325,9.3,n/a
Control-R16,Total Biomass Input,24.69916667,9.56,n/a
Control-R16,Total Biomass Input,24.86583333,9.47,n/a
Control-R16,Total Biomass Input,25.0325,9.48,n/a
Control-R16,Total Biomass Input,25.19916667,9.5,n/a
Control-R16,Total Biomass Input,25.36583333,9.35,n/a
Control-R16,Total Biomass Input,25.5325,9.64,n/a
Control-R16,Total Biomass Input,25.69916667,9.55,n/a
Control-R16,Total Biomass Input,25.86583333,9.61,n/a
Control-R16,Total Biomass Input,26.0325,9.45,n/a
Control-R16,Total Biomass Input,26.19916667,9.47,n/a
Control-R16,Total Biomass Input,26.36583333,9.48,n/a
Control-R16,Total Biomass Input,26.5325,9.61,n/a
Control-R16,Total Biomass Input,26.69916667,9.48,n/a
Control-R16,Total Biomass Input,26.86583333,9.8,n/a
Control-R16,Total Biomass Input,27.0325,9.55,n/a
Control-R16,Total Biomass Input,27.19916667,9.7,n/a
Control-R16,Total Biomass Input,27.36583333,9.57,n/a
Control-R16,Total Biomass Input,27.5325,9.71,n/a
Control-R16,Total Biomass Input,27.69916667,9.71,n/a
Control-R16,Total Biomass Input,27.86583333,9.74,n/a
Control-R16,Total Biomass Input,28.0325,9.66,n/a
Control-R16,Total Biomass Input,28.19916667,9.75,n/a
Control-R16,Total Biomass Input,28.36583333,9.58,n/a
Control-R16,Total Biomass Input,28.5325,9.6,n/a
Control-R16,Total Biomass Input,28.69916667,9.78,n/a
Control-R16,Total Biomass Input,28.86583333,9.55,n/a
Control-R16,Total Biomass Input,29.0325,9.63,n/a
Control-R16,Total Biomass Input,29.19916667,9.75,n/a
Control-R16,Total Biomass Input,29.36583333,9.68,n/a
Control-R16,Total Biomass Input,29.5325,9.76,n/a
Control-R16,Total Biomass Input,29.69916667,9.78,n/a
Control-R16,Total Biomass Input,29.86583333,9.65,n/a
Control-R16,Total Biomass Input,30.0325,9.93,n/a
Control-R16,Total Biomass Input,30.19916667,9.76,n/a
Control-R16,Total Biomass Input,30.36583333,9.73,n/a
Control-R16,Total Biomass Input,30.5325,9.85,n/a
Control-R16,Total Biomass Input,30.69916667,9.97,n/a
Control-R16,Total Biomass Input,30.86583333,9.8,n/a
Control-R16,Total Biomass Input,31.0325,9.79,n/a
Control-R16,Total Biomass Input,31.19916667,9.9,n/a
Control-R16,Total Biomass Input,31.36583333,9.87,n/a
Control-R16,Total Biomass Input,31.5325,9.9,n/a
Control-R16,Total Biomass Input,31.69916667,9.97,n/a
Control-R16,Total Biomass Input,31.86583333,9.84,n/a
Control-R16,Total Biomass Input,32.0325,9.96,n/a
Control-R16,Total Biomass Input,32.19916667,10.11,n/a
Control-R16,Total Biomass Input,32.36583333,9.84,n/a
Control-R16,Total Biomass Input,32.5325,9.86,n/a
Control-R16,Total Biomass Input,32.69916667,9.99,n/a
Control-R16,Total Biomass Input,32.86583333,9.99,n/a
Control-R16,Total Biomass Input,33.0325,9.92,n/a
Control-R16,Total Biomass Input,33.19916667,9.87,n/a
Control-R16,Total Biomass Input,33.36583333,9.9,n/a
Control-R16,Total Biomass Input,33.5325,10.05,n/a
Control-R16,Total Biomass Input,33.69916667,10,n/a
Control-R16,Total Biomass Input,33.86583333,10,n/a
Control-R16,Total Biomass Input,34.0325,9.95,n/a
Control-R16,Total Biomass Input,34.19916667,10.13,n/a
Control-R16,Total Biomass Input,34.36583333,9.85,n/a
Control-R16,Total Biomass Input,34.5325,10.03,n/a
Control-R16,Total Biomass Input,34.69916667,10.07,n/a
Control-R16,Total Biomass Input,34.86583333,10.17,n/a
Control-R16,Total Biomass Input,35.0325,10.2,n/a
Control-R16,Total Biomass Input,35.19916667,10.17,n/a
Control-R16,Total Biomass Input,35.36583333,10.17,n/a
Control-R16,Total Biomass Input,35.5325,10.11,n/a
Control-R16,Total Biomass Input,35.69916667,10.1,n/a
Control-R16,Total Biomass Input,35.86583333,10.18,n/a
Control-R16,Total Biomass Input,36.0325,10.19,n/a
Control-R16,Total Biomass Input,36.19916667,10.22,n/a
Control-R16,Total Biomass Input,36.36583333,10.2,n/a
Control-R16,Total Biomass Input,36.5325,10.24,n/a
Control-R16,Total Biomass Input,36.69916667,10.16,n/a
Control-R16,Total Biomass Input,36.86583333,10.19,n/a
Control-R16,Total Biomass Input,37.0325,10.31,n/a
Control-R16,Total Biomass Input,37.19916667,10.17,n/a
Control-R16,Total Biomass Input,37.36583333,10.34,n/a
Control-R16,Total Biomass Input,37.5325,10.2,n/a
Control-R16,Total Biomass Input,37.69916667,10.33,n/a
Control-R16,Total Biomass Input,37.86583333,10.3,n/a
Control-R16,Total Biomass Input,38.0325,10.44,n/a
Control-R16,Total Biomass Input,38.19916667,10.23,n/a
Control-R16,Total Biomass Input,38.36583333,10.36,n/a
Control-R16,Total Biomass Input,38.5325,10.35,n/a
Control-R16,Total Biomass Input,38.69916667,10.22,n/a
Control-R16,Total Biomass Input,38.86583333,10.48,n/a
Control-R16,Total Biomass Input,39.0325,10.53,n/a
Control-R16,Total Biomass Input,39.19916667,10.34,n/a
Control-R16,Total Biomass Input,39.36583333,10.33,n/a
Control-R16,Total Biomass Input,39.5325,10.46,n/a
Control-R16,Total Biomass Input,39.69916667,10.53,n/a
Control-R16,Total Biomass Input,39.86583333,10.45,n/a
Control-R16,Total Biomass Input,40.0325,10.58,n/a
Control-R16,Total Biomass Input,40.19916667,10.49,n/a
Control-R16,Total Biomass Input,40.36583333,10.57,n/a
Control-R16,Total Biomass Input,40.5325,10.56,n/a
Control-R16,Total Biomass Input,40.69916667,10.53,n/a
Control-R16,Total Biomass Input,40.86583333,10.43,n/a
Control-R16,Total Biomass Input,41.0325,10.54,n/a
Control-R16,Total Biomass Input,41.19916667,10.67,n/a
Control-R16,Total Biomass Input,41.36583333,10.56,n/a
Control-R16,Total Biomass Input,41.5325,10.59,n/a
Control-R16,Total Biomass Input,41.69916667,10.59,n/a
Control-R16,Total Biomass Input,41.86583333,10.44,n/a
Control-R16,Total Biomass Input,42.0325,10.62,n/a
Control-R16,Total Biomass Input,42.19916667,10.47,n/a
Control-R16,Total Biomass Input,42.36583333,10.64,n/a
Control-R16,Total Biomass Input,42.5325,10.61,n/a
Control-R16,Total Biomass Input,42.69916667,10.85,n/a
Control-R16,Total Biomass Input,42.86583333,10.65,n/a
Control-R16,Total Biomass Input,43.0325,10.66,n/a
Control-R16,Total Biomass Input,43.19916667,10.78,n/a
Control-R16,Total Biomass Input,43.36583333,10.76,n/a
Control-R16,Total Biomass Input,43.5325,10.7,n/a
Control-R16,Total Biomass Input,43.69916667,10.78,n/a
Control-R16,Total Biomass Input,43.86583333,10.7,n/a
Control-R16,Total Biomass Input,44.0325,10.81,n/a
Control-R16,Total Biomass Input,44.19916667,10.78,n/a
Control-R16,Total Biomass Input,44.36583333,10.75,n/a
Control-R16,Total Biomass Input,44.5325,10.76,n/a
Control-R16,Total Biomass Input,44.69916667,10.74,n/a
Control-R16,Total Biomass Input,44.86583333,10.81,n/a
Control-R16,Total Biomass Input,45.0325,10.81,n/a
Control-R16,Total Biomass Input,45.19916667,10.86,n/a
Control-R16,Total Biomass Input,45.36583333,10.9,n/a
Control-R16,Total Biomass Input,45.5325,10.93,n/a
Control-R16,Total Biomass Input,45.69916667,10.78,n/a
Control-R16,Total Biomass Input,45.86583333,10.85,n/a
Control-R16,Total Biomass Input,46.0325,10.9,n/a
Control-R16,Total Biomass Input,46.19916667,10.85,n/a
Control-R16,Total Biomass Input,46.36583333,10.87,n/a
Control-R16,Total Biomass Input,46.5325,10.86,n/a
Control-R16,Total Biomass Input,46.69916667,10.95,n/a
Control-R16,Total Biomass Input,46.86583333,10.97,n/a
Control-R16,Total Biomass Input,47.0325,10.95,n/a
Control-R16,Total Biomass Input,47.19916667,10.96,n/a
Control-R16,Total Biomass Input,47.36583333,11.02,n/a
Control-R16,Total Biomass Input,47.5325,11,n/a
Control-R16,Total Biomass Input,47.69916667,10.97,n/a
Control-R16,Total Biomass Input,47.86583333,11.02,n/a
Control-R16,Total Biomass Input,48.0325,10.98,n/a
PP_4116-R1,Total Biomass Input,0.011111111,2,n/a
PP_4116-R1,Total Biomass Input,0.177777778,1.97,n/a
PP_4116-R1,Total Biomass Input,0.344444444,1.98,n/a
PP_4116-R1,Total Biomass Input,0.511111111,1.98,n/a
PP_4116-R1,Total Biomass Input,0.677777778,1.95,n/a
PP_4116-R1,Total Biomass Input,0.844444444,1.96,n/a
PP_4116-R1,Total Biomass Input,1.011111111,1.99,n/a
PP_4116-R1,Total Biomass Input,1.177777778,1.96,n/a
PP_4116-R1,Total Biomass Input,1.344444444,1.99,n/a
PP_4116-R1,Total Biomass Input,1.511111111,1.95,n/a
PP_4116-R1,Total Biomass Input,1.677777778,1.97,n/a
PP_4116-R1,Total Biomass Input,1.844444444,2,n/a
PP_4116-R1,Total Biomass Input,2.011111111,1.99,n/a
PP_4116-R1,Total Biomass Input,2.177777778,2.03,n/a
PP_4116-R1,Total Biomass Input,2.344444444,2.03,n/a
PP_4116-R1,Total Biomass Input,2.511111111,2.03,n/a
PP_4116-R1,Total Biomass Input,2.677777778,2.03,n/a
PP_4116-R1,Total Biomass Input,2.844444444,2.08,n/a
PP_4116-R1,Total Biomass Input,3.011111111,2.1,n/a
PP_4116-R1,Total Biomass Input,3.177777778,2.09,n/a
