Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,79.01714924152438,22.53659502728497,64.01159688171832,10341.194409604946,0.43947109204781554
Random Forest Regressor,85.87864650582787,31.325768393235066,78.84101253289194,13591.047182884568,0.2633177045513132
Support Vector Regressor,103.10664375189866,37.683514463349205,91.15825358595305,18940.807182621862,-0.026657999577585523
Kernel Ridge Regressor,167.72565148734904,51.42419448114526,116.01494631134838,41591.36193448074,-1.2543972931913139
K-NN Regressor,113.30453125333334,37.942681313356104,82.18914142095169,19592.971770050783,-0.06200760132736871
Gaussian Process Regressor,105.7249248698537,40.05549460005234,91.40745259491409,19533.082128627673,-0.05876137328301789
Gradient Boosting Regressor,77.48633782033602,28.458897532152577,59.24935480321077,9514.61859340399,0.4842743924445738
TPOT Regressor,64.36483766911711,23.972235267698895,58.9932986983249,7623.04161948158,0.5868044807016353
Ensemble Model,64.75251242071802,24.22080746140797,58.98164816852976,7671.722685471472,0.5841657966506018
