,Line Name,Line Description,Units,isoprenol,rep,line_name_norep,nt_string,cycle,is_control,sorted_gene_list,number_of_grna,dbtl1_filter,dbtl3_filter,dbtl4_filter,dbtl5_filter,gRNA_1,gRNA_2,gRNA_3,gRNA_4,line_name_norep_cycle,control_plate,PP_0001,PP_0103,PP_0104,PP_0105,PP_0106,PP_0168,PP_0225,PP_0226,PP_0277,PP_0338,PP_0362,PP_0368,PP_0437,PP_0528,PP_0548,PP_0582,PP_0597,PP_0654,PP_0658,PP_0691,PP_0751,PP_0774,PP_0806,PP_0812,PP_0813,PP_0814,PP_0815,PP_0897,PP_0944,PP_0999,PP_1023,PP_1031,PP_1157,PP_1240,PP_1251,PP_1317,PP_1318,PP_1319,PP_1394,PP_1444,PP_1457,PP_1506,PP_1607,PP_1610,PP_1620,PP_1664,PP_1755,PP_1769,PP_1770,PP_1777,PP_2095,PP_2112,PP_2136,PP_2137,PP_2213,PP_2339,PP_2471,PP_2589,PP_2925,PP_3071,PP_3122,PP_3123,PP_3280,PP_3282,PP_3355,PP_3365,PP_3394,PP_3578,PP_3744,PP_3754,PP_3755,PP_4011,PP_4012,PP_4043,PP_4116,PP_4119,PP_4120,PP_4121,PP_4122,PP_4123,PP_4128,PP_4130,PP_4159,PP_4160,PP_4161,PP_4174,PP_4175,PP_4185,PP_4186,PP_4187,PP_4188,PP_4189,PP_4191,PP_4192,PP_4193,PP_4194,PP_4266,PP_4487,PP_4549,PP_4550,PP_4635,PP_4636,PP_4650,PP_4651,PP_4667,PP_4678,PP_4679,PP_4702,PP_4737,PP_4862,PP_4894,PP_5064,PP_5128,PP_5186,PP_5203,PP_5288,PP_5335,PP_5416,PP_5417,PP_5419,PP_5420,has_cycle1_gene,pass_to_art,cumulative_rep,line_name_art
1124,PP_0368_PP_0812_PP_1506-R2,DBTL4_P4_009,mg/L,367.8311,2,PP_0368_PP_0812_PP_1506,,4,False,['PP_0368' 'PP_0812' 'PP_1506'],3,True,True,False,True,PP_0368,PP_0812,PP_1506,,PP_0368_PP_0812_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0368_PP_0812_PP_1506-R2
1125,PP_0751_PP_0814_PP_4120_P4-R2,DBTL4_P4_010,mg/L,170.2385,2,PP_0751_PP_0814_PP_4120_P4,,4,False,['PP_0751' 'PP_0814' 'PP_4120'],3,True,True,False,True,PP_0751,PP_0814,PP_4120,,PP_0751_PP_0814_PP_4120_P4_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0751_PP_0814_PP_4120_P4-R2
1126,PP_0815_PP_1317_PP_1506-R2,DBTL4_P4_011,mg/L,540.442,2,PP_0815_PP_1317_PP_1506,,4,False,['PP_0815' 'PP_1317' 'PP_1506'],3,True,True,False,True,PP_0815,PP_1317,PP_1506,,PP_0815_PP_1317_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0815_PP_1317_PP_1506-R2
1127,PP_0814_PP_0815-R2,DBTL4_P4_012,mg/L,590.8884,2,PP_0814_PP_0815,,4,False,['PP_0814' 'PP_0815'],2,True,True,True,True,PP_0814,PP_0815,,,PP_0814_PP_0815_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,2,PP_0814_PP_0815-R2
1128,PP_0814_PP_1317-R2,DBTL4_P4_013,mg/L,345.2046,2,PP_0814_PP_1317,,4,False,['PP_0814' 'PP_1317'],2,True,True,True,True,PP_0814,PP_1317,,,PP_0814_PP_1317_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,2,PP_0814_PP_1317-R2
1129,PP_0814_PP_1506-R2,DBTL4_P4_014,mg/L,314.6088,2,PP_0814_PP_1506,,4,False,['PP_0814' 'PP_1506'],2,True,True,False,True,PP_0814,PP_1506,,,PP_0814_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0814_PP_1506-R2
1130,PP_0814_PP_4192-R2,DBTL4_P4_015,mg/L,413.8531,2,PP_0814_PP_4192,,4,False,['PP_0814' 'PP_4192'],2,True,True,False,True,PP_0814,PP_4192,,,PP_0814_PP_4192_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0814_PP_4192-R2
1131,PP_0815_PP_4120-R2,DBTL4_P4_016,mg/L,206.8806,2,PP_0815_PP_4120,,4,False,['PP_0815' 'PP_4120'],2,True,True,False,True,PP_0815,PP_4120,,,PP_0815_PP_4120_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2,PP_0815_PP_4120-R2
1132,PP_0368_PP_0812_PP_1506-R3,DBTL4_P4_017,mg/L,397.0856,3,PP_0368_PP_0812_PP_1506,,4,False,['PP_0368' 'PP_0812' 'PP_1506'],3,True,True,False,True,PP_0368,PP_0812,PP_1506,,PP_0368_PP_0812_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0368_PP_0812_PP_1506-R3
1133,PP_0751_PP_0814_PP_4120_P4-R3,DBTL4_P4_018,mg/L,184.1081,3,PP_0751_PP_0814_PP_4120_P4,,4,False,['PP_0751' 'PP_0814' 'PP_4120'],3,True,True,False,True,PP_0751,PP_0814,PP_4120,,PP_0751_PP_0814_PP_4120_P4_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0751_PP_0814_PP_4120_P4-R3
1134,PP_0815_PP_1317_PP_1506-R3,DBTL4_P4_019,mg/L,537.9617,3,PP_0815_PP_1317_PP_1506,,4,False,['PP_0815' 'PP_1317' 'PP_1506'],3,True,True,False,True,PP_0815,PP_1317,PP_1506,,PP_0815_PP_1317_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0815_PP_1317_PP_1506-R3
1135,PP_0814_PP_0815-R3,DBTL4_P4_020,mg/L,625.5433,3,PP_0814_PP_0815,,4,False,['PP_0814' 'PP_0815'],2,True,True,True,True,PP_0814,PP_0815,,,PP_0814_PP_0815_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,PP_0814_PP_0815-R3
1136,PP_0814_PP_1317-R3,DBTL4_P4_021,mg/L,333.9296,3,PP_0814_PP_1317,,4,False,['PP_0814' 'PP_1317'],2,True,True,True,True,PP_0814,PP_1317,,,PP_0814_PP_1317_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,3,PP_0814_PP_1317-R3
1137,PP_0814_PP_1506-R3,DBTL4_P4_022,mg/L,334.0056,3,PP_0814_PP_1506,,4,False,['PP_0814' 'PP_1506'],2,True,True,False,True,PP_0814,PP_1506,,,PP_0814_PP_1506_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0814_PP_1506-R3
1138,PP_0814_PP_4192-R3,DBTL4_P4_023,mg/L,416.4118,3,PP_0814_PP_4192,,4,False,['PP_0814' 'PP_4192'],2,True,True,False,True,PP_0814,PP_4192,,,PP_0814_PP_4192_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0814_PP_4192-R3
1139,PP_0815_PP_4120-R3,DBTL4_P4_024,mg/L,208.9126,3,PP_0815_PP_4120,,4,False,['PP_0815' 'PP_4120'],2,True,True,False,True,PP_0815,PP_4120,,,PP_0815_PP_4120_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,3,PP_0815_PP_4120-R3
1140,PP_0815_PP_4189-R1,DBTL4_P4_025,mg/L,529.1714,1,PP_0815_PP_4189,,4,False,['PP_0815' 'PP_4189'],2,True,True,True,True,PP_0815,PP_4189,,,PP_0815_PP_4189_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1,PP_0815_PP_4189-R1
1141,PP_1317_PP_4189-R1,DBTL4_P4_026,mg/L,243.5516,1,PP_1317_PP_4189,,4,False,['PP_1317' 'PP_4189'],2,True,True,False,True,PP_1317,PP_4189,,,PP_1317_PP_4189_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,1,PP_1317_PP_4189-R1
1142,PP_1506_PP_4189-R1,DBTL4_P4_027,mg/L,346.3399,1,PP_1506_PP_4189,,4,False,['PP_1506' 'PP_4189'],2,True,True,True,True,PP_1506,PP_4189,,,PP_1506_PP_4189_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1,PP_1506_PP_4189-R1
1143,PP_4120_PP_4189-R1,DBTL4_P4_028,mg/L,25.9034,1,PP_4120_PP_4189,,4,False,['PP_4120' 'PP_4189'],2,True,True,False,True,PP_4120,PP_4189,,,PP_4120_PP_4189_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,1,PP_4120_PP_4189-R1
1144,PP_4189_PP_4191-R1,DBTL4_P4_029,mg/L,315.0289,1,PP_4189_PP_4191,,4,False,['PP_4189' 'PP_4191'],2,True,True,False,True,PP_4189,PP_4191,,,PP_4189_PP_4191_c4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,1,PP_4189_PP_4191-R1
