Protein.Group,PP_0812_PP_0813_log2_FC_x,PP_0812_PP_0813_log10_pval_x,PP_0812_PP_0813_log2_FC_y,PP_0812_PP_0813_log10_pval_y,PP_0812_PP_0814_log2_FC_x,PP_0812_PP_0814_log10_pval_x,PP_0812_PP_0813_PP_0814_log2_FC_x,PP_0812_PP_0813_PP_0814_log10_pval_x,PP_0813_PP_0814_log2_FC_x,PP_0813_PP_0814_log10_pval_x,PP_0812_log2_FC_x,PP_0812_log10_pval_x,PP_0813_log2_FC_x,PP_0813_log10_pval_x,PP_0814_log2_FC_x,PP_0814_log10_pval_x,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0814_log2_FC_y,PP_0812_PP_0814_log10_pval_y,PP_0812_PP_0813_PP_0814_log2_FC_y,PP_0812_PP_0813_PP_0814_log10_pval_y,PP_0813_PP_0814_log2_FC_y,PP_0813_PP_0814_log10_pval_y,PP_0812_log2_FC_y,PP_0812_log10_pval_y,PP_0813_log2_FC_y,PP_0813_log10_pval_y,PP_0814_log2_FC_y,PP_0814_log10_pval_y
PP_0536,2.183001642760057,3.8494447473625937,2.183001642760057,3.8494447473625937,,,,,,,,,,,,,2.183001642760057,3.8494447473625937,,,,,,,,,,,,
PP_0538,-1.1382423467974256,3.2561561686216676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0578,-3.4916561039201626,5.030627956187473,-3.4916561039201626,5.030627956187473,,,,,-1.6171250735191551,3.2854691328044754,,,,,,,-3.4916561039201626,5.030627956187473,,,,,-1.6171250735191551,3.2854691328044754,,,,,,
PP_0599,1.5455846781082938,8.016296068224136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0612,-1.07768937999167,2.4336625702455055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0614,-2.364974966568097,3.1513563497835495,-2.364974966568097,3.1513563497835495,,,,,,,,,-2.4864925415475723,3.225793388105472,-3.261248156039465,3.5099988978754775,-2.364974966568097,3.1513563497835495,,,,,,,,,-2.4864925415475723,3.225793388105472,-3.261248156039465,3.5099988978754775
PP_0654,4.1578154155722995,1.870476777034055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0686,-1.5429420931793885,7.169699773950497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0720,1.9288579150123581,4.005893327542828,1.9288579150123581,4.005893327542828,,,,,,,,,,,,,1.9288579150123581,4.005893327542828,,,,,,,,,,,,
PP_0724,-3.412957815164494,7.197474267652934,-3.412957815164494,7.197474267652934,,,,,,,,,,,,,-3.412957815164494,7.197474267652934,,,,,,,,,,,,
PP_0742,1.3495961407365091,2.7990587694115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0744,1.2577625400024268,2.128374024544842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0749,1.063183257573325,3.488862242211917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0751,1.142052347003845,1.9997325030214215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0762,-2.7248331434413036,6.485189347804564,-2.7248331434413036,6.485189347804564,,,,,,,,,,,,,-2.7248331434413036,6.485189347804564,,,,,,,,,,,,
PP_0765,1.59796489987212,2.6162336246237667,,,,,1.6418866996159522,3.305353190741549,,,,,,,,,,,,,1.6418866996159522,3.305353190741549,,,,,,,,
PP_0766,1.002417359683153,1.8457924880452448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0786,1.0855261998179677,20.88639415769091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0787,1.813489107356374,1.9765559151251741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0812,-3.2767498286284518,13.169410543162018,-3.2767498286284518,13.169410543162018,-6.655575087035759,13.368554268653451,-4.5794071842318695,13.541983995929087,-6.027536703669089,13.397526566940293,,,-1.9337835511457007,3.226138709617922,-3.525572572393772,11.217811543573921,-3.2767498286284518,13.169410543162018,-6.655575087035759,13.368554268653451,-4.5794071842318695,13.541983995929087,-6.027536703669089,13.397526566940293,,,-1.9337835511457007,3.226138709617922,-3.525572572393772,11.217811543573921
PP_0813,-7.082124816041822,17.01394118281384,-7.082124816041822,17.01394118281384,-5.824486896790826,19.174925574484895,-7.862571389215667,17.031395633382363,-6.039671998940381,18.935891035492798,,,-2.280883451004653,3.0489271667993463,-7.97839800551319,17.168381106961256,-7.082124816041822,17.01394118281384,-5.824486896790826,19.174925574484895,-7.862571389215667,17.031395633382363,-6.039671998940381,18.935891035492798,,,-2.280883451004653,3.0489271667993463,-7.97839800551319,17.168381106961256
PP_0836,-1.4466118377931219,1.6048098738660943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0858,-2.0455018054013028,2.204174102183201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0859,-2.2981511330377704,2.126699370327768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0868,-1.1692536849984065,1.570550196013169,,,,,-1.9391156602780466,8.73414518550471,,,,,,,,,,,,,-1.9391156602780466,8.73414518550471,,,,,,,,
PP_0883,1.3518603121530401,3.281693937682769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0888,1.0600174515561025,2.371141463987953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0893,-1.2551522211258437,1.9912708566584398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0913,1.7621611564611372,2.0930234805382106,,,1.6377533473547052,13.24318926001034,1.767639047248837,8.037929467879158,,,,,,,,,,,1.6377533473547052,13.24318926001034,1.767639047248837,8.037929467879158,,,,,,,,
PP_0944,1.3753174908359456,2.9272415999222825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0950,-1.3847083499238668,2.7284960811320556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0954,1.0437313918641427,4.6614258224384315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0956,1.0214291765852588,2.427387297952455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0959,-1.6166601598467945,5.444030306138434,-1.6166601598467945,5.444030306138434,,,,,,,,,,,,,-1.6166601598467945,5.444030306138434,,,,,,,,,,,,
PP_0988,-4.919947933527912,12.291004573917636,-4.919947933527912,12.291004573917636,,,,,,,,,-2.0639179199177984,5.598459181987021,-4.267169647329939,6.637674333651057,-4.919947933527912,12.291004573917636,,,,,,,,,-2.0639179199177984,5.598459181987021,-4.267169647329939,6.637674333651057
PP_0998,1.9003654128951022,1.434484878170712,,,,,,,,,,,,,-2.7722195372097107,3.7911467650748722,,,,,,,,,,,,,-2.7722195372097107,3.7911467650748722
PP_1006,1.4722352883884982,2.9794484052381014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1014,1.4471688758156227,2.421805989906659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1066,-1.804519178607925,2.268873809511486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1082,-1.3973171658666976,4.783765436917489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1085,-1.6177970761186282,2.0997010583896123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1099,-2.1352413769868357,4.764603657994674,-2.1352413769868357,4.764603657994674,,,-2.6439794327667046,6.860669752158407,,,,,,,,,-2.1352413769868357,4.764603657994674,,,-2.6439794327667046,6.860669752158407,,,,,,,,
PP_1122,-1.1220059399583049,2.7615542798593093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1125,-2.1064154131815656,3.9609582877527774,-2.1064154131815656,3.9609582877527774,,,,,,,,,,,,,-2.1064154131815656,3.9609582877527774,,,,,,,,,,,,
PP_1126,-2.424780678882005,4.780583914519568,-2.424780678882005,4.780583914519568,,,,,,,,,,,,,-2.424780678882005,4.780583914519568,,,,,,,,,,,,
PP_1129,1.974736896976809,1.627010283576264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1131,2.7034679848557888,1.69487788963369,,,,,,,2.845548667026926,3.862244343408425,,,,,,,,,,,,,2.845548667026926,3.862244343408425,,,,,,
PP_1134,-1.024077049774675,4.811097109089354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1177,-1.2194109474355872,2.4875602997308732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1190,-2.1008746874991795,10.038290628296028,-2.1008746874991795,10.038290628296028,,,,,,,,,,,,,-2.1008746874991795,10.038290628296028,,,,,,,,,,,,
PP_1191,1.4041362541963396,1.5520472789519535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1230,1.169560933583508,1.5978604834233947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1236,-1.3712272572464939,2.044940605487392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1272,-2.685464447412892,3.1082725110848695,-2.685464447412892,3.1082725110848695,-2.2121361366826746,5.777334132080533,-3.7350343273548883,6.967867992900068,,,,,-1.9971508840828138,5.597009550832038,,,-2.685464447412892,3.1082725110848695,-2.2121361366826746,5.777334132080533,-3.7350343273548883,6.967867992900068,,,,,-1.9971508840828138,5.597009550832038,,
PP_1302,1.4692627960217353,2.53371800498127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1309,-1.5631489365034068,2.402824983659151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1316,-1.16991312206316,10.113268532122415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1372,1.5326120493482889,2.0396184620054663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1375,-2.8780631881779692,2.28223458066241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1385,3.9983937084964376,1.8429977263380215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1389,-2.0547181606105527,6.197143438311935,-2.0547181606105527,6.197143438311935,,,,,,,-2.0321935414141343,5.827235518031423,,,,,-2.0547181606105527,6.197143438311935,,,,,,,-2.0321935414141343,5.827235518031423,,,,
PP_1399,-4.657604099509253,1.5044753086253837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1412,6.092880872887643,2.1692509842512715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1459,-2.153661811266307,4.9699219331223805,-2.153661811266307,4.9699219331223805,,,,,,,,,,,,,-2.153661811266307,4.9699219331223805,,,,,,,,,,,,
PP_1475,1.1743390380668057,6.1895617862366965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1513,-1.9884621746522109,6.030452531379504,-1.9884621746522109,6.030452531379504,,,,,,,,,,,,,-1.9884621746522109,6.030452531379504,,,,,,,,,,,,
PP_1620,-1.4334297657419472,3.2035627228040178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1633,1.4173532460257183,2.237801992809516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1635,1.7766037026841237,3.189613543486809,1.7766037026841237,3.189613543486809,,,,,,,,,,,,,1.7766037026841237,3.189613543486809,,,,,,,,,,,,
PP_1668,-2.604762941136453,3.756161768535616,-2.604762941136453,3.756161768535616,,,,,,,,,,,,,-2.604762941136453,3.756161768535616,,,,,,,,,,,,
PP_1686,-1.348412488468031,1.879802713618354,,,,,1.7371260309534409,7.339698656900957,,,,,,,,,,,,,1.7371260309534409,7.339698656900957,,,,,,,,
PP_1695,1.2396340066549876,2.83532608292554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1726,1.5122680174826197,12.9875348074043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1741,1.6845893495579078,2.1744551490716337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1743,2.38771187914509,2.3751022097720917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1756,1.3392005949197232,2.4274369354863983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1776,1.092157190374646,5.411795744489684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1784,3.616439535022138,3.3253459642476186,3.616439535022138,3.3253459642476186,,,3.510753788404012,4.560493300712148,,,,,,,,,3.616439535022138,3.3253459642476186,,,3.510753788404012,4.560493300712148,,,,,,,,
PP_1789,1.1203637355233445,1.8040267630202778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1791,1.1575938041877563,4.216103687179081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1801,1.4812597092745623,8.62881785217767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1805,-1.3946501129285567,2.4001258383911317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1816,1.326110533680324,3.393396372882198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1830,1.00618835993328,11.93885462177243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1842,1.5035628678565203,2.7019025715514053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1911,-1.2056521919823122,2.4466420312819848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1983,-2.2715700407088715,3.7182759832407144,-2.2715700407088715,3.7182759832407144,,,,,,,,,,,,,-2.2715700407088715,3.7182759832407144,,,,,,,,,,,,
PP_1989,1.1369260481886967,9.382182906204331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_1998,1.7419734641116407,2.8979281710200078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2024,2.3674096220989993,2.1927071817784283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2053,-1.634405936394495,7.844005951378493,-1.634405936394495,7.844005951378493,,,,,,,,,,,,,-1.634405936394495,7.844005951378493,,,,,,,,,,,,
PP_2087,1.050402893515578,1.808978165252693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2129,1.5031245111557763,1.547387037297858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2130,-2.3258631651143546,3.2672016093462557,-2.3258631651143546,3.2672016093462557,,,,,,,,,,,,,-2.3258631651143546,3.2672016093462557,,,,,,,,,,,,
PP_2137,1.1531426287731734,4.34401159028238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2140,-1.8395055709905044,4.933540003481823,-1.8395055709905044,4.933540003481823,,,,,,,,,,,,,-1.8395055709905044,4.933540003481823,,,,,,,,,,,,
PP_2148,-1.2110640063654263,3.8563701656780607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2160,-3.2541622983467664,8.07331126489783,-3.2541622983467664,8.07331126489783,,,,,,,,,,,,,-3.2541622983467664,8.07331126489783,,,,,,,,,,,,
PP_2168,1.2732708089374278,9.732730422745135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2182,-1.7897102954457251,1.3895883056792866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2209,2.0811597364507257,5.048511276339778,2.0811597364507257,5.048511276339778,,,2.1358329019167988,3.425304912721749,,,,,,,,,2.0811597364507257,5.048511276339778,,,2.1358329019167988,3.425304912721749,,,,,,,,
PP_2214,-1.6308458314855885,1.8441417094565902,,,-2.0291845493546985,3.446766448912926,,,,,,,,,,,,,-2.0291845493546985,3.446766448912926,,,,,,,,,,
PP_2232,-2.1155701557034203,2.9506473333352505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2233,-1.1669876321530397,7.713520224542533,,,-2.5015401466786678,8.094821634087248,-1.9201897264654508,9.623815313287004,,,,,,,,,,,-2.5015401466786678,8.094821634087248,-1.9201897264654508,9.623815313287004,,,,,,,,
PP_2277,-2.5831547287305447,2.6616301136569076,,,-3.5047877983011144,6.252192112092471,,,,,,,,,,,,,-3.5047877983011144,6.252192112092471,,,,,,,,,,
PP_2296,-2.761387183249528,4.1142416302272995,-2.761387183249528,4.1142416302272995,,,-2.5537019270710437,3.3679543790066084,,,,,,,,,-2.761387183249528,4.1142416302272995,,,-2.5537019270710437,3.3679543790066084,,,,,,,,
PP_2310,1.6287709329666427,1.4790493359307628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
