,gRNA_Target,Concentration
1,PP_0368,210
2,PP_0751,140
3,PP_0812,210
4,PP_0528,30
5,PP_0437,340
6,PP_0814,100
7,PP_0813,130
8,PP_0815,360
9,PP_1317,60
10,PP_2136,340
11,PP_4191,120
12,PP_4192,160
13,PP_1506,350
14,PP_1769,340
15,PP_4120,100
16,PP_4189,140
17,Vector,110
