,gRNA_Target,Concentration
1,PP_0368,270
2,PP_0751,170
3,PP_0812,300
4,PP_0528,120
5,PP_0437,360
6,PP_0814,120
7,PP_0813,140
8,PP_0815,400
9,PP_1317,150
10,PP_2136,370
11,PP_4191,220
12,PP_4192,160
13,PP_1506,370
14,PP_1769,390
15,PP_4120,190
16,PP_4189,140
17,Vector,180
