Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_0581,,,,,-0.7522392654003237,-0.8387759909852763,,,,,,-0.8980321097477757,-0.7419302005163705,1.1203353526146225,-1.0532061626904528
PP_4379,0.1865075115191587,,,,,,0.20025224129529653,,,0.4511209670159832,0.535984218909433,,0.5318176163954048,,
accA,,0.4387879327188425,,,,,,,,,-1.0236801916142153,,,,
accC,-0.43152238029387424,,0.278449072155254,0.5723448065168756,0.5795853035627608,0.7051248578265246,0.362355747230265,0.6401034069500281,0.6275469792568275,,,0.40171187945597236,,0.7500502460411467,0.8665396773981043
accD,,0.4297978397217544,0.17897797477265506,,0.12214927688710417,0.11411136647605893,0.2711962091086269,,,,-1.4352873601452973,,,0.3852921170339372,0.1373239787450243
bioA,,,,,,,,1.0849404146623782,0.8385470617255792,,,,,,
bioD,,1.203607361909735,0.39388304174415034,-0.2052772041637375,-0.7888597480194351,,,,,,,,,,
bioH,,2.153039519845378,,,,,,,,,,,,,
fabA,,,,,0.32537616307421596,,0.21998060367178832,,0.3497604461912573,,,0.3407487901073709,,,
fabB,-0.24027444396136607,0.11020110117977808,,,,,,,,,,,,,
fabD,,0.3591808674914311,,,,,-0.25287104046837644,-0.2582623387958156,-0.29129512326192714,,,-0.4366321520814077,,-0.30614006708401165,-0.30946033073430623
fabF,,,,,,,,,-0.4266217368554871,,,,,,
fabG,,,,0.2911101167556063,0.23148501061059354,0.20977679584822362,0.10258554112746306,,,0.6885651630618295,,,,,0.4267925845373027
fabV,,0.25191714643432966,,-0.44084002928118926,,,,-0.11669175607565005,,,0.20165861060857748,-0.21680586665362886,,,
fabZ,,,,,,,,,,,-0.3089780061770485,,,,
