Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_4203,0.870694550872283,0.06259593322358793,,,0.10895827057606383,,0.16015162293347332,,0.09139826570779863,,0.946773077838651,0.09125797559966034,,,0.07355197949055978
atpA,,-0.2903648052581553,,,0.6578051571779112,0.6647207922930719,0.5550508554262087,0.35447749235831205,,0.43882268963592364,,0.30969691365744473,,0.5539290764336567,0.3449669538935723
atpC,,,,,,0.7391192987729155,,,,,,0.5355913874241999,,,
atpD,-0.19831814021598249,-0.4271798604662203,,,0.1953670371092023,,,,-0.3212478280028725,,-0.25667256244767545,,,,-0.260785359658853
atpF,0.10697656452712233,,,0.23076835817106078,0.5825825330995904,0.5912705751815635,0.44911678962264145,,,,,0.3934662936052552,,0.516882429092813,0.18129830413427747
atpG,,,0.1389426065276995,,0.6896739769280082,0.6561095490536896,0.5228071394175704,0.17673073473337347,,,,0.38661963850866365,0.230904066047058,0.6254172660627062,
atpH,,,,,0.7064093630431257,0.6398704103332727,0.4230612791735601,0.24292269376397638,,,,0.4601207676869939,,0.5300351183321571,
ccoN-I,,,,,1.3079862446236334,,,2.203967969156062,,,,,,,
ccoN-II,-2.1154147198599875,-0.6732202079442449,-0.38347140290538245,0.896429612504996,,0.7066666833130342,,,-0.7275382910744159,,-1.2555133410064738,1.0081473315474438,-2.1789398320911717,-0.7069751760453301,0.6170351696384456
ccoO-I,,,,,0.9575235948124354,0.946488278771952,1.4439744474510368,1.8192608823868197,,,,,-0.8642983136727345,2.2458967419470244,1.4471528814222259
ccoO-II,-1.790186599159276,-1.2798719254969986,,,,,,-0.7250106418469716,-1.1863488008712813,-0.8840884963939908,-2.2601452981566785,0.6288228677906988,-1.7423451164300936,-1.295558615701437,
ccoP-II,-2.4804981072027052,-1.28973844769847,,,,1.234916168524054,0.6565677302299409,,-0.7288313673164067,-0.5400944914511546,-2.157654053954308,0.9573982670687441,-2.7626683216645027,,
cioA,,,2.6015623108060426,,2.5051937917851608,2.436728021141495,2.07569882174485,2.2247399729109514,,-1.3719421644938739,,-2.488077992780782,-1.9710454894469953,3.618314951109475,-2.062222199095836
cyoA,,,-0.20185920790122436,,-3.020402508100569,-3.159749023766969,-3.525572572393772,-1.1976939255782015,0.2889018669547253,,,,,-6.730275713925735,0.41097997772564415
cyoB,,,,-0.1298981140631532,-3.8648264572987805,-4.436787216279758,-7.97839800551319,0.26499213552575646,0.257996828436299,,,,0.1447736853739511,-4.742766811487924,0.521048976992888
etfA,0.22734391666231504,,,,,,,,,,,,,,
etfB,0.2873424524752876,0.19084633262841671,,0.40048824614013645,0.3363318319273235,0.380988579529425,0.4090936289412,,0.46584725413872635,,0.49942677813290726,0.321238477828275,0.31182406263476925,0.5759302350407195,0.4159076283248816
fliI,1.1387711280424886,,1.1804662885484303,-2.00466346268481,,,1.5700041941771241,,,,,-1.7177223605914957,-1.8180348416278382,-1.8603361659817215,-2.495353481224379
nuoB,0.2832075009164462,0.3562236168506709,,0.2947284899430409,-0.3742026873868106,-0.25262358516370753,,,,,,-7.202450349175263,,0.2895432516399652,
nuoC,0.20202178542786023,,,,-0.6828812341980927,-0.23484472335807077,,,0.26530622528580183,0.5818845035562155,,-8.002694869564978,,,0.27489696386055457
nuoE,,-0.5868924314185908,,,-0.46881977048945,-0.4578258539832073,,-0.3413188042668475,,-1.4304642442027578,,-6.10810605260787,,,
nuoF,,,,,-0.7415962357034557,,,,,-0.5951305812074417,,-7.3562465944308695,,,
nuoG,0.17580756787216079,,0.08832633401373359,,-0.5762561743471842,-0.5753180178936473,-0.382435021381769,-0.24725578821855768,,-1.0790714704757685,,-7.820566931737068,,,
nuoH,,,,,,-0.7486802737968794,-0.3497683751143501,,,,,-5.919801566043871,,,
nuoI,,,,,-0.6314987545417641,-0.5506219383301275,-0.3311330737262933,,,-0.3925874970381917,,-6.647691300530326,,,0.14965489758543918
petA,,,0.24820787935317012,,,,0.6081997704354049,0.8988928837435759,-6.956784518141201,,,,-0.8910155535548987,1.3628283307523583,0.6831399004426959
petC,,,,0.3239781438684618,0.4281720718766234,0.40147564027019533,0.6945404534047473,,-4.359719809581982,,,,-0.595605996600764,1.3260823304050648,0.7640774420244286
sdhA,0.18943768226435143,,-0.25541261047784836,0.1332984705823045,-0.19662934144369118,,-0.17617606543889197,-0.18260403015658547,0.22822229138651134,,,-0.13155621781962823,,-0.2843323178340113,-0.5875791674163957
sdhB,,,-0.23850859174576672,,-0.4016111315973307,-0.5274118564386913,-0.3066915112462253,-0.43338957674320494,,,,,,-0.4153241819310351,-0.8658009273580017
sdhC,,,-0.3938655936474144,,,-1.3733882490957516,,-0.3529525497865865,-1.9681276409658945,-1.2524650512022677,,,,,
sdhD,,,,,-0.49154294823994665,-0.5179735415797904,,-0.4206979251286274,0.298397016436523,0.5329310892015284,,,,,-0.28380966556941134
