Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A23,4000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A23,5000.0
AQ,384PP_AQ_SP2,A11,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A23,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A24,500.0
AQ,384PP_AQ_SP2,A24,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A24,3500.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A24,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A24,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A3,5000.0
AQ,384PP_AQ_SP2,A21,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A3,4000.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A3,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A4,5000.0
AQ,384PP_AQ_SP2,A19,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A4,3100.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A4,900.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A4,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A5,2000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A5,5000.0
AQ,384PP_AQ_SP2,A18,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A5,2000.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A5,5000.0
AQ,384PP_AQ_SP2,A23,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A6,3500.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A6,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A6,500.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A6,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A7,5000.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A7,5000.0
AQ,384PP_AQ_SP2,A22,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A7,4000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A8,5000.0
AQ,384PP_AQ_SP2,A6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A8,5000.0
AQ,384PP_AQ_SP2,A24,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A8,3500.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A8,500.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A9,5000.0
AQ,384PP_AQ_SP2,B1,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A9,4000.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,A9,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B1,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B1,5000.0
AQ,384PP_AQ_SP2,B6,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B1,4000.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B10,5000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B10,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B10,2800.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B10,1200.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B11,1800.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B11,5000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B11,5000.0
AQ,384PP_AQ_SP2,B3,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B11,2200.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B12,1300.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B12,2700.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B12,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B12,5000.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B13,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B13,1300.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B13,2700.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B13,5000.0
AQ,384PP_AQ_SP2,A15,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B14,5000.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B14,2700.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B14,5000.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B14,1300.0
AQ,384PP_AQ_SP2,A22,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B2,4000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B2,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B2,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B3,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B3,5000.0
AQ,384PP_AQ_SP2,A21,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B3,4000.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B4,1200.0
AQ,384PP_AQ_SP2,B10,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B4,2800.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL5,Ligation_Digestion_DBTL5,B4,5000.0
