Strain,Time,Temperature,OD600,,,,
Control-1,Inoculation,24,0.093305369,,,,
Control-1,Inoculation,24,0.090520134,,,,
Control-1,Inoculation,24,0.096090604,,,,
?PP_0368,Inoculation,24,0.107231544,,,,
?PP_0368,Inoculation,24,0.100268456,,,,
?PP_0368,Inoculation,24,0.097483221,,,,
?PP_0751,Inoculation,24,0.084949664,,,,
?PP_0751,Inoculation,24,0.087734899,,,,
?PP_0751,Inoculation,24,0.091912752,,,,
?PP_0812,Inoculation,24,0.110016779,,,,
?PP_0812,Inoculation,24,0.111409396,,,,
?PP_0812,Inoculation,24,0.105838926,,,,
?PP_0813,Inoculation,24,0.093305369,,,,
?PP_0813,Inoculation,24,0.094697987,,,,
?PP_0813,Inoculation,24,0.096090604,,,,
?PP_0814,Inoculation,24,0.133691275,,,,
?PP_0814,Inoculation,24,0.133691275,,,,
?PP_0814,Inoculation,24,0.13090604,,,,
?PP_0815,Inoculation,24,0.009748322,,,,
?PP_0815,Inoculation,24,0.01114094,,,,
?PP_0815,Inoculation,24,0.01114094,,,,
?PP_0812-15,Inoculation,24,0.268775168,,,,
?PP_0812-15,Inoculation,24,0.107231544,,,,
?PP_0812-15,Inoculation,24,0.123942953,,,,
?PP_1317,Inoculation,24,0.101661074,,,,
?PP_1317,Inoculation,24,0.101661074,,,,
?PP_1317,Inoculation,24,0.108624161,,,,
?PP_2136,Inoculation,24,0.126728188,,,,
?PP_2136,Inoculation,24,0.126728188,,,,
?PP_2136,Inoculation,24,0.133691275,,,,
?PP_4120,Inoculation,24,0.01114094,,,,
?PP_4120,Inoculation,24,0.013926174,,,,
?PP_4120,Inoculation,24,0.01114094,,,,
?PP_4189,Inoculation,24,0.075201342,,,,
?PP_4189,Inoculation,24,0.07659396,,,,
?PP_4189,Inoculation,24,0.072416107,,,,
?PP_4191,Inoculation,24,0.01114094,,,,
?PP_4191,Inoculation,24,0.012533557,,,,
?PP_4191,Inoculation,24,0.013926174,,,,
?PP_0751 ?PP_0812,Inoculation,24,0.013926174,,,,
?PP_0751 ?PP_0812,Inoculation,24,0.013926174,,,,
?PP_0751 ?PP_0812,Inoculation,24,0.012533557,,,,
?PP_1317 ?PP_0812,Inoculation,24,0.002785235,,,,
?PP_1317 ?PP_0812,Inoculation,24,0.008355705,,,,
?PP_1317 ?PP_0812,Inoculation,24,0.008355705,,,,
?PP_0813-15 ?PP_1317,Inoculation,24,0.040385906,,,,
?PP_0813-15 ?PP_1317,Inoculation,24,0.041778523,,,,
?PP_0813-15 ?PP_1317,Inoculation,24,0.048741611,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Inoculation,24,0.01114094,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Inoculation,24,0.012533557,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Inoculation,24,0.01114094,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Inoculation,24,0.06545302,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Inoculation,24,0.055704698,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Inoculation,24,0.052919463,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Inoculation,24,0.055704698,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Inoculation,24,0.073808725,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Inoculation,24,0.058489933,,,,
?PP_0812-15 ?PP_0368,Inoculation,24,0.001392617,,,,
?PP_0812-15 ?PP_0368,Inoculation,24,0.004177852,,,,
?PP_0812-15 ?PP_0368,Inoculation,24,0,,,,
PCK-1,Inoculation,24,0.100268456,,,,
PCK-1,Inoculation,24,0.096090604,,,,
PCK-1,Inoculation,24,0.100268456,,,,
PCK-2,Inoculation,24,0.111409396,,,,
PCK-2,Inoculation,24,0.110016779,,,,
PCK-2,Inoculation,24,0.114194631,,,,
PCK-3,Inoculation,24,0.111409396,,,,
PCK-3,Inoculation,24,0.108624161,,,,
PCK-3,Inoculation,24,0.105838926,,,,
PCK-4,Inoculation,24,0.093305369,,,,
PCK-4,Inoculation,24,0.094697987,,,,
PCK-4,Inoculation,24,0.083557047,,,,
PCK-5,Inoculation,24,0.115587248,,,,
PCK-5,Inoculation,24,0.112802013,,,,
PCK-5,Inoculation,24,0.118372483,,,,
PCK-6,Inoculation,24,0.111409396,,,,
PCK-6,Inoculation,24,0.108624161,,,,
PCK-6,Inoculation,24,0.110016779,,,,
PCK-7,Inoculation,24,0.128120805,,,,
PCK-7,Inoculation,24,0.12533557,,,,
PCK-7,Inoculation,24,0.13647651,,,,
PCK-8,Inoculation,24,0.08216443,,,,
PCK-8,Inoculation,24,0.086342282,,,,
PCK-8,Inoculation,24,0.084949664,,,,
PCK-9,Inoculation,24,0.097483221,,,,
PCK-9,Inoculation,24,0.100268456,,,,
PCK-9,Inoculation,24,0.111409396,,,,
PCK-10,Inoculation,24,0.115587248,,,,
PCK-10,Inoculation,24,0.112802013,,,,
PCK-10,Inoculation,24,0.115587248,,,,
Control-2,Inoculation,24,0.103053691,,,,
Control-2,Inoculation,24,0.110016779,,,,
Control-2,Inoculation,24,0.105838926,,,,
Control-1,Induction,24,0.132762864,,,,
Control-1,Induction,24,0.116051454,,,,
Control-1,Induction,24,0.129977629,,,,
?PP_0368,Induction,24,0.152259508,,,,
?PP_0368,Induction,24,0.129977629,,,,
?PP_0368,Induction,24,0.127192394,,,,
?PP_0751,Induction,24,0.146689038,,,,
?PP_0751,Induction,24,0.166185682,,,,
?PP_0751,Induction,24,0.160615213,,,,
?PP_0812,Induction,24,0.146689038,,,,
?PP_0812,Induction,24,0.141118568,,,,
?PP_0812,Induction,24,0.143903803,,,,
?PP_0813,Induction,24,0.194038031,,,,
?PP_0813,Induction,24,0.202393736,,,,
?PP_0813,Induction,24,0.163400447,,,,
?PP_0814,Induction,24,0.155044743,,,,
?PP_0814,Induction,24,0.149474273,,,,
?PP_0814,Induction,24,0.177326622,,,,
?PP_0815,Induction,24,0.010212528,,,,
?PP_0815,Induction,24,0.010212528,,,,
?PP_0815,Induction,24,0.012997763,,,,
?PP_0812-15,Induction,24,0.118836689,,,,
?PP_0812-15,Induction,24,0.116051454,,,,
?PP_0812-15,Induction,24,0.182897092,,,,
?PP_1317,Induction,24,0.216319911,,,,
?PP_1317,Induction,24,0.182897092,,,,
?PP_1317,Induction,24,0.205178971,,,,
?PP_2136,Induction,24,0.263668904,,,,
?PP_2136,Induction,24,0.285950783,,,,
?PP_2136,Induction,24,0.464205817,,,,
?PP_4120,Induction,24,0.024138702,,,,
?PP_4120,Induction,24,0.021353468,,,,
?PP_4120,Induction,24,0.026923937,,,,
?PP_4189,Induction,24,0.188467562,,,,
?PP_4189,Induction,24,0.177326622,,,,
?PP_4189,Induction,24,0.163400447,,,,
?PP_4191,Induction,24,0.010212528,,,,
?PP_4191,Induction,24,0.012997763,,,,
?PP_4191,Induction,24,0.012997763,,,,
?PP_0751 ?PP_0812,Induction,24,0.018568233,,,,
?PP_0751 ?PP_0812,Induction,24,0.018568233,,,,
?PP_0751 ?PP_0812,Induction,24,0.015782998,,,,
?PP_1317 ?PP_0812,Induction,24,0.024138702,,,,
?PP_1317 ?PP_0812,Induction,24,0.032494407,,,,
?PP_1317 ?PP_0812,Induction,24,0.029709172,,,,
?PP_0813-15 ?PP_1317,Induction,24,0.110480984,,,,
?PP_0813-15 ?PP_1317,Induction,24,0.099340045,,,,
?PP_0813-15 ?PP_1317,Induction,24,0.107695749,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Induction,24,0.021353468,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Induction,24,0.021353468,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,Induction,24,0.021353468,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Induction,24,0.207964206,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Induction,24,0.180111857,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,Induction,24,0.182897092,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Induction,24,0.068702461,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Induction,24,0.09098434,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Induction,24,0.074272931,,,,
?PP_0812-15 ?PP_0368,Induction,24,0.007427293,,,,
?PP_0812-15 ?PP_0368,Induction,24,0.004642058,,,,
?PP_0812-15 ?PP_0368,Induction,24,0.004642058,,,,
PCK-1,Induction,24,0.196823266,,,,
PCK-1,Induction,24,0.180111857,,,,
PCK-1,Induction,24,0.207964206,,,,
PCK-2,Induction,24,0.194038031,,,,
PCK-2,Induction,24,0.199608501,,,,
PCK-2,Induction,24,0.182897092,,,,
PCK-3,Induction,24,0.188467562,,,,
PCK-3,Induction,24,0.166185682,,,,
PCK-3,Induction,24,0.171756152,,,,
PCK-4,Induction,24,0.132762864,,,,
PCK-4,Induction,24,0.124407159,,,,
PCK-4,Induction,24,0.177326622,,,,
PCK-5,Induction,24,0.157829978,,,,
PCK-5,Induction,24,0.177326622,,,,
PCK-5,Induction,24,0.174541387,,,,
PCK-6,Induction,24,0.152259508,,,,
PCK-6,Induction,24,0.141118568,,,,
PCK-6,Induction,24,0.160615213,,,,
PCK-7,Induction,24,0.141118568,,,,
PCK-7,Induction,24,0.124407159,,,,
PCK-7,Induction,24,0.132762864,,,,
PCK-8,Induction,24,0.157829978,,,,
PCK-8,Induction,24,0.138333333,,,,
PCK-8,Induction,24,0.180111857,,,,
PCK-9,Induction,24,0.194038031,,,,
PCK-9,Induction,24,0.202393736,,,,
PCK-9,Induction,24,0.196823266,,,,
PCK-10,Induction,24,0.171756152,,,,
