Strain,Type,Titer
ΔPP_0368,Non-Target,182.4908
ΔPP_0751,Non-Target,104.5402
ΔPP_0812,Non-Target,271.1084
ΔPP_0813,Non-Target,467.9667
ΔPP_0814,Non-Target,300.6
ΔPP_0815,Non-Target,254.3022
ΔPP_0812-15,Non-Target,255.1032
ΔPP_0368,Non-Target,204.6302
ΔPP_0751,Non-Target,312.0283
ΔPP_0812,Non-Target,301.2882
ΔPP_0813,Non-Target,519.7242
ΔPP_0814,Non-Target,389.3863
ΔPP_0815,Non-Target,227.8252
ΔPP_0812-15,Non-Target,204.8562
ΔPP_0368,Non-Target,197.1067
ΔPP_0751,Non-Target,120.1894
ΔPP_0812,Non-Target,241.486
ΔPP_0813,Non-Target,525.5313
ΔPP_0814,Non-Target,314.0237
ΔPP_0815,Non-Target,227.4597
ΔPP_0812-15,Non-Target,217.4319
ΔPP_0368,Target,294.6134
ΔPP_0751,Target,150.9114
ΔPP_0812,Target,279.7719
ΔPP_0813,Target,440.7988
ΔPP_0814,Target,9.447
ΔPP_0815,Target,587.4626
ΔPP_0812-15,Target,383.3879
ΔPP_0368,Target,276.1064
ΔPP_0751,Target,357.4545
ΔPP_0812,Target,337.1268
ΔPP_0813,Target,508.5971
ΔPP_0814,Target,6.4781
ΔPP_0815,Target,515.6529
ΔPP_0812-15,Target,338.3292
ΔPP_0368,Target,278.998
ΔPP_0751,Target,449.5876
ΔPP_0812,Target,362.2989
ΔPP_0813,Target,554.4844
ΔPP_0814,Target,8.7944
ΔPP_0815,Target,609.4419
ΔPP_0812-15,Target,402.3302
ΔPP_0751 ΔPP_0812,Non-Target,380.0222
ΔPP_1317 ΔPP_0812,Non-Target,326.9797
ΔPP_0813-15 ΔPP_1317,Non-Target,367.5621
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Non-Target,8.2758
ΔPP_0751 ΔPP_0812,Non-Target,381.5086
ΔPP_1317 ΔPP_0812,Non-Target,345.9928
ΔPP_0813-15 ΔPP_1317,Non-Target,408.3648
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Non-Target,8.9581
ΔPP_0751 ΔPP_0812,Non-Target,414.4412
ΔPP_1317 ΔPP_0812,Non-Target,391.9309
ΔPP_0813-15 ΔPP_1317,Non-Target,404.0003
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Non-Target,11.5739
ΔPP_0751 ΔPP_0812,Target,310.2663
ΔPP_1317 ΔPP_0812,Target,363.8357
ΔPP_0813-15 ΔPP_1317,Target,287.9086
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Target,4.8139
Control,Non-Target,157.5354
ΔPP_0751 ΔPP_0812,Target,315.2779
ΔPP_1317 ΔPP_0812,Target,357.1102
ΔPP_0813-15 ΔPP_1317,Target,337.8964
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Target,7.3206
Control,Non-Target,152.7631
ΔPP_0751 ΔPP_0812,Target,335.6701
ΔPP_1317 ΔPP_0812,Target,345.8313
ΔPP_0813-15 ΔPP_1317,Target,347.9492
IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Target,8.2999
Control,Non-Target,164.3926
ΔPP_1317,Non-Target,98.6023
ΔPP_2136,Non-Target,332.0178
ΔPP_4189,Non-Target,312.9791
ΔPP_4191,Non-Target,8.1263
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Non-Target,224.4257
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Non-Target,229.0386
Control,Non-Target,157.1542
ΔPP_1317,Non-Target,115.7348
ΔPP_2136,Non-Target,308.0843
ΔPP_4189,Non-Target,325.632
ΔPP_4191,Non-Target,6.8766
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Non-Target,198.4902
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Non-Target,215.8144
Control,Non-Target,158.1055
ΔPP_1317,Non-Target,101.8542
ΔPP_2136,Non-Target,297.0437
ΔPP_4189,Non-Target,313.1991
ΔPP_4191,Non-Target,11.3554
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Non-Target,205.2324
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Non-Target,200.1448
Control,Non-Target,153.7041
ΔPP_1317,Target,146.4483
ΔPP_2136,Target,315.2101
ΔPP_4189,Target,6.728
ΔPP_4191,Target,7.3117
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Target,293.0915
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Target,378.656
ΔPP_1317,Target,132.9527
ΔPP_2136,Target,354.6784
ΔPP_4189,Target,6.1987
ΔPP_4191,Target,5.9466
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Target,302.839
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Target,402.7917
ΔPP_1317,Target,152.9362
ΔPP_2136,Target,351.6181
ΔPP_4189,Target,5.6419
ΔPP_4191,Target,5.4266
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Target,366.3893
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Target,397.0035
