Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0415,,,,,-0.366499253495113,4.981106748230449,0.21349690379615593,2.7674031309454783,,,,,,,,,-0.1922337851763197,1.829820100480577,,,,,,,0.3065028349171298,2.6657418992862394,,
PP_1009,,,-0.7528183926667199,5.397051008749187,-0.25260449111907385,2.3614645692216603,,,,,0.1820889333148898,1.4680721701185242,-0.5720342132174121,4.521777064622118,-0.44760129175004065,4.3808198327176875,-1.078029827037811,8.55986812772411,,,,,,,-0.6485139895241477,5.5459752341793855,-0.43272594642258166,4.163083581390849
PP_1010,,,-0.2722691904122729,3.6912679748522628,,,-0.15229567938701777,2.2081179703068243,-0.14036224192770452,2.9425753737880744,,,-0.3968580999716674,1.5534271437177916,-0.19506691459748296,2.2072972943408846,,,,,-0.17237246393676203,1.7833745539617916,,,,,,
PP_1011,,,,,,,,,,,-0.2174639692391971,2.403796120337377,,,,,,,,,,,,,,,-0.1983742974798458,1.4119704823185595
PP_1022,,,,,0.16828624482978463,2.1261292521309505,,,,,,,,,,,,,,,,,,,,,,
PP_1023,,,,,0.2358274133579397,3.2098653279601224,,,0.32531577220439634,1.9159812548146709,0.3869843847234861,2.7820029131869393,0.39131579975704933,2.292438429531081,,,0.5931462605756302,1.9323586934495929,-0.4099724622782929,4.489745397280029,,,,,0.6920704701934556,4.920359187729112,,
PP_1024,-0.31140509949092005,1.6169238473487135,-0.505757343523758,2.725509616567772,0.4920842181825856,3.5044948050332936,0.49070702552243817,3.223036459856931,0.4909143126500016,1.729247350667765,0.5675660473404394,4.3867325662482015,,,,,,,-0.7065297172252523,2.297497596790877,,,,,0.39168893340856625,4.332899241046738,,
PP_1362,,,,,-0.2058649913994275,1.3962069931445134,-0.32619403890038307,1.9150624587271634,-0.37289460635995825,1.9667300115548898,,,,,0.2495460790773235,1.9804010556877554,,,,,-0.24518228254564026,1.6453676152263197,,,,,,
PP_1444,,,-0.23065983734805048,1.4760829641510218,0.5023797033312822,3.977055192607771,,,,,,,1.0722761572604056,3.0068738836637183,1.542300948914619,1.3129133417084111,,,,,,,,,,,,
PP_1612,,,-0.2910032076956797,3.0113324789003713,,,0.2661715175081637,2.5709686918952053,,,0.1387395128938992,3.4388582509038157,,,,,,,,,0.44966665976733844,2.442597854817305,0.23458603593161767,1.8162963284436402,,,,
