Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
accC,0.5888845466111728,0.38081451061044874,0.7312360880799276,0.6091539283151045,,0.4375473502537692,,,0.5851786996909757,0.3829257438061659,0.5266951271248334,0.3939380108517928,,0.5563477916345849,,,0.5212489006355956,0.5348716586933416,0.8669431459303851,,0.40329788715707393,,,,0.5679195353631934
accD,0.25289423789818977,,0.4314040164652769,0.4196741397609355,,0.1657961868834809,,,0.2954812143045338,,0.4107527939053737,-0.4698609929675477,-0.6444329377875849,,-1.0106589446992293,0.2547330235882346,0.4368964463697372,,,0.23996452133269688,,-0.058585109915123584,-0.29431642926706036,,0.369156250618722
bioD,0.2653962544097457,,,,0.7813534639901623,,0.7020545542006592,,,,,,,,,0.7740525274992778,0.8105491021194199,,,0.41112805019459275,,0.8601972160097271,,,
fabB,-0.22337799634339126,,0.2424431380676315,,0.14415346206638116,-0.14866400478849376,,,0.21881655859298327,0.9507702840733251,,0.7958648130977601,1.1608077247482904,0.18637531967682286,,0.10544856884080274,,1.1696411826387656,,0.13283541742890248,0.8560872514090203,0.2116535816028677,0.25665155574415605,0.4475838360263631,
fabF,-1.5508591250108508,-1.7415052115285146,-0.9622499735504015,-1.8713091363111656,,,,,,,,,,-1.2614529340890994,-0.8213815108195487,-0.30844708761753004,,0.4024454805998696,,,,,,0.2153157151572106,-1.2685659769115583
fabG,1.084801999698418,1.1941665839200057,1.0418021408767488,0.9030427476685814,0.7260817998202028,0.7335942969004539,0.6332081826244175,0.6879441592618654,1.0137675884026067,0.8890471446558975,0.8615430007141718,0.8264769158287913,1.1766338609892961,1.0597360428349076,,0.7761168713681807,0.9920965623415624,1.0122001985240539,1.1454939023552095,0.7692995957235894,0.5585920115510777,0.7281337395758827,0.812543119992333,0.5326005040253866,1.1931200330150324
PP_4379,,0.31972702343488185,,,-0.2803659180565002,,-0.2251132340472151,,,,,,,,-0.25214540547188913,,,,,-0.27981818339585135,,,,,
fabV,,0.25028110958926536,,,,,,,,,0.21685401284329428,-0.4910235474610671,,,,,0.1618921044408429,,,,-0.931191398528434,0.1264773146409112,0.1704180260419264,0.16880902184181537,
fabZ,,0.7579652802320396,,,0.6712847465034781,0.8655059689460428,0.8012227475946692,0.9148796362219227,,-0.9817047358117135,,-1.2214445462798744,-0.9093881558099693,,-2.9033206915367265,0.6762704176476703,,-0.7345947853857643,-1.0147687283256592,0.7670377557698898,-1.4578200662767624,0.7309512088518108,0.8213812015604807,0.8689497400817687,
PP_0581,,,0.7261232184062039,0.7844133753331979,,,1.440920879877393,,0.8749637155726999,,,,,,,,,,,,,0.8260215602331576,,,0.6724192147611983
bioA,,,,1.4513228733366055,1.4352133868300319,,1.5480958877542366,1.579263995179822,,,,,,,-1.2883694808969912,1.691103380205555,,,,1.6302870694682616,-1.8871489295692898,2.115876532680939,1.6858444166180093,1.3834541860450065,
bioH,,,,,0.8255946898595211,,,,,,,,,,,,,,,,,,-1.2998999381369394,1.644850085201306,
fabD,,,,,-0.3770656756631643,-0.27918834803537973,-0.4212665170068346,-0.5038302142122696,,-0.5121744655283149,,-0.6458146843290473,-0.9078831748225291,,-1.4521593735683271,-0.301017829653428,,-0.47439944170354165,-0.8151307112843372,-0.39718868919232053,,-0.3378272293208682,-0.29796300730602254,-0.4017365028294045,
fabA,,,,,,,,0.07661546733708986,,-0.5642637449523034,,-0.6483652251501852,-0.9779140679311081,,-1.842085782675173,,,-0.40345060419423945,-0.6429055372312212,,-1.1085830495136462,,0.12926669808838498,0.21229631180400688,
accA,,,,,,,,,,,,,0.3604167291152898,,,,,0.44603159881982235,0.3540442435012396,,,-0.2572827379362729,-0.43608723820960815,,0.7896471427913527
