DBTL_Cycle,Line_name,Line,Replicate,mvaE,mvaS,MK,PMD*,AphA,dCas9
4,Control_P2-R2,Control_P2,R2,1.41212274,0.759797011,0.979672243,2.69038444,0.304003198,0.043056132
4,Control_P2-R3,Control_P2,R3,1.240155853,0.617495605,0.969794322,2.647666345,0.371617536,0.047369174
4,Control_P3-R1,Control_P3,R1,0.891998911,0.424541211,0.563837243,1.453566395,0.391693271,0.011927502
4,Control_P3-R2,Control_P3,R2,0.930942343,0.442447057,0.722977294,1.604727516,0.343938294,0.020938553
4,Control_P3-R3,Control_P3,R3,0.796107608,0.368263111,0.467559815,1.194495085,0.331774653,0.005422466
4,Control_P4-R1,Control_P4,R1,1.612104527,0.51305141,0.595691411,2.332473362,2.16448962,0.012230518
4,Control_P4-R2,Control_P4,R2,1.689010561,0.432824328,0.707994969,2.247380512,0.48753332,0.053282611
4,Control_P4-R3,Control_P4,R3,1.602203976,0.354376019,0.621438627,2.043909863,0.562953295,0.068871072
5,Control_P1-R1,Control_P1,R1,1.392464442,0.363015635,0.639168047,2.675237492,1.316050214,0.034693637
5,Control_P1-R2,Control_P1,R2,1.366770044,0.460597386,0.763947163,2.535102813,1.117087978,0.037161075
5,Control_P1-R3,Control_P1,R3,1.193776241,0.369174386,0.737149533,2.702966207,1.576180491,0.038068787
5,Control_P2-R1,Control_P2,R1,1.357134959,0.45888736,0.750085563,2.398296679,0.89892458,0.032160218
5,Control_P2-R2,Control_P2,R2,1.335313396,0.482604712,0.765894172,2.430806334,1.028066589,0.041286586
5,Control_P2-R3,Control_P2,R3,1.288960201,0.410925981,0.840123626,2.530563233,0.94568349,0.038755292
5,Control_P3-R1,Control_P3,R1,1.231121745,0.364347294,0.929016475,2.377419264,0.833389847,0.03729291
5,Control_P3-R2,Control_P3,R2,1.248012614,0.307893286,0.926699082,2.391411521,1.167141879,0.03106049
5,Control_P3-R3,Control_P3,R3,1.172581274,0.432564393,0.960394435,2.53665401,0.501428369,0.033900959
5,Control_P4-R1,Control_P4,R1,1.580412557,0.309514274,0.825223361,2.41379402,0.876807666,0.035790044
5,Control_P4-R2,Control_P4,R2,1.534377214,0.337173144,0.812843032,2.395011686,0.443871925,0.034312583
5,Control_P4-R3,Control_P4,R3,1.608646497,0.320073026,0.920116633,2.481968551,0.277003394,0.045253433
6,Control_P1-R1,PRT1093_Control_P1,R1,1.20910998,0.414837403,0.613011627,3.295485314,0.355508823,0.014670957
6,Control_P1-R2,PRT1093_Control_P1,R2,1.153055744,0.348234548,0.585563817,2.974040769,0.401468464,0.016621897
6,Control_P1-R3,PRT1093_Control_P1,R3,1.18183975,0.383960078,0.644893502,3.097787256,0.348890179,0.018893594
6,Control_P2-R1,PRT1093_Control_P2,R1,1.379916748,0.51608824,0.606689149,3.077123871,0.358918692,0.021608079
6,Control_P2-R2,PRT1093_Control_P2,R2,1.424828295,0.374453294,0.607625386,3.04460229,0.445370941,0.019930461
6,Control_P2-R3,PRT1093_Control_P2,R3,1.499678925,0.337061895,0.702640851,3.305790768,0.450746095,0.021280016
6,Control_P3-R1,PRT1093_Control_P3,R1,1.458466084,0.496963385,0.780314205,3.398357211,0.292122022,0.034298724
6,Control_P3-R2,PRT1093_Control_P3,R2,1.440968013,0.728775279,0.785865735,3.301578416,0.50128376,0.038441089
6,Control_P3-R3,PRT1093_Control_P3,R3,1.491340286,0.690234025,0.80436721,3.433657623,0.393282838,0.041598419
6,Control_P4-R1,PRT1093_Control_P4,R1,1.689862896,0.763467469,0.759879525,2.951231145,0.322447005,0.031823525
6,Control_P4-R2,PRT1093_Control_P4,R2,1.581805376,0.742331478,0.739134835,2.896158311,0.315600658,0.031061242
6,Control_P4-R3,PRT1093_Control_P4,R3,1.765090509,0.733428334,0.828131471,3.250181583,0.394853708,0.032572631
