Strain,Replicate,Inducer concentration,Isoprenol
pSTABL2 (PP_2971-74),R1,1000,161.902
pSTABL2 (PP_2971-74),R2,1000,172.693
pSTABL2 (PP_2971-74),R3,1000,170.198
pSTABL2 (PP_2971-74),R1,500,198.124
pSTABL2 (PP_2971-74),R2,500,185.304
pSTABL2 (PP_2971-74),R3,500,183.032
pSTABL2 (PP_2971-74),R1,250,207.072
pSTABL2 (PP_2971-74),R2,250,202.102
pSTABL2 (PP_2971-74),R3,250,208.553
pSTABL2 (PP_2971-74),R1,125,210.198
pSTABL2 (PP_2971-74),R2,125,218.974
pSTABL2 (PP_2971-74),R3,125,217.652
pSTABL2 (PP_2971-74),R1,62.5,225.874
pSTABL2 (PP_2971-74),R2,62.5,245.372
pSTABL2 (PP_2971-74),R3,62.5,206.049
pSTABL2 (PP_2971-74),R1,31.25,214.667
pSTABL2 (PP_2971-74),R2,31.25,231.184
pSTABL2 (PP_2971-74),R3,31.25,221.218
pSTABL2 (PP_2971-74),R1,0,275.641
pSTABL2 (PP_2971-74),R2,0,287.882
pSTABL2 (PP_2971-74),R3,0,297.633
Control,R1,0,249.62
Control,R2,0,268.792
Control,R3,0,256.611
