"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","ppu03010","Ribosome - Pseudomonas putida KT2440","51/173","76/1824",0.671052631578947,7.07514450867052,17.5079599367364,4.98289530025478e-37,3.48802671017834e-35,2.98973718015287e-35,"PP_0458/PP_0477/PP_0449/PP_0472/PP_0389/PP_5281/PP_1315/PP_0461/PP_0468/PP_1462/PP_0478/PP_1911/PP_0453/PP_2468/PP_0457/PP_0689/PP_0009/PP_0470/PP_0467/PP_1316/PP_1772/PP_4877/PP_0444/PP_0476/PP_0463/PP_1591/PP_4876/PP_0480/PP_1465/PP_4709/PP_0460/PP_0450/PP_0462/PP_0469/PP_0464/PP_0471/PP_0466/PP_0688/PP_0721/PP_0446/PP_2467/PP_0455/PP_0456/PP_0454/PP_0465/PP_4874/PP_0445/PP_0443/PP_0459/PP_0600/PP_0473",51
"Metabolism","Global and overview maps","ppu01200","Carbon metabolism - Pseudomonas putida KT2440","29/173","134/1824",0.216417910447761,2.28177033905616,4.98840968413601,7.99343714732543e-06,0.00027977030015639,0.000239803114419763,"PP_5040/PP_4187/PP_5155/PP_4963/PP_2149/PP_1607/PP_5056/PP_4960/PP_1023/PP_4715/PP_0559/PP_0558/PP_0986/PP_0897/PP_1612/PP_0597/PP_5194/PP_1010/PP_0722/PP_0356/PP_4194/PP_2335/PP_2334/PP_4667/PP_3416/PP_1009/PP_0988/PP_4487/PP_4116",29
"Metabolism","Carbohydrate metabolism","ppu00010","Glycolysis / Gluconeogenesis - Pseudomonas putida KT2440","12/173","38/1824",0.315789473684211,3.32947976878613,4.69626789892683,0.000109101941108567,0.00215928196701093,0.0018508131145808,"PP_5040/PP_4187/PP_4963/PP_2149/PP_5056/PP_4960/PP_4715/PP_1612/PP_1009/PP_4487/PP_2674/PP_2680",12
"Metabolism","Carbohydrate metabolism","ppu00640","Propanoate metabolism - Pseudomonas putida KT2440","11/173","33/1824",0.333333333333333,3.51445086705202,4.71731828851978,0.000123387540972053,0.00215928196701093,0.0018508131145808,"PP_4187/PP_1607/PP_0559/PP_0558/PP_0597/PP_2335/PP_2334/PP_4667/PP_4403/PP_4487/PP_4116",11
"Metabolism","Energy metabolism","ppu00710","Carbon fixation by Calvin cycle - Pseudomonas putida KT2440","6/173","13/1824",0.461538461538462,4.86616273899511,4.5272599423362,0.000651487386405832,0.00912082340968165,0.00781784863686999,"PP_5040/PP_4963/PP_2149/PP_4960/PP_4715/PP_1009",6
"Metabolism","Lipid metabolism","ppu00061","Fatty acid biosynthesis - Pseudomonas putida KT2440","7/173","19/1824",0.368421052631579,3.88439306358381,4.09011471803889,0.00115165321732207,0.0134359542020908,0.0115165321732207,"PP_1914/PP_1607/PP_0559/PP_0558/PP_1602/PP_4174/PP_4549",7
"Metabolism","Carbohydrate metabolism","ppu00030","Pentose phosphate pathway - Pseudomonas putida KT2440","9/173","34/1824",0.264705882352941,2.79088745324719,3.41133276955406,0.00327071333650902,0.0327071333650902,0.0280346857415059,"PP_5040/PP_4960/PP_1023/PP_0786/PP_1010/PP_0722/PP_3416/PP_3376/PP_3378",9
