orig,has_6letter_substring,extracted
sp|Q88BY9|Q88BY9_PSEPK Pp_5395,True,Q88BY9
sp|Q88BZ1|Q88BZ1_PSEPK Pp_5392,True,Q88BZ1
sp|Q88BZ2|Q88BZ2_PSEPK Pp_5391,True,Q88BZ2
sp|Q88BZ3|Q88BZ3_PSEPK Pp_5390,True,Q88BZ3
sp|Q88BZ4|Q88BZ4_PSEPK Pp_5389,True,Q88BZ4
sp|Q88BZ5|Q88BZ5_PSEPK Pp_5388,True,Q88BZ5
sp|Q88BZ6|Q88BZ6_PSEPK Pp_5387,True,Q88BZ6
sp|Q88C00|Q88C00_PSEPK Copr,True,Q88C00
sp|Q88C03|Q88C03_PSEPK Copa,True,Q88C03
sp|Q88C04|Q88C04_PSEPK Copb,True,Q88C04
sp|Q88C05|Q88C05_PSEPK Pp_5378,True,Q88C05
sp|Q88C17|Q88C17_PSEPK Lpd3,True,Q88C17
sp|Q88C18|Q88C18_PSEPK Pp_5365,True,Q88C18
sp|Q88C20|Q88C20_PSEPK Pp_5363,True,Q88C20
sp|Q88C26|PDXY_PSEPK Pdxy,True,Q88C26
sp|Q88C28|Q88C28_PSEPK Pp_5355,True,Q88C28
sp|Q88C29|Q88C29_PSEPK Pp_5354,True,Q88C29
sp|Q88C30|Q88C30_PSEPK Pp_5353,True,Q88C30
sp|Q88C31|Q88C31_PSEPK Uvrd,True,Q88C31
sp|Q88C32|Q88C32_PSEPK Zwf-3,True,Q88C32
sp|Q88C33|Q88C33_PSEPK Pp_5350,True,Q88C33
sp|Q88C36|Q88C36_PSEPK Accc-2,True,Q88C36
sp|Q88C37|Q88C37_PSEPK Oada,True,Q88C37
sp|Q88C38|Q88C38_PSEPK Pp_5345,True,Q88C38
sp|Q88C39|Q88C39_PSEPK Pp_5344,True,Q88C39
sp|Q88C42|Q88C42_PSEPK Pp_5341,True,Q88C42
sp|Q88C43|Q88C43_PSEPK Pp_5340,True,Q88C43
sp|Q88C45|Q88C45_PSEPK Aspa,True,Q88C45
sp|Q88C46|Q88C46_PSEPK Pp_5337,True,Q88C46
sp|Q88C47|Q88C47_PSEPK Pure,True,Q88C47
sp|Q88C48|Q88C48_PSEPK Purk,True,Q88C48
sp|Q88C51|Q88C51_PSEPK Pp_5332,True,Q88C51
sp|Q88C52|Q88C52_PSEPK Pp_5331,True,Q88C52
sp|Q88C53|Q88C53_PSEPK Pp_5330,True,Q88C53
sp|Q88C54|Q88C54_PSEPK Psts,True,Q88C54
