orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
sp|Q88F34|Q88F34_PSEPK Anr,True,Q88F34,PP_4265,fnrA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F35|Q88F35_PSEPK Hemn,True,Q88F35,PP_4264,hemN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F38|Q88F38_PSEPK Pp_4261,True,Q88F38,PP_4261,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F39|Q88F39_PSEPK Pp_4260,True,Q88F39,PP_4260,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F40|Q88F40_PSEPK Pp_4259,True,Q88F40,PP_4259,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F41|Q88F41_PSEPK Ccop-2,True,Q88F41,PP_4258,ccoP-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F43|Q88F43_PSEPK Ccoo-2,True,Q88F43,PP_4256,ccoO-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F44|Q88F44_PSEPK Ccon-2,True,Q88F44,PP_4255,ccoN-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F46|Q88F46_PSEPK Ccop-1,True,Q88F46,PP_4253,ccoP-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F48|Q88F48_PSEPK Ccoo-1,True,Q88F48,PP_4251,ccoO-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F49|Q88F49_PSEPK Ccon-1,True,Q88F49,PP_4250,ccoN-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F50|Q88F50_PSEPK Pp_4249,True,Q88F50,PP_4249,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F51|Y4248_PSEPK Pp_4248,True,Q88F51,PP_4248,ppnP,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F54|Q88F54_PSEPK Pp_4245,True,Q88F54,PP_4245,pvdY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F62|Q88F62_PSEPK Dsbg,True,Q88F62,PP_4237,dsbG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F66|Q88F66_PSEPK Pp_4232,True,Q88F66,PP_4232,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F67|Q88F67_PSEPK Pp_4231,True,Q88F67,PP_4231,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F70,True,Q88F70,PP_4228,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F73,True,Q88F73,PP_4225,qseB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F75|Q88F75_PSEPK Pp_4223,True,Q88F75,PP_4223,pvdH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F76|Q88F76_PSEPK Pp_4222,True,Q88F76,PP_4222,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F77|Q88F77_PSEPK Pp_4221,True,Q88F77,PP_4221,pvdI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F78|Q88F78_PSEPK Pp_4220,True,Q88F78,PP_4220,pvdJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F80|Q88F80_PSEPK Pp_4218,True,Q88F80,PP_4218,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F81|Q88F81_PSEPK Fpva,True,Q88F81,PP_4217,fpvA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F82|Q88F82_PSEPK Pvde,True,Q88F82,PP_4216,pvdE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F83|Q88F83_PSEPK Pp_4215,True,Q88F83,PP_4215,pvdO,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F84|Q88F84_PSEPK Pp_4214,True,Q88F84,PP_4214,pvdN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F85|Q88F85_PSEPK Pp_4213,True,Q88F85,PP_4213,pvdM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F86|Q88F86_PSEPK Pp_4212,True,Q88F86,PP_4212,pvdP,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F94|Q88F94_PSEPK Pp_4204,True,Q88F94,PP_4204,mqsA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F95|Q88F95_PSEPK Pp_4203,True,Q88F95,PP_4203,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F96|Q88F96_PSEPK Pp_4202,True,Q88F96,PP_4202,etfB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F97|Q88F97_PSEPK Pp_4201,True,Q88F97,PP_4201,etfA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F98|Q88F98_PSEPK Pp_4200,True,Q88F98,PP_4200,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88F99|Q88F99_PSEPK Pp_4199,True,Q88F99,PP_4199,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA0|Q88FA0_PSEPK Pp_4198,True,Q88FA0,PP_4198,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA1|Q88FA1_PSEPK Pp_4197,True,Q88FA1,PP_4197,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA4|Q88FA4_PSEPK Glta,True,Q88FA4,PP_4194,gltA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA5|Q88FA5_PSEPK Sdhc,True,Q88FA5,PP_4193,sdhC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA6|Q88FA6_PSEPK Sdhd,True,Q88FA6,PP_4192,sdhD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA7|Q88FA7_PSEPK Sdha,True,Q88FA7,PP_4191,sdhA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA8|Q88FA8_PSEPK Sdhb,True,Q88FA8,PP_4190,sdhB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FA9|Q88FA9_PSEPK Kgda,True,Q88FA9,PP_4189,sucA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB0|Q88FB0_PSEPK Kgdb,True,Q88FB0,PP_4188,sucB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB1|Q88FB1_PSEPK Lpdg,True,Q88FB1,PP_4187,lpdG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB2|SUCC_PSEPK Succ,True,Q88FB2,PP_4186,sucC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB3|Q88FB3_PSEPK Sucd,True,Q88FB3,PP_4185,sucD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB5|Q88FB5_PSEPK Pp_4183,True,Q88FB5,PP_4183,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB8|Q88FB8_PSEPK PP_4180,True,Q88FB8,PP_4180,yigI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FB9|HTPG_PSEPK Htpg,True,Q88FB9,PP_4179,htpG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC0|Q88FC0_PSEPK Pp_4178,True,Q88FC0,PP_4178,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC1|Q88FC1_PSEPK Pp_4177,True,Q88FC1,PP_4177,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC3|Q88FC3_PSEPK Fabb,True,Q88FC3,PP_4175,fabB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC4|FABA_PSEPK Faba,True,Q88FC4,PP_4174,fabA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC5|Q88FC5_PSEPK Pp_4173,True,Q88FC5,PP_4173,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC6|Q88FC6_PSEPK Pp_4172,True,Q88FC6,PP_4172,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FC9|GPDA_PSEPK Gpsa,True,Q88FC9,PP_4169,gpsA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FD0|Q88FD0_PSEPK Pp_4168,True,Q88FD0,PP_4168,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FD1|Q88FD1_PSEPK Sixa,True,Q88FD1,PP_4167,sixA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FD4|Q88FD4_PSEPK Pp_4164,True,Q88FD4,PP_4164,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FD5|Q88FD5_PSEPK Pp_4163,True,Q88FD5,PP_4163,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FD9|Q88FD9_PSEPK Kdpd,True,Q88FD9,PP_4158,kdpD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FE0|Q88FE0_PSEPK Kdpe,True,Q88FE0,PP_4157,kdpE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FE6|Q88FE6_PSEPK Pp_4151,True,Q88FE6,PP_4151,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FE7|Q88FE7_PSEPK Pp_4150,True,Q88FE7,PP_4150,yejF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FE9|Q88FE9_PSEPK Pp_4148,True,Q88FE9,PP_4148,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF0|Q88FF0_PSEPK Pp_4147,True,Q88FF0,PP_4147,yejA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF1|Q88FF1_PSEPK Pp_4146,True,Q88FF1,PP_4146,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF3|GLO2_PSEPK Glob,True,Q88FF3,PP_4144,gloB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF4|Q88FF4_PSEPK Pp_4143,True,Q88FF4,PP_4143,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF5|RNH_PSEPK Rnha,True,Q88FF5,PP_4142,rnhA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF6|Q88FF6_PSEPK Dnaq,True,Q88FF6,PP_4141,dnaQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF8|CHRR_PSEPK Pp_4138,True,Q88FF8,PP_4138,chrR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FF9|Q88FF9_PSEPK Pp_4137,True,Q88FF9,PP_4137,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FG5|Q88FG5_PSEPK Nuon,True,Q88FG5,PP_4131,nuoN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FG6|Q88FG6_PSEPK Nuom,True,Q88FG6,PP_4130,nuoM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FG7|Q88FG7_PSEPK Nuol,True,Q88FG7,PP_4129,nuoL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FG8|NUOK_PSEPK Nuok,True,Q88FG8,PP_4128,nuoK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH0|NUOI_PSEPK Nuoi,True,Q88FH0,PP_4126,nuoI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH1|NUOH_PSEPK Nuoh,True,Q88FH1,PP_4125,nuoH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH2|NUOG_PSEPK Nuog,True,Q88FH2,PP_4124,nuoG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH3|Q88FH3_PSEPK Nuof,True,Q88FH3,PP_4123,nuoF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH4|Q88FH4_PSEPK Nuoe,True,Q88FH4,PP_4122,nuoE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH5|NUOCD_PSEPK Nuoc,True,Q88FH5,PP_4121,nuoC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH6|NUOB_PSEPK Nuob,True,Q88FH6,PP_4120,nuoB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FH7|NUOA_PSEPK Nuoa,True,Q88FH7,PP_4119,nuoA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FI0|Q88FI0_PSEPK Acea,True,Q88FI0,PP_4116,aceA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FI1|Q88FI1_PSEPK Pp_4115,True,Q88FI1,PP_4115,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FI2|Q88FI2_PSEPK Pp_4114,True,Q88FI2,PP_4114,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FI4|EFG2_PSEPK Fusb,True,Q88FI4,PP_4111,fusB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FI6|Q88FI6_PSEPK Pp_4109,True,Q88FI6,PP_4109,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FJ1|Q88FJ1_PSEPK Pp_4104,True,Q88FJ1,PP_4104,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FJ4,True,Q88FJ4,PP_4101,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FJ6|Q88FJ6_PSEPK Gaca,True,Q88FJ6,PP_4099,uvrY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FJ7|UVRC_PSEPK Uvrc,True,Q88FJ7,PP_4098,uvrC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FJ8|Q88FJ8_PSEPK Pgsa,True,Q88FJ8,PP_4097,pgsA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FK3|Q88FK3_PSEPK Pp_4091,True,Q88FK3,PP_4091,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FK6,True,Q88FK6,PP_4085,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FL2|Q88FL2_PSEPK Pp_4078,True,Q88FL2,PP_4078,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FN0|Q88FN0_PSEPK Pp_4059,True,Q88FN0,PP_4059,treSB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FP1,True,Q88FP1,PP_4048,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FQ0|Q88FQ0_PSEPK Pp_4038,True,Q88FQ0,PP_4038,pydA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FQ7|Q88FQ7_PSEPK Pp_4030,True,Q88FQ7,PP_4030,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR2|Q88FR2_PSEPK Est,True,Q88FR2,PP_4021,cpo,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR5|Q88FR5_PSEPK Pp_4018,True,Q88FR5,PP_4018,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR6|Q88FR6_PSEPK Pp_4017,True,Q88FR6,PP_4017,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR7|Q88FR7_PSEPK Purb,True,Q88FR7,PP_4016,purB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR8|HFLD_PSEPK Hfld,True,Q88FR8,PP_4015,hflD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FR9|MNMA_PSEPK Mnma,True,Q88FR9,PP_4014,mnmA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS0|Q88FS0_PSEPK Pp_4013,True,Q88FS0,PP_4013,nudJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS1|Q88FS1_PSEPK Pp_4012,True,Q88FS1,PP_4012,idh,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS2|Q88FS2_PSEPK Icd,True,Q88FS2,PP_4011,icd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS3|Q88FS3_PSEPK Cspd,True,Q88FS3,PP_4010,cspD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS4|CLPS_PSEPK Clps,True,Q88FS4,PP_4009,clpS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS5|Q88FS5_PSEPK Clpa,True,Q88FS5,PP_4008,clpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS6|ATE_PSEPK Ate,True,Q88FS6,PP_4006,bpt,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS7|LFTR_PSEPK Aat,True,Q88FS7,PP_4005,aat,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS8|FTSK_PSEPK Ftsk,True,Q88FS8,PP_4004,ftsK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FS9|LOLA_PSEPK Lola,True,Q88FS9,PP_4003,lolA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT0|Q88FT0_PSEPK Pp_4002,True,Q88FT0,PP_4002,rarA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT2|SYS_PSEPK Sers,True,Q88FT2,PP_4000,serS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT3|CYSG_PSEPK Cysg,True,Q88FT3,PP_3999,cysG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT4|Q88FT4_PSEPK Pp_3998,True,Q88FT4,PP_3998,gqr,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT5|Q88FT5_PSEPK Pp_3997,True,Q88FT5,PP_3997,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT6|Q88FT6_PSEPK Pp_3996,True,Q88FT6,PP_3996,tusE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT7|Q88FT7_PSEPK Pp_3995,True,Q88FT7,PP_3995,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT8,True,Q88FT8,PP_3994,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FT9|Q88FT9_PSEPK Dsre,True,Q88FT9,PP_3993,tusD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FU3|Q88FU3_PSEPK Pp_3989,True,Q88FU3,PP_3989,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FU4|Q88FU4_PSEPK Pp_3988,True,Q88FU4,PP_3988,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FV1,True,Q88FV1,PP_3977,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FW0|Q88FW0_PSEPK Pp_3968,True,Q88FW0,PP_3968,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FW3,True,Q88FW3,PP_3964,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FW6|Q88FW6_PSEPK Pp_3961,True,Q88FW6,PP_3961,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FW7|Q88FW7_PSEPK Pp_3960,True,Q88FW7,PP_3960,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FW9|NHAA2_PSEPK Nhaa2,True,Q88FW9,PP_3958,nhaA2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FX0|Q88FX0_PSEPK Pp_3957,True,Q88FX0,PP_3957,betT-III,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FX3|Q88FX3_PSEPK Pp_3954,True,Q88FX3,PP_3954,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88FX5|Q88FX5_PSEPK Pcai,True,Q88FX5,PP_3951,pcaI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
