original,extracted,locus,primary_name,organism,is_putida
sp|P59285|ALLA_PSEPK Alla,P59285,PP_4288,allA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59300|ARGB_PSEPK Argb,P59300,PP_5289,argB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59308|ARGC2_PSEPK Argc2,P59308,PP_3633,argC2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59319|ARGD_PSEPK Argd,P59319,PP_4481,argD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59351|Y396_PSEPK Pp_0396,P59351,PP_0396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59374|RS11_PSEPK Rpsk,P59374,PP_0477,rpsK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59392|SELD_PSEPK Seld,P59392,PP_0823,selD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59400|HISX_PSEPK Hisd,P59400,PP_0966,hisD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59560|Y1352_PSEPK Pp_1352,P59560,PP_1352,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59604|ASSY_PSEPK Argg,P59604,PP_1088,argG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59612|ARGJ_PSEPK Argj,P59612,PP_1346,argJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P59618|ARLY_PSEPK Argh,P59618,PP_0184,argH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P61113|RL36_PSEPK Rpmj,P61113,PP_0475,rpmJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P65117|IF1_PSEPK Infa,P65117,PP_4007,infA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
tr|Q8PW39|Q8PW39_METMA,Q8PW39,MM_1762,mvk,Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia),FALSE
sp|Q3L885|Q3L885_MYCS2 Pks,Q3L885,MSMEG_0408,pks,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),FALSE
sp|O77727,O77727,,KRT15,Ovis aries (Sheep),FALSE
sp|Q59692|FTSZ_PSEPK Ftsz,Q59692,PP_1342,ftsZ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|P23181,P23181,,aacC1,Pseudomonas aeruginosa,FALSE
sp|Q877J6,Q877J6,PP_4443 PP_5396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q877U6|Q877U6_PSEPK Pp_1157,Q877U6,PP_1157 PP_3365,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q877V8|Q877V8_PSEPK Pp_1865,Q877V8,PP_1865 PP_1990 PP_2114 PP_2218 PP_2522 PP_4318,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BW8|ATP6_PSEPK Atpb,Q88BW8,PP_5419,atpB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BW9|ATPL_PSEPK Atpe,Q88BW9,PP_5418,atpE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX0|ATPF_PSEPK Atpf,Q88BX0,PP_5417,atpF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX1|ATPD_PSEPK Atph,Q88BX1,PP_5416,atpH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX2|ATPA_PSEPK Atpa,Q88BX2,PP_5415,atpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX3|ATPG_PSEPK Atpg,Q88BX3,PP_5414,atpG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX4|ATPB_PSEPK,Q88BX4,PP_5413,atpD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX5|ATPE_PSEPK Atpc,Q88BX5,PP_5412,atpC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX6|GLMU_PSEPK Glmu,Q88BX6,PP_5411,glmU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX7,Q88BX7,PP_5410,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BX8|GLMS_PSEPK Glms,Q88BX8,PP_5409,glmS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BY6|Q88BY6_PSEPK Pp_5401,Q88BY6,PP_5401,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BY7|Q88BY7_PSEPK Pp_5400,Q88BY7,PP_5400,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BY9|Q88BY9_PSEPK Pp_5395,Q88BY9,PP_5395,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ1|Q88BZ1_PSEPK Pp_5392,Q88BZ1,PP_5392,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ2|Q88BZ2_PSEPK Pp_5391,Q88BZ2,PP_5391,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ3|Q88BZ3_PSEPK Pp_5390,Q88BZ3,PP_5390,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ4|Q88BZ4_PSEPK Pp_5389,Q88BZ4,PP_5389,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ5|Q88BZ5_PSEPK Pp_5388,Q88BZ5,PP_5388,cusF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88BZ6|Q88BZ6_PSEPK Pp_5387,Q88BZ6,PP_5387,cusA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C00|Q88C00_PSEPK Copr,Q88C00,PP_5383,copR-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C03|Q88C03_PSEPK Copa,Q88C03,PP_5380,copA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C04|Q88C04_PSEPK Copb,Q88C04,PP_5379,copB-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C05|Q88C05_PSEPK Pp_5378,Q88C05,PP_5378,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C17|Q88C17_PSEPK Lpd3,Q88C17,PP_5366,lpd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C18|Q88C18_PSEPK Pp_5365,Q88C18,PP_5365,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C20|Q88C20_PSEPK Pp_5363,Q88C20,PP_5363,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C26|PDXY_PSEPK Pdxy,Q88C26,PP_5357,pdxY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C28|Q88C28_PSEPK Pp_5355,Q88C28,PP_5355,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C29|Q88C29_PSEPK Pp_5354,Q88C29,PP_5354,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C30|Q88C30_PSEPK Pp_5353,Q88C30,PP_5353,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C31|Q88C31_PSEPK Uvrd,Q88C31,PP_5352,uvrD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C32|Q88C32_PSEPK Zwf-3,Q88C32,PP_5351,zwf,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C33|Q88C33_PSEPK Pp_5350,Q88C33,PP_5350,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C36|Q88C36_PSEPK Accc-2,Q88C36,PP_5347,pycA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C37|Q88C37_PSEPK Oada,Q88C37,PP_5346,pycB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C38|Q88C38_PSEPK Pp_5345,Q88C38,PP_5345,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C39|Q88C39_PSEPK Pp_5344,Q88C39,PP_5344,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
