original,extracted,locus,primary_name,organism,is_putida
sp|Q88E27|Q88E27_PSEPK Csta,Q88E27,PP_4641,yjiY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E29|Q88E29_PSEPK Pp_4639,Q88E29,PP_4639,zinU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E32|Q88E32_PSEPK Pp_4636,Q88E32,PP_4636,yqeF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E33|FABV_PSEPK Fabv,Q88E33,PP_4635,fabV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E35|Q88E35_PSEPK Pp_4633,Q88E35,PP_4633,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E36|Q88E36_PSEPK Pp_4632,Q88E36,PP_4632,folM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E37|Q88E37_PSEPK Pp_4631,Q88E37,PP_4631,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E39|Q88E39_PSEPK Pp_4629,Q88E39,PP_4629,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E40|Q88E40_PSEPK Mioc,Q88E40,PP_4628,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E46|Q88E46_PSEPK Pp_4622,Q88E46,PP_4622,hmgR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E47|HGD_PSEPK Hmga,Q88E47,PP_4621,hmgA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E48|Q88E48_PSEPK Pp_4620,Q88E48,PP_4620,hmgB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E49|Q88E49_PSEPK Pp_4619,Q88E49,PP_4619,hmgC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E51|Q88E51_PSEPK Pp_4617,Q88E51,PP_4617,ldh,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E52|Q88E52_PSEPK Pp_4616,Q88E52,PP_4616,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E61,Q88E61,PP_4607,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E63|Q88E63_PSEPK Pp_4605,Q88E63,PP_4605,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E64|Q88E64_PSEPK Pp_4604,Q88E64,PP_4604,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E65|Q88E65_PSEPK Pp_4602,Q88E65,PP_4602,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E66|Q88E66_PSEPK Pp_4601,Q88E66,PP_4601,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E72|Q88E72_PSEPK Pp_4594,Q88E72,PP_4594,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E73|Q88E73_PSEPK Pp_4593,Q88E73,PP_4593,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E74,Q88E74,PP_4592,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E75|Q88E75_PSEPK Rnd,Q88E75,PP_4591,rnd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E77|Q88E77_PSEPK Pp_4589,Q88E77,PP_4589,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E78|Q88E78_PSEPK Pp_4588,Q88E78,PP_4588,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E80|Q88E80_PSEPK Pp_4586,Q88E80,PP_4586,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E81|Q88E81_PSEPK Pp_4585,Q88E81,PP_4585,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E83|Q88E83_PSEPK Pp_4583,Q88E83,PP_4583,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E84|Q88E84_PSEPK Pp_4582,Q88E84,PP_4582,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E85|Q88E85_PSEPK Pp_4581,Q88E85,PP_4581,yafJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E86|Q88E86_PSEPK Pp_4580,Q88E86,PP_4580,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E87|Q88E87_PSEPK Pp_4579,Q88E87,PP_4579,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E89|Y4577_PSEPK Pp_4577,Q88E89,PP_4577,pxpA2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E90|Q88E90_PSEPK Pp_4576,Q88E90,PP_4576,ybgJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E91|Q88E91_PSEPK Pp_4575,Q88E91,PP_4575,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E92|Q88E92_PSEPK Pp_4574,Q88E92,PP_4574,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E93|Q88E93_PSEPK Pp_4573,Q88E93,PP_4573,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E95|Q88E95_PSEPK Cysk,Q88E95,PP_4571,cysK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88E96|Q88E96_PSEPK Pp_4570,Q88E96,PP_4570,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EA1|ACEK_PSEPK Acek,Q88EA1,PP_4565,aceK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EA3|Q88EA3_PSEPK Pp_4563,Q88EA3,PP_4563,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EA4|Q88EA4_PSEPK Pp_4562,Q88EA4,PP_4562,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EA5|Y4561_PSEPK Pp_4561,Q88EA5,PP_4561,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB0|Q88EB0_PSEPK Pp_4556,Q88EB0,PP_4556,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB1|Q88EB1_PSEPK Pp_4555,Q88EB1,PP_4555,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB2|Q88EB2_PSEPK Pp_4554,Q88EB2,PP_4554,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB3|Q88EB3_PSEPK Pp_4553,Q88EB3,PP_4553,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB4|Q88EB4_PSEPK Phaj1,Q88EB4,PP_4552,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB5|Q88EB5_PSEPK Pp_4551,Q88EB5,PP_4551,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB6|Q88EB6_PSEPK Fadd2,Q88EB6,PP_4550,fadD-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EB7|Q88EB7_PSEPK Fadd,Q88EB7,PP_4549,fadD-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC0|Q88EC0_PSEPK Hrpa,Q88EC0,PP_4546,hrpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC1|Q88EC1_PSEPK Pp_4545,Q88EC1,PP_4545,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC3|Q88EC3_PSEPK Pp_4543,Q88EC3,PP_4543,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC4|Q88EC4_PSEPK Pp_4542,Q88EC4,PP_4542,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC5|Q88EC5_PSEPK Ppia,Q88EC5,PP_4541,ppiA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC7|Q88EC7_PSEPK Pp_4539,Q88EC7,PP_4539,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EC8|AZOR2_PSEPK Azor2,Q88EC8,PP_4538,azoR2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ED2|Q88ED2_PSEPK Pp_4533,Q88ED2,PP_4533,mscMB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ED3|Q88ED3_PSEPK Pp_4532,Q88ED3,PP_4532,srmB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ED7|Q88ED7_PSEPK Pp_4528,Q88ED7,PP_4528,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE2|Q88EE2_PSEPK Pp_4523,Q88EE2,PP_4523,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE4|Q88EE4_PSEPK Pp_4521,Q88EE4,PP_4521,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE5|Q88EE5_PSEPK Pp_4520,Q88EE5,PP_4520,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE6|Q88EE6_PSEPK Tolc,Q88EE6,PP_4519,tolC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE8|Q88EE8_PSEPK Pp_4517,Q88EE8,PP_4517,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EE9|Q88EE9_PSEPK Recq,Q88EE9,PP_4516,recQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EF0|Q88EF0_PSEPK Pp_4515,Q88EF0,PP_4515,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EF7|Q88EF7_PSEPK Pp_4508,Q88EF7,PP_4508,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EF9|Q88EF9_PSEPK Pp_4506,Q88EF9,PP_4506,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG0|Q88EG0_PSEPK Pp_4505,Q88EG0,PP_4505,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG1|Q88EG1_PSEPK Pp_4504,Q88EG1,PP_4504,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG2|Q88EG2_PSEPK Pp_4503,Q88EG2,PP_4503,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG3|Q88EG3_PSEPK Pp_4502,Q88EG3,PP_4502,yciI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG5|Q88EG5_PSEPK Pp_4499,Q88EG5,PP_4499,yciO,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG7|Q88EG7_PSEPK Pp_4497,Q88EG7,PP_4497,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EG8|Q88EG8_PSEPK Pp_4495,Q88EG8,PP_4495,aroP-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH2|PHS_PSEPK Phhb,Q88EH2,PP_4491,phhB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH5|Q88EH5_PSEPK Pp_4488,Q88EH5,PP_4488,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH6|ACSA1_PSEPK Acsa1,Q88EH6,PP_4487,acsA1,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH7|Q88EH7_PSEPK Pp_4486,Q88EH7,PP_4486,argT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH8|Q88EH8_PSEPK Pp_4485,Q88EH8,PP_4485,hisQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EH9|Q88EH9_PSEPK Pp_4484,Q88EH9,PP_4484,hisM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI0|Q88EI0_PSEPK Pp_4483,Q88EI0,PP_4483,hisP,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI1|Q88EI1_PSEPK Pp_4482,Q88EI1,PP_4482,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI2|Q88EI2_PSEPK Aruf,Q88EI2,PP_4480,astA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI3|Q88EI3_PSEPK Arug,Q88EI3,PP_4479,astA-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI4|ASTD_PSEPK Astd,Q88EI4,PP_4478,astD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI5|ASTB_PSEPK Astb,Q88EI5,PP_4477,astB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI6|Q88EI6_PSEPK Pp_4476,Q88EI6,PP_4476,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI7|ASTE_PSEPK Aste,Q88EI7,PP_4475,astE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI8|SYA_PSEPK Alas,Q88EI8,PP_4474,alaS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EI9|AK_PSEPK Pp_4473,Q88EI9,PP_4473,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EJ0|Q88EJ0_PSEPK Csra,Q88EJ0,PP_4472,csrA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EJ1|Q88EJ1_PSEPK Mgte,Q88EJ1,PP_4471,mgtE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EJ2|Q88EJ2_PSEPK Algz,Q88EJ2,PP_4470,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EK2|Q88EK2_PSEPK Pp_4460,Q88EK2,PP_4460,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EL4|Q88EL4_PSEPK Pp_4448,Q88EL4,PP_4448,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EL5|Q88EL5_PSEPK Pp_4447,Q88EL5,PP_4447,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EL9|Q88EL9_PSEPK Pp_4435,Q88EL9,PP_4435,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EM5|Q88EM5_PSEPK Pp_4429,Q88EM5,PP_4429,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EM6|Q88EM6_PSEPK Pp_4428,Q88EM6,PP_4428,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EN0|Q88EN0_PSEPK Pp_4424,Q88EN0,PP_4424,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EP8|Q88EP8_PSEPK Pp_4405,Q88EP8,PP_4405,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EP9|Q88EP9_PSEPK Lpdv,Q88EP9,PP_4404,lpdV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ0|Q88EQ0_PSEPK Bkdb,Q88EQ0,PP_4403,bkdB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ1|Q88EQ1_PSEPK Bkda2,Q88EQ1,PP_4402,bkdAB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ2|Q88EQ2_PSEPK Bkda1,Q88EQ2,PP_4401,bkdAA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ3|Q88EQ3_PSEPK Bkdr,Q88EQ3,PP_4400,bkdR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ4|Q88EQ4_PSEPK Pp_4399,Q88EQ4,PP_4399,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ5|Q88EQ5_PSEPK Pp_4398,Q88EQ5,PP_4398,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ6|YCGR_PSEPK Ycgr,Q88EQ6,PP_4397,ycgR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EQ8|Q88EQ8_PSEPK Flgm,Q88EQ8,PP_4395,flgM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ER0|Q88ER0_PSEPK Chev-3,Q88ER0,PP_4393,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ER1|CHER2_PSEPK Cher2,Q88ER1,PP_4392,cheR2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ER5|Q88ER5_PSEPK Flge,Q88ER5,PP_4388,flgE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ER7|Q88ER7_PSEPK Flgf,Q88ER7,PP_4386,flgF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ER8|Q88ER8_PSEPK Flgg,Q88ER8,PP_4385,flgG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES0|FLGI_PSEPK Flgi,Q88ES0,PP_4383,flgI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES2|Q88ES2_PSEPK Flgk,Q88ES2,PP_4381,flgK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES3|Q88ES3_PSEPK Flgl,Q88ES3,PP_4380,flgL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES4|Q88ES4_PSEPK Pp_4379,Q88ES4,PP_4379,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES5|Q88ES5_PSEPK Flic,Q88ES5,PP_4378,fliC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES6|Q88ES6_PSEPK Pp_4377,Q88ES6,PP_4377,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES7|Q88ES7_PSEPK Flid,Q88ES7,PP_4376,fliD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ES8|Q88ES8_PSEPK Flis,Q88ES8,PP_4375,fliS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ET0|Q88ET0_PSEPK Fleq,Q88ET0,PP_4373,fleQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ET4|Q88ET4_PSEPK Flif,Q88ET4,PP_4369,fliF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ET5|Q88ET5_PSEPK Flig,Q88ET5,PP_4368,fliG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ET7|Q88ET7_PSEPK Flii,Q88ET7,PP_4366,fliI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88ET9|Q88ET9_PSEPK Pp_4364,Q88ET9,PP_4364,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU0|Q88EU0_PSEPK Pp_4363,Q88EU0,PP_4363,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU1|Q88EU1_PSEPK Pp_4362,Q88EU1,PP_4362,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU2|Q88EU2_PSEPK Flik,Q88EU2,PP_4361,fliK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU4|Q88EU4_PSEPK Flil,Q88EU4,PP_4359,fliL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU5|Q88EU5_PSEPK Flim,Q88EU5,PP_4358,fliM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88EU6|Q88EU6_PSEPK Flin,Q88EU6,PP_4357,fliN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
