,Line Name,line_name_norep,to_keep_improved
0,PP_0751_PP_0813_PP_0815-R1,PP_0751_PP_0813_PP_0815,True
1,PP_0751_PP_0813_PP_0815-R2,PP_0751_PP_0813_PP_0815,True
2,PP_0528_PP_0751_PP_0812_PP_0815-R1,PP_0528_PP_0751_PP_0812_PP_0815,True
3,PP_0528_PP_0751_PP_0812_PP_0815-R3,PP_0528_PP_0751_PP_0812_PP_0815,True
4,PP_0528_PP_0751_PP_0815-R2,PP_0528_PP_0751_PP_0815,True
5,PP_0528_PP_0751_PP_0815-R3,PP_0528_PP_0751_PP_0815,True
6,PP_0528_PP_0751_PP_0815-R1,PP_0528_PP_0751_PP_0815,True
7,PP_0528_PP_0751_PP_0813_PP_0815-R1,PP_0528_PP_0751_PP_0813_PP_0815,True
8,PP_0751_PP_0813_PP_0815-R3,PP_0751_PP_0813_PP_0815,True
9,PP_0528_PP_0751_PP_0813_PP_0815-R2,PP_0528_PP_0751_PP_0813_PP_0815,True
10,PP_0528_PP_0751_PP_0813_PP_0815-R3,PP_0528_PP_0751_PP_0813_PP_0815,True
11,PP_0528_PP_0751_PP_0812_PP_0815-R2,PP_0528_PP_0751_PP_0812_PP_0815,True
12,PP_0368_PP_0751_PP_0814_PP_0815-R3,PP_0368_PP_0751_PP_0814_PP_0815,True
13,PP_0368_PP_0751_PP_0813_PP_0815-R1,PP_0368_PP_0751_PP_0813_PP_0815,True
14,PP_0368_PP_0751_PP_0813_PP_0815-R2,PP_0368_PP_0751_PP_0813_PP_0815,True
15,PP_0528_PP_0813_PP_0815-R2,PP_0528_PP_0813_PP_0815,True
16,PP_0368_PP_0751_PP_0814_PP_0815-R2,PP_0368_PP_0751_PP_0814_PP_0815,True
17,PP_0528_PP_0813_PP_0815-R3,PP_0528_PP_0813_PP_0815,True
18,PP_0368_PP_0751_PP_0813_PP_0815-R3,PP_0368_PP_0751_PP_0813_PP_0815,True
19,PP_0368_PP_0813_PP_0814_PP_0815-R2,PP_0368_PP_0813_PP_0814_PP_0815,True
20,PP_0368_PP_0813_PP_0814_PP_0815-R1,PP_0368_PP_0813_PP_0814_PP_0815,True
21,PP_0528_PP_0813_PP_0815-R1,PP_0528_PP_0813_PP_0815,True
24,PP_0368_PP_0813_PP_0814_PP_0815-R3,PP_0368_PP_0813_PP_0814_PP_0815,True
25,PP_0368_PP_0751_PP_0814_PP_0815-R1,PP_0368_PP_0751_PP_0814_PP_0815,True
33,PP_0813_PP_0815_PP_2136-R3,PP_0813_PP_0815_PP_2136,True
34,PP_0815_PP_4191-R1,PP_0815_PP_4191,True
35,PP_0815_PP_4191-R3,PP_0815_PP_4191,True
36,PP_0815_PP_4191-R2,PP_0815_PP_4191,True
37,PP_0814_PP_0815_PP_4189-R1,PP_0814_PP_0815_PP_4189,True
38,PP_0813_PP_0815_PP_2136-R1,PP_0813_PP_0815_PP_2136,True
39,PP_0814_PP_0815_PP_4189-R2,PP_0814_PP_0815_PP_4189,True
40,PP_0814_PP_0815_PP_4189-R3,PP_0814_PP_0815_PP_4189,True
41,PP_0813_PP_0815_PP_2136-R2,PP_0813_PP_0815_PP_2136,True
43,PP_0528_PP_2136-R1,PP_0528_PP_2136,True
46,PP_0368_PP_0815_PP_2136-R3,PP_0368_PP_0815_PP_2136,True
50,PP_0368_PP_0815_PP_2136-R1,PP_0368_PP_0815_PP_2136,True
53,PP_0528_PP_0815_PP_2136-R2,PP_0528_PP_0815_PP_2136,True
54,PP_0814_PP_0815_PP_4120-R3,PP_0814_PP_0815_PP_4120,True
57,PP_0528_PP_0815_PP_2136-R1,PP_0528_PP_0815_PP_2136,True
59,PP_0528_PP_0815_PP_2136-R3,PP_0528_PP_0815_PP_2136,True
60,PP_0528_PP_2136-R3,PP_0528_PP_2136,True
65,PP_0814_PP_0815_PP_4120-R1,PP_0814_PP_0815_PP_4120,True
66,PP_0368_PP_0815_PP_2136-R2,PP_0368_PP_0815_PP_2136,True
68,PP_0528_PP_2136-R2,PP_0528_PP_2136,True
75,PP_0814_PP_0815_PP_4120-R2,PP_0814_PP_0815_PP_4120,True
156,Control_P2-R3,Control,True
157,Control_P1-R3,Control,True
158,Control_P2-R2,Control,True
159,Control_P1-R1,Control,True
160,Control_P3-R2,Control,True
161,Control_P2-R1,Control,True
162,Control_P4-R1,Control,True
163,Control_P4-R2,Control,True
164,Control_P3-R1,Control,True
165,Control_P1-R2,Control,True
166,Control_P4-R3,Control,True
173,Control_P3-R3,Control,True
