Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
bktB,-0.9056250278519906,,0.49275832233977807,,,,,,,,-0.5685214567873782,-0.14413912101045004,,,
fabB,-0.24027444396136607,0.11020110117977808,,,,,,,,,,,,,
fadB,1.4327324484711361,,,,,,,,,,-5.0804834000074335,,,,
fadBA,-1.8724451516038474,-1.202026136142655,-0.7143254050362816,,-0.8033026685094773,,,-1.7259608890863067,-0.6709712846427451,-2.5582963837115646,-1.3984755554583002,-0.5980866516522788,-3.246500276002499,-4.679027450287586,-1.0804925920319848
accA,,0.4387879327188425,,,,,,,,,-1.0236801916142153,,,,
accD,,0.4297978397217544,0.17897797477265506,,0.12214927688710417,0.11411136647605893,0.2711962091086269,,,,-1.4352873601452973,,,0.3852921170339372,0.1373239787450243
bioD,,1.203607361909735,0.39388304174415034,-0.2052772041637375,-0.7888597480194351,,,,,,,,,,
bioH,,2.153039519845378,,,,,,,,,,,,,
fabD,,0.3591808674914311,,,,,-0.25287104046837644,-0.2582623387958156,-0.29129512326192714,,,-0.4366321520814077,,-0.30614006708401165,-0.30946033073430623
fabV,,0.25191714643432966,,-0.44084002928118926,,,,-0.11669175607565005,,,0.20165861060857748,-0.21680586665362886,,,
fadE,,,0.560848485790858,,,,,,,0.4440716914501185,,,-1.6641597784327202,1.312370992167836,
fabG,,,,0.2911101167556063,0.23148501061059354,0.20977679584822362,0.10258554112746306,,,0.6885651630618295,,,,,0.4267925845373027
fadA,,,,-0.5513707142544424,0.46187245956181344,0.42486855291315956,0.7349729641343977,1.0741568664798422,0.7997279836582492,0.6065843750044165,-6.4619462930338685,,0.5819913849402608,0.8443203407532793,0.778397441996497
fabA,,,,,0.32537616307421596,,0.21998060367178832,,0.3497604461912573,,,0.3407487901073709,,,
bioA,,,,,,,,1.0849404146623782,0.8385470617255792,,,,,,
fabF,,,,,,,,,-0.4266217368554871,,,,,,
fabZ,,,,,,,,,,,-0.3089780061770485,,,,
