gRNA_Target
PP_0814
PP_0226
PP_3123
PP_0813
PP_0437
PP_0658
PP_0774
PP_0368
PP_2137
PP_2112
PP_0999
PP_1319
PP_1506
PP_0812
PP_4122
PP_2213
PP_3755
PP_1607
PP_0528
PP_1620
PP_2339
PP_3365
PP_2471
PP_1444
PP_0597
PP_0751
PP_4189
PP_0815
PP_1769
PP_5288
PP_4116
PP_2136
PP_4862
PP_3754
PP_4188
PP_4550
PP_4121
PP_4120
PP_5417
PP_4186
PP_5203
PP_2095
PP_4192
PP_4679
PP_4678
PP_4667
PP_0897
PP_4191
PP_4549
PP_4011
PP_4651
PP_1457
PP_3578
PP_1317
PP_5186
PP_4187
PP_4266
PP_0944
PP_3071
Vector
