Locus,PP_0751_PP_0813_PP_0815_log2_change,PP_0751_PP_0813_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0815_log2_change,PP_0528_PP_0751_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PP_0814_PP_0815_log2_change,PP_0814_PP_0815_log10_p_value,PP_0528_PP_0815_log2_change,PP_0528_PP_0815_log10_p_value,PP_0368_PP_0812_PP_0815_log2_change,PP_0368_PP_0812_PP_0815_log10_p_value,PP_0812_PP_0813_PP_0815_log2_change,PP_0812_PP_0813_PP_0815_log10_p_value,PP_0751_PP_0815_log2_change,PP_0751_PP_0815_log10_p_value
A0A140FVX0,-0.4622729630173343,1.1465151561387765,,,-0.7961802712112022,1.4748694651257517,-1.3053267613158352,1.1639062967698937,-0.6991576393403981,1.7228456869372457,-0.6448663600122508,1.1607289533134992,0.5207284163867785,2.6847170173343833,0.33175380518558795,1.396760707878912,-1.202083245768366,1.776397688946416
A0A140FVX4,-0.15130312266313653,0.06326798058673279,,,-0.227466335705203,0.08326413525588752,1.1114433017223215,0.8143063936929557,-1.7307314603510076,2.001276450162964,-2.1892289396941016,1.4484153698962936,-0.99351347354722,1.799831608788924,-0.5129188519089896,0.8996333159498249,-0.9528655204235408,0.7917902809157973
A0A140FVZ0,-0.4122663054232585,2.098453553300395,,,-0.6784565010369679,0.978715495968339,-0.5151226021543398,1.3392925140288907,-0.9037134800463638,2.3419126281968317,-0.9008991658624118,1.3552460123347427,-0.5686262365237817,1.0424493970581663,-0.8545878171886802,2.7375487767665696,-0.5337419666838159,1.6678598949351586
A0A140FVZ1,-0.4329662604004235,1.9866246885394392,,,-0.8029557062652127,2.017015201174601,-1.0227068239985062,1.4995700567028545,-1.761796009950926,3.374153646589985,-1.7888114620191824,1.8145539184515826,-2.208762567693202,1.6678293295844253,-2.010370627816679,1.8293677023350992,-1.7929738763618928,4.222186408858327
A0A140FW22,-2.3038644576358003,3.122387541698453,,,-0.7256225540247947,0.7211942041438565,-1.7877312578429998,0.8917641023628026,-1.3706365467032458,0.8135244150921527,-1.3115164229545575,1.8477695886660461,-1.2813985447493488,0.7736208197888231,-1.2952611672306267,3.1407722967095304,-0.48215616527619076,0.24602817048202988
A0A140FW35,0.6453482140574587,0.4948512401794749,,,0.5425529739794452,0.47631027732184733,0.6242778814597569,0.9257965552226557,-0.6693220817189551,0.26380161057551443,-4.242298935614299,1.6151166923476317,-0.04857076427150044,0.03189087280084941,-0.4040722225388319,0.4882179361787062,-0.7040756365453187,0.818544116232827
A0A140FW37,,,,,,,,,,,,,,,,,,
A0A140FW57,-1.9164606628160354,1.003720235909748,,,-1.920063288696955,1.312781146979326,-1.7668592232088736,1.124455273112373,-1.3082266634453488,0.7063551886901667,-1.759889356920878,1.292336628084209,-3.0382392463933727,2.044257006855594,-3.0669453305895407,1.9903060333388691,-1.8135602774329052,1.1848750878317689
A0A140FW85,,,,,,,,,,,,,,,,,,
A0A140FW92,-3.253075640982834,0.4216953789551795,,,1.3749564890661672,0.48305341680975045,1.0247425836989632,0.75857245612426,,,,,,,,,,
