Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,72.65401468553134,39.08670206321758,63.326735286764404,9288.881252005336,-0.623040512516243
Random Forest Regressor,53.11558317791375,28.904819334754578,60.800777438150206,6517.999713413349,-0.13888608417243775
Support Vector Regressor,57.70174288178257,32.7831004741668,53.84059697241892,6228.301013941792,-0.0882672084532441
Kernel Ridge Regressor,159.09527395753298,76.77902643836352,91.63778814565268,33708.790411849994,-4.889916232327803
K-NN Regressor,60.800317972789124,34.44262810421238,55.57534645547877,6785.2977992387605,-0.18559091443593423
Gaussian Process Regressor,55.70027626340307,32.78004748704757,53.75873650455951,5992.522526386083,-0.04706977822448444
Gradient Boosting Regressor,52.11169232530185,29.540693503994575,57.463549673445584,6017.688018079472,-0.051466929122171434
TPOT Regressor,51.43518728761609,29.723367385139188,55.84091834994482,5763.786653477349,-0.00710289972482725
Ensemble Model,50.439079197705176,29.02263870079015,54.15459194278904,5476.820538802367,0.04303851313221918
