Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,60,IY1694,pIY1140,pJET-Carb-PP_2533,JBx_249283,PP_2533,pIY1140,IY1694
,61,IY1695,pIY1141,pJET-Carb-PP_5155,JBx_249285,PP_5155,pIY1141,IY1695
,62,IY1696,pIY1142,pJET-Carb-PP_1444_NT2,JBx_249287,PP_1444_NT2,pIY1142,IY1696
,63,IY1697,pIY1143,pJET-Carb-PP_0339,JBx_249289,PP_0339,pIY1143,IY1697
,64,IY1698,pIY1144,pJET-Carb-PP_2051,JBx_249291,PP_2051,pIY1144,IY1698
,65,IY1699,pIY1145,pJET-Carb-PP_2215,JBx_249293,PP_2215,pIY1145,IY1699
,66,IY1700,pIY1146,pJET-Carb-PP_1866,JBx_249295,PP_1866,pIY1146,IY1700
,67,IY1701,pIY1147,pJET-Carb-PP_2324,JBx_249297,PP_2324,pIY1147,IY1701
,68,IY1702,pIY1148,pJET-Carb-PP_3080,JBx_249299,PP_3080,pIY1148,IY1702
,69,IY1703,pIY1149,pJET-Carb-PP_5351,JBx_249301,PP_5351,pIY1149,IY1703
,70,IY1704,pIY1150,pJET-Carb-PP_4736,JBx_249303,PP_4736,pIY1150,IY1704
,71,IY1705,pIY1151,pJET-Carb-PP_1773,JBx_249305,PP_1773,pIY1151,IY1705
,72,IY1706,pIY1152,pJET-Carb-PP_0356,JBx_249307,PP_0356,pIY1152,IY1706
,73,IY1707,pIY1153,pJET-Carb-PP_4379,JBx_249309,PP_4379,pIY1153,IY1707
,74,IY1708,pIY1154,pJET-Carb-PP_1319,JBx_249311,PP_1319,pIY1154,IY1708
,75,IY1709,pIY1155,pJET-Carb-PP_5258,JBx_249313,PP_5258,pIY1155,IY1709
,76,IY1710,pIY1156,pJET-Carb-PP_1616,JBx_249315,PP_1616,pIY1156,IY1710
,77,IY1711,pIY1157,pJET-Carb-PP_2803,JBx_249317,PP_2803,pIY1157,IY1711
,78,IY1845,pIY1217,pJET-Carb-PP_5420,JBx_249319,PP_5420,pIY1217,IY1845
,79,IY1846,pIY1218,pJET-Carb-PP_5419,JBx_249321,PP_5419,pIY1218,IY1846
,80,IY1847,pIY1219,pJET-Carb-PP_5417,JBx_249323,PP_5417,pIY1219,IY1847
,81,IY1848,pIY1220,pJET-Carb-PP_5416,JBx_249325,PP_5416,pIY1220,IY1848
BOX 2,82,IY1849,pIY1221,pJET-Carb-PP_0806,JBx_249327,PP_0806,pIY1221,IY1849
,83,IY1850,pIY1222,pJET-Carb-PP_0168,JBx_249329,PP_0168,pIY1222,IY1850
,84,IY1851,pIY1223,pJET-Carb-PP_5335,JBx_249331,PP_5335,pIY1223,IY1851
,85,IY1852,pIY1224,pJET-Carb-PP_4119,JBx_249333,PP_4119,pIY1224,IY1852
,86,IY1853,pIY1225,pJET-Carb-PP_4120,JBx_249335,PP_4120,pIY1225,IY1853
,87,IY1854,pIY1226,pJET-Carb-PP_4121,JBx_249337,PP_4121,pIY1226,IY1854
,88,IY1855,pIY1227,pJET-Carb-PP_4122,JBx_249339,PP_4122,pIY1227,IY1855
,89,IY1856,pIY1228,pJET-Carb-PP_4123,JBx_249341,PP_4123,pIY1228,IY1856
,90,IY1857,pIY1229,pJET-Carb-PP_4124,JBx_249343,PP_4124,pIY1229,IY1857
,91,IY1858,pIY1230,pJET-Carb-PP_4129,JBx_249345,PP_4129,pIY1230,IY1858
,92,IY1859,pIY1231,pJET-Carb-PP_4130,JBx_249347,PP_4130,pIY1231,IY1859
,93,IY1860,pIY1232,pJET-Carb-PP_4128,JBx_249349,PP_4128,pIY1232,IY1860
,94,IY1861,pIY1233,pJET-Carb-PP_0999,JBx_249351,PP_0999,pIY1233,IY1861
,95,IY1862,pIY1234,pJET-Carb-PP_1031,JBx_249353,PP_1031,pIY1234,IY1862
,96,IY1863,pIY1235,pJET-Carb-PP_1770,JBx_249355,PP_1770,pIY1235,IY1863
,97,IY1864,pIY1236,pJET-Carb-PP_1664,JBx_249357,PP_1664,pIY1236,IY1864
,98,IY1865,pIY1237,pJET-Carb-PP_4175,JBx_249359,PP_4175,pIY1237,IY1865
,99,IY1866,pIY1238,pJET-Carb-PP_4174,JBx_249361,PP_4174,pIY1238,IY1866
,100,IY1867,pIY1239,pJET-Carb-PP_4189,JBx_249363,PP_4189,pIY1239,IY1867
,101,IY1868,pIY1240,pJET-Carb-PP_4188,JBx_249365,PP_4188,pIY1240,IY1868
,102,IY1869,pIY1241,pJET-Carb-PP_4187,JBx_249367,PP_4187,pIY1241,IY1869
,103,IY1870,pIY1242,pJET-Carb-PP_1771,JBx_249369,PP_1771,pIY1242,IY1870
,104,IY1871,pIY1243,pJET-Carb-PP_0691,JBx_249371,PP_0691,pIY1243,IY1871
,105,IY1872,pIY1244,pJET-Carb-PP_0001,JBx_249373,PP_0001,pIY1244,IY1872
,106,IY1873,pIY1245,pJET-Carb-PP_4116,JBx_249375,PP_4116,pIY1245,IY1873
,107,IY1874,pIY1246,pJET-Carb-PP_4043,JBx_249377,PP_4043,pIY1246,IY1874
,108,IY1875,pIY1247,pJET-Carb-PP_4862,JBx_249379,PP_4862,pIY1247,IY1875
,109,IY1876,pIY1248,pJET-Carb-PP_0103,JBx_249381,PP_0103,pIY1248,IY1876
,110,IY1877,pIY1249,pJET-Carb-PP_0104,JBx_249383,PP_0104,pIY1249,IY1877
,111,IY1878,pIY1250,pJET-Carb-PP_0105,JBx_249385,PP_0105,pIY1250,IY1878
,112,IY1879,pIY1251,pJET-Carb-PP_0106,JBx_249387,PP_0106,pIY1251,IY1879
,113,IY1880,pIY1252,pJET-Carb-PP_1317,JBx_249389,PP_1317,pIY1252,IY1880
,114,IY1881,pIY1253,pJET-Carb-PP_1318,JBx_249391,PP_1318,pIY1253,IY1881
,115,IY2095,pIY1406,pJET-Carb-PP_1319,JBx_249393,PP_1319,pIY1406,IY2095
,116,IY2096,pIY1407,pJET-Carb-PP_0812,JBx_249395,PP_0812,pIY1407,IY2096
,117,IY2097,pIY1408,pJET-Carb-PP_0813,JBx_249397,PP_0813,pIY1408,IY2097
,118,IY2098,pIY1409,pJET-Carb-PP_0814,JBx_249399,PP_0814,pIY1409,IY2098
,119,IY2099,pIY1410,pJET-Carb-PP_0815,JBx_249401,PP_0815,pIY1410,IY2099
,120,IY2100,pIY1411,pJET-Carb-PP_1023,JBx_249403,PP_1023,pIY1411,IY2100
,121,IY2101,pIY1412,pJET-Carb-PP_1240,JBx_249405,PP_1240,pIY1412,IY2101
,122,IY2102,pIY1413,pJET-Carb-PP_5128,JBx_249407,PP_5128,pIY1413,IY2102
,123,IY2103,pIY1414,pJET-Carb-PP_5064,JBx_249409,PP_5064,pIY1414,IY2103
,124,IY2104,pIY1415,pJET-Carb-PP_2095,JBx_249411,PP_2095,pIY1415,IY2104
,125,IY2105,pIY1416,pJET-Carb-PP_1769,JBx_249413,PP_1769,pIY1416,IY2105
,126,IY2106,pIY1417,pJET-Carb-PP_4635,JBx_249415,PP_4635,pIY1417,IY2106
,127,IY2107,pIY1418,pJET-Carb-PP_1610,JBx_249417,PP_1610,pIY1418,IY2107
,128,IY2108,pIY1419,pJET-Carb-PP_5186,JBx_249419,PP_5186,pIY1419,IY2108
,129,IY2109,pIY1420,pJET-Carb-PP_4161,JBx_249421,PP_4161,pIY1420,IY2109
,130,IY2110,pIY1421,pJET-Carb-PP_4160,JBx_249423,PP_4160,pIY1421,IY2110
,131,IY2111,pIY1422,pJET-Carb-PP_4159,JBx_249425,PP_4159,pIY1422,IY2111
,132,IY2112,pIY1423,pJET-Carb-PP_0658,JBx_249427,PP_0658,pIY1423,IY2112
,133,IY2113,pIY1424,pJET-Carb-PP_1506,JBx_249429,PP_1506,pIY1424,IY2113
,134,IY2114,pIY1425,pJET-Carb-PP_1620,JBx_249431,PP_1620,pIY1425,IY2114
,135,IY2115,pIY1426,pJET-Carb-PP_4266,JBx_249433,PP_4266,pIY1426,IY2115
,136,IY2116,pIY1427,pJET-Carb-PP_1457,JBx_249435,PP_1457,pIY1427,IY2116
,137,IY2117,pIY1428,pJET-Carb-PP_5203,JBx_249437,PP_5203,pIY1428,IY2117
,138,IY2118,pIY1429,pJET-Carb-PP_0227,JBx_249439,PP_0227,pIY1429,IY2118
,139,IY2119,pIY1430,pJET-Carb-PP_0226,JBx_249441,PP_0226,pIY1430,IY2119
,140,IY2120,pIY1431,pJET-Carb-PP_0225,JBx_249443,PP_0225,pIY1431,IY2120
,141,IY2121,pIY1432,pJET-Carb-PP_4651,JBx_249445,PP_4651,pIY1432,IY2121
,142,IY2122,pIY1433,pJET-Carb-PP_4650,JBx_249447,PP_4650,pIY1433,IY2122
,143,IY2123,pIY1434,pJET-Carb-PP_4193,JBx_249449,PP_4193,pIY1434,IY2123
,144,IY2124,pIY1435,pJET-Carb-PP_4192,JBx_249451,PP_4192,pIY1435,IY2124
,145,IY2125,pIY1436,pJET-Carb-PP_4191,JBx_249453,PP_4191,pIY1436,IY2125
