Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,252,IY1646,pIY1130,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4894,JBx_249669,,,
,253,IY1647,pIY1131,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2213,JBx_249671,,,
,254,IY1648,pIY1132,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4487,JBx_249673,,,
,255,IY1649,pIY1133,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4702,JBx_249675,,,
,256,IY1650,pIY1134,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0528,JBx_249677,,,
,257,IY1651,pIY1135,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0548,JBx_249679,,,
,258,IY1652,pIY1136,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4636,JBx_249681,,,
,259,IY1769,pIY1194,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0527,JBx_249683,,,
,260,IY1770,pIY1195,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2533,JBx_249685,,,
,261,IY1771,pIY1196,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5155,JBx_249687,,,
,262,IY1772,pIY1197,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1444_NT2,JBx_249689,,,
,263,IY1773,pIY1198,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0339,JBx_249691,,,
,264,IY1774,pIY1199,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2051,JBx_249693,,,
,265,IY1775,pIY1200,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2215,JBx_249695,,,
,266,IY1776,pIY1201,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1866,JBx_249697,,,
,267,IY1777,pIY1202,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2324,JBx_249699,,,
,268,IY1778,pIY1203,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3080,JBx_249701,,,
,269,IY1779,pIY1204,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5351,JBx_249703,,,
,270,IY1780,pIY1205,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4736,JBx_249705,,,
,271,IY1781,pIY1206,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1773,JBx_249707,,,
,272,IY1782,pIY1207,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0356,JBx_249709,,,
,273,IY1783,pIY1208,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4379,JBx_249711,,,
,274,IY1784,pIY1209,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1319,JBx_249713,,,
,275,IY1785,pIY1210,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5258,JBx_249715,,,
,276,IY1786,pIY1211,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1616,JBx_249717,,,
,277,IY1787,pIY1212,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2803,JBx_249719,,,
,278,IY1898,pIY1266,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5420,JBx_249721,,,
,279,IY1899,pIY1267,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5419,JBx_249723,,,
,280,IY1900,pIY1268,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5417,JBx_249725,,,
,281,IY1901,pIY1269,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5416,JBx_249727,,,
,282,IY1902,pIY1270,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0806,JBx_249729,,,
,283,IY1903,pIY1271,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0168,JBx_249731,,,
,284,IY1904,pIY1272,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5335,JBx_249733,,,
,285,IY1905,pIY1273,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4119,JBx_249735,,,
,286,IY1906,pIY1274,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4120,JBx_249737,,,
,287,IY1907,pIY1275,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4121,JBx_249739,,,
,288,IY1908,pIY1276,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4122,JBx_249741,,,
,289,IY1909,pIY1277,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4123,JBx_249743,,,
,290,IY1910,pIY1278,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4124,JBx_249745,,,
,291,IY1911,pIY1279,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4129,JBx_249747,,,
,292,IY1912,pIY1280,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4130,JBx_249749,,,
,293,IY1913,pIY1281,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4128,JBx_249751,,,
,294,IY1914,pIY1282,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0999,JBx_249753,,,
,295,IY1915,pIY1283,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1031,JBx_249755,,,
,296,IY1916,pIY1284,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1770,JBx_249757,,,
,297,IY1917,pIY1285,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1664,JBx_249759,,,
,298,IY1918,pIY1286,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4175,JBx_249761,,,
,299,IY1919,pIY1287,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4174,JBx_249763,,,
,300,IY1920,pIY1288,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4189,JBx_249765,,,
,301,IY1921,pIY1289,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188,JBx_249767,,,
,302,IY1922,pIY1290,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4187,JBx_249769,,,
,303,IY1923,pIY1291,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1771,JBx_249771,,,
,304,IY1924,pIY1292,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0691,JBx_249773,,,
,305,IY1925,pIY1293,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0001,JBx_249775,,,
,306,IY1926,pIY1294,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4116,JBx_249777,,,
,307,IY1927,pIY1295,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4043,JBx_249779,,,
,308,IY1928,pIY1296,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4862,JBx_249781,,,
,309,IY1929,pIY1297,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0103,JBx_249783,,,
,310,IY1930,pIY1298,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0104,JBx_249785,,,
,311,IY1931,pIY1299,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105,JBx_249787,,,
,312,IY1932,pIY1300,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0106,JBx_249789,,,
,313,IY1933,pIY1301,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1317,JBx_249791,,,
,314,IY1934,pIY1302,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1318,JBx_249793,,,
,315,IY2140,pIY1451,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1319,JBx_249795,,,
,316,IY2141,pIY1452,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0812,JBx_249797,,,
,317,IY2142,pIY1453,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0813,JBx_249799,,,
,318,IY2143,pIY1454,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0814,JBx_249801,,,
,319,IY2144,pIY1455,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0815,JBx_249803,,,
,320,IY2145,pIY1456,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1023,JBx_249805,,,
,321,IY2146,pIY1457,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1240,JBx_249807,,,
,322,IY2147,pIY1458,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5128,JBx_249809,,,
,323,IY2148,pIY1459,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5064,JBx_249811,,,
,324,IY2149,pIY1460,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2095,JBx_249813,,,
BOX 5,325,IY2150,pIY1461,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1769,JBx_249815,,,
,326,IY2151,pIY1462,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4635,JBx_249817,,,
,327,IY2152,pIY1463,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1610,JBx_249819,,,
,328,IY2153,pIY1464,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5186,JBx_249821,,,
,329,IY2154,pIY1465,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4161,JBx_249823,,,
,330,IY2155,pIY1466,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4160,JBx_249825,,,
,331,IY2156,pIY1467,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4159,JBx_249827,,,
,332,IY2157,pIY1468,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0658,JBx_249829,,,
,333,IY2158,pIY1469,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1506,JBx_249831,,,
,334,IY2159,pIY1470,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1620,JBx_249833,,,
,335,IY2160,pIY1471,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4266,JBx_249835,,,
,336,IY2161,pIY1472,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1457,JBx_249837,,,
,337,IY2162,pIY1473,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5203,JBx_249839,,,
,338,IY2163,pIY1474,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0227,JBx_249841,,,
,339,IY2164,pIY1475,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0226,JBx_249843,,,
,340,IY2165,pIY1476,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0225,JBx_249845,,,
,341,IY2166,pIY1477,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4651,JBx_249847,,,
,342,IY2167,pIY1478,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4650,JBx_249849,,,
,343,IY2168,pIY1479,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4193,JBx_249851,,,
,344,IY2169,pIY1480,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192,JBx_249853,,,
,345,IY2170,pIY1481,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4191,JBx_249855,,,
,346,IY2171,pIY1482,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4190,JBx_249857,,,
,347,IY2172,pIY1483,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0897,JBx_249859,,,
,348,IY2173,pIY1484,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944,JBx_249861,,,
,349,IY2174,pIY1485,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1755,JBx_249863,,,
,350,IY2175,pIY1486,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0654,JBx_249865,,,
,351,IY2176,pIY1487,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0751,JBx_249867,,,
,352,IY2177,pIY1488,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2925,JBx_249869,,,
,353,IY2178,pIY1489,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1251,JBx_249871,,,
,354,IY2179,pIY1490,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2112,JBx_249873,,,
,355,IY2180,pIY1491,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2339,JBx_249875,,,
,356,IY2181,pIY1492,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4011,JBx_249877,,,
,357,IY2182,pIY1493,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4012,JBx_249879,,,
,358,IY2183,pIY1494,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4185,JBx_249881,,,
,359,IY2184,pIY1495,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4186,JBx_249883,,,
,360,IY2394,pIY1581,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-BFP,JBx_249885,,,
,361,IY2395,pIY1582,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4960,JBx_249887,,,
,362,IY2396,pIY1583,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2871,JBx_249889,,,
,363,IY2417,pIY1604,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0297,JBx_249891,,,
,364,IY2418,pIY1605,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0987,JBx_249893,,,
,365,IY2419,pIY1606,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2930,JBx_249895,,,
,366,IY2420,pIY1607,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3144,JBx_249897,,,
,367,IY2421,pIY1608,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3191,JBx_249899,,,
,368,IY2422,pIY1609,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3446,JBx_249901,,,
,369,IY2423,pIY1610,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5149,JBx_249903,,,
,370,IY2424,pIY1611,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0731,JBx_249905,,,
,371,IY2425,pIY1612,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3664,JBx_249907,,,
,372,IY2426,pIY1613,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4677,JBx_249909,,,
,373,IY2427,pIY1614,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0082,JBx_249911,,,
,374,IY2428,pIY1615,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0083,JBx_249913,,,
,375,IY2429,pIY1616,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0988,JBx_249915,,,
,376,IY2430,pIY1617,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5192,JBx_249917,,,
,377,IY2500,pIY1659,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0321,JBx_249919,,,
,378,IY2501,pIY1660,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1808,JBx_249921,,,
,379,IY2502,pIY1661,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4701,JBx_249923,,,
,380,IY2503,pIY1662,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1011,JBx_249925,,,
,381,IY2504,pIY1663,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1156,JBx_249927,,,
,382,IY2505,pIY1664,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2149,JBx_249929,,,
,383,IY2506,pIY1665,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4963,JBx_249931,,,
,384,IY2507,pIY1666,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5056,JBx_249933,,,
,385,IY2508,pIY1667,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1612,JBx_249935,,,
,386,IY2509,pIY1668,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1362,JBx_249937,,,
,387,IY2556,pIY1701,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528,JBx_249939,,,
,388,IY2557,pIY1702,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_0168,JBx_249941,,,
,389,IY2558,pIY1703,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_0168_0528,JBx_249943,,,
,390,IY2559,pIY1704,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_0528,JBx_249945,,,
,391,IY2560,pIY1705,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_0528_4174,JBx_249947,,,
,392,IY2561,pIY1706,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_3280,JBx_249949,,,
,393,IY2562,pIY1707,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_4043,JBx_249951,,,
,394,IY2563,pIY1708,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0813,JBx_249953,,,
,395,IY2564,pIY1709,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0815,JBx_249955,,,
,396,IY2565,pIY1710,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4160,JBx_249957,,,
,397,IY2566,pIY1711,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4174,JBx_249959,,,
,398,IY2567,pIY1712,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4266,JBx_249961,,,
,399,IY2568,pIY1713,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_0812,JBx_249963,,,
,400,IY2569,pIY1714,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_0812_4160_0168,JBx_249965,,,
,401,IY2570,pIY1715,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_4160,JBx_249967,,,
,402,IY2571,pIY1716,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528_4174,JBx_249969,,,
,403,IY2572,pIY1717,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160_4174,JBx_249971,,,
,404,IY2579,pIY1724,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812,JBx_249973,,,
,405,IY2580,pIY1725,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4160,JBx_249975,,,
BOX 6,406,IY2581,pIY1726,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528_4160,JBx_249977,,,
,407,IY2582,pIY1727,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0812_4174,JBx_249979,,,
,408,IY2583,pIY1728,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528_4160_0168,JBx_249981,,,
,409,IY2584,pIY1729,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528_4160_3280,JBx_249983,,,
,410,IY2585,pIY1730,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0528_4160_4043,JBx_249985,,,
,411,IY2757,pIY1833,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4011_4012,JBx_249987,,,
,412,IY2758,pIY1834,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4116,JBx_249989,,,
,413,IY2759,pIY1835,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0356,JBx_249991,,,
,414,IY2760,pIY1836,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4116_0356,JBx_249993,,,
,415,IY2761,pIY1837,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4116_0356,JBx_249995,,,
,416,IY2762,pIY1838,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_0356_4160,JBx_249997,,,
,417,IY2763,pIY1839,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_1457,JBx_249999,,,
,418,IY2764,pIY1840,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4635,JBx_250001,,,
,419,IY2765,pIY1841,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_1457_4635,JBx_250003,,,
,420,IY2766,pIY1842,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_1467_4160_0168,JBx_250005,,,
,421,IY2767,pIY1843,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_1457,JBx_250007,,,
,422,IY2768,pIY1844,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_4635,JBx_250009,,,
,423,IY2769,pIY1845,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_1457_4635,JBx_250011,,,
,424,IY2770,pIY1846,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4192_1457_4160_0168,JBx_250013,,,
,425,IY2771,pIY1847,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4011_4012_4116,JBx_250015,,,
,426,IY2772,pIY1848,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5075,JBx_250017,,,
,427,IY2773,pIY1849,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5076,JBx_250019,,,
,428,IY2774,pIY1850,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0675,JBx_250021,,,
,429,IY2775,pIY1851,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2080,JBx_250023,,,
,430,IY2776,pIY1852,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5046_NT2,JBx_250025,,,
,431,IY2777,pIY1853,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3591,JBx_250027,,,
,432,IY2778,pIY1854,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2336,JBx_250029,,,
,433,IY2779,pIY1855,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2652,JBx_250031,,,
,434,IY2780,pIY1856,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3662,JBx_250033,,,
,435,IY2781,pIY1857,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4012_NT2,JBx_250035,,,
,436,IY2782,pIY1858,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0356,JBx_250037,,,
,437,IY2586,pIY1731,pRK2-Kan-ParaBAD-3-DDGS-3-OMT-TrpoH-Ptrc-3-ATP_grasp_ligase-3-NRPS,JBx_250457,,,
,438,IY2587,pIY1732,pRK2-Kan-Ptrc1-O-3-DDGS-3-OMT-TrpoH-Ptrc-3-ATP_grasp_ligase-3-NRPS,JBx_250459,,,
,439,IY2588,pIY1733,pRK2-Kan-ParaBAD-4-DDGS-4-OMT-TrpoH-Ptrc-4-ATP_grasp_ligase-4-NRPS,JBx_250461,,,
,440,IY2589,pIY1734,pRK2-Kan-Ptrc1-O-4-DDGS-4-OMT-TrpoH-Ptrc-4-ATP_grasp_ligase-4-NRPS,JBx_250463,,,
,441,IY2590,pIY1735,pRK2-Kan-ParaBAD-5-DDGS-5-OMT-TrpoH-Ptrc-5-ATP_grasp_ligase-5-NRPS,JBx_250465,,,
,442,IY2591,pIY1736,pRK2-Kan-Ptrc1-O-5-DDGS-5-OMT-TrpoH-Ptrc-5-ATP_grasp_ligase-5-NRPS,JBx_250467,,,
,443,IY2592,pIY1737,pRK2-Kan-ParaBAD-3-DDGS-3-OMT-3-ATP_grasp_ligase-3-NRPS,JBx_250469,,,
,444,IY2593,pIY1738,pRK2-Kan-Ptrc1-O-3-DDGS-3-OMT-3-ATP_grasp_ligase-3-NRPS,JBx_250471,,,
,445,IY2594,pIY1739,pRK2-Kan-ParaBAD-4-DDGS-4-OMT-4-ATP_grasp_ligase-4-NRPS,JBx_250473,,,
,446,IY2595,pIY1740,pRK2-Kan-Ptrc1-O-4-DDGS-4-OMT-4-ATP_grasp_ligase-4-NRPS,JBx_250475,,,
,447,IY2596,pIY1741,pRK2-Kan-ParaBAD-5-DDGS-5-OMT-5-ATP_grasp_ligase-5-NRPS,JBx_250477,,,
,448,IY2597,pIY1742,pRK2-Kan-Ptrc1-O-5-DDGS-5-OMT-5-ATP_grasp_ligase-5-NRPS,JBx_250479,,,
,449,IY2754,pIY1830,pRK2-Kan-Ptrc1-O-(Ava_DDGS-OMT-ATP_grasp_ligase)-Np_D_ala_ala_ligase,JBx_250481,,,
,450,IY534,pIY456,pRK2-Kan-Ptrc1-O-Ava_DDGS-OMT-ATP_grasp_ligase-NRPS,JBx_250483,,,
,451,IY2747,pIY1823,pK18-Kan-PP_4188,JBx_250485,,,
,452,IY2852,pIY1875,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-3-ATP_grasp_ligase-3-NRPS,JBx_250487,,,
,453,IY2853,pIY1876,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-3-ATP_grasp_ligase-4-NRPS,JBx_250489,,,
,454,IY2854,pIY1877,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-3-ATP_grasp_ligase-5-NRPS,JBx_250491,,,
,455,IY2855,pIY1878,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-4-ATP_grasp_ligase-3-NRPS,JBx_250493,,,
,456,IY2856,pIY1879,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-4-ATP_grasp_ligase-4-NRPS,JBx_250495,,,
,457,IY2857,pIY1880,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-4-ATP_grasp_ligase-5-NRPS,JBx_250497,,,
,458,IY2858,pIY1881,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-5-ATP_grasp_ligase-3-NRPS,JBx_250499,,,
,459,IY2859,pIY1882,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-5-ATP_grasp_ligase-4-NRPS,JBx_250501,,,
,460,IY2860,pIY1883,pRK2-Kan-araC-ParaBAD-3-DDGS-OMT-5-ATP_grasp_ligase-5-NRPS,JBx_250503,,,
,461,IY514,pIY436,pRK2-Kan-TetR-Ptet_WT-RFP,JBx_250505,,,
,462,IY515,pIY437,pRK2-Kan-TetR-Ptet_eng-RFP,JBx_250507,,,
,463,IY516,pIY438,pRK2-Kan-lacI-PA1lacO-1-RFP,JBx_250509,,,
,464,IY517,pIY439,pRK2-Kan-Ptrc-RFP (RBS3),JBx_250511,,,
,465,IY524,pIY446,pRK2-Kan-araC-ParaBAD-RFP (RBS3),JBx_250513,,,
,466,IY525,pIY447,pRK2-Kan-NagR-PnagAa-RFP,JBx_250515,,,
,467,IY1278,pIY891,pRK2-Kan-XylS-Pm-RFP,JBx_250517,,,
,468,IY678,pIY541,pRK2-Kan-Ptrc-RFP (RBS1),JBx_250519,,,
