Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A13,1000.0
AQ,384PP_AQ_SP2,B21,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A13,1000.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,500.0
AQ,384PP_AQ_SP2,A12,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,1500.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A14,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,1000.0
AQ,384PP_AQ_SP2,B8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,1000.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,1000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,500.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A15,1500.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,1000.0
AQ,384PP_AQ_SP2,A19,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,1000.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,1500.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,500.0
AQ,384PP_AQ_SP2,B7,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A16,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,1500.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,500.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,1000.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,1000.0
AQ,384PP_AQ_SP2,B11,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A17,1000.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,1000.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,1000.0
AQ,384PP_AQ_SP2,A3,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,1500.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A18,500.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,500.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,1000.0
AQ,384PP_AQ_SP2,A4,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,1000.0
AQ,384PP_AQ_SP2,B9,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,1500.0
AQ,384PP_AQ_SP2,A14,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A19,1000.0
AQ,384PP_AQ_SP2,C9,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,1000.0
AQ,384PP_AQ_SP2,PP_4862,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,1000.0
AQ,384PP_AQ_SP2,A18,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,1000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,1000.0
AQ,384PP_AQ_SP2,B20,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,500.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A2,500.0
AQ,384PP_AQ_SP2,B17,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,1000.0
AQ,384PP_AQ_SP2,A11,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,1000.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,500.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A20,1500.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,1000.0
AQ,384PP_AQ_SP2,B19,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,1000.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,500.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,1500.0
AQ,384PP_AQ_SP2,A11,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A21,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,1000.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,1000.0
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,500.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,1500.0
AQ,384PP_AQ_SP2,B8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A22,1000.0
AQ,384PP_AQ_SP2,A11,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,1000.0
AQ,384PP_AQ_SP2,C13,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,500.0
AQ,384PP_AQ_SP2,B18,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,1000.0
AQ,384PP_AQ_SP2,C8,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,1000.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,1000.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A23,1500.0
AQ,384PP_AQ_SP2,C10,Parts_Library_DBTL2,CRISPRi_Assemblies_DBTL2,A24,1500.0
