parB
coxB
ctaD
ctaG
coxC
-
yecC
yecS
-
aceF
bioB
HA62_19490
birA
ispA
ubiX
fadI
mmsA
mdh
-
proB
mqo
pta
-
cyoA
cyoB
cyoC
cyoD
fumA
fumC
arcC
pgl
guaB
budB
purC
mqo
petA
petB
petC
-
gcd
purT
adk
accA
pyrG
surE
purN
fumC
pheA
aroA
xanA
pyrD
acnA
fadB
fadA
acs-2
acnB
himA
puuC2
mqo
acsA
scoA
scoB
paaJ
paaH
-
budB
-
pgm
pdhR
thlA
paaH
icd
icd
gnd
aceA
nuoA
nuoB
nuoC
nuoE
nuoF
nuoK
nuoM
kdpC
kdpB
kdpA
fabA
fabB
sucD
sucC
lpdG
sucB
sucA
sdhA
sdhD
sdhC
gltA
apt
acsA
fadD1
fadD2
fabV
atoB
cioB
cioA
mmsA
ilvC
ilvH
acsA
lldE
sdh
hfq
betA
ilvD
argE
ygfA
algC
purK
atpH
atpF
atpB
atpI
