Sample Group,Source Plate Type,Source Well,Source Plate Name,Destination Plate Name,Destination Well,Transfer Volume
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,5000.0
AQ,384PP_AQ_SP2,B19,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,2500.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,1500.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A22,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,5000.0
AQ,384PP_AQ_SP2,B16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A23,5000.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A24,5000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A24,5000.0
AQ,384PP_AQ_SP2,B15,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A24,2100.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A24,1900.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A3,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A3,5000.0
AQ,384PP_AQ_SP2,B4,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A3,2900.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A3,1100.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A4,700.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A4,5000.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A4,5000.0
AQ,384PP_AQ_SP2,B5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A4,3300.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A5,2900.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A5,5000.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A5,5000.0
AQ,384PP_AQ_SP2,A23,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A5,1100.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A6,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A6,5000.0
AQ,384PP_AQ_SP2,A21,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A6,
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A6,
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A7,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A7,5000.0
AQ,384PP_AQ_SP2,B2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A7,2400.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A7,1600.0
AQ,384PP_AQ_SP2,A7,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A8,5000.0
AQ,384PP_AQ_SP2,A1,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A8,5000.0
AQ,384PP_AQ_SP2,A22,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A8,1500.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A8,2500.0
AQ,384PP_AQ_SP2,A2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A9,5000.0
AQ,384PP_AQ_SP2,A8,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A9,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A9,2700.0
AQ,384PP_AQ_SP2,B3,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,A9,1300.0
AQ,384PP_AQ_SP2,A13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B1,5000.0
AQ,384PP_AQ_SP2,B11,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B1,1000.0
AQ,384PP_AQ_SP2,A5,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B1,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B1,3000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B10,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B10,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B10,1600.0
AQ,384PP_AQ_SP2,B2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B10,2400.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B11,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B11,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B11,1500.0
AQ,384PP_AQ_SP2,B19,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B11,2500.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B12,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B12,3000.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B12,5000.0
AQ,384PP_AQ_SP2,B11,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B12,1000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B13,1900.0
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B13,5000.0
AQ,384PP_AQ_SP2,B15,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B13,2100.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B13,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B14,
AQ,384PP_AQ_SP2,B14,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B14,
AQ,384PP_AQ_SP2,A16,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B14,5000.0
AQ,384PP_AQ_SP2,A9,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B14,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B15,
AQ,384PP_AQ_SP2,B13,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B15,
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B15,5000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B15,5000.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B16,5000.0
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B16,5000.0
AQ,384PP_AQ_SP2,B12,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B16,1100.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B16,2900.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B17,5000.0
AQ,384PP_AQ_SP2,B21,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B17,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B17,5000.0
AQ,384PP_AQ_SP2,C2,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B17,
AQ,384PP_AQ_SP2,A10,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B18,5000.0
AQ,384PP_AQ_SP2,A17,Parts_Library_DBTL3,Ligation_Digestion_DBTL3,B18,5000.0
