Locus,PP_0368_PP_0812_PP_0815_log2_change,PP_0368_PP_0812_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PP_0528_PP_0812_PP_0815_log2_change,PP_0528_PP_0812_PP_0815_log10_p_value,PP_0528_PP_0815_log2_change,PP_0528_PP_0815_log10_p_value,PP_0751_PP_0812_PP_0815_log2_change,PP_0751_PP_0812_PP_0815_log10_p_value,PP_0751_PP_0813_PP_0815_log2_change,PP_0751_PP_0813_PP_0815_log10_p_value,PP_0751_PP_0815_log2_change,PP_0751_PP_0815_log10_p_value,PP_0812_PP_0813_PP_0815_log2_change,PP_0812_PP_0813_PP_0815_log10_p_value,PP_0528_PP_0751_PP_0815_log2_change,PP_0528_PP_0751_PP_0815_log10_p_value
A0A140FVX0,-0.5347409950731312,3.322467267032308,0.8643898741039389,1.3751726933895414,1.1461111261029335,1.0183396794107313,0.9559566794025719,3.277687250868791,0.6218981786587391,1.1210253471372087,,,0.10189964659815921,0.17879474230918366,0.24024873935303062,0.33728354094105617,-0.7170832034696822,2.548092147983784,0.563993310933231,2.697445745619135
A0A140FVX4,0.6055383688425918,1.0434505453354643,-0.9893595885020632,0.27627501438786006,,,0.5049532727058271,0.7409410180949206,1.0304325371021625,1.2764407358752397,,,-1.2873480981260315,1.9874603478854183,0.6961290061995632,,0.4359855609435441,1.6098017529899855,-1.7679551625730163,2.1786105352236382
A0A140FVZ0,0.39931878109971414,0.7325066723774728,0.4215991291868168,0.5643783689757766,0.12299940374430535,0.2943577992998371,0.02397228366967059,0.08957154258517709,0.5810120473623879,0.8230322933622458,,,0.2616732441272056,1.251322548318489,0.2913837864854014,1.7385233394063375,0.8919876997519417,2.9391793747849824,0.00649771404937186,0.018196295751447905
A0A140FVZ1,2.1657492447095197,2.8971775557911643,0.8283166315387441,1.7695954542294996,0.8742447837163099,1.5194515934717023,0.7336752187351504,2.210496649316838,1.591423197632727,1.8003481673393964,,,0.45044621353827113,1.3841814449038585,1.646178563717631,2.049131902000322,2.2451168459654607,4.955359557595178,-0.02195466501275334,0.09189357465050947
A0A140FW22,0.8397812762693929,0.4135809214885018,1.1887001311611967,0.5818846904814752,1.610724147278066,0.8481373115560621,1.2282768051262405,1.9630108138094924,1.0970573535339527,0.6835376834063647,,,2.260762267888278,1.1278658029423518,0.9213963989384455,0.7236785913094574,0.4224598766818135,0.22684421092515938,1.4639973187144062,0.8071973621461928
A0A140FW35,-0.005996308437573555,0.010248012394836114,-0.5832478822746245,0.520698821637722,-1.3514540811770928,1.4054247039460968,0.0746058865950256,0.14613458034529828,,,,,-1.4745889574962248,0.9216946828512453,0.3913490029144404,1.2588662844335254,-0.1792055510006521,0.2046001581833897,-0.6285320874240914,0.7657462362642078
A0A140FW57,,,,,,,,,-0.33285109370193433,,,,0.65915417139165,0.45938907643637605,,,,,,
A0A140FW92,,,0.3641743335606936,,-0.03980440493852749,,,,,,,,,,,,,,,
A0A140FWC7,0.41061798921090625,0.3533822124305528,-0.43252968650873996,0.5110525098124221,-0.8885335647333179,1.4955925941659238,-0.23646980446581564,0.12581334002360348,-0.31783399211936414,0.27304951683844875,,,0.23789187511897458,0.18021846870455813,0.6181318721253737,0.6230832967087694,-0.19574498596392212,0.12801531051284168,-0.6223666000254744,0.7375341287300605
A0A140FWL3,-1.3531316890157479,4.156008949947561,0.2962025811220871,1.4772188463950628,0.6705305484568733,1.7154493980656866,-1.4220770346343707,0.9950592403189209,-1.4164292770730909,1.787423347794012,,,0.4345626234859662,2.568184666281209,-1.095479197617348,2.117923599493001,-1.2597706477954285,2.736992337054338,0.4589502282370545,0.5657761166008614
A0A140FWM3,1.9562762439564567,2.2616257921411886,1.088951807004284,,0.2926382176384339,0.367419554078285,1.3297661393442697,1.414676436719483,1.5811020839198922,2.1437062060885483,,,,,0.9434683449540159,0.7949781568848999,1.7467328942922133,2.759075588004321,1.580421907745337,
A0A140FWP7,0.8794499935376004,2.214187989884851,2.1059008473807324,3.0196319846110424,1.9702237513223428,1.6888032374843254,0.900798812545568,1.2319606351285215,1.1830509556907556,1.2965069138001846,,,2.651151765015279,2.2915982181928705,0.9634183512425568,1.0340034259153656,1.490613942066426,2.9497544626811267,2.5808736538419867,
A0A140FWQ8,-0.7321820125461823,0.6636948686456248,,,-1.037696552885254,0.17183660857620817,-0.7863512197252291,0.33962699019594245,1.4300065818280954,1.69100669139572,,,-1.6984075921432253,,1.1489848707634787,1.0104323616320374,-0.7778489730553586,1.8740348957896127,,
A0A140FWS3,0.11254440952359612,0.3593395577039692,-0.40089602800311486,1.1206404617102745,0.140639675686038,1.1159935845746365,-0.6259492431903035,1.0224607811033706,-0.6916784050578934,1.14359843578777,,,-0.6032909931827994,1.9611471099151727,-0.373504857776399,0.3806063963029431,-0.14984367104956406,0.7440887729104935,-0.4011378486551353,0.9410792219694574
A0A140FWS4,1.5161598051789957,1.2584974570962102,-0.44830601923374436,0.27958875412153394,0.21766381774216076,0.172934963608524,0.5603481451180965,0.7368690249552755,2.2084527506603786,2.2144234431543457,,,1.6316333269746615,1.8402573501419113,0.7869640722314513,0.576463595472516,1.0772012710148327,0.7010415676549105,1.4332144962425337,0.5455437157709063
A0A140FWS5,0.5160776590203615,1.6769947498012496,,,-0.20926441400451315,,1.3439075467821657,0.9559513467439598,,,,,1.244758474745338,,0.8805149535450795,1.6566843286627218,0.5228776334117291,1.4609302716807464,,
A0A140FWU0,-1.3101109924307655,2.0970852301666336,0.012873116936236809,0.015260082517854875,1.0606759912097512,1.7172579519126778,-0.6430257570327131,0.8166489041359618,-0.778508120672225,1.2001533174767773,,,1.2657379184678343,2.8431845446586586,-0.27682479708667396,0.33194031544377056,-1.0349794234842422,1.5026866766371914,0.3779934229610427,1.2563483523734023
MM_1762,0.7023391957045697,2.464771902050621,1.2563736906941765,3.574207754997297,1.1019671800461173,4.8968076362008395,0.7313325786763729,3.277360204892687,1.0665334642088464,2.6380284081715852,,,1.3330416624936998,2.7768992585250953,0.7934056183345748,1.7108342118944573,0.5748408493889647,4.323260888379181,1.2948158051279741,4.722903346157305
PP_0001,0.008495901570674862,0.01036505675540461,1.0129060863227137,1.9836136560455266,1.2630347635913446,2.3126185260455503,0.26501996483257356,0.1433977087513095,0.686983311416196,1.2451599825339197,,,0.11485731087319731,0.1793440967060912,0.6787406965573252,0.7306973249226282,0.07377029574412154,0.07524343312938353,0.3407326800784623,0.3411487521139836
PP_0004,-1.9509910474101047,2.1941343131027433,0.8904801225102389,1.575270134189656,0.7384953664548711,2.3040039399515546,-1.4901905528284618,1.207201451782493,-1.711848996105924,2.359225347636019,,,1.9582121079582873,2.4668112235222583,-2.116830606933877,3.000511077780635,-1.8786692914979028,2.0558495772465646,1.6845940581053662,1.673174658869934
PP_0005,0.44127071949735847,0.411779263810465,,,,,0.009806693222960504,0.004697673973077708,0.2660884127458022,0.11774818789794898,,,,,0.2922578123372056,0.20789130674511697,1.4701648292554366,2.466002877054355,,
PP_0006,-0.8853229595764677,2.1046579212709666,-1.2037967124873175,1.3033010275405332,-1.3790048340848795,2.0091679734907664,-1.0155874648370693,2.0688663678637393,-0.20784399425271985,0.2574413050647228,,,-1.2002476852930952,3.589050070993889,-0.9079186991043986,3.000491443105145,-0.7531466160420134,1.9350182017444435,-1.173300071767336,1.7834615576699981
PP_0010,0.8234481547861348,0.40685068470603175,2.713304804823139,0.7575168123854493,2.3441922009988008,0.7639667965054525,-1.6729306383220894,1.4771347744625445,0.881572153694025,0.4229137761571238,,,1.7983994015157911,0.3958501392006033,0.23539794741390904,0.07252547322055754,0.4075690345141163,0.11596780934221926,1.9763108717087294,0.4465912055698177
PP_0011,-2.4938987352361566,1.597222985536737,-2.4093035036941277,2.05340014053165,-2.1479237528943536,2.7729260636971933,-2.547221980247166,2.531202121264164,-1.9409988617259715,1.9640370171529813,,,-2.536679989352558,4.830971521128533,-2.2979402996196914,2.7164585325193773,-1.626343853038036,1.6075011507019166,-2.1965672111256267,5.010099512203246
PP_0013,-1.020620517007793,1.4135432696014734,-0.1572240597571748,0.40823975451500943,0.26803804794774727,0.2764093398664344,-0.6541563301405232,0.5942084871897428,-0.7467981158074495,0.852552766650333,,,0.3004228419547652,0.5147808656749153,0.2261776502600953,0.21059330495536285,-0.3174611011481822,0.3817772573264134,0.32990496038348566,0.5186043581159643
PP_0018,1.0485943882387214,3.2697819060874513,1.6164929668034151,2.9327273597963126,1.5151718811244084,3.9236417757051396,1.7825630460784023,1.9228408890362862,2.285955815660694,,,,1.5535689785567441,4.492908085771279,2.360604960523189,2.32500427662862,1.0605686946601505,3.8416424644011533,1.6757963834091911,2.76044975645884
