Objects annotated to GO terms from New SmartTable with DNA-binding transcription factor activity	Matches	Accession-1	Common-Name	Gene	Names	Synonyms
G1G01-778-MONOMER	GO:0003700		RNA polymerase ECF-16 &sigma; factor	G1G01-778	RNA polymerase ECF-16 &sigma; factor	
G1G01-3814-MONOMER	GO:0003700		RNA polymerase ECF-17 &sigma; factor	G1G01-3814	RNA polymerase ECF-17 &sigma; factor // FecI // RNA polymerase sigma 19 factor // RNA polymerase &sigma;<sup>19</sup> factor	FecI // RNA polymerase sigma 19 factor // RNA polymerase &sigma;<sup>19</sup> factor
G1G01-940-MONOMER	GO:0003700		RNA polymerase ECF-18 &sigma; factor	G1G01-940	RNA polymerase ECF-18 &sigma; factor	
G1G01-2333-MONOMER	GO:0003700		RNA polymerase ECF-19 &sigma; factor/anti &sigma; factor	G1G01-2333	RNA polymerase ECF-19 &sigma; factor/anti &sigma; factor	
G1G01-4920-MONOMER	GO:0003700		RNA polymerase ECF-2 &sigma; factor	G1G01-4920	RNA polymerase ECF-2 &sigma; factor	
G1G01-1519-MONOMER	GO:0003700		RNA polymerase ECF-3 &sigma; factor	G1G01-1519	RNA polymerase ECF-3 &sigma; factor // AglU // RpoE // RNA polymerase &sigma; E factor // RNA polymerase ECF &sigma; factor AlgU	AglU // RpoE // RNA polymerase &sigma; E factor // RNA polymerase ECF &sigma; factor AlgU
G1G01-4517-MONOMER	GO:0003700		RNA polymerase ECF-4 &sigma; factor	G1G01-4517	RNA polymerase ECF-4 &sigma; factor // PvdS // alternative sigma factor PvdS	PvdS // alternative sigma factor PvdS
G1G01-4916-MONOMER	GO:0003700		RNA polymerase ECF-5 &sigma; factor	G1G01-4916	RNA polymerase ECF-5 &sigma; factor	
G1G01-4477-MONOMER	GO:0003700		RNA polymerase ECF-6 &sigma; factor	G1G01-4477	RNA polymerase ECF-6 &sigma; factor	
G1G01-386-MONOMER	GO:0003700		RNA polymerase ECF-7 &sigma; factor	G1G01-386	RNA polymerase ECF-7 &sigma; factor	
G1G01-177-MONOMER	GO:0003700		RNA polymerase ECF-8 &sigma; factor	G1G01-177	RNA polymerase ECF-8 &sigma; factor	
G1G01-3282-MONOMER	GO:0003700		RNA polymerase ECF-9 &sigma; factor	G1G01-3282	RNA polymerase ECF-9 &sigma; factor	
G1G01-4619-MONOMER	GO:0003700		RNA polymerase &sigma;<sup>28</sup> factor	G1G01-4619	RNA polymerase &sigma;<sup>28</sup> factor // FliA	FliA
G1G01-5452-MONOMER	GO:0003700		RNA polymerase &sigma;<sup>32</sup> factor	G1G01-5452	RNA polymerase &sigma;<sup>32</sup> factor // RpoH // RNA polymerase factor sigma-32	RpoH // RNA polymerase factor sigma-32
G1G01-1720-MONOMER	GO:0003700		RNA polymerase &sigma;<sup>38</sup> factor	G1G01-1720	RNA polymerase &sigma;<sup>38</sup> factor // RpoS // RNA polymerase sigma S factor	RpoS // RNA polymerase sigma S factor
G1G01-1026-MONOMER	GO:0003700		RNA polymerase &sigma;<sup>54</sup> factor	G1G01-1026	RNA polymerase &sigma;<sup>54</sup> factor // RpoN // RNA polymerase sigma-54 factor	RpoN // RNA polymerase sigma-54 factor
G1G01-424-MONOMER	GO:0003700		RNA polymerase &sigma;<sup>70</sup> factor	G1G01-424	RNA polymerase &sigma;<sup>70</sup> factor // RpoD // RNA polymerase &sigma; factor RpoD	RpoD // RNA polymerase &sigma; factor RpoD
G1G01-5706-MONOMER	GO:0003700		RpiR family transcriptional regulator	G1G01-5706	RpiR family transcriptional regulator	
G1G01-3829-MONOMER	GO:0003700		RpiR family transcriptional regulator	G1G01-3829	RpiR family transcriptional regulator	
G1G01-4791-MONOMER	GO:0003700		&sigma;<sup>54</sup>-dependent transcriptional regulator	G1G01-4791	&sigma;<sup>54</sup>-dependent transcriptional regulator // PhhR	PhhR
G1G01-3702-MONOMER	GO:0003700		&sigma;<sup>54</sup>-dependent transcriptional regulator	G1G01-3702	&sigma;<sup>54</sup>-dependent transcriptional regulator	
G1G01-2093-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-2093	TetR family transcriptional regulator	
G1G01-3984-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-3984	TetR family transcriptional regulator	
G1G01-264-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-264	TetR family transcriptional regulator	
G1G01-5351-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-5351	TetR family transcriptional regulator	
G1G01-1588-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-1588	TetR family transcriptional regulator	
G1G01-4009-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-4009	TetR family transcriptional regulator	
G1G01-3004-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-3004	TetR family transcriptional regulator	
G1G01-4225-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-4225	TetR family transcriptional regulator	
G1G01-2986-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-2986	TetR family transcriptional regulator	
G1G01-5463-MONOMER	GO:0003700		TetR family transcriptional regulator	G1G01-5463	TetR family transcriptional regulator	
G1G01-5036-MONOMER	GO:0003700		transcription termination/antitermination factor L	G1G01-5036	transcription termination/antitermination factor L // NusA	NusA
G1G01-58-MONOMER	GO:0003700		transcriptional regulator	G1G01-58	transcriptional regulator	
G1G01-38-MONOMER	GO:0003700		transcriptional regulator	G1G01-38	transcriptional regulator	
G1G01-178-MONOMER	GO:0003700		transcriptional regulator	G1G01-178	transcriptional regulator	
G1G01-2318-MONOMER	GO:0003700		transcriptional regulator	G1G01-2318	transcriptional regulator	
G1G01-5633-MONOMER	GO:0003700		transcriptional regulator	G1G01-5633	transcriptional regulator // YjiR	YjiR
G1G01-193-MONOMER	GO:0003700		transcriptional regulator	G1G01-193	transcriptional regulator	
G1G01-83-MONOMER	GO:0003700		transcriptional regulator	G1G01-83	transcriptional regulator	
G1G01-3774-MONOMER	GO:0003700		transcriptional regulator	G1G01-3774	transcriptional regulator // PobR	PobR
G1G01-733-MONOMER	GO:0003700		transcriptional regulator AmpR	G1G01-733	transcriptional regulator AmpR	
G1G01-2488-MONOMER	GO:0003700		transcriptional regulator CysB	G1G01-2488	transcriptional regulator CysB // CysB	CysB
G1G01-3787-MONOMER	GO:0003700		transcriptional regulator EmrR	G1G01-3787	transcriptional regulator EmrR	
G1G01-1735-MONOMER	GO:0003700		transcriptional regulator FinR	G1G01-1735	transcriptional regulator FinR	
G1G01-3997-MONOMER	GO:0003700		transcriptional regulator GlcC	G1G01-3997	transcriptional regulator GlcC // GlcC	GlcC
G1G01-2216-MONOMER	GO:0003700		transcriptional regulator LysR	G1G01-2216	transcriptional regulator LysR // LysR	LysR
G1G01-3006-MONOMER	GO:0003700		transcriptional regulator MexT	G1G01-3006	transcriptional regulator MexT // MexT	MexT
G1G01-1814-MONOMER	GO:0003700		transcriptional regulator PcaQ	G1G01-1814	transcriptional regulator PcaQ // PcaQ	PcaQ
G1G01-2285-MONOMER	GO:0003700		transcriptional regulator PsrA	G1G01-2285	transcriptional regulator PsrA // PsrA	PsrA
G1G01-3991-MONOMER	GO:0003700		transcriptional regulator VanR	G1G01-3991	transcriptional regulator VanR	
G1G01-3141-MONOMER	GO:0003700		transcriptional regulator, AraC family	G1G01-3141	transcriptional regulator, AraC family	
G1G01-3897-MONOMER	GO:0003700		transcriptional regulator, AraC family	G1G01-3897	transcriptional regulator, AraC family	
G1G01-1794-MONOMER	GO:0003700		transcriptional regulator, GntR family	G1G01-1794	transcriptional regulator, GntR family	
G1G01-5093-MONOMER	GO:0003700		transcriptional regulator, GntR family	G1G01-5093	transcriptional regulator, GntR family	
G1G01-2317-MONOMER	GO:0003700		transcriptional regulator, LysR family	G1G01-2317	transcriptional regulator, LysR family	
G1G01-3337-MONOMER	GO:0003700		transcriptional regulator, LysR family	G1G01-3337	transcriptional regulator, LysR family	
G1G01-4938-MONOMER	GO:0003700		transcriptional regulator, LysR family	G1G01-4938	transcriptional regulator, LysR family // CidR	CidR
G1G01-1606-MONOMER	GO:0003700		Transcriptional regulator, tetR family	G1G01-1606	Transcriptional regulator, tetR family	
G1G01-3530-MONOMER	GO:0003700		Transcriptional regulator, tetR family	G1G01-3530	Transcriptional regulator, tetR family	
G1G01-2284-MONOMER	GO:0003700		transcriptional repressor	G1G01-2284	transcriptional repressor	
G1G01-3648-MONOMER	GO:0003700		transcriptional repressor GnuR	G1G01-3648	transcriptional repressor GnuR	
G1G01-1094-MONOMER	GO:0003700		transcriptional repressor HexR	G1G01-1094	transcriptional repressor HexR // HexR	HexR
G1G01-3332-MONOMER	GO:0003700		transcriptional repressor LexA	G1G01-3332	transcriptional repressor LexA	
G1G01-975-MONOMER	GO:0003700		two-component system response regulator	G1G01-975	two-component system response regulator // ColR	ColR
G1G01-3064-MONOMER	GO:0003700		XRE family transcriptional regulator	G1G01-3064	XRE family transcriptional regulator	
G1G01-2372-MONOMER	GO:0003700		XRE family transcriptional regulator	G1G01-2372	XRE family transcriptional regulator	
G1G01-124-MONOMER	GO:0003700		zinc uptake regulation protein Zur	G1G01-124	zinc uptake regulation protein Zur	
