Objects annotated to GO terms from New SmartTable with DNA-binding transcription factor activity	Matches	Accession-1	Common-Name	Gene	Names	Synonyms
G1G01-2198-MONOMER	GO:0003700		DNA-binding transcriptional regulator	G1G01-2198	DNA-binding transcriptional regulator // SoxR	SoxR
G1G01-5415-MONOMER	GO:0003700		DNA-binding transcriptional regulator	G1G01-5415	DNA-binding transcriptional regulator // YnfL	YnfL
G1G01-2192-MONOMER	GO:0003700		DNA-binding transcriptional regulator	G1G01-2192	DNA-binding transcriptional regulator // YbhD	YbhD
G1G01-4538-MONOMER	GO:0003700		DNA-binding transcriptional regulator FnrA	G1G01-4538	DNA-binding transcriptional regulator FnrA // FnrA // <i>holo</i>-ANR // anaerobic regulatory protein ANR // <i>holo</i>-FnrA	FnrA // <i>holo</i>-ANR // anaerobic regulatory protein ANR
G1G01-916-MONOMER	GO:0003700		DNA-binding transcriptional regulator IscR	G1G01-916	DNA-binding transcriptional regulator IscR // IscR	IscR
G1G01-5393-MONOMER	GO:0003700		DNA-binding transcriptional regulator NtrC	G1G01-5393	DNA-binding transcriptional regulator NtrC // GlnG // two-component system DNA-binding response regulator GlnL/GlnG	GlnG // two-component system DNA-binding response regulator GlnL/GlnG
G1G01-3087-MONOMER	GO:0003700		DNA-binding transcriptional repressor	G1G01-3087	DNA-binding transcriptional repressor // CsiR	CsiR
G1G01-2627-MONOMER	GO:0003700		DNA-binding transcriptional repressor	G1G01-2627	DNA-binding transcriptional repressor // RbsR	RbsR
G1G01-1147-MONOMER	GO:0003700		DNA-binding transcriptional repressor GlpR	G1G01-1147	DNA-binding transcriptional repressor GlpR // GlpR	GlpR
G1G01-5626-MONOMER	GO:0003700		DNA-binding transcriptional repressor PuuR	G1G01-5626	DNA-binding transcriptional repressor PuuR // PuuR	PuuR
G1G01-5058-MONOMER	GO:0003700		ferric iron uptake global transcriptional repressor Fur	G1G01-5058	ferric iron uptake global transcriptional repressor Fur // Fur	Fur
G1G01-780-MONOMER	GO:0003700		fused O(6)-alkylguanine DNA alkyltransferase/transcriptional activator	G1G01-780	fused O(6)-alkylguanine DNA alkyltransferase/transcriptional activator // Ada	Ada
G1G01-3012-MONOMER	GO:0003700		galactose-binding protein regulator	G1G01-3012	galactose-binding protein regulator	
G1G01-165-MONOMER	GO:0003700		gcdH transcriptional regulator	G1G01-165	gcdH transcriptional regulator // GcdR	GcdR
G1G01-4561-MONOMER	GO:0003700		GclR transcriptional regulator	G1G01-4561	GclR transcriptional regulator // GclR	GclR
G1G01-144-MONOMER	GO:0003700		glutamate/aspartate-proton DAACS transporter	G1G01-144	glutamate/aspartate-proton DAACS transporter // GltP	GltP
G1G01-2725-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2725	GntR family transcriptional regulator	
G1G01-3128-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-3128	GntR family transcriptional regulator	
G1G01-1828-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-1828	GntR family transcriptional regulator	
G1G01-4623-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-4623	GntR family transcriptional regulator	
G1G01-4710-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-4710	GntR family transcriptional regulator	
G1G01-2400-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2400	GntR family transcriptional regulator	
G1G01-224-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-224	GntR family transcriptional regulator	
G1G01-4555-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-4555	GntR family transcriptional regulator	
G1G01-3887-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-3887	GntR family transcriptional regulator	
G1G01-2823-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2823	GntR family transcriptional regulator	
G1G01-2494-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2494	GntR family transcriptional regulator	
G1G01-5698-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-5698	GntR family transcriptional regulator	
G1G01-1182-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-1182	GntR family transcriptional regulator	
G1G01-1043-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-1043	GntR family transcriptional regulator	
G1G01-2204-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2204	GntR family transcriptional regulator	
G1G01-3009-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-3009	GntR family transcriptional regulator	
G1G01-4003-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-4003	GntR family transcriptional regulator	
G1G01-677-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-677	GntR family transcriptional regulator	
G1G01-4466-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-4466	GntR family transcriptional regulator	
G1G01-533-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-533	GntR family transcriptional regulator	
G1G01-3781-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-3781	GntR family transcriptional regulator	
G1G01-3840-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-3840	GntR family transcriptional regulator	
G1G01-2399-MONOMER	GO:0003700		GntR family transcriptional regulator	G1G01-2399	GntR family transcriptional regulator	
G1G01-5380-MONOMER	GO:0003700		histidine utilization repressor	G1G01-5380	histidine utilization repressor // HutC	HutC
G1G01-4933-MONOMER	GO:0003700		Hmg transcriptional repressor	G1G01-4933	Hmg transcriptional repressor // HmgR	HmgR
G1G01-1136-MONOMER	GO:0003700		homocysteine-binding DNA-binding transcriptional regulator	G1G01-1136	homocysteine-binding DNA-binding transcriptional regulator	
G1G01-2877-MONOMER	GO:0003700		homocysteine-binding DNA-binding transcriptional regulator	G1G01-2877	homocysteine-binding DNA-binding transcriptional regulator	
G1G01-4932-MONOMER	GO:0003700		homogentisate 1,2-dioxygenase	G1G01-4932	homogentisate 1,2-dioxygenase // HmgA	HmgA
G1G01-337-MONOMER	GO:0003700		HTH-type transcriptional regulator CdhR	G1G01-337	HTH-type transcriptional regulator CdhR // CdhR	CdhR
G1G01-2700-MONOMER	GO:0003700		HTH-type transcriptional regulator GalR	G1G01-2700	HTH-type transcriptional regulator GalR // GllR	GllR
G1G01-88-MONOMER	GO:0003700		HTH-type transcriptional regulator TrpI	G1G01-88	HTH-type transcriptional regulator TrpI // TrpI	TrpI
G1G01-1477-MONOMER	GO:0003700		HTH-type transcriptional regulator TtgR	G1G01-1477	HTH-type transcriptional regulator TtgR // TtgR	TtgR
G1G01-4211-MONOMER	GO:0003700		HTH-type transcriptional repressor NicR	G1G01-4211	HTH-type transcriptional repressor NicR // NicR	NicR
G1G01-1355-MONOMER	GO:0003700		HtrA suppressor protein SohA	G1G01-1355	HtrA suppressor protein SohA	
G1G01-3590-MONOMER	GO:0003700		hydroxycinnamic acid degradation regulator	G1G01-3590	hydroxycinnamic acid degradation regulator	
G1G01-4335-MONOMER	GO:0003700		hypothetical protein	G1G01-4335	hypothetical protein	
G1G01-2791-MONOMER	GO:0003700		IclR family transcriptional regulator	G1G01-2791	IclR family transcriptional regulator	
G1G01-2783-MONOMER	GO:0003700		IclR family transcriptional regulator	G1G01-2783	IclR family transcriptional regulator	
G1G01-2642-MONOMER	GO:0003700		integration host factor subunit alpha	G1G01-2642	integration host factor subunit alpha // IhfA	IhfA
G1G01-5062-MONOMER	GO:0003700		lactate-utilization regulator LldR	G1G01-5062	lactate-utilization regulator LldR // PdhR	PdhR
G1G01-3371-MONOMER	GO:0003700		LysR family DNA-binding transcriptional regulator	G1G01-3371	LysR family DNA-binding transcriptional regulator // YneJ	YneJ
G1G01-3597-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3597	LysR family transcriptional regulator	
G1G01-2876-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2876	LysR family transcriptional regulator	
G1G01-1357-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1357	LysR family transcriptional regulator	
G1G01-4033-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4033	LysR family transcriptional regulator	
G1G01-4756-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4756	LysR family transcriptional regulator	
G1G01-1958-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1958	LysR family transcriptional regulator	
G1G01-3399-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3399	LysR family transcriptional regulator	
G1G01-5618-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5618	LysR family transcriptional regulator	
G1G01-5606-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5606	LysR family transcriptional regulator	
