cid:12988
sp|P00552|KKA2_KLEPN Neo
sp|P00761|TRYP_PIG Trypsin
sp|P04264
sp|P0A0Z9|ARGA_PSEPK Arga
sp|P0A116|DNAA_PSEPK Dnaa
sp|P0A120|DPO3B_PSEPK Dnan
sp|P0A122|FER1_PSEPK Fdxa
sp|P0A124|RSMG_PSEPK Rsmg
sp|P0A126|IHFA_PSEPK Ihfa
sp|P0A128|IHFB_PSEPK Ihfb
sp|P0A130|Y1224_PSEPK Pp_1224
sp|P0A136|KAD_PSEPK Adk
sp|P0A138|PAL_PSEPK Pal
sp|P0A140|YIDC_PSEPK Yidc
sp|P0A147|HPF_PSEPK Hpf
sp|P0A149|Y002_PSEPK Pp_0002
sp|P0A151|PARB_PSEPK Parb
sp|P0A157|RL7_PSEPK
sp|P0A161|RL34_PSEPK Rpmh
sp|P0A165|RS21_PSEPK Rpsu
sp|P0A171|RP54_PSEPK Rpon
sp|P0A173|TOLB_PSEPK Tolb
sp|P0A175|MNME_PSEPK Mnme
P0AE22
sp|P13645
sp|P23181
sp|P32377|MVD1_YEAST
sp|P35527
sp|P59285|ALLA_PSEPK Alla
sp|P59300|ARGB_PSEPK Argb
sp|P59319|ARGD_PSEPK Argd
sp|P59351|Y396_PSEPK Pp_0396
sp|P59374|RS11_PSEPK Rpsk
sp|P59392|SELD_PSEPK Seld
sp|P59400|HISX_PSEPK Hisd
sp|P59560|Y1352_PSEPK Pp_1352
sp|P59604|ASSY_PSEPK Argg
sp|P59612|ARGJ_PSEPK Argj
sp|P59618|ARLY_PSEPK Argh
sp|P65117|IF1_PSEPK Infa
sp|Q59692|FTSZ_PSEPK Ftsz
tr|Q835L3|Q835L3_ENTFA
sp|Q877U6|Q877U6_PSEPK Pp_1157
sp|Q88BW9|ATPL_PSEPK Atpe
sp|Q88BX0|ATPF_PSEPK Atpf
sp|Q88BX1|ATPD_PSEPK Atph
sp|Q88BX2|ATPA_PSEPK Atpa
sp|Q88BX3|ATPG_PSEPK Atpg
sp|Q88BX4|ATPB_PSEPK
sp|Q88BX5|ATPE_PSEPK Atpc
sp|Q88BX6|GLMU_PSEPK Glmu
sp|Q88BX8|GLMS_PSEPK Glms
sp|Q88BY9|Q88BY9_PSEPK Pp_5395
sp|Q88BZ1|Q88BZ1_PSEPK Pp_5392
sp|Q88BZ2|Q88BZ2_PSEPK Pp_5391
sp|Q88C03|Q88C03_PSEPK Copa
sp|Q88C04|Q88C04_PSEPK Copb
sp|Q88C05|Q88C05_PSEPK Pp_5378
sp|Q88C17|Q88C17_PSEPK Lpd3
sp|Q88C18|Q88C18_PSEPK Pp_5365
sp|Q88C29|Q88C29_PSEPK Pp_5354
sp|Q88C30|Q88C30_PSEPK Pp_5353
sp|Q88C31|Q88C31_PSEPK Uvrd
sp|Q88C32|Q88C32_PSEPK Zwf-3
sp|Q88C36|Q88C36_PSEPK Accc-2
sp|Q88C37|Q88C37_PSEPK Oada
sp|Q88C38|Q88C38_PSEPK Pp_5345
sp|Q88C42|Q88C42_PSEPK Pp_5341
sp|Q88C45|Q88C45_PSEPK Aspa
sp|Q88C47|Q88C47_PSEPK Pure
sp|Q88C48|Q88C48_PSEPK Purk
sp|Q88C51|Q88C51_PSEPK Pp_5332
sp|Q88C52|Q88C52_PSEPK Pp_5331
sp|Q88C54|Q88C54_PSEPK Psts
sp|Q88C58|Q88C58_PSEPK Phou
sp|Q88C59|Q88C59_PSEPK Pp_5324
sp|Q88C64|Q88C64_PSEPK Pp_5319
sp|Q88C69|Q88C69_PSEPK Rubb
sp|Q88C70|Q88C70_PSEPK Hupa
sp|Q88C72|Q88C72_PSEPK Pp_5311
sp|Q88C74|Q88C74_PSEPK Pp_5309
sp|Q88C77|Q88C77_PSEPK Exbb
sp|Q88C78|Q88C78_PSEPK Pp_5305
sp|Q88C79|Q88C79_PSEPK Pp_5304
sp|Q88C80|Q88C80_PSEPK Pp_5303
sp|Q88C81|Q88C81_PSEPK Spot
sp|Q88C82|RPOZ_PSEPK Rpoz
sp|Q88C84|Q88C84_PSEPK Pp_5299
sp|Q88C87|KGUA_PSEPK Gmk
sp|Q88C88|Q88C88_PSEPK Pp_5295
sp|Q88C89|RNPH_PSEPK Rph
sp|Q88C90|Q88C90_PSEPK Pp_5293
sp|Q88C91|Q88C91_PSEPK Crc
sp|Q88C92|PYRE_PSEPK Pyre
sp|Q88C93|ALGC_PSEPK Algc
sp|Q88C95|DUT_PSEPK Dut
sp|Q88C96|Q88C96_PSEPK Coabc
sp|Q88C98|Q88C98_PSEPK Pp_5283
sp|Q88C99|RL28_PSEPK Rpmb
sp|Q88CA0|RL33_PSEPK Rpmg
sp|Q88CA2|Q88CA2_PSEPK Pp_5279
sp|Q88CA3|Q88CA3_PSEPK Pp_5278
sp|Q88CA8|Q88CA8_PSEPK Pp_5273
sp|Q88CB0|Q88CB0_PSEPK Lrp
sp|Q88CB1|DADA2_PSEPK Dada2
tr|Q88CB2|Q88CB2_PSEPK
sp|Q88CB4|Q88CB4_PSEPK Pp_5267
sp|Q88CB6|XPT_PSEPK Xpt
tr|Q88CC3|Q88CC3_PSEPK
sp|Q88CE6|Q88CE6_PSEPK Pp_5235
sp|Q88CE7|Q88CE7_PSEPK Pp_5234
sp|Q88CE8|Q88CE8_PSEPK Amtb
sp|Q88CE9|Q88CE9_PSEPK Pp_5232
sp|Q88CF0|Q88CF0_PSEPK Pp_5231
sp|Q88CF2|Q88CF2_PSEPK Pp_5229
sp|Q88CF3|DAPF_PSEPK Dapf
sp|Q88CF4|Q88CF4_PSEPK Lysa-2
sp|Q88CF5|Q88CF5_PSEPK Pp_5226
sp|Q88CF6|CYAY_PSEPK Cyay
sp|Q88CF8|Q88CF8_PSEPK Rnk
sp|Q88CG1|Q88CG1_PSEPK Elbb
sp|Q88CG4|PPK_PSEPK Ppk
sp|Q88CG5|Q88CG5_PSEPK Ppx
sp|Q88CG6|Q88CG6_PSEPK Trx-2
sp|Q88CG7|Q88CG7_PSEPK Rho
sp|Q88CG8|UBID_PSEPK Ubid
sp|Q88CG9|Q88CG9_PSEPK Pp_5212
sp|Q88CH5|Q88CH5_PSEPK Pp_5206
sp|Q88CH6|Q88CH6_PSEPK Pp_5205
