Line Name,Measurement Type,Time,Value,Units
PP_0226_PP_0897_PP_5288-R1,3-METHYL-3-BUTEN-1-OL,48.0,173.9811,mg/L
PP_1319_PP_1457_PP_4192-R1,3-METHYL-3-BUTEN-1-OL,48.0,268.6526,mg/L
PP_2213_PP_2471_PP_4266-R1,3-METHYL-3-BUTEN-1-OL,48.0,182.8489,mg/L
PP_3123_PP_4862_PP_5186-R1,3-METHYL-3-BUTEN-1-OL,48.0,165.8082,mg/L
PP_2137_PP_4116_PP_4187-R1,3-METHYL-3-BUTEN-1-OL,48.0,222.7008,mg/L
PP_4189_PP_4550_PP_4862-R1,3-METHYL-3-BUTEN-1-OL,48.0,293.9191,mg/L
PP_0813_PP_1769_PP_4191-R1,3-METHYL-3-BUTEN-1-OL,48.0,249.9867,mg/L
PP_0368_PP_4191_PP_4192-R1,3-METHYL-3-BUTEN-1-OL,48.0,256.3658,mg/L
PP_0226_PP_0897_PP_5288-R2,3-METHYL-3-BUTEN-1-OL,48.0,213.605,mg/L
PP_1319_PP_1457_PP_4192-R2,3-METHYL-3-BUTEN-1-OL,48.0,272.1737,mg/L
PP_2213_PP_2471_PP_4266-R2,3-METHYL-3-BUTEN-1-OL,48.0,184.9482,mg/L
PP_3123_PP_4862_PP_5186-R2,3-METHYL-3-BUTEN-1-OL,48.0,186.7095,mg/L
PP_2137_PP_4116_PP_4187-R2,3-METHYL-3-BUTEN-1-OL,48.0,229.4077,mg/L
PP_4189_PP_4550_PP_4862-R2,3-METHYL-3-BUTEN-1-OL,48.0,300.5382,mg/L
PP_0813_PP_1769_PP_4191-R2,3-METHYL-3-BUTEN-1-OL,48.0,252.3807,mg/L
PP_0368_PP_4191_PP_4192-R2,3-METHYL-3-BUTEN-1-OL,48.0,277.592,mg/L
PP_0226_PP_0897_PP_5288-R3,3-METHYL-3-BUTEN-1-OL,48.0,10.0912,mg/L
PP_1319_PP_1457_PP_4192-R3,3-METHYL-3-BUTEN-1-OL,48.0,269.441,mg/L
PP_2213_PP_2471_PP_4266-R3,3-METHYL-3-BUTEN-1-OL,48.0,194.9071,mg/L
PP_3123_PP_4862_PP_5186-R3,3-METHYL-3-BUTEN-1-OL,48.0,186.1462,mg/L
PP_2137_PP_4116_PP_4187-R3,3-METHYL-3-BUTEN-1-OL,48.0,226.0662,mg/L
PP_4189_PP_4550_PP_4862-R3,3-METHYL-3-BUTEN-1-OL,48.0,290.5964,mg/L
PP_0813_PP_1769_PP_4191-R3,3-METHYL-3-BUTEN-1-OL,48.0,244.7739,mg/L
PP_0368_PP_4191_PP_4192-R3,3-METHYL-3-BUTEN-1-OL,48.0,177.6974,mg/L
PP_0751_PP_1620_PP_4678-R1,3-METHYL-3-BUTEN-1-OL,48.0,205.7129,mg/L
PP_0813_PP_4549_PP_5288-R1,3-METHYL-3-BUTEN-1-OL,48.0,242.4518,mg/L
PP_2112_PP_2136_PP_4678-R1,3-METHYL-3-BUTEN-1-OL,48.0,207.1785,mg/L
PP_0368_PP_0812_PP_0944-R1,3-METHYL-3-BUTEN-1-OL,48.0,304.007,mg/L
PP_0999_PP_3578_PP_5186-R1,3-METHYL-3-BUTEN-1-OL,48.0,193.3139,mg/L
PP_2137_PP_4011_PP_4120-R1,3-METHYL-3-BUTEN-1-OL,48.0,192.8657,mg/L
PP_0658_PP_1506_PP_3071-R1,3-METHYL-3-BUTEN-1-OL,48.0,175.3849,mg/L
Control_P1-R1,3-METHYL-3-BUTEN-1-OL,48.0,160.2911,mg/L
PP_0751_PP_1620_PP_4678-R2,3-METHYL-3-BUTEN-1-OL,48.0,179.5294,mg/L
PP_0813_PP_4549_PP_5288-R2,3-METHYL-3-BUTEN-1-OL,48.0,263.1303,mg/L
PP_2112_PP_2136_PP_4678-R2,3-METHYL-3-BUTEN-1-OL,48.0,228.8024,mg/L
PP_0368_PP_0812_PP_0944-R2,3-METHYL-3-BUTEN-1-OL,48.0,304.6038,mg/L
PP_0999_PP_3578_PP_5186-R2,3-METHYL-3-BUTEN-1-OL,48.0,204.606,mg/L
PP_2137_PP_4011_PP_4120-R2,3-METHYL-3-BUTEN-1-OL,48.0,197.2195,mg/L
PP_0658_PP_1506_PP_3071-R2,3-METHYL-3-BUTEN-1-OL,48.0,182.4886,mg/L
Control_P1-R2,3-METHYL-3-BUTEN-1-OL,48.0,154.8259,mg/L
PP_0751_PP_1620_PP_4678-R3,3-METHYL-3-BUTEN-1-OL,48.0,211.3543,mg/L
PP_0813_PP_4549_PP_5288-R3,3-METHYL-3-BUTEN-1-OL,48.0,260.9043,mg/L
PP_2112_PP_2136_PP_4678-R3,3-METHYL-3-BUTEN-1-OL,48.0,218.7952,mg/L
PP_0368_PP_0812_PP_0944-R3,3-METHYL-3-BUTEN-1-OL,48.0,295.6319,mg/L
PP_0999_PP_3578_PP_5186-R3,3-METHYL-3-BUTEN-1-OL,48.0,200.9228,mg/L
PP_2137_PP_4011_PP_4120-R3,3-METHYL-3-BUTEN-1-OL,48.0,182.994,mg/L
PP_0658_PP_1506_PP_3071-R3,3-METHYL-3-BUTEN-1-OL,48.0,190.786,mg/L
Control_P1-R3,3-METHYL-3-BUTEN-1-OL,48.0,164.3307,mg/L
PP_2471_PP_3754_PP_4667-R1,3-METHYL-3-BUTEN-1-OL,48.0,206.781,mg/L
PP_0437_PP_0528_PP_3578-R1,3-METHYL-3-BUTEN-1-OL,48.0,289.6852,mg/L
PP_2112_PP_4189_PP_5186-R1,3-METHYL-3-BUTEN-1-OL,48.0,301.3318,mg/L
PP_0999_PP_4120_PP_4191-R1,3-METHYL-3-BUTEN-1-OL,48.0,286.5191,mg/L
PP_0226_PP_0597_PP_4678-R1,3-METHYL-3-BUTEN-1-OL,48.0,138.9945,mg/L
PP_0226_PP_0437_PP_0751-R1,3-METHYL-3-BUTEN-1-OL,48.0,372.9031,mg/L
PP_0774_PP_1607_PP_3578-R1,3-METHYL-3-BUTEN-1-OL,48.0,115.4761,mg/L
PP_0597_PP_1769_PP_4862-R1,3-METHYL-3-BUTEN-1-OL,48.0,166.5983,mg/L
PP_2471_PP_3754_PP_4667-R2,3-METHYL-3-BUTEN-1-OL,48.0,201.9986,mg/L
PP_0437_PP_0528_PP_3578-R2,3-METHYL-3-BUTEN-1-OL,48.0,295.2125,mg/L
PP_2112_PP_4189_PP_5186-R2,3-METHYL-3-BUTEN-1-OL,48.0,309.3419,mg/L
PP_0999_PP_4120_PP_4191-R2,3-METHYL-3-BUTEN-1-OL,48.0,317.1662,mg/L
PP_0226_PP_0597_PP_4678-R2,3-METHYL-3-BUTEN-1-OL,48.0,147.1825,mg/L
PP_0226_PP_0437_PP_0751-R2,3-METHYL-3-BUTEN-1-OL,48.0,308.6022,mg/L
PP_0774_PP_1607_PP_3578-R2,3-METHYL-3-BUTEN-1-OL,48.0,121.1226,mg/L
PP_0597_PP_1769_PP_4862-R2,3-METHYL-3-BUTEN-1-OL,48.0,183.788,mg/L
PP_2471_PP_3754_PP_4667-R3,3-METHYL-3-BUTEN-1-OL,48.0,197.6125,mg/L
PP_0437_PP_0528_PP_3578-R3,3-METHYL-3-BUTEN-1-OL,48.0,294.0537,mg/L
PP_2112_PP_4189_PP_5186-R3,3-METHYL-3-BUTEN-1-OL,48.0,307.9846,mg/L
PP_0999_PP_4120_PP_4191-R3,3-METHYL-3-BUTEN-1-OL,48.0,330.6532,mg/L
PP_0226_PP_0597_PP_4678-R3,3-METHYL-3-BUTEN-1-OL,48.0,155.9575,mg/L
PP_0226_PP_0437_PP_0751-R3,3-METHYL-3-BUTEN-1-OL,48.0,373.3676,mg/L
PP_0774_PP_1607_PP_3578-R3,3-METHYL-3-BUTEN-1-OL,48.0,125.327,mg/L
PP_0597_PP_1769_PP_4862-R3,3-METHYL-3-BUTEN-1-OL,48.0,178.7523,mg/L
