PP_0751_PP_0813_PP_0815,PP_0528_PP_0751_PP_0815,PP_0528_PP_0751_PP_0812_PP_0815,PP_0528_PP_0751_PP_0813_PP_0815,PP_0368_PP_0751_PP_0815,PP_0368_PP_0751_PP_0813_PP_0815,PP_0368_PP_0814_PP_0815,PP_0368_PP_0751_PP_0812_PP_0815,PP_0368_PP_0751_PP_0814_PP_0815,PP_0812_PP_0813_PP_0815,PP_0528_PP_0813_PP_0815,PP_0751_PP_0815,PP_0528_PP_0812_PP_0815,PP_0368_PP_0813_PP_0814_PP_0815,PP_0814_PP_0815,PP_0813_PP_0814_PP_0815,PP_0812_PP_0813_PP_0815_PP_1506,PP_0368_PP_0815,PP_0437_PP_0815_PP_1317,PP_0368_PP_0812_PP_0813_PP_0815,PP_0528_PP_0815,PP_0815_PP_2136,PP_0368_PP_0812_PP_0815_PP_2136,PP_0368_PP_0751_PP_0812,PP_0812_PP_0815_PP_1506
3.9216105390031624,3.7606819858713942,3.8069545297789835,3.480683534875948,3.5466555723137123,3.078123159058553,3.3022175531887177,3.2590952439857994,3.427724015382764,2.7167313126868864,3.3174257818454125,2.9395399852203745,3.317703012137564,3.161276828948221,3.0323470771324748,3.487125495387656,3.338398997555722,2.4487339535602417,3.1328179473578497,3.1934712212032874,2.848722390396946,3.507808578406501,3.247320292307398,2.727525794550241,3.3041023408972454
-1.5527718696212673,-1.2162139370357665,-1.204704064096457,-0.46193902352174726,-1.242315598895048,-0.7695428262390878,-2.0622883878097547,-1.3040953047140136,-0.8845474014106968,-1.56134394500499,-0.5016340416445525,-1.2888762105940088,-1.3464425183940065,-1.4416020066453747,-1.1526167415632091,-1.5376675083210167,-1.6150045047595134,-1.3215093346571218,-1.42291810942613,-1.4688819016102945,-0.8266388530492456,-1.7524868381261622,-1.3262079087386698,-1.2348078728330414,-1.8912740174928215
-3.299676890458389,-1.6298925468273664,-4.967671171792976,-2.291701339847742,-2.2743598262783853,-3.5203102636418335,-2.891957606264274,-2.2505257743637026,-2.2008542473364843,-7.057576552639636,-6.784091730092647,-2.2262872435876875,-5.661982978356909,-5.406453284287205,-4.619316411210237,-4.043879545591379,-5.7081563444507175,-2.027575943028512,-5.865802004179188,-6.177105952430304,-2.663514708559858,-1.8569325615125962,-3.474084838522969,-4.4258895007249945,-6.724010826510059
-0.5502270729909138,-0.6445428426273558,-0.47223208439752185,-0.7281100267274216,-0.9446127051267043,-0.7280452590381925,-1.0616942399493081,-1.2595498178983093,-0.49535947390270485,-0.4693094214213187,-0.7457045483513525,-0.7096366135345965,-0.3200177507814002,-0.5741041025125216,-0.8100143631124883,-0.8855883067143018,-0.5930556018647204,-0.494412677042081,-0.46927586005291283,-1.0546564272110595,-1.0845983423235883,-0.8074505196788645,-1.2358291093861715,-1.2479434182507134,-0.5383161764247893
-4.289031061237668,-4.4884753073914005,-4.016608375132339,-3.8170387499276437,-2.821842622580246,-4.045118220245172,-2.996841632579233,-3.025830575114121,-3.0209395657031464,-3.7863871798092466,-2.991056504144364,-3.6967078075807303,-3.2147307082497436,-4.7930498808524495,-2.85553031239713,-1.9070402338897705,-5.211750105414626,-3.4147617028258264,-2.8891859210778557,-3.840857647988882,-4.1029864548378265,-3.810423154115999,-3.436724174213335,-4.111565304789417,-5.267293954098185
-0.9724118294671066,-0.5340085547463513,-0.6066651044386907,-0.6956496507451148,-0.880453080269979,-0.716457303614468,-1.044400227126082,-0.6421629652026524,-0.49020510763979686,-1.7342213485985374,-0.9286232788983476,-1.4132764886787346,-3.078000804699452,-0.5210715638428667,-3.6893071484085866,-1.0719937829707848,-0.8976315191827859,-1.1852184204591838,-2.360887336867791,-0.7720375525848928,-1.610214568278573,-1.1305773944195174,-0.68896534561715,-0.41284394359863347,-0.7699826951382405
-0.735278495072326,-0.9085452823340213,-1.522295908611877,-1.375962648991882,-0.40996307650825564,-1.197417480068489,-0.3705218523094531,-0.47544638511290715,-1.3066495142459704,-1.0430268782244148,-1.1337460481818802,-1.0407515255130237,-1.238206571299666,-0.5414959585029885,-0.8379447887560546,-0.4911528521070284,-0.9140850072406417,-1.0058142267535992,-1.0982562900406607,-0.5331830833617658,-1.429803618029322,-0.36631500741592576,-0.4753385106710238,-0.5216257728487355,-0.8952483876145267
-1.267032184811794,-1.1835591425064578,-1.6635674197252504,-1.5275846912203446,-1.4764707938954844,-0.9805811243788568,-1.4079153052385875,-1.160451238101867,-1.0659420549284802,-1.563608928043195,-1.9445043100973756,-1.418644902975995,-1.5017286397620617,-0.9285526516333912,-2.8799569409208186,-1.4717528102911979,-1.617266036341513,-0.8774730662390378,-1.498429224347363,-1.3287093263492589,-1.9728295364751607,-1.5300899694855683,-1.176318321290249,-0.8695823169198328,-1.5325374850562232
-1.1636290361253445,-1.0121113734907796,-0.8468168650619649,-0.7455655966809003,-1.5122423911859095,-0.6645357148017432,-1.3882607590927125,-1.2189843312800879,-0.592681763410909,-0.9538233111720491,-0.9274841706410359,-1.044670491713224,-1.1701820970309404,-0.6530004097408033,-1.3115206244369717,-1.5406983786252133,-0.7183657416407649,-0.5380823178194943,-1.0838677443297873,-1.1818395364042302,-1.2063013713633206,-1.3604142654729647,-1.084364835574505,-1.0184558542938118,-0.7759056831346012
-1.0011518761452753,-0.9312193283941131,-1.0236790774939883,-0.933039335531538,-1.0115257123717687,-0.8959100151992758,-0.801778315904207,-0.8264968521740088,-0.5740979875371939,-0.8568354783007779,-1.2425652060159174,-1.1758767447394052,-1.207185224652824,-0.611528960065674,-1.949986839294295,-0.9988688698899396,-1.09077894899618,-0.689828751735517,-1.2900133377435277,-0.6892409517815197,-1.5574669916444186,-1.0443668927162215,-0.643895587716004,-0.6307767433546057,-0.7226013480226671
