Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_4667,-1.1704849599353644,3.107817328084221,-1.6887303794407877,2.5539951267578505,,,,,,,1.134718641225401,7.2964706443672505,,,,,,,,,,,-1.252040084789263,4.010392826172116,,,,
PP_4817,2.2427913047828443,2.550267229449364,,,,,,,,,,,,,,,,,1.9308763850262782,2.2579570453337214,,,,,,,,
PP_4834,2.0409523844661637,5.005473006736843,2.0178979155514543,4.520338240801131,,,,,1.0014935685709077,2.575732773449172,,,1.6626626422113941,1.934014090735609,,,,,,,,,,,2.072251682112343,1.417537335697588,,
PP_5258,1.1614217818608232,1.3668565023647183,,,,,,,,,1.1884344921819434,2.6063872517828943,,,,,,,,,,,,,1.2009011181301925,2.505075184591326,,
PP_0165,,,1.4640377832600444,2.929875740152569,,,,,,,,,,,,,,,,,,,,,,,,
PP_0363,,,4.948146722243194,1.4122594479914106,,,,,,,,,,,,,,,,,,,,,,,,
PP_0364,,,2.153039519845378,1.5745234121225788,,,,,,,,,,,,,,,,,,,,,,,,
PP_0366,,,1.203607361909735,1.45839911414278,,,,,,,,,,,,,,,,,,,,,,,,
PP_0494,,,2.629858541078164,2.044039368591044,,,,,,,,,,,,,,,,,,,,,,,,
PP_0512,,,1.0769736569779629,1.7531499917670497,,,,,,,1.0902280387591188,2.871148487448044,,,,,1.2937274942528398,3.061935610547959,,,,,,,1.3315806605493412,2.217949051111714,,
PP_0528,,,1.3855620732146758,1.9307497448539306,,,,,,,,,,,,,,,,,,,,,,,,
PP_0543,,,1.0249706395566598,2.2282586887057696,,,,,,,,,1.1774748710315883,3.9290615038759853,,,1.727207523839881,1.9711614652648404,,,,,,,1.5318651223102517,3.1977722895139573,,
PP_0545,,,1.2197823801305092,6.301481183523356,,,,,,,1.0512697587981312,2.3402685769745712,,,,,,,,,,,,,1.6975131010461444,2.908122667296497,,
PP_0570,,,2.4937043915088486,1.610025093430857,,,,,,,,,2.530652446365126,2.5629135163880146,,,,,,,,,,,,,,
PP_0675,,,-1.3761776572453903,2.8301281468923394,-1.2075799989728029,5.9600471217183255,,,,,,,-1.1731563404210545,2.5925480082223666,,,,,,,,,,,,,,
