Protein,Spearman_Correlation,Average_Abundance_Control
Neo,0.06833632950278758,3.352558793777778
Tryp_pig,0.06212538400273068,0.37713783833333325
Krt1,0.17277588721438986,0.007148259699999999
Arga,0.3317444532938901,0.020394217277777786
Pcaj,-0.05637254901960785,0.0023436909999999997
Dnaa,0.27787610213473646,0.023916076666666675
Dnag,-0.0407239819004525,0.0024162259999999996
Dnan,0.3978070315166685,0.10275774033333333
Rsmg,-0.041504835589941974,0.022740414222222224
Ihfa,0.3934638752986688,0.03548578188888887
Ihfb,-0.011775571215033098,0.003107616647058823
Pp_1224,0.04691569006712937,0.0100754545
Adk,-0.5345786778928205,0.11581354177777779
Pal,-0.02964228012288087,0.2764165041666668
Yidc,-0.080411195812948,0.0458280027222222
Hpf,0.21257344407782452,0.11423182872222225
Pp_0002,-0.189638037330535,0.015548926444444446
Parb,0.04925027598170636,0.02172278833333333
Rpll,-0.25524655819774716,1.3343102076111115
Rpsu,-0.04568847422915007,0.26126940027777784
Rpon,-0.0007151151954810684,0.023270695388888887
Tolb,-0.012893389464102855,0.057250548333333325
Mnme,0.33448748074259665,0.008115825666666666
Apha,0.24767186255546705,0.36108112844444445
Krt10,0.36604127579737333,0.0033087684999999994
Aacc1,-0.17251692574481922,1.9737175727222218
Mvd1,0.13336147457048583,2.5071659682777776
Krt9,0.054163475216106795,0.002120111333333333
Krt2,0.0857142857142857,
Alla,0.3596208897485493,0.007870366722222225
Argb,0.0835414722949141,0.07041490794444442
Argc2,-0.3513157631883107,0.003445783384615385
Argd,-0.08396905222437137,0.060089787166666644
Pp_0396,0.17641874668463536,0.035529814166666646
Rpsk,-0.2486332916145181,0.2978260618333334
Seld,0.21834411597285025,0.006538008294117645
Hisd,0.11847900785072248,0.05302429727777778
Pp_1352,0.2007825691204915,0.0358075498888889
Argg,0.2560637160086472,0.2159756591666666
Argj,-0.09930458527705086,0.061771390888888875
Argh,0.11140220730458528,0.06362222205555555
Infa,0.14301012629423143,0.08697836083333334
Lippks1,0.4573913043478262,
Ftsz,-0.24427852998065763,0.03703405561111111
Ef_1364,0.42933098190920466,1.4604563318333337
Pp_1157,-0.19156561070965122,0.06556043616666668
Atpe,-0.033412675790432264,0.054432728
Atpf,-0.20799431107065652,0.1362612874444445
Atph,-0.24246785754920927,0.07150179116666668
Atpa,-0.21466264648993058,0.35178202805555564
Atpg,-0.2463433837751735,0.09427001516666668
Atpd,0.0766062123108431,0.5287377389444442
Atpc,-0.12575639721105333,0.061747343611111095
Glmu,0.30424758220502895,0.030472527944444435
Glms,0.3519831400266663,0.01924268983333334
Pp_5400,0.05286932021991926,0.0031090464
Pp_5395,0.29053453180111505,0.0290841975
Pp_5392,0.48407788643804056,0.01484323977777778
Pp_5391,0.326229776616896,0.0033896515333333333
Pp_5388,0.4479615219964242,0.003021012
Copa,-0.08058837834744792,0.0026559777500000004
Copb,-0.10344204126833456,0.010790969055555554
Pp_5378,-0.01457501844074498,0.019036847750000002
Lpd3,0.35305906933735764,0.00854246372222222
Pp_5365,0.4902708940721031,0.015804691666666666
Pp_5355,-0.4,
Pp_5353,0.16487723290476733,0.013538446166666667
Uvrd,0.09446253100313975,0.024342449166666655
Zwf-3,0.27913839624735376,0.003053358500000001
Pp_5350,0.04559424138829505,0.005191311833333333
Accc-2,-0.3997842757992946,0.12512931255555557
Oada,-0.3456456934804869,0.12226390883333335
Pp_5345,0.055462821902557656,0.0045030168
Pp_5341,0.28421179173456573,0.003275452666666667
Pp_5340,0.2631813125695217,0.003978268
Aspa,-0.006182061241525463,0.01049382966666667
Pure,0.07279394697917851,0.04718011872222225
Purk,-0.2967727841620207,0.037747405000000005
Pp_5332,0.20068061289709618,0.009557764166666672
Pp_5331,-0.07657657085545932,0.005864586400000002
Pp_5330,-0.065892002734108,0.0033583604999999996
Psts,0.3098168385767361,0.00830278861111111
Pstb2,0.010963455149501661,0.002262762666666667
Phou,0.2762081370482563,0.0075956270555555564
Pp_5324,0.1673714870861304,0.022984407388888885
Pp_5322,0.22348121300477183,0.004211232470588236
Phob,-0.11484162305798731,0.0019723001428571425
Pp_5319,0.11545483967489206,0.003857867
Rubb,0.07212853205832694,0.006276506277777778
Hupa,0.0758522903943981,0.015811754611111114
Pp_5311,0.33314097166913187,0.023335113333333324
Recg,-0.09950822658004976,0.0016631955714285715
Pp_5309,0.23255728751848898,0.024693675722222218
Exbd,0.24153061224489794,0.0023963725
Exbb,0.09324527924719679,0.005199961470588237
Pp_5305,0.21292207417272377,0.004619119800000001
Pp_5304,0.1718730230970531,0.025995568499999996
Pp_5303,0.16487564000455113,0.0812928111666667
Spot,0.3753064057344408,0.021613461111111124
Rpoz,-0.38412060530208214,0.04833572855555557
Pp_5300,0.02450980392156863,0.003708388
Gmk,-0.2525775401069519,0.012245518444444445
Pp_5295,0.18243804755944934,0.027422022388888887
Rph,0.29706974627375127,0.010725772666666666
Crc,0.26179383320059163,0.033330467833333335
Pyre,-0.05741426783479348,0.05057375799999999
