Line Name,cycle,is_control,number_of_grna,isoprenol,to_keep_improved,line_name_norep
PP_0751_PP_0813_PP_0815-R1,6,FALSE,3,818.6499,TRUE,PP_0751_PP_0813_PP_0815
PP_0751_PP_0813_PP_0815-R2,6,FALSE,3,773.4597,TRUE,PP_0751_PP_0813_PP_0815
PP_0528_PP_0751_PP_0812_PP_0815-R1,6,FALSE,4,762.3653,TRUE,PP_0528_PP_0751_PP_0812_PP_0815
PP_0528_PP_0751_PP_0812_PP_0815-R3,6,FALSE,4,748.9053,TRUE,PP_0528_PP_0751_PP_0812_PP_0815
PP_0528_PP_0751_PP_0815-R2,6,FALSE,3,748.225,TRUE,PP_0528_PP_0751_PP_0815
PP_0528_PP_0751_PP_0815-R3,6,FALSE,3,746.4432,TRUE,PP_0528_PP_0751_PP_0815
PP_0528_PP_0751_PP_0815-R1,6,FALSE,3,736.2201,TRUE,PP_0528_PP_0751_PP_0815
PP_0528_PP_0751_PP_0813_PP_0815-R1,6,FALSE,4,724.6307,TRUE,PP_0528_PP_0751_PP_0813_PP_0815
PP_0368_PP_0751_PP_0815-R1,5,FALSE,3,722.3746,TRUE,PP_0368_PP_0751_PP_0815
PP_0751_PP_0813_PP_0815-R3,6,FALSE,3,721.3627,TRUE,PP_0751_PP_0813_PP_0815
PP_0528_PP_0751_PP_0813_PP_0815-R2,6,FALSE,4,719.4565,TRUE,PP_0528_PP_0751_PP_0813_PP_0815
PP_0528_PP_0751_PP_0813_PP_0815-R3,6,FALSE,4,714.812,TRUE,PP_0528_PP_0751_PP_0813_PP_0815
PP_0368_PP_0812_PP_0815-R1,4,FALSE,3,713.6108,TRUE,PP_0368_PP_0812_PP_0815
PP_0528_PP_0751_PP_0812_PP_0815-R2,6,FALSE,4,706.0525,TRUE,PP_0528_PP_0751_PP_0812_PP_0815
PP_0368_PP_0751_PP_0814_PP_0815-R3,6,FALSE,4,704.5033,TRUE,PP_0368_PP_0751_PP_0814_PP_0815
PP_0368_PP_0751_PP_0813_PP_0815-R1,6,FALSE,4,703.8658,TRUE,PP_0368_PP_0751_PP_0813_PP_0815
PP_0368_PP_0751_PP_0813_PP_0815-R2,6,FALSE,4,691.0291,TRUE,PP_0368_PP_0751_PP_0813_PP_0815
PP_0368_PP_0814_PP_0815-R3,5,FALSE,3,680.3604,TRUE,PP_0368_PP_0814_PP_0815
PP_0368_PP_0814_PP_0815-R2,5,FALSE,3,676.6958,TRUE,PP_0368_PP_0814_PP_0815
PP_0368_PP_0751_PP_0815-R2,5,FALSE,3,673.4893,TRUE,PP_0368_PP_0751_PP_0815
