Line Name,cycle,is_control,number_of_grna,isoprenol,to_keep_improved,line_name_norep
PP_0368_PP_0751_PP_0812_PP_0815-R1,5,FALSE,4,672.8971,TRUE,PP_0368_PP_0751_PP_0812_PP_0815
PP_0368_PP_0812_PP_0815-R3,4,FALSE,3,664.3135,TRUE,PP_0368_PP_0812_PP_0815
PP_0528_PP_0813_PP_0815-R2,6,FALSE,3,661.7207,TRUE,PP_0528_PP_0813_PP_0815
PP_0368_PP_0812_PP_0815-R2,4,FALSE,3,661.5642,TRUE,PP_0368_PP_0812_PP_0815
PP_0812_PP_0813_PP_0815-R1,4,FALSE,3,660.8518,TRUE,PP_0812_PP_0813_PP_0815
PP_0368_PP_0814_PP_0815-R1,5,FALSE,3,659.0132,TRUE,PP_0368_PP_0814_PP_0815
PP_0751_PP_0815-R2,4,FALSE,2,658.5824,TRUE,PP_0751_PP_0815
PP_0368_PP_0751_PP_0812_PP_0815-R2,5,FALSE,4,657.2571,TRUE,PP_0368_PP_0751_PP_0812_PP_0815
PP_0368_PP_0751_PP_0814_PP_0815-R2,6,FALSE,4,656.3714,TRUE,PP_0368_PP_0751_PP_0814_PP_0815
PP_0528_PP_0813_PP_0815-R3,6,FALSE,3,652.3416,TRUE,PP_0528_PP_0813_PP_0815
PP_0814_PP_0815-R1,4,FALSE,2,648.9361,TRUE,PP_0814_PP_0815
PP_0368_PP_0751_PP_0815-R3,5,FALSE,3,648.4851,TRUE,PP_0368_PP_0751_PP_0815
PP_0368_PP_0751_PP_0813_PP_0815-R3,6,FALSE,4,647.5868,TRUE,PP_0368_PP_0751_PP_0813_PP_0815
PP_0528_PP_0812_PP_0815-R2,4,FALSE,3,645.0948,FALSE,PP_0528_PP_0812_PP_0815
PP_0812_PP_0813_PP_0815-R3,4,FALSE,3,641.6425,TRUE,PP_0812_PP_0813_PP_0815
PP_0368_PP_0813_PP_0814_PP_0815-R2,6,FALSE,4,639.6017,TRUE,PP_0368_PP_0813_PP_0814_PP_0815
PP_0528_PP_0812_PP_0815-R3,4,FALSE,3,637.3932,FALSE,PP_0528_PP_0812_PP_0815
PP_0812_PP_0813_PP_0815-R2,4,FALSE,3,631.0712,TRUE,PP_0812_PP_0813_PP_0815
PP_0751_PP_0815-R3,4,FALSE,2,630.8271,TRUE,PP_0751_PP_0815
PP_0368_PP_0812_PP_0813_PP_0815-R1,5,FALSE,4,628.5783,TRUE,PP_0368_PP_0812_PP_0813_PP_0815
PP_0368_PP_0813_PP_0814_PP_0815-R1,6,FALSE,4,627.1498,TRUE,PP_0368_PP_0813_PP_0814_PP_0815
PP_0814_PP_0815-R3,4,FALSE,2,625.5433,TRUE,PP_0814_PP_0815
PP_0368_PP_0751_PP_0812_PP_0815-R3,5,FALSE,4,622.206,TRUE,PP_0368_PP_0751_PP_0812_PP_0815
PP_0813_PP_0814_PP_0815-R2,5,FALSE,3,619.0211,TRUE,PP_0813_PP_0814_PP_0815
PP_0437_PP_0815_PP_1317-R3,4,FALSE,3,618.2326,FALSE,PP_0437_PP_0815_PP_1317
PP_0751_PP_0815-R1,4,FALSE,2,614.5642,TRUE,PP_0751_PP_0815
PP_0813_PP_0814_PP_0815-R3,5,FALSE,3,614.2366,TRUE,PP_0813_PP_0814_PP_0815
PP_0528_PP_0812_PP_0815-R1,4,FALSE,3,613.9505,FALSE,PP_0528_PP_0812_PP_0815
PP_0528_PP_0813_PP_0815-R1,6,FALSE,3,613.9456,TRUE,PP_0528_PP_0813_PP_0815
PP_0812_PP_0813_PP_0815_PP_1506-R1,6,FALSE,4,611.1875,FALSE,PP_0812_PP_0813_PP_0815_PP_1506
PP_0812_PP_0813_PP_0815_PP_1506-R3,6,FALSE,4,606.8789,FALSE,PP_0812_PP_0813_PP_0815_PP_1506
PP_0368_PP_0813_PP_0814_PP_0815-R3,6,FALSE,4,605.2812,TRUE,PP_0368_PP_0813_PP_0814_PP_0815
PP_0815_PP_2136-R1,5,FALSE,2,603.5013,TRUE,PP_0815_PP_2136
PP_0813_PP_0814_PP_0815-R1,5,FALSE,3,600.8576,TRUE,PP_0813_PP_0814_PP_0815
PP_0368_PP_0815-R1,4,FALSE,2,599.5551,TRUE,PP_0368_PP_0815
PP_0368_PP_0815-R2,4,FALSE,2,596.7597,TRUE,PP_0368_PP_0815
PP_0528_PP_0815-R3,4,FALSE,2,594.7115,FALSE,PP_0528_PP_0815
PP_0368_PP_0812_PP_0815_PP_2136-R2,5,FALSE,4,594.634,TRUE,PP_0368_PP_0812_PP_0815_PP_2136
PP_0814_PP_0815-R2,4,FALSE,2,590.8884,TRUE,PP_0814_PP_0815
PP_0368_PP_0751_PP_0814_PP_0815-R1,6,FALSE,4,584.5668,TRUE,PP_0368_PP_0751_PP_0814_PP_0815
PP_0812_PP_0813_PP_0815_PP_1506-R2,6,FALSE,4,584.029,FALSE,PP_0812_PP_0813_PP_0815_PP_1506
PP_0368_PP_0815-R3,4,FALSE,2,578.1195,TRUE,PP_0368_PP_0815
PP_0368_PP_0812_PP_0813_PP_0815-R2,5,FALSE,4,577.7701,TRUE,PP_0368_PP_0812_PP_0813_PP_0815
PP_0368_PP_0751_PP_0812-R1,5,FALSE,3,576.6218,TRUE,PP_0368_PP_0751_PP_0812
PP_0437_PP_0815_PP_1317-R2,4,FALSE,3,575.3111,FALSE,PP_0437_PP_0815_PP_1317
PP_0437_PP_0815_PP_1317-R1,4,FALSE,3,574.7462,FALSE,PP_0437_PP_0815_PP_1317
PP_0528_PP_0815-R1,4,FALSE,2,573.7308,FALSE,PP_0528_PP_0815
PP_0815_PP_2136-R2,5,FALSE,2,571.5046,TRUE,PP_0815_PP_2136
PP_0528_PP_0815-R2,4,FALSE,2,570.1604,FALSE,PP_0528_PP_0815
PP_0368_PP_0812_PP_0815_PP_2136-R1,5,FALSE,4,569.5938,TRUE,PP_0368_PP_0812_PP_0815_PP_2136
PP_0751_PP_0812_PP_0815-R2,6,FALSE,3,565.9666,FALSE,PP_0751_PP_0812_PP_0815
PP_0813_PP_0815-R1,4,FALSE,2,562.1718,TRUE,PP_0813_PP_0815
PP_0368_PP_0751_PP_0812-R3,5,FALSE,3,561.7775,TRUE,PP_0368_PP_0751_PP_0812
PP_0368_PP_0751_PP_0812-R2,5,FALSE,3,560.4283,TRUE,PP_0368_PP_0751_PP_0812
PP_0368_PP_0812_PP_0813_PP_0815-R3,5,FALSE,4,560.0963,TRUE,PP_0368_PP_0812_PP_0813_PP_0815
PP_0815_PP_2136-R3,5,FALSE,2,558.6375,TRUE,PP_0815_PP_2136
PP_0815_PP_1317_PP_1506-R1,4,FALSE,3,557.6157,FALSE,PP_0815_PP_1317_PP_1506
PP_0812_PP_0815_PP_1506-R3,6,FALSE,3,557.0017,FALSE,PP_0812_PP_0815_PP_1506
PP_0812_PP_0815_PP_1506-R1,6,FALSE,3,552.4389,FALSE,PP_0812_PP_0815_PP_1506
PP_0815_PP_4189-R3,4,FALSE,2,552.4192,TRUE,PP_0815_PP_4189
PP_0368_PP_0813_PP_0815-R2,5,FALSE,3,550.8589,FALSE,PP_0368_PP_0813_PP_0815
PP_0812_PP_0814_PP_0815-R3,5,FALSE,3,549.6663,TRUE,PP_0812_PP_0814_PP_0815
PP_0812_PP_0814_PP_0815-R1,5,FALSE,3,549.637,TRUE,PP_0812_PP_0814_PP_0815
PP_0368_PP_0812_PP_0815_PP_2136-R3,5,FALSE,4,546.4259,TRUE,PP_0368_PP_0812_PP_0815_PP_2136
PP_0368_PP_0813_PP_0815-R3,5,FALSE,3,544.7199,FALSE,PP_0368_PP_0813_PP_0815
PP_0815_PP_4189-R2,4,FALSE,2,542.9282,TRUE,PP_0815_PP_4189
PP_0813_PP_0815-R2,4,FALSE,2,542.7107,TRUE,PP_0813_PP_0815
PP_0751_PP_0814_PP_0815-R2,5,FALSE,3,540.8326,FALSE,PP_0751_PP_0814_PP_0815
PP_0815_PP_1317_PP_1506-R2,4,FALSE,3,540.442,FALSE,PP_0815_PP_1317_PP_1506
PP_0751_PP_0812_PP_0815-R3,6,FALSE,3,540.339,FALSE,PP_0751_PP_0812_PP_0815
PP_0812_PP_0815_PP_1506-R2,6,FALSE,3,538.1355,FALSE,PP_0812_PP_0815_PP_1506
PP_0815_PP_1317_PP_1506-R3,4,FALSE,3,537.9617,FALSE,PP_0815_PP_1317_PP_1506
PP_0751_PP_0814_PP_0815-R1,5,FALSE,3,535.7927,FALSE,PP_0751_PP_0814_PP_0815
PP_0368_PP_0813_PP_0815-R1,5,FALSE,3,535.2842,FALSE,PP_0368_PP_0813_PP_0815
PP_0751_PP_0812_PP_0815-R1,6,FALSE,3,529.8337,FALSE,PP_0751_PP_0812_PP_0815
PP_0815_PP_4189-R1,4,FALSE,2,529.1714,TRUE,PP_0815_PP_4189
PP_0812_PP_0814_PP_0815-R2,5,FALSE,3,527.7779,TRUE,PP_0812_PP_0814_PP_0815
PP_0812_PP_0815_PP_2136-R1,5,FALSE,3,526.2498,TRUE,PP_0812_PP_0815_PP_2136
PP_0815_PP_1317-R2,2,FALSE,2,525.6759,FALSE,PP_0815_PP_1317
PP_0368_PP_0751_PP_0813-R3,5,FALSE,3,523.1448,TRUE,PP_0368_PP_0751_PP_0813
PP_0813_PP_0815_PP_2136-R3,6,FALSE,3,522.6864,TRUE,PP_0813_PP_0815_PP_2136
PP_0815_PP_4191-R1,6,FALSE,2,520.7546,TRUE,PP_0815_PP_4191
PP_0813_PP_0815-R3,4,FALSE,2,520.5602,TRUE,PP_0813_PP_0815
PP_0815_PP_4191-R3,6,FALSE,2,518.4426,TRUE,PP_0815_PP_4191
PP_0751_PP_0814_PP_4189-R2,5,FALSE,3,518.1036,TRUE,PP_0751_PP_0814_PP_4189
PP_0814_PP_0815_PP_2136-R1,5,FALSE,3,517.8732,TRUE,PP_0814_PP_0815_PP_2136
PP_0815_PP_4191-R2,6,FALSE,2,517.8298,TRUE,PP_0815_PP_4191
PP_0812_PP_0815_PP_2136-R3,5,FALSE,3,510.4002,TRUE,PP_0812_PP_0815_PP_2136
PP_0814_PP_0815_PP_4189-R1,6,FALSE,3,509.1121,TRUE,PP_0814_PP_0815_PP_4189
PP_0813_PP_0815_PP_2136-R1,6,FALSE,3,506.602,TRUE,PP_0813_PP_0815_PP_2136
PP_0368_PP_0751_PP_0813-R2,5,FALSE,3,505.658,TRUE,PP_0368_PP_0751_PP_0813
PP_0751_PP_0814_PP_4189-R1,5,FALSE,3,503.2046,TRUE,PP_0751_PP_0814_PP_4189
PP_0815_PP_1317_PP_2136-R1,4,FALSE,3,502.9687,TRUE,PP_0815_PP_1317_PP_2136
PP_0751_PP_0815_PP_4189-R3,5,FALSE,3,502.7903,FALSE,PP_0751_PP_0815_PP_4189
PP_0812_PP_0815_PP_4189-R3,5,FALSE,3,502.1074,TRUE,PP_0812_PP_0815_PP_4189
PP_0528_PP_0751-R2,5,FALSE,2,501.3062,TRUE,PP_0528_PP_0751
PP_0751_PP_0815_PP_4189-R1,5,FALSE,3,498.7393,FALSE,PP_0751_PP_0815_PP_4189
PP_0751_PP_0812-R1,5,FALSE,2,498.2724,TRUE,PP_0751_PP_0812
PP_0528_PP_4189-R3,4,FALSE,2,496.4672,FALSE,PP_0528_PP_4189
PP_0528_PP_0751-R1,5,FALSE,2,496.3058,TRUE,PP_0528_PP_0751
PP_0528_PP_4189-R1,4,FALSE,2,495.3593,FALSE,PP_0528_PP_4189
PP_0814_PP_0815_PP_2136-R3,5,FALSE,3,494.6353,TRUE,PP_0814_PP_0815_PP_2136
PP_0751_PP_0814_PP_4189-R3,5,FALSE,3,494.0295,TRUE,PP_0751_PP_0814_PP_4189
PP_0812_PP_0815_PP_4189-R1,5,FALSE,3,491.8601,TRUE,PP_0812_PP_0815_PP_4189
PP_0751_PP_0814_PP_0815-R3,5,FALSE,3,491.2489,FALSE,PP_0751_PP_0814_PP_0815
PP_0751_PP_0814-R1,2,FALSE,2,490.228,FALSE,PP_0751_PP_0814
PP_0815_PP_1317_PP_2136-R2,4,FALSE,3,488.1259,TRUE,PP_0815_PP_1317_PP_2136
PP_0814_PP_0815_PP_4189-R2,6,FALSE,3,486.2498,TRUE,PP_0814_PP_0815_PP_4189
PP_0751_PP_0814-R3,2,FALSE,2,485.7762,FALSE,PP_0751_PP_0814
PP_0814_PP_0815_PP_4189-R3,6,FALSE,3,483.9948,TRUE,PP_0814_PP_0815_PP_4189
PP_0751_PP_0812-R2,5,FALSE,2,483.746,TRUE,PP_0751_PP_0812
PP_0528_PP_1769_PP_4191-R3,2,FALSE,3,482.7067,FALSE,PP_0528_PP_1769_PP_4191
PP_0368_PP_0751_PP_0813-R1,5,FALSE,3,481.9028,TRUE,PP_0368_PP_0751_PP_0813
PP_0815_PP_1317_PP_2136-R3,4,FALSE,3,481.8411,TRUE,PP_0815_PP_1317_PP_2136
PP_0528_PP_0751_PP_0813-R2,2,FALSE,3,481.3839,TRUE,PP_0528_PP_0751_PP_0813
PP_0814_PP_0815_PP_2136-R2,5,FALSE,3,478.4361,TRUE,PP_0814_PP_0815_PP_2136
PP_0751_PP_0815_PP_4189-R2,5,FALSE,3,475.2997,FALSE,PP_0751_PP_0815_PP_4189
PP_0528_PP_0751_PP_0813-R1,2,FALSE,3,474.5426,TRUE,PP_0528_PP_0751_PP_0813
PP_0528_PP_0751_PP_0813-R3,2,FALSE,3,473.966,TRUE,PP_0528_PP_0751_PP_0813
PP_0528_PP_0813_PP_0815_PP_1317-R1,3,FALSE,4,473.4303,FALSE,PP_0528_PP_0813_PP_0815_PP_1317
PP_0528_PP_4189-R2,4,FALSE,2,473.0231,FALSE,PP_0528_PP_4189
PP_0528_PP_1769_PP_4191-R2,2,FALSE,3,470.9864,FALSE,PP_0528_PP_1769_PP_4191
PP_0815_PP_1317-R3,1,FALSE,2,468.3266,TRUE,PP_0815_PP_1317
PP_0528_PP_0751-R3,5,FALSE,2,468.2586,TRUE,PP_0528_PP_0751
PP_0751_PP_0812_PP_4189-R1,5,FALSE,3,466.4189,TRUE,PP_0751_PP_0812_PP_4189
PP_0751_PP_0814-R2,2,FALSE,2,465.9361,FALSE,PP_0751_PP_0814
PP_0751_PP_0812_PP_4189-R2,5,FALSE,3,461.7845,TRUE,PP_0751_PP_0812_PP_4189
PP_0813_PP_0815_PP_2136-R2,6,FALSE,3,461.7207,TRUE,PP_0813_PP_0815_PP_2136
PP_0528_PP_0814_PP_0815_PP_1317-R2,2,FALSE,4,461.4772,FALSE,PP_0528_PP_0814_PP_0815_PP_1317
PP_0815_PP_1317-R1,2,FALSE,2,460.8757,FALSE,PP_0815_PP_1317
PP_0368_PP_0812_PP_0813-R1,4,FALSE,3,458.8593,TRUE,PP_0368_PP_0812_PP_0813
PP_0368_PP_0815_PP_4189-R3,5,FALSE,3,457.0638,TRUE,PP_0368_PP_0815_PP_4189
PP_0528_PP_0814_PP_0815_PP_1317-R1,2,FALSE,4,457.0174,FALSE,PP_0528_PP_0814_PP_0815_PP_1317
PP_0815_PP_1317-R3,2,FALSE,2,455.1851,FALSE,PP_0815_PP_1317
PP_0815_PP_1317-R1,1,FALSE,2,453.2418,TRUE,PP_0815_PP_1317
PP_0751_PP_0814-R2,3,FALSE,2,451.0228,TRUE,PP_0751_PP_0814
PP_0812_PP_0815_PP_1317-R3,3,FALSE,3,446.7982,TRUE,PP_0812_PP_0815_PP_1317
PP_0368_PP_0815_PP_4189-R2,5,FALSE,3,446.4153,TRUE,PP_0368_PP_0815_PP_4189
PP_0528_PP_1769_PP_4191-R1,2,FALSE,3,446.1691,FALSE,PP_0528_PP_1769_PP_4191
PP_0528_PP_0812-R3,5,FALSE,2,444.1071,TRUE,PP_0528_PP_0812
PP_0751_PP_0813-R2,2,FALSE,2,443.538,FALSE,PP_0751_PP_0813
PP_0751_PP_0815_PP_2136-R3,6,FALSE,3,443.289,FALSE,PP_0751_PP_0815_PP_2136
PP_0814_PP_4189-R1,2,FALSE,2,439.0957,FALSE,PP_0814_PP_4189
PP_0751_PP_0812_PP_0813_PP_0815-R2,5,FALSE,4,438.4417,FALSE,PP_0751_PP_0812_PP_0813_PP_0815
PP_0751_PP_0813_PP_4189-R1,2,FALSE,3,436.0771,TRUE,PP_0751_PP_0813_PP_4189
PP_0528_PP_2136-R1,6,FALSE,2,435.4961,TRUE,PP_0528_PP_2136
PP_0368_PP_0815_PP_4189-R1,5,FALSE,3,434.507,TRUE,PP_0368_PP_0815_PP_4189
PP_0528_PP_0814_PP_0815_PP_1317-R3,3,FALSE,4,434.0074,TRUE,PP_0528_PP_0814_PP_0815_PP_1317
PP_0812_PP_0813_PP_0814-R1,5,FALSE,3,433.8627,TRUE,PP_0812_PP_0813_PP_0814
PP_0437_PP_0751_PP_0814-R1,2,FALSE,3,433.8552,FALSE,PP_0437_PP_0751_PP_0814
PP_0528_PP_0813_PP_0815_PP_1317-R3,3,FALSE,4,433.4135,FALSE,PP_0528_PP_0813_PP_0815_PP_1317
PP_0528_PP_0814_PP_0815_PP_1317-R3,2,FALSE,4,432.9349,FALSE,PP_0528_PP_0814_PP_0815_PP_1317
PP_0751_PP_0812_PP_0813_PP_0815-R3,5,FALSE,4,432.6595,FALSE,PP_0751_PP_0812_PP_0813_PP_0815
PP_0751_PP_0813_PP_4189-R2,2,FALSE,3,432.415,TRUE,PP_0751_PP_0813_PP_4189
PP_0368_PP_0812_PP_1506-R1,4,FALSE,3,430.8919,FALSE,PP_0368_PP_0812_PP_1506
PP_0528_PP_0812-R1,5,FALSE,2,428.0768,TRUE,PP_0528_PP_0812
PP_0751_PP_0815_PP_2136-R1,6,FALSE,3,427.3335,FALSE,PP_0751_PP_0815_PP_2136
PP_0812_PP_0814-R1,2,FALSE,2,426.7457,TRUE,PP_0812_PP_0814
PP_0751_PP_0814-R1,3,FALSE,2,426.1167,TRUE,PP_0751_PP_0814
PP_0528_PP_0815_PP_1317-R3,3,FALSE,3,425.6413,TRUE,PP_0528_PP_0815_PP_1317
PP_0814_PP_0815_PP_1506-R3,5,FALSE,3,425.2092,FALSE,PP_0814_PP_0815_PP_1506
PP_0815_PP_1317-R2,1,FALSE,2,425.182,TRUE,PP_0815_PP_1317
PP_0528_PP_0813_PP_0815_PP_1317-R2,3,FALSE,4,423.837,FALSE,PP_0528_PP_0813_PP_0815_PP_1317
PP_0812_PP_0815_PP_1769-R2,6,FALSE,3,423.7996,FALSE,PP_0812_PP_0815_PP_1769
PP_0368_PP_0751_PP_0814-R1,4,FALSE,3,423.5738,FALSE,PP_0368_PP_0751_PP_0814
PP_0368_PP_0815_PP_2136-R3,6,FALSE,3,423.5372,TRUE,PP_0368_PP_0815_PP_2136
PP_0528_PP_0751_PP_0814-R3,4,FALSE,3,423.2471,FALSE,PP_0528_PP_0751_PP_0814
PP_0751_PP_0813-R3,2,FALSE,2,422.9072,FALSE,PP_0751_PP_0813
PP_0368_PP_0812_PP_0813-R2,4,FALSE,3,422.4387,TRUE,PP_0368_PP_0812_PP_0813
PP_0751_PP_0813-R1,2,FALSE,2,422.1336,FALSE,PP_0751_PP_0813
PP_0814_PP_4189-R2,4,FALSE,2,421.9632,TRUE,PP_0814_PP_4189
PP_0368_PP_0812_PP_0813-R3,4,FALSE,3,419.347,TRUE,PP_0368_PP_0812_PP_0813
PP_0528_PP_0815_PP_1769-R1,6,FALSE,3,418.4216,FALSE,PP_0528_PP_0815_PP_1769
PP_0812_PP_0815_PP_1769-R3,6,FALSE,3,418.2505,FALSE,PP_0812_PP_0815_PP_1769
PP_0528_PP_0815_PP_1769-R3,6,FALSE,3,418.0413,FALSE,PP_0528_PP_0815_PP_1769
PP_0815_PP_1317_PP_4189-R1,3,FALSE,3,417.6655,FALSE,PP_0815_PP_1317_PP_4189
PP_0812_PP_0815_PP_1317-R1,2,FALSE,3,416.587,FALSE,PP_0812_PP_0815_PP_1317
PP_0812_PP_2136-R1,5,FALSE,2,416.4477,TRUE,PP_0812_PP_2136
PP_0814_PP_4192-R3,4,FALSE,2,416.4118,FALSE,PP_0814_PP_4192
PP_0751_PP_0812_PP_4189-R3,5,FALSE,3,415.7027,TRUE,PP_0751_PP_0812_PP_4189
PP_0368_PP_0815_PP_2136-R1,6,FALSE,3,415.5475,TRUE,PP_0368_PP_0815_PP_2136
PP_0812_PP_2136-R3,5,FALSE,2,415.5184,TRUE,PP_0812_PP_2136
PP_0751_PP_0814_PP_4191-R3,2,FALSE,3,415.1324,FALSE,PP_0751_PP_0814_PP_4191
PP_0751_PP_0815_PP_2136-R2,6,FALSE,3,413.9613,FALSE,PP_0751_PP_0815_PP_2136
PP_0814_PP_4192-R2,4,FALSE,2,413.8531,FALSE,PP_0814_PP_4192
PP_0528_PP_0815_PP_1317-R2,2,FALSE,3,413.6321,FALSE,PP_0528_PP_0815_PP_1317
PP_0368_PP_0812_PP_0814-R3,5,FALSE,3,412.4297,TRUE,PP_0368_PP_0812_PP_0814
PP_0528_PP_0812-R2,5,FALSE,2,412.2365,TRUE,PP_0528_PP_0812
PP_5419-R3,0,FALSE,1,412.20373,FALSE,PP_5419
PP_0528_PP_0751_PP_0814-R1,4,FALSE,3,411.9265,FALSE,PP_0528_PP_0751_PP_0814
PP_0368_PP_0751_PP_4189-R1,5,FALSE,3,411.4711,TRUE,PP_0368_PP_0751_PP_4189
PP_0368_PP_0813-R1,2,FALSE,2,411.3133,TRUE,PP_0368_PP_0813
PP_0751_PP_0812_PP_0814-R1,4,FALSE,3,410.4078,TRUE,PP_0751_PP_0812_PP_0814
PP_0815_PP_1317_PP_4189-R2,3,FALSE,3,409.5176,FALSE,PP_0815_PP_1317_PP_4189
PP_0751_PP_0812_PP_0813_PP_0815-R1,5,FALSE,4,409.2125,FALSE,PP_0751_PP_0812_PP_0813_PP_0815
PP_0528_PP_0815_PP_1317-R1,2,FALSE,3,408.9383,FALSE,PP_0528_PP_0815_PP_1317
PP_0528_PP_0815_PP_1769-R2,6,FALSE,3,407.4656,FALSE,PP_0528_PP_0815_PP_1769
PP_0528_PP_0815_PP_2136-R2,6,FALSE,3,407.3949,TRUE,PP_0528_PP_0815_PP_2136
PP_0528_PP_0813-R2,5,FALSE,2,406.1983,TRUE,PP_0528_PP_0813
PP_0814_PP_0815_PP_4120-R3,6,FALSE,3,406.1429,TRUE,PP_0814_PP_0815_PP_4120
PP_0812_PP_1506-R1,6,FALSE,2,406.0365,FALSE,PP_0812_PP_1506
PP_0812_PP_0813_PP_0814-R2,5,FALSE,3,405.1691,TRUE,PP_0812_PP_0813_PP_0814
PP_0812_PP_4189-R1,2,FALSE,2,404.938,TRUE,PP_0812_PP_4189
PP_0368_PP_0437_PP_0812-R1,4,FALSE,3,404.5795,TRUE,PP_0368_PP_0437_PP_0812
PP_0815_PP_1506_PP_4189-R3,6,FALSE,3,404.306,FALSE,PP_0815_PP_1506_PP_4189
PP_0812_PP_0813_PP_0814-R3,5,FALSE,3,404.1313,TRUE,PP_0812_PP_0813_PP_0814
PP_0751_PP_0814-R3,3,FALSE,2,403.6194,TRUE,PP_0751_PP_0814
PP_0751_PP_0813_PP_4189-R1,3,FALSE,3,403.2312,FALSE,PP_0751_PP_0813_PP_4189
PP_0528-R1,0,FALSE,1,402.64727,TRUE,PP_0528
PP_0815_PP_1317-R1,3,FALSE,2,402.1249,TRUE,PP_0815_PP_1317
PP_0368_PP_0812_PP_0814-R1,5,FALSE,3,402.0284,TRUE,PP_0368_PP_0812_PP_0814
PP_0528_PP_0815_PP_2136-R1,6,FALSE,3,401.7451,TRUE,PP_0528_PP_0815_PP_2136
PP_0814_PP_4192-R1,4,FALSE,2,401.326,FALSE,PP_0814_PP_4192
PP_0812_PP_0815_PP_1317-R2,3,FALSE,3,401.1233,TRUE,PP_0812_PP_0815_PP_1317
PP_0812_PP_1506-R2,6,FALSE,2,400.8658,FALSE,PP_0812_PP_1506
PP_0528_PP_0751_PP_4191-R1,3,FALSE,3,400.7445,FALSE,PP_0528_PP_0751_PP_4191
PP_0812_PP_0815_PP_1317-R1,3,FALSE,3,400.1769,TRUE,PP_0812_PP_0815_PP_1317
PP_0814_PP_0815_PP_1506-R1,5,FALSE,3,399.2801,FALSE,PP_0814_PP_0815_PP_1506
PP_0814_PP_0815_PP_1317-R2,2,FALSE,3,398.9084,FALSE,PP_0814_PP_0815_PP_1317
PP_0528_PP_0815_PP_2136-R3,6,FALSE,3,398.6422,TRUE,PP_0528_PP_0815_PP_2136
PP_0528_PP_0815_PP_4191-R1,3,FALSE,3,398.0633,FALSE,PP_0528_PP_0815_PP_4191
PP_0814_PP_4189-R3,2,FALSE,2,397.8042,FALSE,PP_0814_PP_4189
PP_0812_PP_4189-R3,2,FALSE,2,397.4022,TRUE,PP_0812_PP_4189
PP_0751_PP_0814_PP_4191-R2,2,FALSE,3,397.3863,FALSE,PP_0751_PP_0814_PP_4191
PP_0814_PP_0815_PP_1506-R2,5,FALSE,3,397.3431,FALSE,PP_0814_PP_0815_PP_1506
PP_0368_PP_0812_PP_1506-R3,4,FALSE,3,397.0856,FALSE,PP_0368_PP_0812_PP_1506
PP_0528_PP_0815_PP_1317-R1,3,FALSE,3,397.0173,TRUE,PP_0528_PP_0815_PP_1317
