,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
81,PP_0437_PP_0751_PP_0814-R2,2,False,PP_0437_PP_0751_PP_0814,3,309.0987,2931963.6,0.7985983687396231,PP_0437,PP_0751,PP_0814,,0.0,35410.9,87163.3,,61460.84166666667,4218397.294999999,176130.7333333333,,0.0,0.00839439662119355,0.4948784255331552,,False,True,True,True,True,False,True,False,True,False,False
82,PP_0751_PP_0813_PP_4189-R2,2,False,PP_0751_PP_0813_PP_4189,3,432.415,1302180.0,0.35468340186943736,PP_0751,PP_0813,PP_4189,,772782.2,1139335.3,7666427.5,,4218397.294999999,2820323.063333333,25916447.480833337,,0.18319331868431804,0.4039733301522636,0.29581320918577875,,False,True,True,True,True,False,True,True,True,True,True
83,PP_0751_PP_0814_PP_1769-R2,2,False,PP_0751_PP_0814_PP_1769,3,145.8668,254829.34,0.06940955720971255,PP_0751,PP_0814,PP_1769,,5515592.09,184914.0,1122731.58,,4218397.294999999,176130.7333333333,1012275.7325,,1.3075089196879455,1.0498678822283904,1.1091163642016875,,False,False,False,False,False,False,False,False,False,False,False
84,PP_0751_PP_0813_PP_0814-R2,2,False,PP_0751_PP_0813_PP_0814,3,245.253,78326.22,0.02133423195347338,PP_0751,PP_0813,PP_0814,,5633839.05,2584337.83,156370.0,,4218397.294999999,2820323.063333333,176130.7333333333,,1.3355401722539748,0.9163268788596075,0.8878064437741512,,False,False,False,False,False,False,False,False,False,False,False
85,PP_0813_PP_1769_PP_4189-R2,2,False,PP_0813_PP_1769_PP_4189,3,238.3752,1432519.76,0.3901849066350197,PP_0813,PP_1769,PP_4189,,1977450.65,1220896.87,16507836.33,,2820323.063333333,1012275.7325,25916447.480833337,,0.7011433107464135,1.2060912168513336,0.6369637019969063,,False,True,False,False,False,False,False,False,True,False,False
86,PP_0751_PP_1769_PP_4189-R2,2,False,PP_0751_PP_1769_PP_4189,3,201.8366,315833.95,0.0860257873810547,PP_0751,PP_1769,PP_4189,,6589652.65,1411120.15,24432128.5,,4218397.294999999,1012275.7325,25916447.480833337,,1.562122339166729,1.39400768456138,0.942726757518326,,False,False,False,False,False,False,False,False,False,False,False
87,Control_P2-R2,2,True,Control,0,143.265,3506968.5,0.9552162664370194,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,False,False,False
88,PP_0815_PP_1317_PP_2136-R3,3,False,PP_0815_PP_1317_PP_2136,3,243.3616,260507.85,0.07095625063485318,PP_0815,PP_1317,PP_2136,,,1206584.9,2293955.85,,,1604365.9566666668,2749908.395,,,0.7520633898932123,0.834193551381918,,True,False,True,False,False,False,False,False,False,False,False
89,PP_0437_PP_0751_PP_0814-R3,3,False,PP_0437_PP_0751_PP_0814,3,390.2094,3935112.8,1.071832768621824,PP_0437,PP_0751,PP_0814,,0.0,0.0,90462.3,,61460.84166666667,4218397.294999999,176130.7333333333,,0.0,0.0,0.5136088307132468,,False,True,True,True,False,False,False,False,True,False,False
90,PP_0751_PP_0813_PP_4189-R3,3,False,PP_0751_PP_0813_PP_4189,3,303.1397,2015790.49,0.5490542232634966,PP_0751,PP_0813,PP_4189,,779597.19,1366704.94,7835199.09,,4218397.294999999,2820323.063333333,25916447.480833337,,0.18480885878720918,0.48459162631698466,0.3023253513350766,,False,True,True,True,True,False,True,True,True,True,True
91,PP_0751_PP_0814_PP_1769-R3,3,False,PP_0751_PP_0814_PP_1769,3,174.2929,78712.8,0.02143952731163791,PP_0751,PP_0814,PP_1769,,5655614.9,131196.0,1080265.3,,4218397.294999999,176130.7333333333,1012275.7325,,1.3407022867911265,0.7448785201598359,1.0671650671029003,,False,False,False,False,False,False,False,False,False,False,False
92,PP_0751_PP_0813_PP_0814-R3,3,False,PP_0751_PP_0813_PP_0814,3,224.0777,0.0,0.0,PP_0751,PP_0813,PP_0814,,5237533.5,2525730.1,158177.0,,4218397.294999999,2820323.063333333,176130.7333333333,,1.241593224566109,0.8955463765256899,0.8980658684969235,,False,False,False,False,False,False,False,False,False,False,False
93,PP_0813_PP_1769_PP_4189-R3,3,False,PP_0813_PP_1769_PP_4189,3,208.1807,1543182.0,0.42032671478880196,PP_0813,PP_1769,PP_4189,,1865491.6,1343673.5,14845992.7,,2820323.063333333,1012275.7325,25916447.480833337,,0.6614460677406155,1.3273789510705276,0.5728405758921797,,False,True,False,False,False,False,False,False,True,False,False
94,PP_0751_PP_1769_PP_4189-R3,3,False,PP_0751_PP_1769_PP_4189,3,197.0295,233722.0,0.06366041104281178,PP_0751,PP_1769,PP_4189,,8317446.0,1410916.5,23019398.1,,4218397.294999999,1012275.7325,25916447.480833337,,1.971707598489725,1.3938065041977088,0.8882157987518982,,False,False,False,False,False,False,False,False,False,False,False
95,Control_P2-R3,3,True,Control,0,138.3098,3625105.43,0.9873940054737207,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,False,False,False
96,PP_0528_PP_1769_PP_4191-R1,1,False,PP_0528_PP_1769_PP_4191,3,446.1691,5174825.76,1.4095016085628689,PP_0528,PP_1769,PP_4191,,12124.15,1505495.16,10133683.29,,73937.88333333335,1012275.7325,12495217.144166665,,0.16397750995035695,1.48723822142995,0.8110049767907285,,False,True,True,False,False,False,False,False,True,False,False
