,line_name_norep,rep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,to_keep_improved,mean_downregulation,max_downregulation
0,PP_0368_PP_0528_PP_4191,2.0,3.0,337.62746666666663,3254293.83,0.7820348728233532,146989.78666666665,44754.52666666667,10475954.183333335,,2942120.4549999996,466358.6358333333,25386657.364166666,,0.04996049241181274,0.09596590097810682,0.4126559094825997,,1.0,0.18619410095750644,0.4126559094825997
1,PP_0368_PP_0812,2.0,2.0,364.6118333333334,6474018.763333333,1.5557625416508214,110514.12666666666,591872.6533333333,,,2942120.4549999996,4730152.069999999,,,0.03756274712643146,0.1251276163164313,,,1.0,0.08134518172143138,0.1251276163164313
2,PP_0368_PP_0813,2.0,2.0,355.0792666666666,5900858.390000001,1.4180271609254984,103722.19,1963545.6066666667,,,2942120.4549999996,5011359.791666667,,,0.035254229589318405,0.3918189250613824,,,0.0,0.2135365773253504,0.3918189250613824
3,PP_0368_PP_1769,2.0,2.0,241.18106666666665,575649.2333333333,0.13833347524759126,2743372.2333333334,2294247.8666666667,,,2942120.4549999996,2303087.6841666666,,,0.9324472859943912,0.9961617538225869,,,0.0,0.964304519908489,0.9961617538225869
4,PP_0368_PP_4189,2.0,2.0,335.35353333333336,4526716.17,1.0878089346693585,133901.33333333334,19065447.87,,,2942120.4549999996,43905769.3525,,,0.045511846092424264,0.43423559480149293,,,1.0,0.2398737204469586,0.43423559480149293
5,PP_0368_PP_4189_P4,2.0,2.0,225.41886666666664,3634413.16,0.8733808260233592,1872047.8933333333,36813027.553333335,,,2942120.4549999996,43905769.3525,,,0.6362920628052033,0.8384553578318563,,,0.0,0.7373737103185298,0.8384553578318563
6,PP_0437_PP_0751_PP_4191,2.0,3.0,234.23716666666667,3131306.3666666667,0.7524799247236759,14506.480000000001,2867183.5933333337,16372837.6,,231956.00749999998,13836581.328333331,25386657.364166666,,0.06253979000737883,0.20721763022938097,0.644938692208857,,0.0,0.3048987041485389,0.644938692208857
7,PP_0437_PP_0814,2.0,2.0,306.25336666666664,8095636.3133333335,1.9454512239669992,16023.06,8011.53,,,231956.00749999998,47735.7775,,,0.06907801256236053,0.16783072193597345,,,1.0,0.118454367249167,0.16783072193597345
8,PP_0437_PP_1769,2.0,2.0,183.28816666666668,844612.06,0.20296756206773445,95665.99666666666,2777519.89,,,231956.00749999998,2303087.6841666666,,,0.4124316403689896,1.2059983252461353,,,0.0,0.8092149828075624,1.2059983252461353
9,PP_0437_PP_4189,2.0,2.0,290.93413333333336,3918973.7699999996,0.9417631946959156,15193.793333333335,9469673.916666666,,,231956.00749999998,43905769.3525,,,0.06550290935376324,0.21568176702790107,,,1.0,0.14059233819083217,0.21568176702790107
