,line_name_norep,rep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,to_keep_improved,mean_downregulation,max_downregulation
10,PP_0528_PP_0751_PP_0815_PP_1317,2.0,4.0,350.84576666666663,7002108.323333333,1.6826670172352955,42957.5,13221716.63,,2571076.466666667,466358.6358333333,13836581.328333331,,2427608.0300000003,0.09211258610712654,0.9555623832402685,,1.0590986826924718,0.0,0.702257884013289,1.0590986826924718
11,PP_0528_PP_0751_PP_4191,2.0,3.0,376.4447,4158971.52,0.9994367237942826,47913.98333333334,7561986.960000001,14678207.5,,466358.6358333333,13836581.328333331,25386657.364166666,,0.10274063703723664,0.5465213393799254,0.5781859064564494,,0.0,0.40914929429120384,0.5781859064564494
12,PP_0528_PP_0812_PP_4191,2.0,3.0,349.8803,3835049.9766666666,0.9215955833876625,44429.69999999999,4037295.8266666667,11864608.026666665,,466358.6358333333,4730152.069999999,25386657.364166666,,0.09526938408808243,0.8535234738587733,0.4673560546578137,,0.0,0.47204963753488977,0.8535234738587733
13,PP_0528_PP_0813_PP_0815_PP_1317,2.0,4.0,443.5602666666667,6525186.72,1.5680586429172667,51097.31666666667,4927797.05,,391827.79000000004,466358.6358333333,5011359.791666667,,2427608.0300000003,0.10956657117619613,0.983325335808931,,0.16140488297857536,0.0,0.4180989299879008,0.983325335808931
14,PP_0528_PP_0813_PP_4191,2.0,3.0,316.2069333333333,4494534.989999999,1.0800755195804679,45492.85,3040096.0500000003,8815740.06,,466358.6358333333,5011359.791666667,25386657.364166666,,0.09754906740111953,0.6066409470450198,0.34725879557674416,,0.0,0.35048293667429453,0.6066409470450198
15,PP_0528_PP_0814_PP_0815_PP_1317,2.0,4.0,403.3505333333333,5258673.043333333,1.2637044838273803,38744.96666666667,7748.993333333333,,260270.22666666665,466358.6358333333,47735.7775,,2427608.0300000003,0.0830797667066538,0.16233093371807616,,0.1072126238875007,1.0,0.11754110810407688,0.16233093371807616
16,PP_0528_PP_0814_PP_4191,2.0,3.0,354.1662666666666,1588762.64,0.3817933640979478,35633.799999999996,7126.759999999999,14041039.816666668,,466358.6358333333,47735.7775,25386657.364166666,,0.07640857756676077,0.14929598664230406,0.5530873803215082,,0.0,0.25959731484352433,0.5530873803215082
17,PP_0528_PP_0815_PP_1317,2.0,3.0,405.72476666666665,7484243.05,1.7985281500490125,40370.06666666667,,48444.079999999994,,466358.6358333333,,2427608.0300000003,,0.08656442395353016,,0.019955478562163034,,1.0,0.0532599512578466,0.08656442395353016
18,PP_0528_PP_0815_PP_1317_P4,2.0,3.0,372.21593333333334,7699107.253333333,1.8501618711282408,45943.56666666667,,82966.78,,466358.6358333333,,2427608.0300000003,,0.098515526756721,,0.0341763493013326,,1.0,0.0663459380290268,0.098515526756721
19,PP_0528_PP_0815_PP_1317_PP_4191,2.0,4.0,210.7583,500679.93333333335,0.12031770591211126,337026.0733333333,,3167941.513333333,27498457.94666667,466358.6358333333,,2427608.0300000003,25386657.364166666,0.7226757423095717,,1.3049641763350621,1.0831854525866336,0.0,1.0369417904104223,1.3049641763350621
20,PP_0528_PP_0815_PP_4191,2.0,3.0,385.9196,6460405.739999999,1.552491214743249,41889.049999999996,,22256472.233333334,,466358.6358333333,,25386657.364166666,,0.08982153814981621,,0.8766995951482924,,0.0,0.4832605666490543,0.8766995951482924
21,PP_0528_PP_1769_PP_4191,2.0,3.0,341.79203333333334,6009973.603333334,1.4442484877139978,44850.51666666666,3837447.303333333,20815344.33666667,,466358.6358333333,2303087.6841666666,25386657.364166666,,0.09617172969580277,1.666218498633433,0.819932456568606,,0.0,0.8607742282992805,1.666218498633433
22,PP_0528_PP_4120_PP_4191,2.0,3.0,301.7561666666666,3238729.0100000002,0.7782945123442202,40398.96666666667,1037246.5866666666,11280753.236666666,,466358.6358333333,3458810.8366666664,25386657.364166666,,0.08662639342890686,0.29988531771407434,0.4443575644814697,,0.0,0.2769564252081503,0.4443575644814697
23,PP_0528_PP_4120_PP_4191_P4,2.0,3.0,327.6678,3046220.403333334,0.7320330339417099,45929.28333333333,633157.4833333334,11163235.876666667,,466358.6358333333,3458810.8366666664,25386657.364166666,,0.09848489939778338,0.18305640673414836,0.43972846509614155,,1.0,0.24042325707602444,0.43972846509614155
24,PP_0751_PP_0813,2.0,2.0,337.59706666666665,6971482.88,1.6753074590842905,6369572.580000001,1767189.5633333335,,,13836581.328333331,5011359.791666667,,,0.4603429437412369,0.352636736694095,,,0.0,0.406489840217666,0.4603429437412369
25,PP_0751_PP_0813_PP_4189,2.0,3.0,362.3344666666667,2080995.423333333,0.500081147015684,485804.45333333337,2920503.9966666666,9123546.42,,13836581.328333331,5011359.791666667,43905769.3525,,0.03511015053541767,0.5827767548287273,0.20779834984216036,,0.0,0.27522841840210177,0.5827767548287273
26,PP_0751_PP_0813_PP_4191,2.0,3.0,297.8916,1658808.1433333333,0.39862590263093306,3334653.2866666666,5838311.013333333,17915654.8,,13836581.328333331,5011359.791666667,25386657.364166666,,0.24100268755247065,1.1650153363647515,0.7057114508225092,,0.0,0.7039098249132438,1.1650153363647515
27,PP_0751_PP_0814,2.0,2.0,426.91963333333337,4854748.323333333,1.1666378901094407,688377.7466666667,9002.93,,,13836581.328333331,47735.7775,,,0.0497505655719355,0.1885992115662094,,,1.0,0.11917488856907245,0.1885992115662094
28,PP_0751_PP_0814_PP_1769,2.0,3.0,224.50496666666666,3191379.846666666,0.7669161000495702,1987403.7266666666,49154.206666666665,1013468.8533333334,,13836581.328333331,47735.7775,2303087.6841666666,,0.14363401475457208,1.0297141733297772,0.4400478802004623,,0.0,0.5377986894282706,1.0297141733297772
29,PP_0751_PP_0815_PP_1317,2.0,3.0,208.69656666666666,4364112.956666667,1.0487339801930438,15536402.020000001,,53434.03333333333,,13836581.328333331,,2427608.0300000003,,1.1228497597297336,,0.022010980633201,,0.0,0.5724303701814673,1.1228497597297336
30,PP_0751_PP_1769_PP_4189,2.0,3.0,227.50016666666667,417124.78,0.1002386819750597,5663197.163333334,878445.5566666666,25237989.06,,13836581.328333331,2303087.6841666666,43905769.3525,,0.40929164718865474,0.381420804212462,0.5748217018445879,,0.0,0.4551780510819016,0.5748217018445879
31,PP_0751_PP_4189,2.0,2.0,292.7259666666667,2644762.546666667,0.6355592487573362,2773121.23,12021338.663333332,,,13836581.328333331,43905769.3525,,,0.200419537470679,0.27379861099390657,,,1.0,0.23710907423229277,0.27379861099390657
32,PP_0812_PP_0814,2.0,2.0,307.5759333333333,5452047.456666666,1.3101740230387258,111055.74333333333,10095.976666666667,,,4730152.069999999,47735.7775,,,0.023478260675313365,0.21149706143712996,,,1.0,0.11748766105622166,0.21149706143712996
33,PP_0812_PP_0815,2.0,2.0,337.34009999999995,5316698.733333333,1.2776485575558543,1855529.1633333333,,,,4730152.069999999,,,,0.39227685196457823,,,,0.0,0.39227685196457823,0.39227685196457823
34,PP_0812_PP_0815_PP_1317,2.0,3.0,416.03279999999995,6764814.739999999,1.6256433227080314,265831.4666666667,,50387.28,,4730152.069999999,,2427608.0300000003,,0.0561993489284725,,0.020755937275425736,,1.0,0.03847764310194912,0.0561993489284725
35,PP_0812_PP_1769,2.0,2.0,357.4275666666667,6257769.346666667,1.503795941861324,1654443.5599999998,3796779.3266666667,,,4730152.069999999,2303087.6841666666,,,0.34976540616800933,1.648560475039172,,,0.0,0.9991629406035907,1.648560475039172
36,PP_0812_PP_4189,2.0,2.0,314.97313333333335,5507696.463333334,1.323546959265358,127831.45,18184730.69666667,,,4730152.069999999,43905769.3525,,,0.0270248076823458,0.4141763363868996,,,0.0,0.2206005720346227,0.4141763363868996
37,PP_0813_PP_0814,2.0,2.0,339.0017666666667,5591860.22,1.3437722358320876,69722.96666666666,6972.296666666666,,,5011359.791666667,47735.7775,,,0.013912983614269299,0.1460601886429244,,,1.0,0.07998658612859684,0.1460601886429244
38,PP_0813_PP_0814_PP_1769,2.0,3.0,275.2155333333333,5461589.833333333,1.312467138446485,943479.9700000001,10957.026666666667,1088757.53,,5011359.791666667,47735.7775,2303087.6841666666,,0.18826825636604697,0.22953489480016673,0.4727382016260264,,0.0,0.2968471175974134,0.4727382016260264
39,PP_0813_PP_0815_PP_1317,2.0,3.0,387.71853333333337,5562852.79,1.3368015002390505,1236991.7733333334,,46717.06,,5011359.791666667,,2427608.0300000003,,0.24683755003787852,,0.019244070468822733,,1.0,0.13304081025335063,0.24683755003787852
40,PP_0813_PP_1769,2.0,2.0,241.68550000000002,3794689.466666667,0.9118966047601131,3162321.8333333335,1618132.8,,,5011359.791666667,2303087.6841666666,,,0.6310306912291395,0.7025927892908229,,,0.0,0.6668117402599811,0.7025927892908229
41,PP_0813_PP_1769_PP_4189,2.0,3.0,322.09273333333334,2997228.44,0.7202598426393285,3193752.2733333334,1500497.9533333334,13305261.266666666,,5011359.791666667,2303087.6841666666,43905769.3525,,0.6373025298730671,0.6515157732156703,0.30304129646025807,,0.0,0.5306198665163319,0.6515157732156703
42,PP_0813_PP_4189_PP_4191,2.0,3.0,273.3829333333333,2182574.3466666667,0.5244914383231891,2877970.84,20148632.203333333,12236963.24,,5011359.791666667,43905769.3525,25386657.364166666,,0.5742894063973903,0.45890625538454594,0.48202341349879746,,0.0,0.5050730250935779,0.5742894063973903
43,PP_0813_PP_4191,2.0,2.0,307.2124,4779128.5,1.1484657944067587,3230420.186666667,13343528.286666667,,,5011359.791666667,25386657.364166666,,,0.6446194887141202,0.525611863557157,,,0.0,0.5851156761356386,0.6446194887141202
44,PP_0814_PP_0815_PP_1317,2.0,3.0,361.08886666666666,6857469.946666666,1.6479091679411855,9814.269999999999,,58885.619999999995,,47735.7775,,2427608.0300000003,,0.20559568763701394,,0.024256642453106336,,1.0,0.11492616504506013,0.20559568763701394
45,PP_0814_PP_2136,2.0,2.0,332.11263333333335,3985893.6666666665,0.9578446229912423,6960.066666666666,275518.6666666667,,,47735.7775,6161245.624166667,,,0.14580398667784691,0.04471801377078377,,,1.0,0.09526100022431534,0.14580398667784691
46,PP_0815,2.0,1.0,340.50323333333336,3939479.8266666667,0.9466909769599484,,,,,,,,,,,,,1.0,,
47,PP_0815_PP_1317,2.0,2.0,381.29775666666666,5381438.64,1.2932061154536496,,35409.48,,,,2427608.0300000003,,,,0.014586160353078068,,,1.0,0.014586160353078068,0.014586160353078068
48,PP_0815_PP_1317_PP_4189,2.0,3.0,404.1621333333333,2781334.39,0.6683786405245615,,880771.6699999999,28789798.27333333,,,2427608.0300000003,43905769.3525,,,0.3628146138567518,0.6557178862347857,,0.0,0.5092662500457688,0.6557178862347857
49,PP_0815_PP_1317_PP_4191,2.0,3.0,184.35506666666666,1411627.7666666666,0.33922632640061295,,1946370.6000000003,17711857.433333334,,,2427608.0300000003,25386657.364166666,,,0.8017647725444373,0.697683715475424,,0.0,0.7497242440099307,0.8017647725444373
50,PP_1506_PP_1769,2.0,2.0,196.27126666666666,6451865.649999999,1.550438957465347,9063218.65,2711317.566666667,,,11765955.684166668,2303087.6841666666,,,0.7702917547272667,1.177253295784833,,,0.0,0.9737725252560498,1.177253295784833
51,PP_1769_PP_2136,2.0,2.0,226.60646666666665,8549136.866666667,2.054431317983695,3073514.5666666664,308827.8,,,2303087.6841666666,6161245.624166667,,,1.3345191274290393,0.050124247406833404,,,0.0,0.6923216874179363,1.3345191274290393
52,PP_1769_PP_4189,2.0,2.0,152.21346666666668,4585011.8,1.1018178773078318,2027918.5333333334,13740134.666666666,,,2303087.6841666666,43905769.3525,,,0.8805216350532054,0.3129459947815332,,,0.0,0.5967338149173693,0.8805216350532054
53,PP_1769_PP_4192,2.0,2.0,233.98306666666667,1166409.89,0.2802983558451608,3553395.4933333327,3771551.6666666665,,,2303087.6841666666,4515250.25,,,1.5428832856700676,0.8352918349689847,,,0.0,1.1890875603195261,1.5428832856700676
54,PP_2136_PP_4189,2.0,2.0,253.99406666666667,3102182.4600000004,0.745481198783128,293772.92,13039484.056666667,,,6161245.624166667,43905769.3525,,,0.04768076748112663,0.29698794142470014,,,1.0,0.1723343544529134,0.29698794142470014
55,PP_4189_PP_4192,2.0,2.0,316.07373333333334,1707988.0666666667,0.4104442623423072,16321425.383333333,1589855.86,,,43905769.3525,4515250.25,,,0.37173760132286554,0.3521080276779786,,,1.0,0.3619228145004221,0.37173760132286554
